"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"SIN3A, TMEM177","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, FGA, RHOB, LGALS3BP, IL1B, TGFB2, ECM1, PF4, RHOV, RHOF, ITIH4, SERPING1, CLEC3B, SERPINA4, TOR4A, SERPINA3, GAB2, IGF2, ALDOA","Osteoclast differentiation (3), Cytokine-cytokine receptor interaction (3), AGE-RAGE signaling pathway in diabetic complications (3), MAPK signaling pathway (3), Ras signaling pathway (2), Chemokine signaling pathway (2), Sphingolipid signaling pathway (1), Fc epsilon RI signaling pathway (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), GnRH signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), Leukocyte transendothelial migration (1), Regulation of actin cytoskeleton (1)"
"140",22848,"AAK1","MedConf","Yes",NA,"CFTR, DNM1, TF, WNT5A, AGFG1, APOB, EPN1, TACR1, CHRM2, SNX9, ACTR2, RPS27A, UBB, CLTC, SYT1, RAB5A, EGFR, SCARB2, PIK3C2A, ITSN2, UBC, CLTA, ADRB2, LDLR, SNX18","Synaptic vesicle cycle (4), Neuroactive ligand-receptor interaction (3), cAMP signaling pathway (3), Ras signaling pathway (2), Regulation of actin cytoskeleton (2), PI3K-Akt signaling pathway (2), Renin secretion (1), GnRH signaling pathway (1), Relaxin signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Phagosome (1), Vasopressin-regulated water reabsorption (1)"
"154",18,"ABAT","HighConf","Yes","Valine, leucine and isoleucine degradation","CFL2, CFL1, ALDH3A2, PRPF8, HSPE1, LDHAL6B, DBT, GDA","leucine and isoleucine degradation (2), Valine (2), Regulation of actin cytoskeleton (2), Spliceosome (1)"
"159",20,"ABCA2","MedConf","Yes",NA,"ATP12A, ATP1B3, ATP1A3, ABCG5, ATP1B2","Insulin secretion (3), Protein digestion and absorption (3), Thyroid hormone signaling pathway (3), Aldosterone-regulated sodium reabsorption (3), cAMP signaling pathway (3), Thyroid hormone synthesis (3)"
"198",64240,"ABCG5","MedConf","Yes",NA,"ATP1B2, ABCA2, ATP12A, ATP1B3, ATP1A3","Insulin secretion (3), Protein digestion and absorption (3), Thyroid hormone signaling pathway (3), Aldosterone-regulated sodium reabsorption (3), cAMP signaling pathway (3), Thyroid hormone synthesis (3)"
"220",10006,"ABI1","HighConf","Yes",NA,"EGFR, ARPC1B, SYK, EPS8, ACTR2, PXN, ITGB1, CDC42, WIPF2","Regulation of actin cytoskeleton (5), Focal adhesion (4), Rap1 signaling pathway (3), Leukocyte transendothelial migration (3), PI3K-Akt signaling pathway (3), GnRH signaling pathway (2), Ras signaling pathway (2), Chemokine signaling pathway (2), MAPK signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Phagosome (1), Fc epsilon RI signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), Relaxin signaling pathway (1), Cytokine-cytokine receptor interaction (1)"
"246",36,"ACADSB","MedConf","Yes","Valine, leucine and isoleucine degradation","PRSS16, DLD, DBT, HADHA","leucine and isoleucine degradation (3), Valine (3)"
"262",1636,"ACE","MedConf","Yes","Renin secretion","AGT","Renin secretion (1)"
"268",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome","BCAS2, SON, SAFB, SRPK2, SLC3A2","Protein digestion and absorption (1), Spliceosome (1)"
