"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,123,13,"NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, PPT1, LGMN, CD63"
"NOD-like receptor signaling pathway",0,0.001,0.002,168,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"Hematopoietic cell lineage",0,0.001,0.003,96,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"NF-kappa B signaling pathway",0,0.001,0.003,94,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Ferroptosis",0,0.001,0.007,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.004,0.023,151,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.004,0.031,127,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Toll-like receptor signaling pathway",0,0.005,0.042,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Necroptosis",0,0.005,0.043,163,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Endocytosis",0,0.007,0.073,243,12,"EHD1, CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, TFRC, CBL, SNX3"
"Cell adhesion molecules (CAMs)",0,0.007,0.076,143,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"Complement and coagulation cascades",0.001,0.023,0.303,79,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.001,0.023,0.305,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Cytosolic DNA-sensing pathway",0.003,0.046,0.646,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Tryptophan metabolism",0.003,0.048,0.758,40,4,"IL4I1, IDO1, KMO, KYNU"
"Natural killer cell mediated cytotoxicity",0.003,0.048,0.772,127,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"HIF-1 signaling pathway",0.004,0.052,0.958,99,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"AGE-RAGE signaling pathway in diabetic complications",0.004,0.052,0.958,99,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.004,0.052,0.988,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"PPAR signaling pathway",0.005,0.058,1,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Antigen processing and presentation",0.005,0.058,1,73,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"Chemokine signaling pathway",0.007,0.079,1,185,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.007,0.079,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.011,0.117,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.013,0.134,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.016,0.148,1,35,3,"IL4I1, GFPT1, GLS"
"Fatty acid biosynthesis",0.016,0.148,1,13,2,"ACSL1, ACSL4"
"Adipocytokine signaling pathway",0.021,0.179,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Prolactin signaling pathway",0.022,0.179,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.022,0.179,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Leukocyte transendothelial migration",0.028,0.222,1,112,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Cellular senescence",0.034,0.264,1,159,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"Fatty acid metabolism",0.036,0.273,1,48,3,"ACSL1, ACSL4, PPT1"
"ErbB signaling pathway",0.04,0.294,1,85,4,"SRC, STAT5A, CAMK2D, CBL"
"IL-17 signaling pathway",0.053,0.377,1,93,4,"IL1B, NFKB1, PTGS2, CCL20"
"Apoptosis",0.059,0.386,1,138,5,"CTSB, CTSH, CTSZ, NFKB1, TRAF1"
"VEGF signaling pathway",0.06,0.386,1,59,3,"PLA2G4A, PTGS2, SRC"
"Inflammatory mediator regulation of TRP channels",0.06,0.386,1,97,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"D-Glutamine and D-glutamate metabolism",0.06,0.386,1,4,1,"GLS"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.074,0.449,1,5,1,"IL4I1"
"Neomycin, kanamycin and gentamicin biosynthesis",0.074,0.449,1,5,1,"HK2"
"Mitophagy - animal",0.076,0.451,1,65,3,"GABARAP, SRC, SQSTM1"
"Insulin resistance",0.08,0.452,1,107,4,"GFPT1, NFKB1, PTPN1, CD36"
"Th17 cell differentiation",0.08,0.452,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"Fc epsilon RI signaling pathway",0.082,0.452,1,67,3,"FCER1G, LCP2, PLA2G4A"
"Riboflavin metabolism",0.116,0.61,1,8,1,"ACP5"
"Cytokine-cytokine receptor interaction",0.117,0.61,1,270,7,"IL1A, IL1B, CCL4L1, CCL3, CCL5, CCL20, CD40"
"Platelet activation",0.118,0.61,1,123,4,"FCER1G, LCP2, PLA2G4A, SRC"
"ECM-receptor interaction",0.129,0.655,1,82,3,"VTN, CD36, CD44"
"Fatty acid degradation",0.144,0.705,1,44,2,"ACSL1, ACSL4"
"Ether lipid metabolism",0.15,0.705,1,45,2,"PLD3, PLA2G4A"
"GABAergic synapse",0.15,0.705,1,88,3,"GABARAP, GLS, SRC"
"Cysteine and methionine metabolism",0.15,0.705,1,45,2,"IL4I1, SMS"
"Insulin signaling pathway",0.159,0.723,1,138,4,"HK2, PTPN1, CBL, FBP2"
"GnRH signaling pathway",0.165,0.723,1,92,3,"PLA2G4A, SRC, CAMK2D"
"Th1 and Th2 cell differentiation",0.165,0.723,1,92,3,"NFKB1, STAT1, STAT5A"
"Amino sugar and nucleotide sugar metabolism",0.166,0.723,1,48,2,"GFPT1, HK2"
"Ovarian steroidogenesis",0.176,0.758,1,50,2,"PLA2G4A, PTGS2"
"Regulation of lipolysis in adipocytes",0.199,0.828,1,54,2,"FABP4, PTGS2"
"Oxytocin signaling pathway",0.201,0.828,1,152,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"T cell receptor signaling pathway",0.203,0.828,1,102,3,"LCP2, NFKB1, CBL"
"Phenylalanine metabolism",0.23,0.923,1,17,1,"IL4I1"
"Arachidonic acid metabolism",0.243,0.962,1,62,2,"PLA2G4A, PTGS2"
"Steroid biosynthesis",0.265,1,1,20,1,"LIPA"
"Arginine biosynthesis",0.265,1,1,20,1,"GLS"
"Glycolysis / Gluconeogenesis",0.272,1,1,67,2,"HK2, FBP2"
"AMPK signaling pathway",0.276,1,1,120,3,"PFKFB3, FBP2, CD36"
"B cell receptor signaling pathway",0.289,1,1,70,2,"NFKB1, CD81"
"Proximal tubule bicarbonate reclamation",0.298,1,1,23,1,"GLS"
"Adherens junction",0.3,1,1,72,2,"PTPN1, SRC"
"alpha-Linolenic acid metabolism",0.319,1,1,25,1,"PLA2G4A"
"Fatty acid elongation",0.319,1,1,25,1,"PPT1"
"Folate biosynthesis",0.33,1,1,26,1,"GGH"
"MAPK signaling pathway",0.348,1,1,255,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Nicotinate and nicotinamide metabolism",0.35,1,1,28,1,"NAMPT"
"Linoleic acid metabolism",0.36,1,1,29,1,"PLA2G4A"
"Peroxisome",0.362,1,1,83,2,"ACSL1, ACSL4"
"Pentose phosphate pathway",0.37,1,1,30,1,"FBP2"
"Galactose metabolism",0.379,1,1,31,1,"HK2"
"beta-Alanine metabolism",0.379,1,1,31,1,"SMS"
"Autophagy - other",0.389,1,1,32,1,"GABARAP"
"Non-alcoholic fatty liver disease (NAFLD)",0.393,1,1,148,3,"IL1A, IL1B, NFKB1"
"Rap1 signaling pathway",0.398,1,1,210,4,"ITGAM, ITGB2, LCP2, SRC"
"Fc gamma R-mediated phagocytosis",0.4,1,1,90,2,"HCK, PLA2G4A"
"Regulation of actin cytoskeleton",0.402,1,1,211,4,"ITGAM, ITGAX, ITGB2, SRC"
"Tyrosine metabolism",0.416,1,1,35,1,"IL4I1"
"Starch and sucrose metabolism",0.425,1,1,36,1,"HK2"
"Jak-STAT signaling pathway",0.426,1,1,156,3,"PTPN2, STAT1, STAT5A"
"Glycerophospholipid metabolism",0.437,1,1,97,2,"PLD3, PLA2G4A"
"Fat digestion and absorption",0.468,1,1,41,1,"CD36"
"Porphyrin and chlorophyll metabolism",0.468,1,1,41,1,"HMOX1"
"Tight junction",0.482,1,1,170,3,"SRC, CD1A, CD1C"
"Carbohydrate digestion and absorption",0.492,1,1,44,1,"HK2"
"Type II diabetes mellitus",0.508,1,1,46,1,"HK2"
"Serotonergic synapse",0.512,1,1,112,2,"PLA2G4A, PTGS2"
"Intestinal immune network for IgA production",0.515,1,1,47,1,"CD40"
"Endocrine and other factor-regulated calcium reabsorption",0.515,1,1,47,1,"CLTA"
"Glutamatergic synapse",0.522,1,1,114,2,"GLS, PLA2G4A"
"Valine, leucine and isoleucine degradation",0.523,1,1,48,1,"IL4I1"
"Notch signaling pathway",0.523,1,1,48,1,"NCSTN"
"Carbon metabolism",0.526,1,1,115,2,"HK2, FBP2"
"Arginine and proline metabolism",0.53,1,1,49,1,"SMS"
"Thyroid hormone signaling pathway",0.531,1,1,116,2,"SRC, STAT1"
"Sphingolipid signaling pathway",0.54,1,1,118,2,"FCER1G, NFKB1"
"Neurotrophin signaling pathway",0.545,1,1,119,2,"NFKB1, CAMK2D"
"Metabolic pathways",0.563,1,1,1262,19,"NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, GLS, HK2, HMOX1, IDO1, PLA2G4A, ATP6AP1, ACP5, PPT1, PTGS2, SMS, KMO, FBP2, KYNU"
"Glutathione metabolism",0.565,1,1,54,1,"SMS"
"Autophagy - animal",0.585,1,1,128,2,"GABARAP, CTSB"
"Relaxin signaling pathway",0.593,1,1,130,2,"NFKB1, SRC"
"Long-term depression",0.603,1,1,60,1,"PLA2G4A"
"Ubiquitin mediated proteolysis",0.622,1,1,137,2,"PML, CBL"
"Synaptic vesicle cycle",0.622,1,1,63,1,"CLTA"
"Renin secretion",0.633,1,1,65,1,"CTSB"
"Long-term potentiation",0.644,1,1,67,1,"CAMK2D"
"Phospholipase D signaling pathway",0.653,1,1,145,2,"FCER1G, PLA2G4A"
"Ras signaling pathway",0.675,1,1,226,3,"NFKB1, PLA2G4A, REL"
"Gastric acid secretion",0.686,1,1,75,1,"CAMK2D"
"EGFR tyrosine kinase inhibitor resistance",0.705,1,1,79,1,"SRC"
"Aldosterone synthesis and secretion",0.718,1,1,82,1,"CAMK2D"
"Insulin secretion",0.731,1,1,85,1,"CAMK2D"
"Gap junction",0.743,1,1,88,1,"SRC"
"Longevity regulating pathway",0.747,1,1,89,1,"NFKB1"
"Axon guidance",0.749,1,1,174,2,"SRC, CAMK2D"
"Salivary secretion",0.751,1,1,90,1,"CST3"
"Endocrine resistance",0.77,1,1,95,1,"SRC"
"Circadian entrainment",0.773,1,1,96,1,"CAMK2D"
"Estrogen signaling pathway",0.78,1,1,98,1,"SRC"
"Melanogenesis",0.79,1,1,101,1,"CAMK2D"
"Glucagon signaling pathway",0.797,1,1,103,1,"CAMK2D"
"cAMP signaling pathway",0.81,1,1,198,2,"NFKB1, CAMK2D"
"Focal adhesion",0.81,1,1,198,2,"SRC, VTN"
"Cholinergic synapse",0.823,1,1,112,1,"CAMK2D"
"Vascular smooth muscle contraction",0.847,1,1,121,1,"PLA2G4A"
"Oocyte meiosis",0.847,1,1,121,1,"CAMK2D"
"FoxO signaling pathway",0.867,1,1,130,1,"GABARAP"
"Dopaminergic synapse",0.867,1,1,130,1,"CAMK2D"
"Oxidative phosphorylation",0.871,1,1,132,1,"ATP6AP1"
"Apelin signaling pathway",0.881,1,1,137,1,"GABARAP"
"Wnt signaling pathway",0.89,1,1,142,1,"CAMK2D"
"Adrenergic signaling in cardiomyocytes",0.893,1,1,144,1,"CAMK2D"
"Retrograde endocannabinoid signaling",0.898,1,1,147,1,"PTGS2"
"Hippo signaling pathway",0.907,1,1,153,1,"ITGB2"
"Protein processing in endoplasmic reticulum",0.924,1,1,166,1,"EIF2AK2"
"Calcium signaling pathway",0.94,1,1,181,1,"CAMK2D"
"PI3K-Akt signaling pathway",0.969,1,1,340,2,"NFKB1, VTN"
"Olfactory transduction",0.999,1,1,417,1,"CAMK2D"
"Caffeine metabolism",1,1,1,5,0,""
"Drug metabolism - other enzymes",1,1,1,45,0,""
"Purine metabolism",1,1,1,172,0,""
"Platinum drug resistance",1,1,1,73,0,""
"cGMP-PKG signaling pathway",1,1,1,163,0,""
"mTOR signaling pathway",1,1,1,150,0,""
"Longevity regulating pathway - multiple species",1,1,1,62,0,""
"Signaling pathways regulating pluripotency of stem cells",1,1,1,139,0,""
"Progesterone-mediated oocyte maturation",1,1,1,96,0,""
"Primary bile acid biosynthesis",1,1,1,17,0,""
"Protein digestion and absorption",1,1,1,90,0,""
"RNA transport",1,1,1,166,0,""
"Apoptosis - multiple species",1,1,1,33,0,""
"Taste transduction",1,1,1,83,0,""
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,1,25,0,""
"Base excision repair",1,1,1,33,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,44,0,""
"ABC transporters",1,1,1,44,0,""
"Spliceosome",1,1,1,132,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Neuroactive ligand-receptor interaction",1,1,1,277,0,""
"Homologous recombination",1,1,1,41,0,""
"Non-homologous end-joining",1,1,1,13,0,""
"Pancreatic secretion",1,1,1,96,0,""
"RNA degradation",1,1,1,78,0,""
"Lysine degradation",1,1,1,59,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Cell cycle",1,1,1,124,0,""
"p53 signaling pathway",1,1,1,68,0,""
"Retinol metabolism",1,1,1,63,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,77,0,""
"mRNA surveillance pathway",1,1,1,90,0,""
"N-Glycan biosynthesis",1,1,1,49,0,""
"Proteasome",1,1,1,45,0,""
"Pyrimidine metabolism",1,1,1,100,0,""
"Basal transcription factors",1,1,1,45,0,""
"Nucleotide excision repair",1,1,1,46,0,""
"SNARE interactions in vesicular transport",1,1,1,34,0,""
"Ubiquinone and other terpenoid-quinone biosynthesis",1,1,1,11,0,""
"Bile secretion",1,1,1,71,0,""
"Terpenoid backbone biosynthesis",1,1,1,22,0,""
"Glycine, serine and threonine metabolism",1,1,1,40,0,""
"Biosynthesis of amino acids",1,1,1,72,0,""
"TGF-beta signaling pathway",1,1,1,83,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"Pentose and glucuronate interconversions",1,1,1,33,0,""
"Glycerolipid metabolism",1,1,1,61,0,""
"Mannose type O-glycan biosynthesis",1,1,1,23,0,""
"Taurine and hypotaurine metabolism",1,1,1,11,0,""
"Cardiac muscle contraction",1,1,1,78,0,""
"Sulfur metabolism",1,1,1,10,0,""
"Phosphonate and phosphinate metabolism",1,1,1,6,0,""
"Phosphatidylinositol signaling system",1,1,1,99,0,""
"Hippo signaling pathway - multiple species",1,1,1,28,0,""
"Inositol phosphate metabolism",1,1,1,73,0,""
"Thyroid hormone synthesis",1,1,1,74,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"DNA replication",1,1,1,36,0,""
"Sphingolipid metabolism",1,1,1,47,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Ribosome",1,1,1,131,0,""
"Other types of O-glycan biosynthesis",1,1,1,22,0,""
"Selenocompound metabolism",1,1,1,17,0,""
"One carbon pool by folate",1,1,1,19,0,""
"RNA polymerase",1,1,1,31,0,""
"Mismatch repair",1,1,1,23,0,""
"Ascorbate and aldarate metabolism",1,1,1,26,0,""
"Steroid hormone biosynthesis",1,1,1,56,0,""
"Metabolism of xenobiotics by cytochrome P450",1,1,1,72,0,""
"Drug metabolism - cytochrome P450",1,1,1,68,0,""
"Other glycan degradation",1,1,1,18,0,""
"Histidine metabolism",1,1,1,24,0,""
"Glycosaminoglycan degradation",1,1,1,19,0,""
"Pyruvate metabolism",1,1,1,39,0,""
"Protein export",1,1,1,23,0,""
"Biosynthesis of unsaturated fatty acids",1,1,1,23,0,""
"Valine, leucine and isoleucine biosynthesis",1,1,1,4,0,""
"Lipoic acid metabolism",1,1,1,3,0,""
"Hedgehog signaling pathway",1,1,1,46,0,""
"Fanconi anemia pathway",1,1,1,53,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"Nitrogen metabolism",1,1,1,17,0,""
"Glyoxylate and dicarboxylate metabolism",1,1,1,28,0,""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,1,24,0,""
"Butanoate metabolism",1,1,1,28,0,""
"Thiamine metabolism",1,1,1,15,0,""
"Phototransduction",1,1,1,28,0,""
"Circadian rhythm",1,1,1,30,0,""
"Citrate cycle (TCA cycle)",1,1,1,30,0,""
"2-Oxocarboxylic acid metabolism",1,1,1,17,0,""
