Pathway,pVal,pValFDR,pValBonferroni,Genes,TRIAGEhits,HighScoreHitGenes,HighScoreHitGenesNames,MedScoreGenesNames,EnrichScore
RNA transport,0,0,0,150,30,12,"CLNS1A, NUP160, NUP133, NUP107, THOC2, RANBP2, NUP85, RGPD5, GEMIN2, EIF3H, NUP155, NUP153","POP7, PAIP1, RPP25L, EEF1A1, EIF1AX, EIF2B1, EIF4E, EIF4EBP2, NCBP2, NUP62, RGPD4, NUP88, NUP54, RANGAP1, SENP2, XPO1, EIF3G, EIF3I",0.3
Ribosome,0,0,0,125,27,0,"","RPL10A, RSL24D1, RPL4, RPL6, RPL7, RPL7A, RPL9, RPL10, RPL17, RPL18, RPL18A, RPL27A, RPL32, RPL37, RPLP0, RPS4X, RPS6, RPS8, RPS10, RPS15A, RPS18, RPS20, RPS23, RPS27, MRPL1, RPL23, MRPL19",0.108
Lysine degradation,0,0.004,0.013,58,12,3,"PRDM7, KMT5B, PLOD3","ALDH1B1, HADHA, ACAT2, PLOD1, SUV39H1, EHMT1, SETD7, KMT2B",0.228
EGFR tyrosine kinase inhibitor resistance,0,0.004,0.017,78,14,4,"EGF, EGFR, AKT1, JAK1","EIF4E, FGF2, MTOR, GRB2, SHC4, PDGFRA, PTEN, RPS6, RPS6KB1, NRG2",0.233
Spliceosome,0,0.005,0.027,123,18,2,"LSM3, THOC2","SF3A1, CHERP, SLU7, SRSF8, NCBP2, SF3B3, TRA2A, HNRNPC, HNRNPU, PRPF40A, RBM22, LSM2, SNRPA1, SNRPB, SF3A2, PRPF3",0.129
Ribosome biogenesis in eukaryotes,0.001,0.023,0.147,74,12,2,"MDN1, HEATR1","POP7, NOP56, UTP14A, WDR36, RPP25L, CSNK2A2, FBL, NOP58, XPO1, IMP4",0.164
PI3K-Akt signaling pathway,0.001,0.023,0.16,336,33,8,"EGF, EGFR, CRTC2, AKT1, JAK1, PPP2R2A, RELA, IKBKG","CHRM2, COL4A4, LPAR1, EIF4E, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, MTOR, GHR, GRB2, GYS1, IFNA5, ITGA4, MTCP1, PCK2, PDGFRA, GNG2, PTEN, RPS6, RPS6KB1, CREB5, FGF19",0.17
RNA polymerase,0.001,0.028,0.231,30,7,3,"POLR3F, POLR3A, ZNRD1","TWISTNB, POLR2E, POLR2J, POLR3D",0.331
Pyruvate metabolism,0.001,0.028,0.251,39,8,0,"","ALDH1B1, ACAT2, MDH1, MDH2, PC, PCK2, PDHA2, LDHAL6B",0.103
Focal adhesion,0.002,0.062,0.618,198,21,7,"EGF, EGFR, AKT1, PIP5K1C, RAPGEF1, RAP1B, CAV2","COL4A4, VEGFD, FLNC, FLT1, FLT4, GRB2, MYLK4, ITGA4, SHC4, PAK2, PDGFRA, PTEN, MYL10, CDC42",0.22
Ras signaling pathway,0.005,0.089,1,223,22,6,"EGF, EGFR, AKT1, RAP1B, RELA, IKBKG","FGF2, FGF9, FGF14, VEGFD, RRAS2, FLT1, FLT4, GRB2, SHC4, PAK2, PDGFRA, PLA2G2A, GNG2, TIAM1, FGF19, CDC42",0.186
mTOR signaling pathway,0.005,0.089,1,144,16,4,"RRAGB, AKT1, WNT1, DEPDC5","DVL2, EIF4E, MTOR, GRB2, ATP6V1H, PTEN, RPS6, RPS6KB1, WNT11, WNT10A, FZD6, ATP6V1E2",0.181
Regulation of actin cytoskeleton,0.005,0.089,1,210,21,6,"ARPC1A, EGF, EGFR, ARHGEF12, PIP5K1C, MOS","ARPC5, CHRM2, FGF2, FGF9, FGF14, RRAS2, MYLK4, ITGA4, PAK2, PDGFRA, SSH1, TIAM1, MYL10, FGF19, CDC42",0.193
Citrate cycle (TCA cycle),0.005,0.089,1,30,6,1,IDH1,"MDH1, MDH2, PC, PCK2, PDHA2",0.183
MAPK signaling pathway,0.005,0.09,1,253,24,9,"EGF, EGFR, AKT1, MOS, TAOK1, RAP1B, RELA, CACNG1, IKBKG","DUSP7, FGF2, FGF9, FGF14, RRAS2, MAPK8IP3, FLNC, GRB2, MEF2C, NFATC3, PAK2, PDGFRA, TGFBR2, FGF19, CDC42",0.235
HIF-1 signaling pathway,0.007,0.105,1,98,12,4,"EGF, EGFR, AKT1, RELA","EGLN3, EIF4E, EP300, FLT1, MTOR, PDHA2, RPS6, RPS6KB1",0.228
T cell receptor signaling pathway,0.009,0.135,1,102,12,5,"AKT1, LCP2, RELA, IKBKG, CD4","MALT1, CSF2, GRB2, NFATC3, PAK2, CD8B, CDC42",0.267
N-Glycan biosynthesis,0.013,0.179,1,47,7,4,"DDOST, STT3A, MGAT1, DPM1","ALG6, MAN2A1, ST6GAL1",0.36
Pyrimidine metabolism,0.017,0.226,1,98,11,3,"POLR3F, POLR3A, ZNRD1","TWISTNB, ENPP1, CMPK1, POLR2E, POLR2J, POLR3D, ENTPD3, CDA",0.192
FoxO signaling pathway,0.023,0.289,1,129,13,6,"GABARAPL2, AGAP2, EGF, EGFR, AKT1, ATG12","EP300, GRB2, PCK2, PTEN, TGFBR2, USP7, SETD7",0.281
Relaxin signaling pathway,0.025,0.291,1,130,13,3,"EGFR, AKT1, RELA","COL4A4, VEGFD, GRB2, SHC4, MMP1, RXFP3, GNG2, ACTA2, TGFBR2, CREB5",0.165
Propanoate metabolism,0.028,0.318,1,32,5,1,HIBCH,"DBT, HADHA, ACAT2, LDHAL6B",0.178
Rap1 signaling pathway,0.036,0.383,1,209,18,6,"EGF, EGFR, AKT1, RAPGEF1, LCP2, RAP1B","LPAR1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, PDGFRA, TIAM1, PARD6B, FGF19, CDC42",0.21
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.039,0.383,1,24,4,3,"PIGK, PIGH, PIGY",GPAA1,0.458
ErbB signaling pathway,0.041,0.383,1,85,9,3,"EGF, EGFR, AKT1","MTOR, GRB2, SHC4, PAK2, RPS6KB1, NRG2",0.22
Notch signaling pathway,0.041,0.383,1,47,6,2,"KAT2A, NCOR2","DVL2, EP300, HDAC1, MAML1",0.23
Autophagy - animal,0.042,0.383,1,126,12,6,"RRAGB, ATG7, GABARAPL2, AKT1, ATG16L2, ATG12","RRAS2, MTOR, PTEN, RPS6KB1, MTMR14, EIF2AK3",0.298
Phospholipase D signaling pathway,0.048,0.425,1,143,13,5,"EGF, EGFR, AKT1, PIP5K1C, ARF1","LPAR1, FCER1A, RRAS2, MTOR, GRB2, SHC4, PDGFRA, SPHK1",0.238
