"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Metabolic pathways",0,0,0,1212,38,"POMT1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP8B1, CYP11B2, DPYD, AK9, FDFT1, GGT1, AMPD2, GK2, GLS2, GOT2, ST8SIA5, GMPPA, HGD, HMOX2, MMAB, IDS, RRM2B, ATP5B, COQ3, PIK3C2B, MTMR8, BAAT, ENOPH1, SORD, UAP1, ITPKC, PIP5K1B, HSD17B6, ST3GAL5, SYNJ2, COX5A, PGS1"
"Primary bile acid biosynthesis",0,0.001,0.003,17,4,"CYP7A1, CYP8B1, BAAT, CH25H"
"Steroid hormone biosynthesis",0,0.006,0.018,50,5,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6"
"Inositol phosphate metabolism",0,0.027,0.106,73,5,"PIK3C2B, MTMR8, ITPKC, PIP5K1B, SYNJ2"
"Phosphatidylinositol signaling system",0.002,0.078,0.389,97,5,"PIK3C2B, MTMR8, ITPKC, PIP5K1B, SYNJ2"
"Apoptosis - multiple species",0.002,0.102,0.613,31,3,"BAK1, CASP8, FADD"
"PPAR signaling pathway",0.004,0.111,0.897,72,4,"CPT1B, CYP7A1, CYP8B1, GK2"
"Platinum drug resistance",0.004,0.111,0.943,73,4,"FAS, BAK1, CASP8, FADD"
"Taurine and hypotaurine metabolism",0.004,0.111,0.997,11,2,"GGT1, BAAT"
"Apoptosis",0.007,0.152,1,135,5,"EIF2S1, FAS, BAK1, CASP8, FADD"
"Cysteine and methionine metabolism",0.007,0.152,1,44,3,"AHCYL1, GOT2, ENOPH1"
"Glycosphingolipid biosynthesis - ganglio series",0.007,0.155,1,15,2,"ST8SIA5, ST3GAL5"
"Non-alcoholic fatty liver disease (NAFLD)",0.009,0.163,1,144,5,"EIF2S1, FAS, ADIPOR2, CASP8, COX5A"
"Glutathione metabolism",0.012,0.21,1,54,3,"GGT1, GPX4, RRM2B"
"Arginine biosynthesis",0.013,0.211,1,20,2,"GLS2, GOT2"
"NOD-like receptor signaling pathway",0.014,0.211,1,164,5,"PYDC1, IL18, TRPV2, CASP8, FADD"
"Necroptosis",0.014,0.211,1,162,5,"CHMP4B, FAS, STAT4, CASP8, FADD"
"p53 signaling pathway",0.02,0.279,1,66,3,"FAS, RRM2B, CASP8"
"Fructose and mannose metabolism",0.028,0.373,1,30,2,"GMPPA, SORD"
"D-Glutamine and D-glutamate metabolism",0.035,0.41,1,4,1,"GLS2"
"Tyrosine metabolism",0.036,0.41,1,34,2,"GOT2, HGD"
"Porphyrin and chlorophyll metabolism",0.038,0.41,1,35,2,"HMOX2, MMAB"
"Alanine, aspartate and glutamate metabolism",0.038,0.41,1,35,2,"GLS2, GOT2"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.043,0.45,1,5,1,"GOT2"
"IL-17 signaling pathway",0.046,0.458,1,91,3,"IL17C, CASP8, FADD"
"Ferroptosis",0.048,0.462,1,40,2,"SAT2, GPX4"
"Pyrimidine metabolism",0.059,0.547,1,101,3,"DPYD, AK9, RRM2B"
"Arginine and proline metabolism",0.062,0.551,1,46,2,"SAT2, GOT2"
"Amino sugar and nucleotide sugar metabolism",0.064,0.552,1,47,2,"GMPPA, UAP1"
"Notch signaling pathway",0.067,0.554,1,48,2,"CREBBP, DVL2"
"TNF signaling pathway",0.07,0.559,1,108,3,"FAS, CASP8, FADD"
"Retinol metabolism",0.085,0.658,1,55,2,"CYP1A1, HSD17B6"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.093,0.702,1,11,1,"COQ3"
"RIG-I-like receptor signaling pathway",0.121,0.88,1,68,2,"CASP8, FADD"
"Adipocytokine signaling pathway",0.124,0.88,1,69,2,"CPT1B, ADIPOR2"
"Bile secretion",0.13,0.896,1,71,2,"CYP7A1, BAAT"
"Phenylalanine metabolism",0.14,0.918,1,17,1,"GOT2"
"2-Oxocarboxylic acid metabolism",0.14,0.918,1,17,1,"GOT2"
"Pantothenate and CoA biosynthesis",0.148,0.921,1,18,1,"DPYD"
"Mannose type O-glycan biosynthesis",0.155,0.921,1,19,1,"POMT1"
"Glycosaminoglycan degradation",0.155,0.921,1,19,1,"IDS"
"Biosynthesis of unsaturated fatty acids",0.155,0.921,1,19,1,"BAAT"
"Steroid biosynthesis",0.163,0.934,1,20,1,"FDFT1"
"Protein processing in endoplasmic reticulum",0.165,0.934,1,159,3,"MAN1A2, EIF2S1, BAK1"
"Other types of O-glycan biosynthesis",0.17,0.942,1,21,1,"POMT1"
"Proximal tubule bicarbonate reclamation",0.185,1,1,23,1,"GLS2"
"Purine metabolism",0.189,1,1,170,3,"AK9, AMPD2, RRM2B"
"Pentose and glucuronate interconversions",0.199,1,1,25,1,"SORD"
"Glucagon signaling pathway",0.221,1,1,100,2,"CPT1B, CREBBP"
"Melanogenesis",0.224,1,1,101,2,"CREBBP, DVL2"
"Toll-like receptor signaling pathway",0.227,1,1,102,2,"CASP8, FADD"
"beta-Alanine metabolism",0.241,1,1,31,1,"DPYD"
"Tryptophan metabolism",0.268,1,1,35,1,"CYP1A1"
"AMPK signaling pathway",0.28,1,1,118,2,"CPT1B, ADIPOR2"
"Fat digestion and absorption",0.28,1,1,37,1,"GOT2"
"Oxidative phosphorylation",0.286,1,1,120,2,"ATP5B, COX5A"
"Drug metabolism - other enzymes",0.293,1,1,39,1,"DPYD"
"Type I diabetes mellitus",0.306,1,1,41,1,"FAS"
"Fatty acid degradation",0.318,1,1,43,1,"CPT1B"
"Fatty acid metabolism",0.324,1,1,44,1,"CPT1B"
"N-Glycan biosynthesis",0.348,1,1,48,1,"MAN1A2"
"Ovarian steroidogenesis",0.354,1,1,49,1,"CYP1A1"
"Wnt signaling pathway",0.358,1,1,142,2,"CREBBP, DVL2"
"Mineral absorption",0.359,1,1,50,1,"HMOX2"
"Glycerolipid metabolism",0.376,1,1,53,1,"GK2"
"Jak-STAT signaling pathway",0.39,1,1,152,2,"CREBBP, STAT4"
"Cytokine-cytokine receptor interaction",0.412,1,1,263,3,"IL17C, FAS, IL18"
"Arachidonic acid metabolism",0.414,1,1,60,1,"GGT1"
"RNA transport",0.418,1,1,161,2,"EIF2S1, EIF4G1"
"Cytosolic DNA-sensing pathway",0.425,1,1,62,1,"IL18"
"Metabolism of xenobiotics by cytochrome P450",0.44,1,1,65,1,"CYP1A1"
"Adherens junction",0.45,1,1,67,1,"CREBBP"
"Long-term potentiation",0.45,1,1,67,1,"CREBBP"
"Biosynthesis of amino acids",0.46,1,1,69,1,"GOT2"
"Cardiac muscle contraction",0.483,1,1,74,1,"COX5A"
"Aldosterone synthesis and secretion",0.519,1,1,82,1,"CYP11B2"
"Peroxisome",0.523,1,1,83,1,"BAAT"
"TGF-beta signaling pathway",0.523,1,1,83,1,"CREBBP"
"Fc gamma R-mediated phagocytosis",0.54,1,1,87,1,"PIP5K1B"
"Glycerophospholipid metabolism",0.54,1,1,87,1,"PGS1"
"GABAergic synapse",0.54,1,1,87,1,"GLS2"
"Longevity regulating pathway",0.544,1,1,88,1,"ADIPOR2"
"Th1 and Th2 cell differentiation",0.552,1,1,90,1,"STAT4"
"Inflammatory mediator regulation of TRP channels",0.576,1,1,96,1,"TRPV2"
"HIF-1 signaling pathway",0.58,1,1,97,1,"CREBBP"
"Insulin resistance",0.613,1,1,106,1,"CPT1B"
"Endocytosis",0.616,1,1,233,2,"CHMP4B, PIP5K1B"
"Glutamatergic synapse",0.623,1,1,109,1,"GLS2"
"Carbon metabolism",0.636,1,1,113,1,"GOT2"
"Thyroid hormone signaling pathway",0.646,1,1,116,1,"CREBBP"
"Autophagy - animal",0.668,1,1,123,1,"EIF2S1"
"Lysosome",0.668,1,1,123,1,"IDS"
"Cell cycle",0.671,1,1,124,1,"CREBBP"
"Natural killer cell mediated cytotoxicity",0.674,1,1,125,1,"FAS"
"FoxO signaling pathway",0.688,1,1,130,1,"CREBBP"
"Signaling pathways regulating pluripotency of stem cells",0.712,1,1,139,1,"DVL2"
"Phospholipase D signaling pathway",0.715,1,1,140,1,"PIP5K1B"
"mTOR signaling pathway",0.74,1,1,150,1,"DVL2"
"Hippo signaling pathway",0.742,1,1,151,1,"DVL2"
"Calcium signaling pathway",0.802,1,1,180,1,"ITPKC"
"cAMP signaling pathway",0.83,1,1,197,1,"CREBBP"
"Regulation of actin cytoskeleton",0.85,1,1,210,1,"PIP5K1B"
"MAPK signaling pathway",0.899,1,1,253,1,"FAS"
"Caffeine metabolism",1,1,1,5,0,""
"Cell adhesion molecules (CAMs)",1,1,1,137,0,""
"EGFR tyrosine kinase inhibitor resistance",1,1,1,79,0,""
"Endocrine resistance",1,1,1,95,0,""
"ErbB signaling pathway",1,1,1,84,0,""
"Ras signaling pathway",1,1,1,221,0,""
"Rap1 signaling pathway",1,1,1,207,0,""
"cGMP-PKG signaling pathway",1,1,1,161,0,""
"Chemokine signaling pathway",1,1,1,181,0,""
"Sphingolipid signaling pathway",1,1,1,116,0,""
"PI3K-Akt signaling pathway",1,1,1,337,0,""
"Longevity regulating pathway - multiple species",1,1,1,62,0,""
"Cellular senescence",1,1,1,155,0,""
"Adrenergic signaling in cardiomyocytes",1,1,1,142,0,""
"VEGF signaling pathway",1,1,1,58,0,""
"Apelin signaling pathway",1,1,1,135,0,""
"Osteoclast differentiation",1,1,1,125,0,""
"Focal adhesion",1,1,1,196,0,""
"Platelet activation",1,1,1,122,0,""
"T cell receptor signaling pathway",1,1,1,100,0,""
"B cell receptor signaling pathway",1,1,1,70,0,""
"Fc epsilon RI signaling pathway",1,1,1,66,0,""
"Neurotrophin signaling pathway",1,1,1,118,0,""
"Cholinergic synapse",1,1,1,112,0,""
"Dopaminergic synapse",1,1,1,128,0,""
"Insulin signaling pathway",1,1,1,138,0,""
"Progesterone-mediated oocyte maturation",1,1,1,94,0,""
"Estrogen signaling pathway",1,1,1,98,0,""
"Prolactin signaling pathway",1,1,1,70,0,""
"Regulation of lipolysis in adipocytes",1,1,1,54,0,""
"Relaxin signaling pathway",1,1,1,129,0,""
"AGE-RAGE signaling pathway in diabetic complications",1,1,1,97,0,""
"Carbohydrate digestion and absorption",1,1,1,43,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Tight junction",1,1,1,167,0,""
"Leukocyte transendothelial migration",1,1,1,110,0,""
"Hematopoietic cell lineage",1,1,1,91,0,""
"Ether lipid metabolism",1,1,1,39,0,""
"Linoleic acid metabolism",1,1,1,27,0,""
"alpha-Linolenic acid metabolism",1,1,1,23,0,""
"Vascular smooth muscle contraction",1,1,1,119,0,""
"Serotonergic synapse",1,1,1,111,0,""
"Long-term depression",1,1,1,59,0,""
"GnRH signaling pathway",1,1,1,91,0,""
"Oxytocin signaling pathway",1,1,1,151,0,""
"Taste transduction",1,1,1,82,0,""
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,1,25,0,""
"Base excision repair",1,1,1,33,0,""
"Nicotinate and nicotinamide metabolism",1,1,1,28,0,""
"Ribosome",1,1,1,133,0,""
"One carbon pool by folate",1,1,1,19,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"mRNA surveillance pathway",1,1,1,85,0,""
"Retrograde endocannabinoid signaling",1,1,1,140,0,""
"Nucleotide excision repair",1,1,1,46,0,""
"Spliceosome",1,1,1,129,0,""
"Ubiquitin mediated proteolysis",1,1,1,134,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,43,0,""
"Antifolate resistance",1,1,1,29,0,""
"ABC transporters",1,1,1,44,0,""
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,1,20,0,""
"Homologous recombination",1,1,1,37,0,""
"Non-homologous end-joining",1,1,1,12,0,""
"Mitophagy - animal",1,1,1,61,0,""
"Pancreatic secretion",1,1,1,95,0,""
"RNA degradation",1,1,1,73,0,""
"Axon guidance",1,1,1,172,0,""
"Lysine degradation",1,1,1,54,0,""
"Renin-angiotensin system",1,1,1,23,0,""
"Neuroactive ligand-receptor interaction",1,1,1,274,0,""
"Glycosaminoglycan biosynthesis - keratan sulfate",1,1,1,14,0,""
"Oocyte meiosis",1,1,1,118,0,""
"Ribosome biogenesis in eukaryotes",1,1,1,73,0,""
"Proteasome",1,1,1,44,0,""
"Antigen processing and presentation",1,1,1,68,0,""
"Basal transcription factors",1,1,1,44,0,""
"SNARE interactions in vesicular transport",1,1,1,32,0,""
"Insulin secretion",1,1,1,85,0,""
"Folate biosynthesis",1,1,1,25,0,""
"Terpenoid backbone biosynthesis",1,1,1,22,0,""
"Phagosome",1,1,1,146,0,""
"Synaptic vesicle cycle",1,1,1,63,0,""
"Collecting duct acid secretion",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,1,27,0,""
"Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,1,15,0,""
"ECM-receptor interaction",1,1,1,82,0,""
"Glycolysis / Gluconeogenesis",1,1,1,66,0,""
"Gap junction",1,1,1,88,0,""
"Sulfur metabolism",1,1,1,9,0,""
"Phosphonate and phosphinate metabolism",1,1,1,5,0,""
"Hippo signaling pathway - multiple species",1,1,1,28,0,""
"Fatty acid elongation",1,1,1,21,0,""
"Valine, leucine and isoleucine degradation",1,1,1,48,0,""
"NF-kappa B signaling pathway",1,1,1,92,0,""
"Thyroid hormone synthesis",1,1,1,74,0,""
"Vasopressin-regulated water reabsorption",1,1,1,44,0,""
"Autophagy - other",1,1,1,29,0,""
"DNA replication",1,1,1,35,0,""
"Complement and coagulation cascades",1,1,1,79,0,""
"Sphingolipid metabolism",1,1,1,44,0,""
"Vitamin digestion and absorption",1,1,1,24,0,""
"Selenocompound metabolism",1,1,1,15,0,""
"RNA polymerase",1,1,1,31,0,""
"Intestinal immune network for IgA production",1,1,1,45,0,""
"Circadian entrainment",1,1,1,96,0,""
"Salivary secretion",1,1,1,90,0,""
"Gastric acid secretion",1,1,1,75,0,""
"Mismatch repair",1,1,1,23,0,""
