"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Phagosome",0.141,0.932,1,5,5,"Gm11127, H2-K1, H2-L, H2-Q7, Clec7a"
"Antigen processing and presentation",0.141,0.932,1,5,5,"Gm11127, B2m, H2-K1, H2-L, H2-Q7"
"Cellular senescence",0.215,0.932,1,4,4,"Gm11127, H2-K1, H2-L, H2-Q7"
"Type I diabetes mellitus",0.215,0.932,1,4,4,"Gm11127, H2-K1, H2-L, H2-Q7"
"Hematopoietic cell lineage",0.476,0.932,1,2,2,"Gp5, Il9r"
"Metabolic pathways",0.51,0.932,1,5,4,"Amy2a2, B3galt6, Cyp2e1, Galm"
"Endocytosis",0.51,0.932,1,5,4,"Gm11127, H2-K1, H2-L, H2-Q7"
"Cell adhesion molecules (CAMs)",0.51,0.932,1,5,4,"Gm11127, H2-K1, H2-L, H2-Q7"
"Starch and sucrose metabolism",0.694,0.932,1,1,1,"Amy2a2"
"Carbohydrate digestion and absorption",0.694,0.932,1,1,1,"Amy2a2"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.694,0.932,1,1,1,"B3galt6"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.694,0.932,1,1,1,"B3galt6"
"MAPK signaling pathway",0.694,0.932,1,1,1,"Cacna2d3"
"Cardiac muscle contraction",0.694,0.932,1,1,1,"Cacna2d3"
"Adrenergic signaling in cardiomyocytes",0.694,0.932,1,1,1,"Cacna2d3"
"Oxytocin signaling pathway",0.694,0.932,1,1,1,"Cacna2d3"
"Steroid hormone biosynthesis",0.694,0.932,1,1,1,"Cyp2e1"
"Arachidonic acid metabolism",0.694,0.932,1,1,1,"Cyp2e1"
"Linoleic acid metabolism",0.694,0.932,1,1,1,"Cyp2e1"
"Metabolism of xenobiotics by cytochrome P450",0.694,0.932,1,1,1,"Cyp2e1"
"Drug metabolism - cytochrome P450",0.694,0.932,1,1,1,"Cyp2e1"
"Non-alcoholic fatty liver disease (NAFLD)",0.694,0.932,1,1,1,"Cyp2e1"
"ECM-receptor interaction",0.694,0.932,1,1,1,"Gp5"
"Platelet activation",0.694,0.932,1,1,1,"Gp5"
"Natural killer cell mediated cytotoxicity",0.694,0.932,1,1,1,"H2-K1"
"Cytokine-cytokine receptor interaction",0.694,0.932,1,1,1,"Il9r"
"Jak-STAT signaling pathway",0.694,0.932,1,1,1,"Il9r"
"Signaling pathways regulating pluripotency of stem cells",0.694,0.932,1,1,1,"Jarid2"
"Wnt signaling pathway",0.694,0.932,1,1,1,"Mmp7"
"Lysosome",0.694,0.932,1,1,1,"Laptm4a"
"NOD-like receptor signaling pathway",0.694,0.932,1,1,1,"Oas1b"
"Antifolate resistance",0.694,0.932,1,1,1,"Abcg2"
"ABC transporters",0.694,0.932,1,1,1,"Abcg2"
"Bile secretion",0.694,0.932,1,1,1,"Abcg2"
"Glycolysis / Gluconeogenesis",0.694,0.932,1,1,1,"Galm"
"Galactose metabolism",0.694,0.932,1,1,1,"Galm"
"RNA transport",0.694,0.932,1,1,1,"Rae1"
"mRNA surveillance pathway",0.694,0.932,1,1,1,"Cstf2t"
"Olfactory transduction",0.926,1,1,9,5,"Olfr461, Olfr1350, Olfr1431, Olfr1223, Olfr585"
"Tight junction",1,1,1,1,0,""
"Leukocyte transendothelial migration",1,1,1,1,0,""
"p53 signaling pathway",1,1,1,1,0,""
"Ferroptosis",1,1,1,1,0,""
"Necroptosis",1,1,1,1,0,""
"Mineral absorption",1,1,1,1,0,""
"Sphingolipid signaling pathway",1,1,1,1,0,""
"Neuroactive ligand-receptor interaction",1,1,1,1,0,""
"Arginine and proline metabolism",1,1,1,1,0,""
"Phospholipase D signaling pathway",1,1,1,1,0,""
"Hippo signaling pathway",1,1,1,1,0,""
"Hippo signaling pathway - multiple species",1,1,1,1,0,""
