"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Spliceosome",0,0,0,120,27,15,"Snrpd2, Hspa8, Snrpb, Snrpd1, Snrpe, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Snrpd3, Sf3a1, Phf5a, Snrpa1, Sf3b1","Sf3b3, Magoh, Srsf3, Snrpc, Dhx8, Hnrnpa3, Sf3b2, Snrnp200, Plrg1, Lsm5, Snrpg, Sf3a3",0.39
"2","RNA transport",0,0,0,146,20,7,"Nup62, Ran, Rnps1, Nxf1, Ddx39b, Rbm8a, Seh1l","Nup107, Xpo1, Eif4g2, Kpnb1, Nxf7, Magoh, Casc3, Rasl2-9, Nup98, Thoc6, Nup85, Eif3f, Rpp25l",0.243
"3","Proteasome",0,0,0,44,23,15,"Psma2, Psma3, Psmb1, Psmc1, Psmc3, Psmc5, Psmd2, Psmc4, Psma6, Psmb2, Psmb3, Psmd6, Pomp, Psmc6, Psmd1","Psmb4, Psmb6, Psmd3, Psma1, Psma4, Psma7, Psmd14, Psmd11",0.587
"4","Pyrimidine metabolism",0,0.008,0.042,87,11,5,"Polr2a, Polr2b, Polr2d, Polr2f, Cant1","Tk1, Nme6, Nme4, Polr2g, Nme3, Uck2",0.29
"5","Osteoclast differentiation",0,0.008,0.046,118,13,2,"Ikbkg, Spi1","Acp5, Ctsk, Fyn, Il1a, Jund, Pik3ca, Ppp3r1, Oscar, Mapk13, Tab1, Pik3cb",0.132
"6","Ribosome biogenesis in eukaryotes",0,0.008,0.048,74,10,3,"Ran, Nxf1, Gar1","Imp3, Xpo1, Utp15, Nxf7, Rasl2-9, Fbll1, Rpp25l",0.218
"7","AMPK signaling pathway",0,0.008,0.059,121,13,0,"","Cpt1a, Ins1, Pdpk1, Pfkfb1, Pik3ca, Prkag1, Scd1, Creb3l3, Foxo3, Strada, Adipor1, Pik3cb, Creb3l4",0.054
"8","PPAR signaling pathway",0,0.009,0.075,78,10,0,"","Fabp4, Cpt1a, Pdpk1, Ppard, Rxrg, Scd1, Acsl6, Slc27a2, Cyp4a12a",0.064
"9","mRNA surveillance pathway",0,0.01,0.092,80,10,4,"Rnps1, Nxf1, Ddx39b, Rbm8a","Nxf7, Magoh, Casc3, Cpsf7, Cpsf6, Pabpn1",0.262
"10","Toll-like receptor signaling pathway",0,0.01,0.102,96,11,3,"Tirap, Ikbkg, Irak4","Ctsk, Ifna5, Ifna6, Ifnab, Pik3ca, Mapk13, Tab1, Pik3cb",0.194
"11","PI3K-Akt signaling pathway",0.001,0.014,0.155,322,23,1,"Ikbkg","Col2a1, Fgf12, Ifna5, Ifna6, Ifnab, Ins1, Itga5, Itga7, Itgav, Ngfr, Nos3, Pdpk1, Pik3ca, Creb3l3, Hsp90b1, Vegfa, Vegfb, Foxo3, Lpar3, Pik3cb, Creb3l4, Tnxb",0.057
"12","RNA polymerase",0.001,0.014,0.184,22,5,4,"Polr2a, Polr2b, Polr2d, Polr2f","Polr2g",0.514
"13","Longevity regulating pathway",0.001,0.014,0.199,88,10,0,"","Ins1, Pik3ca, Prkaca, Prkag1, Creb3l3, Sesn2, Foxo3, Adipor1, Pik3cb, Creb3l4",0.057
"14","Insulin resistance",0.001,0.014,0.202,104,11,0,"","Cpt1a, Ins1, Nos3, Pdpk1, Pik3ca, Prkce, Prkag1, Creb3l3, Slc27a2, Pik3cb, Creb3l4",0.053
"15","Estrogen signaling pathway",0.001,0.017,0.259,91,10,1,"Hspa8","Gnao1, Kcnj5, Nos3, Pik3ca, Prkaca, Creb3l3, Hsp90b1, Pik3cb, Creb3l4",0.105
"16","Relaxin signaling pathway",0.001,0.018,0.282,125,12,0,"","Gnao1, Nos1, Nos3, Pik3ca, Prkaca, Creb3l3, Vegfa, Vegfb, Insl5, Mapk13, Pik3cb, Creb3l4",0.048
