"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Metabolic pathways",0,0,0,1212,67,20,"AHCYL1, MAN1A2, CYP1A1, CYP8B1, DPYD, FDFT1, GGT1, GK2, GLS2, GMPPA, HMOX2, MMAB, RRM2B, PIK3C2B, BAAT, SORD, UAP1, ITPKC, HSD17B6, SYNJ2","B3GNT3, POMT1, CERS1, SAT2, CYP7A1, CYP11B2, DCK, DLAT, EXT2, AK9, PISD, AMPD2, GOT2, ST8SIA5, PSAT1, HGD, HK3, HMGCR, HSD17B4, IDS, MAN2A2, ASPA, MTM1, NDUFA5, PLA2G3, HAO2, PIGP, PDHA2, COQ3, ATP5I, PLCB4, MTMR8, POLE4, ENOPH1, LPIN3, PIP5K1B, NT5C1A, DGKZ, DEGS1, RDH16, AKR1C3, MTMR1, ST3GAL5, B4GALT6, COX5A, PGS1, GFPT2",0.177
"2","Primary bile acid biosynthesis",0,0.002,0.005,17,5,3,"CYP8B1, BAAT, CH25H","CYP7A1, HSD17B4",0.447
"3","Platinum drug resistance",0,0.008,0.032,73,8,4,"FAS, BAK1, CASP8, FADD","GSTM5, BIRC5, PMAIP1, TP53",0.305
"4","Inositol phosphate metabolism",0,0.008,0.032,73,8,3,"PIK3C2B, ITPKC, SYNJ2","MTM1, PLCB4, MTMR8, PIP5K1B, MTMR1",0.242
"5","Phosphatidylinositol signaling system",0,0.009,0.044,97,9,3,"PIK3C2B, ITPKC, SYNJ2","MTM1, PLCB4, MTMR8, PIP5K1B, DGKZ, MTMR1",0.213
"6","Apoptosis - multiple species",0,0.017,0.102,31,5,3,"BAK1, CASP8, FADD","BIRC5, PMAIP1",0.381
"7","Apoptosis",0,0.017,0.122,135,10,4,"FAS, BAK1, CASP8, FADD","EIF2S1, BIRC5, NTRK1, PMAIP1, TP53, TNFRSF10D",0.237
"8","Steroid hormone biosynthesis",0.001,0.017,0.139,50,6,3,"CYP1A1, SULT2B1, HSD17B6","CYP7A1, CYP11B2, AKR1C3",0.31
"9","Purine metabolism",0.001,0.022,0.202,170,11,1,"RRM2B","NUDT5, DCK, AK9, AMPD2, NUDT2, PDE4B, ADCY10, POLE4, NT5C1A, PDE8B",0.078
"10","NOD-like receptor signaling pathway",0.002,0.054,0.545,164,10,5,"PYDC1, IL18, TRPV2, CASP8, FADD","NLRP1, OAS3, PLCB4, TRAF3, CAMP",0.28
"11","Wnt signaling pathway",0.003,0.058,0.696,142,9,1,"CREBBP","DVL2, MYC, NFATC3, PLCB4, SFRP5, TP53, WNT5A, NKD2",0.087
"12","Amino sugar and nucleotide sugar metabolism",0.003,0.058,0.702,47,5,2,"GMPPA, UAP1","HK3, GNPNAT1, GFPT2",0.253
"13","Pyrimidine metabolism",0.005,0.097,1,101,7,2,"DPYD, RRM2B","DCK, AK9, NUDT2, POLE4, NT5C1A",0.178
"14","Alanine, aspartate and glutamate metabolism",0.006,0.103,1,35,4,1,"GLS2","GOT2, ASPA, GFPT2",0.182
"15","Carbon metabolism",0.009,0.153,1,113,7,0,"","DLAT, GOT2, PSAT1, HK3, ME2, HAO2, PDHA2",0.031
"16","Type I diabetes mellitus",0.01,0.159,1,41,4,1,"FAS","HLA-C, HLA-DRA, CD80",0.174
"17","p53 signaling pathway",0.012,0.175,1,66,5,3,"FAS, RRM2B, CASP8","PMAIP1, TP53",0.338
"18","Taurine and hypotaurine metabolism",0.021,0.292,1,11,2,2,"GGT1, BAAT","",0.591
"19","Fructose and mannose metabolism",0.024,0.307,1,30,3,2,"GMPPA, SORD","HK3",0.383
"20","TNF signaling pathway",0.025,0.307,1,108,6,3,"FAS, CASP8, FADD","ATF2, MMP3, TRAF3",0.278
"21","Glutathione metabolism",0.026,0.307,1,54,4,3,"GGT1, GPX4, RRM2B","GSTM5",0.412
"22","Glycerophospholipid metabolism",0.035,0.397,1,87,5,0,"","PISD, PLA2G3, LPIN3, DGKZ, PGS1",0.029
"23","Glycosphingolipid biosynthesis - ganglio series",0.038,0.413,1,15,2,0,"","ST8SIA5, ST3GAL5",0.067
"24","IL-17 signaling pathway",0.041,0.429,1,91,5,3,"IL17C, CASP8, FADD","MMP3, TRAF3",0.327
"25","Cellular senescence",0.043,0.432,1,155,7,0,"","ETS1, FOXO3, HLA-C, MYC, NBN, NFATC3, TP53",0.023
"26","Pyruvate metabolism",0.047,0.453,1,39,3,0,"","DLAT, ME2, PDHA2",0.038
