"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"8",8086,"AAAS","MedConf","Yes",NA,"GCK","Prolactin signaling pathway (1)"
"164",51,"ACOX1","MedConf","Yes","cAMP signaling pathway","EP300","Long-term potentiation (1), Jak-STAT signaling pathway (1), cAMP signaling pathway (1)"
"240",8038,"ADAM12","HighConf","Yes",NA,"ITGB1","Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"250",10863,"ADAM28","HighConf","Yes",NA,"ITGB1","Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"402",375790,"AGRN","MedConf","Yes",NA,"NCAM1, PTK2B, ITGB1","Leukocyte transendothelial migration (2), Natural killer cell mediated cytotoxicity (1), Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Tight junction (1), Cell adhesion molecules (CAMs) (2)"
"574",269,"AMHR2","MedConf","Yes","Cytokine-cytokine receptor interaction",NA,NA
"1349",581,"BAX","MedConf","Yes","Platinum drug resistance, Neurotrophin signaling pathway, Apoptosis - multiple species, Apoptosis, Endocrine resistance, EGFR tyrosine kinase inhibitor resistance, AGE-RAGE signaling pathway in diabetic complications, Necroptosis","EP300, BCL2","Jak-STAT signaling pathway (2), Apoptosis (2), Long-term potentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), Necroptosis (1), AGE-RAGE signaling pathway in diabetic complications (1), EGFR tyrosine kinase inhibitor resistance (1), Endocrine resistance (1), PI3K-Akt signaling pathway (1), Apoptosis - multiple species (1), Neurotrophin signaling pathway (1), Platinum drug resistance (1), NF-kappa B signaling pathway (1)"
"1387",596,"BCL2","HighConf","Yes","NF-kappa B signaling pathway, Platinum drug resistance, Neurotrophin signaling pathway, Apoptosis - multiple species, Apoptosis, PI3K-Akt signaling pathway, Endocrine resistance, Jak-STAT signaling pathway, EGFR tyrosine kinase inhibitor resistance, AGE-RAGE signaling pathway in diabetic complications, Necroptosis, NOD-like receptor signaling pathway","EP300, BAX, FKBP8","Apoptosis (2), Necroptosis (1), AGE-RAGE signaling pathway in diabetic complications (1), EGFR tyrosine kinase inhibitor resistance (1), Endocrine resistance (1), Apoptosis - multiple species (1), Neurotrophin signaling pathway (1), Platinum drug resistance (1), Long-term potentiation (1), Jak-STAT signaling pathway (1), cAMP signaling pathway (1)"
"1416",627,"BDNF","MedConf","Yes","Neurotrophin signaling pathway, cAMP signaling pathway","NGFR","Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Cytokine-cytokine receptor interaction (1), Ras signaling pathway (1), Apoptosis - multiple species (1), Neurotrophin signaling pathway (1)"
"1458",329,"BIRC2","MedConf","Yes","NF-kappa B signaling pathway, Platinum drug resistance, Apoptosis - multiple species, Apoptosis, TNF signaling pathway, Necroptosis, NOD-like receptor signaling pathway",NA,NA
"1471",29760,"BLNK","HighConf","Yes","NF-kappa B signaling pathway, Osteoclast differentiation",NA,NA
"2110",91860,"CALML4","MedConf","Yes","Neurotrophin signaling pathway, Ras signaling pathway, cAMP signaling pathway, Circadian entrainment, Rap1 signaling pathway, Long-term potentiation",NA,NA
"2531",920,"CD4","MedConf","Yes","Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Th1 and Th2 cell differentiation, Hematopoietic cell lineage, Th17 cell differentiation, Antigen processing and presentation","ZAP70, LCK","Th17 cell differentiation (2), Th1 and Th2 cell differentiation (2), Natural killer cell mediated cytotoxicity (2), T cell receptor signaling pathway (2), NF-kappa B signaling pathway (2), Ras signaling pathway (1), Osteoclast differentiation (1)"
"2560",942,"CD86","HighConf","Yes","Cell adhesion molecules (CAMs), Toll-like receptor signaling pathway","LCK, ZAP70","Th17 cell differentiation (2), Th1 and Th2 cell differentiation (2), Natural killer cell mediated cytotoxicity (2), T cell receptor signaling pathway (2), NF-kappa B signaling pathway (2), Ras signaling pathway (1), Osteoclast differentiation (1)"
"2563",928,"CD9","MedConf","Yes","Hematopoietic cell lineage","ITGB1","Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"2700",1044,"CDX1","HighConf","Yes",NA,"EP300","Long-term potentiation (1), Jak-STAT signaling pathway (1), cAMP signaling pathway (1)"
"2963",4261,"CIITA","MedConf","Yes","Antigen processing and presentation","ICAM1, NCAM1","TNF signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Natural killer cell mediated cytotoxicity (1), Leukocyte transendothelial migration (1), NF-kappa B signaling pathway (1), Cell adhesion molecules (CAMs) (2)"
"3019",9075,"CLDN2","MedConf","Yes","Tight junction, Cell adhesion molecules (CAMs), Leukocyte transendothelial migration","CLDN25","Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"3024",644672,"CLDN25","MedConf","Yes","Tight junction, Cell adhesion molecules (CAMs), Leukocyte transendothelial migration","CLDN2","Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"3026",1364,"CLDN4","MedConf","Yes","Tight junction, Cell adhesion molecules (CAMs), Leukocyte transendothelial migration",NA,NA
"3255",1289,"COL5A1","MedConf","Yes",NA,"COL6A2, ITGB1","PI3K-Akt signaling pathway (2), Rap1 signaling pathway (1), Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"3259",1292,"COL6A2","MedConf","Yes","PI3K-Akt signaling pathway","ITGB1, COL5A1","Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1), Leukocyte transendothelial migration (1), Tight junction (1), Cell adhesion molecules (CAMs) (1)"
"3764",3491,"CYR61","MedConf","Yes",NA,"FOS","Prolactin signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Th17 cell differentiation (1), Circadian entrainment (1), Endocrine resistance (1), Th1 and Th2 cell differentiation (1), Osteoclast differentiation (1), cAMP signaling pathway (1), T cell receptor signaling pathway (1), Apoptosis (1)"
