"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Lysosome",0,0,0,122,13,2,"LIPA, ACP5","NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, ATP6AP1, PPT1, LGMN, CD63",0.13
"2","NOD-like receptor signaling pathway",0,0.001,0.001,166,12,6,"NAMPT, GBP1, IL1B, NFKB1, CCL5, TXN","GABARAP, CTSB, GBP2, OAS2, OAS3, STAT1",0.286
"3","NF-kappa B signaling pathway",0,0.001,0.002,93,9,8,"ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40","DDX58",0.493
"4","Hematopoietic cell lineage",0,0.001,0.002,94,9,4,"IL1A, IL1B, TFRC, CD36","ITGAM, CD1A, CD1C, CD9, CD44",0.27
"5","Ferroptosis",0,0.001,0.006,40,6,5,"ACSL1, ACSL4, FTH1, HMOX1, TFRC","FTL",0.492
"6","Phagosome",0,0.003,0.015,147,10,3,"MRC1, TFRC, CD36","CD209, HLA-A, HLA-B, ITGAM, ITGB2, NCF2, ATP6AP1",0.184
"7","Osteoclast differentiation",0,0.004,0.027,127,9,5,"IL1A, IL1B, NFKB1, NFKB2, ACP5","LCP2, NCF2, STAT1, SQSTM1",0.313
"8","Necroptosis",0,0.004,0.035,162,10,4,"FTH1, IL1A, IL1B, STAT5A","FTL, PLA2G4A, EIF2AK2, STAT1, CAMK2D, SQSTM1",0.231
"9","Toll-like receptor signaling pathway",0,0.004,0.037,104,8,5,"IL1B, CCL4L1, NFKB1, CCL5, CD40","IRF5, CCL3, STAT1",0.351
"10","Cell adhesion molecules (CAMs)",0,0.005,0.048,137,9,3,"CD274, ICAM1, CD40","GLG1, HLA-A, HLA-B, ITGAM, ITGB2, PECAM1",0.2
"11","Endocytosis",0,0.005,0.057,241,12,2,"EHD1, TFRC","CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, CBL, SNX3",0.108
"12","Complement and coagulation cascades",0.001,0.021,0.258,78,6,2,"SERPINB2, PLAUR","ITGAM, ITGAX, ITGB2, VTN",0.205
"13","TNF signaling pathway",0.001,0.021,0.274,108,7,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1","",0.532
"14","Cytosolic DNA-sensing pathway",0.002,0.04,0.596,63,5,4,"IL1B, CCL4L1, NFKB1, CCL5","DDX58",0.44
"15","Natural killer cell mediated cytotoxicity",0.002,0.04,0.608,124,7,1,"ICAM1","FCER1G, HLA-A, HLA-B, ITGB2, LCP2, CD48",0.1
"16","Tryptophan metabolism",0.003,0.04,0.646,39,4,3,"IL4I1, IDO1, KYNU","KMO",0.426
"17","HIF-1 signaling pathway",0.003,0.049,0.832,98,6,4,"HMOX1, NFKB1, PFKFB3, TFRC","HK2, CAMK2D",0.364
"18","AGE-RAGE signaling pathway in diabetic complications",0.004,0.049,0.875,99,6,5,"ICAM1, IL1A, IL1B, NFKB1, STAT5A","STAT1",0.447
"19","Type I diabetes mellitus",0.004,0.049,0.926,43,4,2,"IL1A, IL1B","HLA-A, HLA-B",0.297
"20","Antigen processing and presentation",0.004,0.05,1,71,5,1,"CD74","CTSB, HLA-A, HLA-B, LGMN",0.135
"21","PPAR signaling pathway",0.004,0.051,1,72,5,4,"FABP5, ACSL1, ACSL4, CD36","FABP4",0.435
"22","Chemokine signaling pathway",0.006,0.066,1,183,8,4,"CCL4L1, NFKB1, CCL5, CCL20","HCK, CCL3, SRC, STAT1",0.272
"23","Mineral absorption",0.007,0.074,1,51,4,3,"FTH1, HMOX1, MT2A","FTL",0.414
"24","Antifolate resistance",0.011,0.112,1,31,3,2,"IL1B, NFKB1","GGH",0.382
"25","Fructose and mannose metabolism",0.013,0.128,1,33,3,2,"PFKFB3, FBP2","HK2",0.379
"26","Alanine, aspartate and glutamate metabolism",0.015,0.141,1,35,3,3,"IL4I1, GFPT1, GLS","",0.543
"27","Apoptosis",0.016,0.141,1,136,6,2,"NFKB1, TRAF1","CTSB, CTSH, CTSZ, LMNB1",0.189
"28","Fatty acid biosynthesis",0.016,0.141,1,13,2,2,"ACSL1, ACSL4","",0.577
"29","Adipocytokine signaling pathway",0.019,0.163,1,69,4,4,"ACSL1, ACSL4, NFKB1, CD36","",0.529
"30","Prolactin signaling pathway",0.02,0.163,1,70,4,2,"NFKB1, STAT5A","SRC, STAT1",0.279
"31","RIG-I-like receptor signaling pathway",0.02,0.163,1,70,4,3,"NFKB1, IFIH1, ISG15","DDX58",0.404
"32","Leukocyte transendothelial migration",0.022,0.169,1,107,5,1,"ICAM1","ITGAM, ITGB2, NCF2, PECAM1",0.123
"33","Cellular senescence",0.031,0.231,1,158,6,2,"IL1A, NFKB1","HLA-A, HLA-B, ZFP36L1, SQSTM1",0.186
"34","Fatty acid metabolism",0.035,0.253,1,48,3,2,"ACSL1, ACSL4","PPT1",0.365
"35","ErbB signaling pathway",0.038,0.27,1,85,4,1,"STAT5A","SRC, CAMK2D, CBL",0.149
"36","IL-17 signaling pathway",0.045,0.314,1,90,4,4,"IL1B, NFKB1, PTGS2, CCL20","",0.522
