"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","MAPK signaling pathway",0,0,0,252,40,12,"DUSP6, ELK4, FGFR3, TAB2, JUN, KRAS, MOS, PDGFRB, MAP3K7, TNFRSF1A, CACNA2D1, CD14","MAP3K2, DUSP10, MAP3K8, DUSP5, EGFR, FGF7, FGF8, FGF9, FGF10, MRAS, PLA2G4D, NR4A1, IKBKB, MAX, MAP3K3, TAOK3, PLA2G4A, PPP3R2, MAPK13, RAP1A, RELA, BRAF, CACNA1C, CACNB4, MAPKAPK3, JMJD7-PLA2G4B, CDC25B, CDC42",0.229
"2","Rap1 signaling pathway",0,0,0,209,36,9,"CSF1R, CTNND1, FGFR3, LAT, ITGB3, KRAS, PLCE1, PDGFRB, PIK3R3","RAPGEF3, DRD2, EFNA2, EGFR, FGF7, FGF8, FGF9, FGF10, MRAS, FLT4, GNAI3, GNAO1, LPAR4, PFN3, ITGAM, ITGB1, NGFR, PFN1, PLCB4, MAPK13, PARD3, RAP1A, BRAF, TLN2, SKAP1, RAPGEF5, CDC42",0.211
"3","PI3K-Akt signaling pathway",0,0,0,336,54,21,"COL1A2, CREB1, CSF1R, FGFR3, GNG4, GYS2, IL3, IL3RA, ITGB3, KRAS, PDGFRB, PPP2CB, PPP2R5E, BCL2L1, TLR2, TLR4, HSP90B1, YWHAG, PIK3R3, CCND3, CREB3L1","COL4A2, ATF6B, EFNA2, EGFR, EIF4B, EPO, FGF7, FGF8, FGF9, FGF10, FLT4, G6PC, GH2, GNG3, GNG10, LPAR4, NR4A1, TNC, IFNA13, IFNA16, IKBKB, ITGA5, ITGAV, ITGB1, LAMA4, NGFR, PDPK1, PPP2R5A, PKN2, RELA, TNN, CCND2, CCNE1",0.275
"4","Toll-like receptor signaling pathway",0,0,0,104,23,13,"TIRAP, TAB2, LY96, IL12A, JUN, MYD88, CCL3, STAT1, MAP3K7, TLR2, TLR4, PIK3R3, CD14","MAP3K8, TICAM1, IFNA13, IFNA16, IKBKB, TOLLIP, MAPK13, RELA, CXCL11, RIPK1",0.393
"5","Proteasome",0,0,0,44,27,19,"POMP, PSMA2, PSMA4, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMC1, PSMC2, PSMC3, PSMC5, PSMD1, PSMD2, PSMD3, PSMD7, PSMD8, PSMD11","PSMA1, PSMA3, PSMA5, PSMC4, PSMC6, PSMD12, PSMF1, PSMD6",0.659
"6","NF-kappa B signaling pathway",0,0,0,93,23,14,"TIRAP, CSNK2A2, ERC1, TAB2, LY96, LAT, ICAM1, MYD88, BCL2L1, MAP3K7, TLR4, TNFRSF1A, CFLAR, CD14","TICAM1, TAB3, IKBKB, RELA, CCL13, UBE2I, CARD11, RIPK1, TNFRSF11A",0.428
"7","Leukocyte transendothelial migration",0,0,0.001,107,22,6,"CTNND1, CLDN14, ICAM1, PXN, CXCR4, PIK3R3","CDH5, RAPGEF3, CLDN19, PTK2B, CLDN15, GNAI3, MYLPF, ITGAM, ITGB1, ARHGAP5, CLDN11, MAPK13, MYL7, RAP1A, CLDN2, CDC42",0.239
"8","Spliceosome",0,0,0.001,128,25,14,"LSM6, HNRNPA1L2, CCDC12, SNW1, ACIN1, SF3B1, HNRNPC, SF3B6, SRSF1, SNRPC, SNRPD3, PHF5A, PRPF38A, RBM8A","PPIH, SF3B2, LSM4, HNRNPM, PLRG1, SRSF2, SRSF3, TRA2B, EFTUD2, CDC5L, THOC1",0.378
"9","Chemokine signaling pathway",0,0,0.003,182,30,9,"CCR8, GNG4, KRAS, PXN, CCL3, CCL7, STAT1, CXCR4, PIK3R3","CXCL13, CX3CR1, PTK2B, GNAI3, GNG3, GNG10, CXCR3, GRK4, GSK3A, IKBKB, PF4, PLCB4, PARD3, RAP1A, RELA, CCL13, CCL18, CXCL11, BRAF, XCL2, CDC42",0.232
"10","NOD-like receptor signaling pathway",0,0,0.003,166,28,10,"DNM1L, NAMPT, IRF9, TAB2, JUN, MYD88, BCL2L1, STAT1, MAP3K7, TLR4","TXNIP, GABARAPL2, TICAM1, TAB3, PYDC1, GBP2, IFNA13, IFNA16, IKBKB, ITPR3, MEFV, PLCB4, MAPK13, NLRC4, RELA, GSDMD, RIPK1, NLRP12",0.263
