"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Protein digestion and absorption",0,0,0,79,7,"Col12a1, Col14a1, Col3a1, Col5a1, Col5a2, Col1a1, Eln"
"ECM-receptor interaction",0,0.001,0.001,75,6,"Col1a1, Lamb1, Thbs2, Thbs4, Itga11, Tnn"
"Focal adhesion",0,0.007,0.02,179,7,"Col1a1, Igf1, Lamb1, Thbs2, Thbs4, Itga11, Tnn"
"PI3K-Akt signaling pathway",0.001,0.035,0.14,322,8,"Col1a1, Igf1, Il4ra, Lamb1, Thbs2, Thbs4, Itga11, Tnn"
"Relaxin signaling pathway",0.001,0.043,0.213,125,5,"Col3a1, Col1a1, Mmp13, Mmp2, Nos2"
"Complement and coagulation cascades",0.002,0.064,0.386,84,4,"Bdkrb1, Cfi, Masp1, Kng2"
"IL-17 signaling pathway",0.002,0.071,0.498,90,4,"Cxcl10, Mmp13, Mmp3, Cxcl5"
"HIF-1 signaling pathway",0.003,0.076,0.656,97,4,"Hif1a, Igf1, Nos2, Timp1"
"AGE-RAGE signaling pathway in diabetic complications",0.003,0.076,0.732,100,4,"Col3a1, Col1a1, Mmp2, Nox4"
"Cytokine-cytokine receptor interaction",0.003,0.076,0.768,243,6,"Ccr5, Cxcl10, Il11, Il4ra, Ccl8, Cxcl5"
"TNF signaling pathway",0.004,0.076,0.904,106,4,"Bcl3, Cxcl10, Mmp14, Mmp3"
"Cytosolic DNA-sensing pathway",0.004,0.076,0.913,52,3,"Cxcl10, Zbp1, Il33"
"Chemokine signaling pathway",0.019,0.364,1,171,4,"Ccr5, Cxcl10, Ccl8, Cxcl5"
"Valine, leucine and isoleucine biosynthesis",0.024,0.425,1,4,1,"Bcat1"
"Arginine and proline metabolism",0.031,0.516,1,46,2,"Nos2, P4ha3"
"Caffeine metabolism",0.036,0.555,1,6,1,"Uox"
