"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Metabolic pathways",0,0,0,1212,38,6,"CYP8B1, FDFT1, GGT1, GLS2, UAP1, SYNJ2","POMT1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP11B2, DPYD, AK9, AMPD2, GK2, GOT2, ST8SIA5, GMPPA, HGD, HMOX2, MMAB, IDS, RRM2B, ATP5B, COQ3, PIK3C2B, MTMR8, BAAT, ENOPH1, SORD, ITPKC, PIP5K1B, HSD17B6, ST3GAL5, COX5A, PGS1",0.095
"2","Primary bile acid biosynthesis",0,0.001,0.003,17,4,2,"CYP8B1, CH25H","CYP7A1, BAAT",0.368
"3","Steroid hormone biosynthesis",0,0.006,0.018,50,5,0,"","CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6",0.05
"4","Inositol phosphate metabolism",0,0.027,0.106,73,5,1,"SYNJ2","PIK3C2B, MTMR8, ITPKC, PIP5K1B",0.134
"5","Phosphatidylinositol signaling system",0.002,0.078,0.389,97,5,1,"SYNJ2","PIK3C2B, MTMR8, ITPKC, PIP5K1B",0.126
"6","Apoptosis - multiple species",0.002,0.102,0.613,31,3,3,"BAK1, CASP8, FADD","",0.548
"7","PPAR signaling pathway",0.004,0.111,0.897,72,4,1,"CYP8B1","CPT1B, CYP7A1, GK2",0.153
"8","Platinum drug resistance",0.004,0.111,0.943,73,4,4,"FAS, BAK1, CASP8, FADD","",0.527
"9","Taurine and hypotaurine metabolism",0.004,0.111,0.997,11,2,1,"GGT1","BAAT",0.341
"10","Apoptosis",0.007,0.152,1,135,5,4,"FAS, BAK1, CASP8, FADD","EIF2S1",0.419
"11","Cysteine and methionine metabolism",0.007,0.152,1,44,3,0,"","AHCYL1, GOT2, ENOPH1",0.034
"12","Glycosphingolipid biosynthesis - ganglio series",0.007,0.155,1,15,2,0,"","ST8SIA5, ST3GAL5",0.067
"13","Non-alcoholic fatty liver disease (NAFLD)",0.009,0.163,1,144,5,2,"FAS, CASP8","EIF2S1, ADIPOR2, COX5A",0.217
"14","Glutathione metabolism",0.012,0.21,1,54,3,1,"GGT1","GPX4, RRM2B",0.194
"15","Arginine biosynthesis",0.013,0.211,1,20,2,1,"GLS2","GOT2",0.3
"16","NOD-like receptor signaling pathway",0.014,0.211,1,164,5,3,"TRPV2, CASP8, FADD","PYDC1, IL18",0.315
"17","Necroptosis",0.014,0.211,1,162,5,4,"CHMP4B, FAS, CASP8, FADD","STAT4",0.415
"18","p53 signaling pathway",0.02,0.279,1,66,3,2,"FAS, CASP8","RRM2B",0.356
"19","Fructose and mannose metabolism",0.028,0.373,1,30,2,0,"","GMPPA, SORD",0.033
"20","D-Glutamine and D-glutamate metabolism",0.035,0.41,1,4,1,1,"GLS2","",0.625
"21","Tyrosine metabolism",0.036,0.41,1,34,2,0,"","GOT2, HGD",0.029
"22","Porphyrin and chlorophyll metabolism",0.038,0.41,1,35,2,0,"","HMOX2, MMAB",0.029
"23","Alanine, aspartate and glutamate metabolism",0.038,0.41,1,35,2,1,"GLS2","GOT2",0.279
"24","Phenylalanine, tyrosine and tryptophan biosynthesis",0.043,0.45,1,5,1,0,"","GOT2",0.1
"25","IL-17 signaling pathway",0.046,0.458,1,91,3,3,"IL17C, CASP8, FADD","",0.516
"26","Ferroptosis",0.048,0.462,1,40,2,0,"","SAT2, GPX4",0.025
