"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Platinum drug resistance",0,0,0,73,5,"FAS, BAK1, CASP3, CASP8, FADD"
"Apoptosis",0,0,0,135,5,"FAS, BAK1, CASP3, CASP8, FADD"
"Apoptosis - multiple species",0,0,0,31,4,"BAK1, CASP3, CASP8, FADD"
"TNF signaling pathway",0,0,0.001,108,4,"FAS, CASP3, CASP8, FADD"
"Necroptosis",0,0.001,0.006,162,4,"CHMP4B, FAS, CASP8, FADD"
"p53 signaling pathway",0,0.002,0.014,66,3,"FAS, CASP3, CASP8"
"IL-17 signaling pathway",0,0.005,0.036,91,3,"CASP3, CASP8, FADD"
"Non-alcoholic fatty liver disease (NAFLD)",0.001,0.017,0.14,144,3,"FAS, CASP3, CASP8"
"NOD-like receptor signaling pathway",0.001,0.023,0.205,164,3,"TRPV2, CASP8, FADD"
"RIG-I-like receptor signaling pathway",0.003,0.073,0.732,68,2,"CASP8, FADD"
"Toll-like receptor signaling pathway",0.007,0.147,1,102,2,"CASP8, FADD"
"Natural killer cell mediated cytotoxicity",0.01,0.2,1,125,2,"FAS, CASP3"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.029,0.563,1,24,1,"NDST4"
"MAPK signaling pathway",0.037,0.652,1,253,2,"FAS, CASP3"
