EntrezID,PathwayID,PathwayName,GeneSymbol
11298,380,Tryptophan metabolism,Aanat
11668,380,Tryptophan metabolism,Aldh1a1
11669,380,Tryptophan metabolism,Aldh2
11671,380,Tryptophan metabolism,Aldh3a2
11761,380,Tryptophan metabolism,Aox1
12359,380,Tryptophan metabolism,Cat
13076,380,Tryptophan metabolism,Cyp1a1
13077,380,Tryptophan metabolism,Cyp1a2
13078,380,Tryptophan metabolism,Cyp1b1
13195,380,Tryptophan metabolism,Ddc
14204,380,Tryptophan metabolism,Il4i1
15107,380,Tryptophan metabolism,Hadh
15930,380,Tryptophan metabolism,Ido1
17161,380,Tryptophan metabolism,Maoa
18293,380,Tryptophan metabolism,Ogdh
21743,380,Tryptophan metabolism,Inmt
21990,380,Tryptophan metabolism,Tph1
22375,380,Tryptophan metabolism,Wars
23923,380,Tryptophan metabolism,Aadat
56720,380,Tryptophan metabolism,Tdo2
56752,380,Tryptophan metabolism,Aldh9a1
70266,380,Tryptophan metabolism,Ccbl1
70560,380,Tryptophan metabolism,Wars2
70789,380,Tryptophan metabolism,Kynu
71562,380,Tryptophan metabolism,Afmid
72535,380,Tryptophan metabolism,Aldh1b1
74147,380,Tryptophan metabolism,Ehhadh
76507,380,Tryptophan metabolism,Aoc1
93747,380,Tryptophan metabolism,Echs1
97212,380,Tryptophan metabolism,Hadha
98256,380,Tryptophan metabolism,Kmo
100470,380,Tryptophan metabolism,Lao1
107766,380,Tryptophan metabolism,Haao
109731,380,Tryptophan metabolism,Maob
110446,380,Tryptophan metabolism,Acat1
110460,380,Tryptophan metabolism,Acat2
110695,380,Tryptophan metabolism,Aldh7a1
209176,380,Tryptophan metabolism,Ido2
213043,380,Tryptophan metabolism,Aox3l1
216343,380,Tryptophan metabolism,Tph2
229905,380,Tryptophan metabolism,Ccbl2
239017,380,Tryptophan metabolism,Ogdhl
266645,380,Tryptophan metabolism,Acmsd
270076,380,Tryptophan metabolism,Gcdh
100328588,380,Tryptophan metabolism,Nup62-il4i1
11298,1100,Metabolic pathways,Aanat
11363,1100,Metabolic pathways,Acadl
11364,1100,Metabolic pathways,Acadm
11370,1100,Metabolic pathways,Acadvl
11409,1100,Metabolic pathways,Acads
11416,1100,Metabolic pathways,Slc33a1
11428,1100,Metabolic pathways,Aco1
11429,1100,Metabolic pathways,Aco2
11430,1100,Metabolic pathways,Acox1
11486,1100,Metabolic pathways,Ada
11522,1100,Metabolic pathways,Adh1
11529,1100,Metabolic pathways,Adh7
11532,1100,Metabolic pathways,Adh5
11534,1100,Metabolic pathways,Adk
11564,1100,Metabolic pathways,Adsl
11565,1100,Metabolic pathways,Adssl1
11566,1100,Metabolic pathways,Adss
11611,1100,Metabolic pathways,Agxt
11636,1100,Metabolic pathways,Ak1
11637,1100,Metabolic pathways,Ak2
11639,1100,Metabolic pathways,Ak4
11647,1100,Metabolic pathways,Alpl
11648,1100,Metabolic pathways,Akp3
11650,1100,Metabolic pathways,Alppl2
11655,1100,Metabolic pathways,Alas1
11656,1100,Metabolic pathways,Alas2
11668,1100,Metabolic pathways,Aldh1a1
11669,1100,Metabolic pathways,Aldh2
11670,1100,Metabolic pathways,Aldh3a1
11671,1100,Metabolic pathways,Aldh3a2
11674,1100,Metabolic pathways,Aldoa
11676,1100,Metabolic pathways,Aldoc
11677,1100,Metabolic pathways,Akr1b3
11684,1100,Metabolic pathways,Alox12
11685,1100,Metabolic pathways,Alox12e
11686,1100,Metabolic pathways,Alox12b
11687,1100,Metabolic pathways,Alox15
11688,1100,Metabolic pathways,Alox8
11689,1100,Metabolic pathways,Alox5
11702,1100,Metabolic pathways,Amd1
11717,1100,Metabolic pathways,Ampd3
11720,1100,Metabolic pathways,Mat1a
11722,1100,Metabolic pathways,Amy1
11754,1100,Metabolic pathways,Aoc3
11758,1100,Metabolic pathways,Prdx6
11761,1100,Metabolic pathways,Aox1
11821,1100,Metabolic pathways,Aprt
11846,1100,Metabolic pathways,Arg1
11847,1100,Metabolic pathways,Arg2
11881,1100,Metabolic pathways,Arsb
11886,1100,Metabolic pathways,Asah1
11898,1100,Metabolic pathways,Ass1
11946,1100,Metabolic pathways,Atp5a1
11947,1100,Metabolic pathways,Atp5b
11949,1100,Metabolic pathways,Atp5c1
11950,1100,Metabolic pathways,Atp5f1
11951,1100,Metabolic pathways,Atp5g1
11957,1100,Metabolic pathways,Atp5j
11958,1100,Metabolic pathways,Atp5k
11964,1100,Metabolic pathways,Atp6v1a
11966,1100,Metabolic pathways,Atp6v1b2
11972,1100,Metabolic pathways,Atp6v0d1
11973,1100,Metabolic pathways,Atp6v1e1
11974,1100,Metabolic pathways,Atp6v0e
11975,1100,Metabolic pathways,Atp6v0a1
11984,1100,Metabolic pathways,Atp6v0c
11992,1100,Metabolic pathways,Auh
11997,1100,Metabolic pathways,Akr1b7
12012,1100,Metabolic pathways,Baat
12035,1100,Metabolic pathways,Bcat1
12036,1100,Metabolic pathways,Bcat2
12039,1100,Metabolic pathways,Bckdha
12040,1100,Metabolic pathways,Bckdhb
12091,1100,Metabolic pathways,Glb1
12116,1100,Metabolic pathways,Bhmt
12182,1100,Metabolic pathways,Bst1
12183,1100,Metabolic pathways,Bpgm
12359,1100,Metabolic pathways,Cat
12408,1100,Metabolic pathways,Cbr1
12409,1100,Metabolic pathways,Cbr2
12411,1100,Metabolic pathways,Cbs
12494,1100,Metabolic pathways,Cd38
12583,1100,Metabolic pathways,Cdo1
12613,1100,Metabolic pathways,Cel
12651,1100,Metabolic pathways,Chkb
12660,1100,Metabolic pathways,Chka
12709,1100,Metabolic pathways,Ckb
12715,1100,Metabolic pathways,Ckm
12716,1100,Metabolic pathways,Ckmt1
12764,1100,Metabolic pathways,Cmas
12846,1100,Metabolic pathways,Comt
12850,1100,Metabolic pathways,Coq7
12856,1100,Metabolic pathways,Cox17
12857,1100,Metabolic pathways,Cox4i1
12858,1100,Metabolic pathways,Cox5a
12859,1100,Metabolic pathways,Cox5b
12861,1100,Metabolic pathways,Cox6a1
12862,1100,Metabolic pathways,Cox6a2
12864,1100,Metabolic pathways,Cox6c
12867,1100,Metabolic pathways,Cox7c
12868,1100,Metabolic pathways,Cox8a
12869,1100,Metabolic pathways,Cox8b
12892,1100,Metabolic pathways,Cpox
12974,1100,Metabolic pathways,Cs
13026,1100,Metabolic pathways,Pcyt1a
13070,1100,Metabolic pathways,Cyp11a1
13072,1100,Metabolic pathways,Cyp11b2
13074,1100,Metabolic pathways,Cyp17a1
13075,1100,Metabolic pathways,Cyp19a1
13076,1100,Metabolic pathways,Cyp1a1
13077,1100,Metabolic pathways,Cyp1a2
13079,1100,Metabolic pathways,Cyp21a1
13085,1100,Metabolic pathways,Cyp2a12
13086,1100,Metabolic pathways,Cyp2a4
13087,1100,Metabolic pathways,Cyp2a5
13088,1100,Metabolic pathways,Cyp2b10
13089,1100,Metabolic pathways,Cyp2b13
13090,1100,Metabolic pathways,Cyp2b19
13094,1100,Metabolic pathways,Cyp2b9
13095,1100,Metabolic pathways,Cyp2c29
13096,1100,Metabolic pathways,Cyp2c37
13097,1100,Metabolic pathways,Cyp2c38
13098,1100,Metabolic pathways,Cyp2c39
13099,1100,Metabolic pathways,Cyp2c40
13106,1100,Metabolic pathways,Cyp2e1
