EntrezID,GeneSymbol,PathwayID,PathwayName
10,NAT2,232,Caffeine metabolism
10,NAT2,983,Drug metabolism - other enzymes
10,NAT2,1100,Metabolic pathways
100,ADA,230,Purine metabolism
100,ADA,1100,Metabolic pathways
1000,CDH2,4514,Cell adhesion molecules (CAMs)
10000,AKT3,1521,EGFR tyrosine kinase inhibitor resistance
10000,AKT3,1522,Endocrine resistance
10000,AKT3,1524,Platinum drug resistance
10000,AKT3,4010,MAPK signaling pathway
10000,AKT3,4012,ErbB signaling pathway
10000,AKT3,4014,Ras signaling pathway
10000,AKT3,4015,Rap1 signaling pathway
10000,AKT3,4022,cGMP-PKG signaling pathway
10000,AKT3,4024,cAMP signaling pathway
10000,AKT3,4062,Chemokine signaling pathway
10000,AKT3,4066,HIF-1 signaling pathway
10000,AKT3,4068,FoxO signaling pathway
10000,AKT3,4071,Sphingolipid signaling pathway
10000,AKT3,4072,Phospholipase D signaling pathway
10000,AKT3,4140,Autophagy - animal
10000,AKT3,4150,mTOR signaling pathway
10000,AKT3,4151,PI3K-Akt signaling pathway
10000,AKT3,4152,AMPK signaling pathway
10000,AKT3,4210,Apoptosis
10000,AKT3,4211,Longevity regulating pathway
10000,AKT3,4213,Longevity regulating pathway - multiple species
10000,AKT3,4218,Cellular senescence
10000,AKT3,4261,Adrenergic signaling in cardiomyocytes
10000,AKT3,4370,VEGF signaling pathway
10000,AKT3,4371,Apelin signaling pathway
10000,AKT3,4380,Osteoclast differentiation
10000,AKT3,4510,Focal adhesion
10000,AKT3,4550,Signaling pathways regulating pluripotency of stem cells
10000,AKT3,4611,Platelet activation
10000,AKT3,4620,Toll-like receptor signaling pathway
10000,AKT3,4630,Jak-STAT signaling pathway
10000,AKT3,4660,T cell receptor signaling pathway
10000,AKT3,4662,B cell receptor signaling pathway
10000,AKT3,4664,Fc epsilon RI signaling pathway
10000,AKT3,4666,Fc gamma R-mediated phagocytosis
10000,AKT3,4668,TNF signaling pathway
10000,AKT3,4722,Neurotrophin signaling pathway
10000,AKT3,4725,Cholinergic synapse
10000,AKT3,4728,Dopaminergic synapse
10000,AKT3,4910,Insulin signaling pathway
10000,AKT3,4914,Progesterone-mediated oocyte maturation
10000,AKT3,4915,Estrogen signaling pathway
10000,AKT3,4917,Prolactin signaling pathway
10000,AKT3,4919,Thyroid hormone signaling pathway
10000,AKT3,4920,Adipocytokine signaling pathway
10000,AKT3,4922,Glucagon signaling pathway
10000,AKT3,4923,Regulation of lipolysis in adipocytes
