"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","100017","Ldlrap1","04144","Endocytosis"
"2","100019","Mdn1","03008","Ribosome biogenesis in eukaryotes"
"3","100037258","Dnajc3","04141","Protein processing in endoplasmic reticulum"
"4","100037258","Dnajc3","05164","Influenza A"
"5","100038859","Olfr55","04740","Olfactory transduction"
"6","100038860","Olfr239","04740","Olfactory transduction"
"7","100038882","Isg15","04622","RIG-I-like receptor signaling pathway"
"8","100038882","Isg15","05165","Human papillomavirus infection"
"9","100038909","Gm14548","04380","Osteoclast differentiation"
"10","100038947","LOC100038947","04380","Osteoclast differentiation"
"11","100038993","Gm2002","04060","Cytokine-cytokine receptor interaction"
"12","100038993","Gm2002","04630","Jak-STAT signaling pathway"
"13","100038993","Gm2002","04640","Hematopoietic cell lineage"
"14","100039053","Gm2023","04060","Cytokine-cytokine receptor interaction"
"15","100039053","Gm2023","04062","Chemokine signaling pathway"
"16","100039053","Gm2023","04064","NF-kappa B signaling pathway"
"17","100039319","Gm14920","04217","Necroptosis"
"18","100039319","Gm14920","05034","Alcoholism"
"19","100039319","Gm14920","05322","Systemic lupus erythematosus"
"20","100039707","Mthfsl","00670","One carbon pool by folate"
"21","100039707","Mthfsl","01100","Metabolic pathways"
"22","100039801","Cldn24","04514","Cell adhesion molecules (CAMs)"
"23","100039801","Cldn24","04530","Tight junction"
"24","100039801","Cldn24","04670","Leukocyte transendothelial migration"
"25","100039801","Cldn24","05160","Hepatitis C"
"26","100039815","Gm2436","03015","mRNA surveillance pathway"
"27","100039815","Gm2436","04071","Sphingolipid signaling pathway"
"28","100039815","Gm2436","04151","PI3K-Akt signaling pathway"
"29","100039815","Gm2436","04152","AMPK signaling pathway"
"30","100039815","Gm2436","04261","Adrenergic signaling in cardiomyocytes"
"31","100039815","Gm2436","04728","Dopaminergic synapse"
"32","100039815","Gm2436","05165","Human papillomavirus infection"
"33","100039830","Gm2446","03015","mRNA surveillance pathway"
"34","100039830","Gm2446","04071","Sphingolipid signaling pathway"
"35","100039830","Gm2446","04151","PI3K-Akt signaling pathway"
"36","100039830","Gm2446","04152","AMPK signaling pathway"
"37","100039830","Gm2446","04261","Adrenergic signaling in cardiomyocytes"
"38","100039830","Gm2446","04728","Dopaminergic synapse"
"39","100039830","Gm2446","05165","Human papillomavirus infection"
"40","100039848","Gm2457","04060","Cytokine-cytokine receptor interaction"
"41","100039848","Gm2457","04062","Chemokine signaling pathway"
"42","100039848","Gm2457","04064","NF-kappa B signaling pathway"
"43","100039863","Gm13306","04060","Cytokine-cytokine receptor interaction"
"44","100039863","Gm13306","04062","Chemokine signaling pathway"
"45","100039939","Gm2506","04060","Cytokine-cytokine receptor interaction"
"46","100039939","Gm2506","04062","Chemokine signaling pathway"
"47","100040048","Ccl27b","04060","Cytokine-cytokine receptor interaction"
"48","100040048","Ccl27b","04062","Chemokine signaling pathway"
"49","100040233","Gm10334","04080","Neuroactive ligand-receptor interaction"
"50","100040233","Gm10334","04972","Pancreatic secretion"
"51","100040233","Gm10334","04974","Protein digestion and absorption"
"52","100040233","Gm10334","05164","Influenza A"
"53","100040268","Olfr157","04740","Olfactory transduction"
"54","100040591","Kcnj13","04974","Protein digestion and absorption"
"55","100040608","Fancf","03460","Fanconi anemia pathway"
"56","100040843","Cyp4a32","00071","Fatty acid degradation"
"57","100040843","Cyp4a32","00590","Arachidonic acid metabolism"
"58","100040843","Cyp4a32","00830","Retinol metabolism"
"59","100040843","Cyp4a32","01100","Metabolic pathways"
"60","100040843","Cyp4a32","03320","PPAR signaling pathway"
"61","100040843","Cyp4a32","04270","Vascular smooth muscle contraction"
"62","100040843","Cyp4a32","04750","Inflammatory mediator regulation of TRP channels"
"63","100041146","Gm15448","04380","Osteoclast differentiation"
"64","100041187","Olfr596","04740","Olfactory transduction"
"65","100041230","Hist1h4m","05034","Alcoholism"
"66","100041230","Hist1h4m","05203","Viral carcinogenesis"
"67","100041230","Hist1h4m","05322","Systemic lupus erythematosus"
"68","100041273","Gm3244","00190","Oxidative phosphorylation"
"69","100041273","Gm3244","01100","Metabolic pathways"
"70","100041273","Gm3244","04723","Retrograde endocannabinoid signaling"
"71","100041273","Gm3244","04932","Non-alcoholic fatty liver disease (NAFLD)"
"72","100041273","Gm3244","05010","Alzheimer's disease"
"73","100041273","Gm3244","05012","Parkinson's disease"
"74","100041273","Gm3244","05016","Huntington's disease"
"75","100041375","Cyp3a41b","00140","Steroid hormone biosynthesis"
"76","100041375","Cyp3a41b","00591","Linoleic acid metabolism"
"77","100041375","Cyp3a41b","00830","Retinol metabolism"
"78","100041375","Cyp3a41b","01100","Metabolic pathways"
"79","100041375","Cyp3a41b","05204","Chemical carcinogenesis"
"80","100041504","LOC100041504","04060","Cytokine-cytokine receptor interaction"
"81","100041504","LOC100041504","04062","Chemokine signaling pathway"
"82","100041504","LOC100041504","04064","NF-kappa B signaling pathway"
"83","100041579","Gm20878","04060","Cytokine-cytokine receptor interaction"
"84","100041579","Gm20878","04062","Chemokine signaling pathway"
"85","100041593","LOC100041593","04060","Cytokine-cytokine receptor interaction"
"86","100041593","LOC100041593","04062","Chemokine signaling pathway"
"87","100041593","LOC100041593","04064","NF-kappa B signaling pathway"
"88","100041953","Sap18b","03013","RNA transport"
"89","100041953","Sap18b","03015","mRNA surveillance pathway"
"90","100042025","Gapdh-ps15","00010","Glycolysis / Gluconeogenesis"
"91","100042025","Gapdh-ps15","01100","Metabolic pathways"
"92","100042025","Gapdh-ps15","01200","Carbon metabolism"
"93","100042025","Gapdh-ps15","01230","Biosynthesis of amino acids"
"94","100042025","Gapdh-ps15","04066","HIF-1 signaling pathway"
"95","100042025","Gapdh-ps15","05010","Alzheimer's disease"
"96","100042150","Nrg2","01521","EGFR tyrosine kinase inhibitor resistance"
"97","100042150","Nrg2","04012","ErbB signaling pathway"
"98","100042355","Gm10705","04120","Ubiquitin mediated proteolysis"
"99","100042355","Gm10705","05012","Parkinson's disease"
"100","100042493","Ccl21b","04060","Cytokine-cytokine receptor interaction"
"101","100042493","Ccl21b","04062","Chemokine signaling pathway"
"102","100042493","Ccl21b","04064","NF-kappa B signaling pathway"
"103","100042503","Gm3873","00190","Oxidative phosphorylation"
"104","100042503","Gm3873","01100","Metabolic pathways"
"105","100042503","Gm3873","04723","Retrograde endocannabinoid signaling"
"106","100042503","Gm3873","04932","Non-alcoholic fatty liver disease (NAFLD)"
"107","100042503","Gm3873","05010","Alzheimer's disease"
"108","100042503","Gm3873","05012","Parkinson's disease"
"109","100042503","Gm3873","05016","Huntington's disease"
"110","100042555","Gm13305","04060","Cytokine-cytokine receptor interaction"
"111","100042555","Gm13305","04630","Jak-STAT signaling pathway"
"112","100042555","Gm13305","04640","Hematopoietic cell lineage"
"113","100042690","Gm13769","04740","Olfactory transduction"
"114","100042807","Eif3j2","03013","RNA transport"
"115","100042840","H2al2b","04217","Necroptosis"
"116","100042840","H2al2b","05034","Alcoholism"
"117","100042840","H2al2b","05322","Systemic lupus erythematosus"
"118","100042922","H2al1a","04217","Necroptosis"
"119","100042922","H2al1a","05034","Alcoholism"
"120","100042922","H2al1a","05322","Systemic lupus erythematosus"
"121","100042927","H2al1b","04217","Necroptosis"
