"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"NOD-like receptor signaling pathway",0,0,0,168,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"Hematopoietic cell lineage",0,0,0.001,96,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"NF-kappa B signaling pathway",0,0,0.001,94,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Ferroptosis",0,0.001,0.003,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.001,0.006,151,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.001,0.009,127,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Necroptosis",0,0.002,0.011,163,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Toll-like receptor signaling pathway",0,0.002,0.013,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Cell adhesion molecules (CAMs)",0,0.002,0.022,143,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"TNF signaling pathway",0,0.012,0.116,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Complement and coagulation cascades",0.001,0.012,0.13,79,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"Natural killer cell mediated cytotoxicity",0.001,0.024,0.306,127,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"Cytosolic DNA-sensing pathway",0.001,0.024,0.316,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Tryptophan metabolism",0.002,0.027,0.42,40,4,"IL4I1, IDO1, KMO, KYNU"
"HIF-1 signaling pathway",0.002,0.027,0.425,99,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"AGE-RAGE signaling pathway in diabetic complications",0.002,0.027,0.425,99,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.002,0.032,0.551,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"PPAR signaling pathway",0.002,0.032,0.575,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Antigen processing and presentation",0.002,0.032,0.611,73,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"Chemokine signaling pathway",0.003,0.033,0.65,185,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.004,0.049,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.007,0.082,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.009,0.094,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.01,0.106,1,35,3,"IL4I1, GFPT1, GLS"
"Adipocytokine signaling pathway",0.012,0.112,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Fatty acid biosynthesis",0.012,0.112,1,13,2,"ACSL1, ACSL4"
"Prolactin signaling pathway",0.013,0.112,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.013,0.112,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Leukocyte transendothelial migration",0.015,0.127,1,112,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Cellular senescence",0.017,0.139,1,159,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"Lysosome",0.021,0.172,1,123,5,"CLTA, CTSB, ATP6AP1, ACP5, LGMN"
"ErbB signaling pathway",0.024,0.188,1,85,4,"SRC, STAT5A, CAMK2D, CBL"
"IL-17 signaling pathway",0.032,0.243,1,93,4,"IL1B, NFKB1, PTGS2, CCL20"
"Inflammatory mediator regulation of TRP channels",0.037,0.268,1,97,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"Endocytosis",0.038,0.268,1,243,7,"CLTA, HLA-A, HLA-B, PML, SRC, TFRC, CBL"
"VEGF signaling pathway",0.041,0.282,1,59,3,"PLA2G4A, PTGS2, SRC"
"Non-alcoholic fatty liver disease (NAFLD)",0.043,0.287,1,148,5,"IL1A, IL1B, NDUFA4, NDUFA10, NFKB1"
"Insulin resistance",0.05,0.314,1,107,4,"GFPT1, NFKB1, PTPN1, CD36"
"Th17 cell differentiation",0.05,0.314,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"D-Glutamine and D-glutamate metabolism",0.051,0.314,1,4,1,"GLS"
"Mitophagy - animal",0.052,0.314,1,65,3,"GABARAP, SRC, SQSTM1"
"Fc epsilon RI signaling pathway",0.056,0.331,1,67,3,"FCER1G, LCP2, PLA2G4A"
"Cytokine-cytokine receptor interaction",0.06,0.348,1,270,7,"IL1A, IL1B, CCL4L1, CCL3, CCL5, CCL20, CD40"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.063,0.35,1,5,1,"IL4I1"
"Neomycin, kanamycin and gentamicin biosynthesis",0.063,0.35,1,5,1,"HK2"
"Platelet activation",0.075,0.406,1,123,4,"FCER1G, LCP2, PLA2G4A, SRC"
"ECM-receptor interaction",0.09,0.477,1,82,3,"VTN, CD36, CD44"
"Riboflavin metabolism",0.099,0.515,1,8,1,"ACP5"
"Insulin signaling pathway",0.104,0.526,1,138,4,"HK2, PTPN1, CBL, FBP2"
"GABAergic synapse",0.106,0.526,1,88,3,"GABARAP, GLS, SRC"
"Fatty acid degradation",0.111,0.542,1,44,2,"ACSL1, ACSL4"
"GnRH signaling pathway",0.117,0.548,1,92,3,"PLA2G4A, SRC, CAMK2D"
"Th1 and Th2 cell differentiation",0.117,0.548,1,92,3,"NFKB1, STAT1, STAT5A"
"Amino sugar and nucleotide sugar metabolism",0.128,0.58,1,48,2,"GFPT1, HK2"
"Fatty acid metabolism",0.128,0.58,1,48,2,"ACSL1, ACSL4"
"Oxytocin signaling pathway",0.134,0.597,1,152,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"Ovarian steroidogenesis",0.137,0.598,1,50,2,"PLA2G4A, PTGS2"
"T cell receptor signaling pathway",0.146,0.626,1,102,3,"LCP2, NFKB1, CBL"
"Regulation of lipolysis in adipocytes",0.155,0.653,1,54,2,"FABP4, PTGS2"
"Arachidonic acid metabolism",0.192,0.796,1,62,2,"PLA2G4A, PTGS2"
"Phenylalanine metabolism",0.199,0.813,1,17,1,"IL4I1"
"AMPK signaling pathway",0.204,0.818,1,120,3,"PFKFB3, FBP2, CD36"
"Glycolysis / Gluconeogenesis",0.216,0.852,1,67,2,"HK2, FBP2"
"Arginine biosynthesis",0.23,0.895,1,20,1,"GLS"
"MAPK signaling pathway",0.235,0.901,1,255,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Adherens junction",0.24,0.904,1,72,2,"PTPN1, SRC"
"Oxidative phosphorylation",0.245,0.909,1,132,3,"NDUFA4, NDUFA10, ATP6AP1"
"Proximal tubule bicarbonate reclamation",0.26,0.951,1,23,1,"GLS"
"Apoptosis",0.266,0.959,1,138,3,"CTSB, NFKB1, TRAF1"
"alpha-Linolenic acid metabolism",0.279,0.985,1,25,1,"PLA2G4A"
"Folate biosynthesis",0.288,0.985,1,26,1,"GGH"
"Rap1 signaling pathway",0.29,0.985,1,210,4,"ITGAM, ITGB2, LCP2, SRC"
"Peroxisome",0.293,0.985,1,83,2,"ACSL1, ACSL4"
"Regulation of actin cytoskeleton",0.293,0.985,1,211,4,"ITGAM, ITGAX, ITGB2, SRC"
"Retrograde endocannabinoid signaling",0.298,0.988,1,147,3,"NDUFA4, NDUFA10, PTGS2"
"Nicotinate and nicotinamide metabolism",0.307,1,1,28,1,"NAMPT"
"Linoleic acid metabolism",0.316,1,1,29,1,"PLA2G4A"
"Pentose phosphate pathway",0.325,1,1,30,1,"FBP2"
"Fc gamma R-mediated phagocytosis",0.326,1,1,90,2,"HCK, PLA2G4A"
"Galactose metabolism",0.333,1,1,31,1,"HK2"
"Autophagy - other",0.342,1,1,32,1,"GABARAP"
"Metabolic pathways",0.368,1,1,1262,18,"NAMPT, ACSL1, ACSL4, IL4I1, GFPT1, GLS, HK2, HMOX1, IDO1, NDUFA4, NDUFA10, PLA2G4A, ATP6AP1, ACP5, PTGS2, KMO, FBP2, KYNU"
"Tyrosine metabolism",0.368,1,1,35,1,"IL4I1"
"Starch and sucrose metabolism",0.376,1,1,36,1,"HK2"
"Tight junction",0.38,1,1,170,3,"SRC, CD1A, CD1C"
"Fat digestion and absorption",0.415,1,1,41,1,"CD36"
"Porphyrin and chlorophyll metabolism",0.415,1,1,41,1,"HMOX1"
"Serotonergic synapse",0.428,1,1,112,2,"PLA2G4A, PTGS2"
"Glutamatergic synapse",0.437,1,1,114,2,"GLS, PLA2G4A"
"Carbohydrate digestion and absorption",0.438,1,1,44,1,"HK2"
"Carbon metabolism",0.442,1,1,115,2,"HK2, FBP2"
"Ether lipid metabolism",0.445,1,1,45,1,"PLA2G4A"
