"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"RNA transport",0,0,0,166,20,"Nup107, Xpo1, Eif4g2, Kpnb1, Nxf7, Magoh, Nup62, Casc3, Ran, Rasl2-9, Rnps1, Nup98, Thoc6, Nup85, Nxf1, Ddx39b, Rbm8a, Eif3f, Rpp25l, Seh1l"
"Spliceosome",0,0,0,130,27,"Sf3b3, Snrpd2, Hspa8, Magoh, Srsf3, Snrpc, Snrpb, Snrpd1, Snrpe, Dhx8, Hnrnpa3, Sf3b2, Snrnp200, Plrg1, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Lsm5, Snrpd3, Sf3a1, Snrpg, Phf5a, Snrpa1, Sf3a3, Sf3b1"
"Proteasome",0,0,0,46,23,"Psma2, Psma3, Psmb1, Psmb4, Psmb6, Psmc1, Psmc3, Psmc5, Psmd2, Psmd3, Psmc4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmd14, Psmd6, Pomp, Psmc6, Psmd11, Psmd1"
"Ribosome biogenesis in eukaryotes",0,0,0.002,78,10,"Imp3, Xpo1, Utp15, Nxf7, Ran, Rasl2-9, Fbll1, Nxf1, Gar1, Rpp25l"
"Pyrimidine metabolism",0,0,0.002,99,11,"Polr2a, Tk1, Polr2b, Nme6, Nme4, Polr2g, Polr2d, Polr2f, Cant1, Nme3, Uck2"
"AMPK signaling pathway",0,0.001,0.005,126,12,"Cpt1a, Ins1, Pdpk1, Pfkfb1, Pik3ca, Prkag1, Creb3l3, Foxo3, Strada, Adipor1, Pik3cb, Creb3l4"
"Longevity regulating pathway",0,0.001,0.006,90,10,"Ins1, Pik3ca, Prkaca, Prkag1, Creb3l3, Sesn2, Foxo3, Adipor1, Pik3cb, Creb3l4"
"mRNA surveillance pathway",0,0.001,0.009,94,10,"Nxf7, Magoh, Casc3, Rnps1, Cpsf7, Cpsf6, Nxf1, Ddx39b, Pabpn1, Rbm8a"
"RNA polymerase",0,0.009,0.079,28,5,"Polr2a, Polr2b, Polr2g, Polr2d, Polr2f"
"Longevity regulating pathway - multiple species",0,0.01,0.098,62,7,"Hspa8, Ins1, Pik3ca, Prkaca, Prkag1, Foxo3, Pik3cb"
"Purine metabolism",0,0.011,0.12,176,12,"Polr2a, Ppat, Polr2b, Nme6, Nme4, Polr2g, Ak8, Polr2d, Polr2f, Cant1, Nme3, Allc"
