"","name","imports","weights","datasource","Confidence"
"1","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.DNM1",900,"database","Medium"
"2","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CXCR5",900,"database","Medium"
"3","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.CHRM2",900,"database","Medium"
"4","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CCR8",900,"database","Medium"
"5","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CXCR3",900,"database","Medium"
"6","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CXCR4",900,"database","Medium"
"7","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.BDKRB1",900,"database","Medium"
"8","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.TAS2R7",900,"database","Medium"
"9","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.NPY",900,"database","Medium"
"10","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.SSTR4",900,"database","Medium"
"11","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.NMUR2",900,"database","Medium"
"12","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CX3CR1",800,"database","Medium"
"13","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.MTNR1B",900,"database","Medium"
"14","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CXCL13",900,"database","Medium"
"15","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.PF4",900,"database","Medium"
"16","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.PNOC",900,"database","Medium"
"17","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.CXCL11",900,"database","Medium"
"18","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.HTR1A",900,"database","Medium"
"19","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.PTGDR2",900,"database","Medium"
"20","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.FPR3",900,"database","Medium"
"21","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.NPBWR2",900,"database","Medium"
"22","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.NMS",900,"database","Medium"
"23","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.HCAR2",900,"database","Medium"
"24","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.OPRM1",900,"database","Medium"
"25","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.RLN3",900,"database","Medium"
"26","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.TAS2R50",900,"database","Medium"
"27","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.S1PR2",900,"database","Medium"
"28","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.GNA15",900,"database","Medium"
"29","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.AVPR1A",800,"database","Medium"
"30","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.HIST1H2BJ",900,"database","Medium"
"31","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.HIST1H2BK",900,"database","Medium"
"32","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.PARN",900,"database","Medium"
"33","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.EXOSC5",900,"database","Medium"
"34","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.EXOSC4",900,"database","Medium"
"35","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.RPS27A",900,"database","Medium"
"36","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.UBB",900,"database","Medium"
"37","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","TNF signaling pathway & AGE-RAGE signaling pathway in diabetic complications.RELA",900,"database","Medium"
"38","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.ADRBK1",900,"database","Medium"
"39","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.GNG3",900,"database","Medium"
"40","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.RAB5A",900,"database","Medium"
"41","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Cytokine-cytokine receptor interaction.EGFR",900,"database","Medium"
"42","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","TNF signaling pathway & AGE-RAGE signaling pathway in diabetic complications.JUN",900,"database","Medium"
"43","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.GNG10",900,"database","Medium"
"44","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.C5",900,"database","Medium"
"45","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.UBC",900,"database","Medium"
"46","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.GNAI3",900,"database","Medium"
"47","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.AGT",900,"database","Medium"
"48","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.EHMT2",900,"database","Medium"
"49","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.EHMT1",900,"database","Medium"
"50","AGE-RAGE signaling pathway in diabetic complications & Cytokine-cytokine receptor interaction.CXCL8","Novel.DRD2",900,"database","Medium"
