"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"NF-kappa B signaling pathway",0,0.008,0.015,92,7,"BLNK, BIRC2, ICAM1, IL1R1, LCK, BCL2, ZAP70"
"Tight junction",0,0.008,0.02,167,9,"CLDN4, NEDD4L, HSPA4, ITGB1, NF2, CLDN25, TUBA4A, TUBA1A, CLDN2"
"Cell adhesion molecules (CAMs)",0,0.008,0.029,137,8,"CLDN4, ICAM1, ITGB1, NCAM1, CLDN25, CLDN2, CD4, CD86"
"Platinum drug resistance",0,0.008,0.034,73,6,"ERCC1, GSTA5, BIRC2, MDM2, BAX, BCL2"
"Neurotrophin signaling pathway",0,0.014,0.072,118,7,"SHC4, MATK, NGFR, BAX, BCL2, BDNF, CALML4"
"Apoptosis - multiple species",0,0.014,0.084,31,4,"BIRC2, NGFR, BAX, BCL2"
"Ras signaling pathway",0.001,0.02,0.161,221,9,"EFNA5, GNB3, GRIN1, SHC4, NGFR, ZAP70, FGF23, RASAL1, CALML4"
"Apoptosis",0.001,0.02,0.163,135,7,"ENDOG, FOS, BIRC2, BAX, BCL2, TUBA4A, TUBA1A"
"T cell receptor signaling pathway",0.001,0.021,0.188,100,6,"MAP3K8, FOS, IL5, LCK, ZAP70, CD4"
"Leukocyte transendothelial migration",0.001,0.03,0.31,110,6,"CLDN4, PTK2B, ICAM1, ITGB1, CLDN25, CLDN2"
"cAMP signaling pathway",0.001,0.03,0.333,197,8,"EP300, FOS, GRIN1, HTR1E, ACOX1, BDNF, TNNI3, CALML4"
"Cytokine-cytokine receptor interaction",0.002,0.043,0.547,263,9,"EPOR, AMHR2, XCR1, IFNA16, IL1R1, IL5, NGFR, IL17RC, TNFRSF8"
"Osteoclast differentiation",0.002,0.043,0.597,125,6,"LILRB4, SIRPA, FOS, BLNK, IL1R1, LCK"
"Natural killer cell mediated cytotoxicity",0.002,0.043,0.597,125,6,"PTK2B, ICAM1, IFNA16, LCK, SHC4, ZAP70"
"Th1 and Th2 cell differentiation",0.003,0.049,0.741,90,5,"FOS, IL5, LCK, ZAP70, CD4"
"Hematopoietic cell lineage",0.003,0.049,0.778,91,5,"EPOR, IL1R1, IL5, CD4, CD9"
"PI3K-Akt signaling pathway",0.004,0.052,0.88,337,10,"COL6A2, EFNA5, EPOR, GNB3, IFNA16, ITGB1, MDM2, NGFR, BCL2, FGF23"
"Endocrine resistance",0.004,0.052,0.937,95,5,"FOS, SHC4, MDM2, BAX, BCL2"
"Circadian entrainment",0.004,0.052,0.98,96,5,"FOS, GNB3, GRIN1, PER1, CALML4"
"Th17 cell differentiation",0.006,0.072,1,105,5,"FOS, IL1R1, LCK, ZAP70, CD4"
"Jak-STAT signaling pathway",0.006,0.074,1,152,6,"EP300, EPOR, IFNA16, IL5, PTPN2, BCL2"
"Rap1 signaling pathway",0.007,0.083,1,207,7,"EFNA5, GRIN1, PFN3, ITGB1, NGFR, FGF23, CALML4"
"EGFR tyrosine kinase inhibitor resistance",0.011,0.118,1,79,4,"NRG1, SHC4, BAX, BCL2"
"AGE-RAGE signaling pathway in diabetic complications",0.022,0.225,1,97,4,"ICAM1, NOX4, BAX, BCL2"
"Toll-like receptor signaling pathway",0.025,0.254,1,102,4,"MAP3K8, FOS, IFNA16, CD86"
"TNF signaling pathway",0.031,0.293,1,108,4,"MAP3K8, FOS, BIRC2, ICAM1"
"Necroptosis",0.032,0.298,1,162,5,"H2AFX, BIRC2, IFNA16, BAX, BCL2"
"NOD-like receptor signaling pathway",0.034,0.301,1,164,5,"NLRP7, BIRC2, IFNA16, BCL2, TRIP6"
"Long-term potentiation",0.037,0.318,1,67,3,"EP300, GRIN1, CALML4"
"Antigen processing and presentation",0.038,0.319,1,68,3,"HSPA4, CIITA, CD4"
"Prolactin signaling pathway",0.041,0.332,1,70,3,"FOS, GCK, SHC4"
"RNA polymerase",0.045,0.352,1,31,2,"TWISTNB, POLR3K"
