"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Drug metabolism - other enzymes",0,0,0,39,39,"NAT2, CES1, UGT2B11, UGT2A1, UPP2, CYP2A6, CYP3A4, DPYD, DPYS, TYMP, GUSB, HPRT1, IMPDH1, IMPDH2, ITPA, UPB1, UGT2B28, UGT1A10, UGT1A1, UCKL1, UGT2A2, TK1, TK2, TPMT, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UCK2, UMPS, UPP1, XDH, UGT2A3, UCK1, CES2, GMPS, NAT1, CDA"
"Purine metabolism",0,0,0,170,170,"ADA, NT5C1B-RDH14, NME6, AK6, PAICS, POLR3F, POLR3G, POLR3C, ADCY1, POLD3, ADCY2, PDE10A, ADCY3, ADCY5, POLR3A, NUDT5, ADCY6, ADCY7, ADCY8, ADCY9, NT5C3B, AK7, ADSSL1, CANT1, NUDT16, ADK, ADSL, AK8, ADSS, DCK, POLR3H, DGUOK, ADCY4, AK1, AK2, AK4, AK9, PRPS1L1, TWISTNB, FHIT, ENPP4, NT5C2, POLA2, POLR2J2, POLR1A, GART, AK5, AMPD1, AMPD2, PDE7B, AMPD3, GMPR, GUCY1A2, GUCY1A3, GUCY1B3, GUCY2C, GUCY2F, GUK1, NME7, GUCY2D, NT5C, ZNRD1, NUDT2, HPRT1, APRT, IMPDH1, IMPDH2, ITPA, HDDC3, ENTPD8, ATIC, NME1, NME2, NME3, NME4, PNP, NPR1, NPR2, NT5E, RRM2B, AK3, PDE11A, POLR1D, NT5C3A, GMPR2, PDE1A, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE6A, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE8A, PDE9A, PDE1B, PDE6B, ENPP1, ENPP3, POLR3K, PFAS, PGM1, PKLR, PKM, NUDT9, POLE3, POLA1, POLD1, POLD2, POLE, POLE2, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2K, POLR2L, PPAT, POLR2J3, PGM2, PRIM1, PRIM2, POLR3B, POLR3E, ADCY10, ALLC, PRPS1, PRPS2, POLE4, NT5M, ADPRM, POLD4, RRM1, RRM2, POLR1E, NME1-NME2, POLR3D, XDH, POLR1B, POLR3GL, NTPCR, NT5C1A, PDE8B, PDE5A, PNPT1, GMPS, PAPSS2, PAPSS1, NT5C1B, ENTPD1, POLR1C, ENTPD2, ENTPD6, ENTPD3, ENTPD5, ENTPD4, GDA"
"EGFR tyrosine kinase inhibitor resistance",0,0,0,79,74,"AKT3, BCL2L11, EGF, EGFR, EIF4E, EIF4EBP1, ERBB2, ERBB3, AKT1, AKT2, FGF2, FGFR3, FGFR2, FOXO3, MTOR, EIF4E1B, GAB1, SHC2, GAS6, GRB2, GSK3B, HGF, NRG1, HRAS, IGF1, IGF1R, IL6, IL6R, ARAF, JAK1, JAK2, KDR, KRAS, SHC4, MET, NF1, NRAS, PDGFA, PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CD, PIK3R2, PLCG1, SHC3, PRKCA, PRKCB, PRKCG, MAPK1, MAPK3, PDGFC, MAP2K1, MAP2K2, BAD, PTEN, BAX, RAF1, BCL2, BCL2L1, RPS6, RPS6KB1, RPS6KB2, SHC1, SOS1, SOS2, BRAF, STAT3, TGFA, PDGFD, PIK3R3, EIF4E2, NRG2"
"Endocrine resistance",0,0,0,95,90,"AKT3, CDK4, CDKN1A, CDKN1B, CDKN2A, CDKN2C, CARM1, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, MAPK14, CYP2D6, JAG1, HBEGF, E2F1, E2F2, E2F3, EGFR, ADCY4, ERBB2, AKT1, AKT2, ESR1, ESR2, FOS, MTOR, SHC2, GNAS, DLL1, GPER1, GRB2, HRAS, IGF1, IGF1R, ARAF, JAG2, JUN, KRAS, SHC4, MDM2, MMP2, MMP9, NOTCH1, NOTCH2, NOTCH3, NOTCH4, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R2, SHC3, DLL4, MED1, PRKACA, PRKACB, PRKACG, MAPK1, MAPK3, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAP2K1, MAP2K2, BAD, PTK2, BAX, RAF1, RB1, CCND1, BCL2, RPS6KB1, RPS6KB2, MAPK12, SHC1, SOS1, SOS2, SP1, BRAF, TP53, NCOA3, PIK3R3, NCOR1"
"Platinum drug resistance",0,0,0,73,63,"AKT3, CDKN1A, CDKN2A, GSTO2, ERBB2, ERCC1, AKT1, AKT2, GSTA5, BBC3, GSTA1, GSTA2, GSTA3, GSTM1, GSTM2, GSTM4, GSTM5, GSTP1, MSH6, APAF1, BIRC2, BIRC3, XIAP, BIRC5, FAS, FASLG, MDM2, MAP3K5, MGST1, MGST2, MGST3, MLH1, MSH2, MSH3, ATM, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3R2, PMAIP1, CYCS, POLH, MAPK1, MAPK3, BAD, BAX, BCL2, BCL2L1, REV3L, BID, GSTT2B, BRCA1, TOP2A, TOP2B, TP53, XPA, CASP3, CASP8, CASP9, PIK3R3, FADD, GSTO1"
"MAPK signaling pathway",0,0,0,253,219,"AKT3, RASGRP1, RASGRP2, CACNG3, CACNG2, TAB1, MAP3K2, GADD45G, MAP4K1, DUSP10, CHUK, PLA2G4E, MAP3K8, ATF2, CRK, CRKL, MAPK14, GADD45A, DDIT3, DUSP1, DUSP2, DUSP3, DUSP4, DUSP5, DUSP6, DUSP7, EGF, EGFR, ELK1, ELK4, AKT1, AKT2, MECOM, FGF1, FGF2, FGF4, FGF5, FGF6, FGF8, FGF9, FGF10, FGF11, FGF12, FGF14, FGFR1, FGFR3, FGFR2, FGFR4, MRAS, MAPK8IP3, FLNB, FLNC, FOS, FGF20, FGF22, CACNG5, CACNG4, RPS6KA6, GNA12, PLA2G4D, MKNK2, GRB2, NR4A1, HRAS, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, HSPB1, FAS, IKBKB, IL1A, IL1B, FASLG, JUN, JUND, KRAS, STMN1, ARRB1, ARRB2, MAPT, MAX, MEF2C, MAP3K1, MAP3K3, MAP3K4, MAP3K5, MAP3K11, MOS, MYC, GADD45B, ATF4, NF1, NFATC1, NFATC3, NFKB1, NFKB2, NGF, NRAS, NTRK1, NTRK2, PAK1, PAK2, ECSIT, TAOK3, PDGFA, PDGFB, PDGFRA, PDGFRB, NLK, PLA2G4A, PPM1A, PPM1B, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PPP5C, PRKACA, PRKACB, PRKACG, PRKCA, PRKCB, CACNA2D3, PRKCG, MAPK1, MAPK3, GNG12, MAPK7, MAPK8, MAPK11, MAPK9, MAPK10, MAPK13, MAP2K1, MAP2K2, MAP2K3, MAP2K5, MAP2K6, MAP2K7, TAOK1, PTPN7, PTPRR, MAP4K2, RAC1, RAC2, RAC3, RAF1, RAP1A, RAP1B, RASA1, RASGRF1, RASGRF2, CACNG8, CACNG7, CACNG6, RELA, RELB, RPS6KA1, RPS6KA2, RPS6KA3, RRAS, BDNF, MAPK12, MAP2K4, SOS1, SOS2, SRF, BRAF, STK3, STK4, MAP3K7, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TNFRSF1A, TP53, TRAF2, TRAF6, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1E, CACNA1F, CACNA1S, CACNA2D1, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, MAPKAPK3, FGF23, CASP3, PTPN5, MAP4K3, MKNK1, LAMTOR3, FGF18, FGF17, CACNA1I, CACNA1H, CACNA1G, RPS6KA4, CACNA2D2, CD14, TAOK2, CACNA2D4, MAP4K4, RAPGEF2, CDC25B, FGF19, CDC42"
"ErbB signaling pathway",0,0,0,84,76,"AKT3, CDKN1A, CDKN1B, PAK4, NRG3, CRK, CRKL, HBEGF, EGF, EGFR, EIF4EBP1, ELK1, ERBB2, ERBB3, ERBB4, AKT1, AKT2, CBLC, MTOR, ABL1, GAB1, SHC2, ABL2, GRB2, GSK3B, NRG1, HRAS, ARAF, JUN, KRAS, SHC4, MYC, NCK1, NRAS, PAK1, PAK2, PIK3CA, PIK3CB, PIK3CD, PIK3R2, PLCG1, SHC3, PRKCA, PRKCB, PRKCG, MAPK1, MAPK3, MAPK8, MAPK9, MAPK10, MAP2K1, MAP2K2, MAP2K7, PAK6, BAD, PTK2, RAF1, RPS6KB1, RPS6KB2, MAP2K4, SHC1, SOS1, SOS2, BRAF, STAT5A, STAT5B, TGFA, CAMK2A, CAMK2B, CAMK2D, CAMK2G, NCK2, PIK3R3, CBL, CBLB, NRG2"
"Ras signaling pathway",0,0,0,221,177,"AKT3, RASGRP1, RASGRP2, PAK4, GNB5, PLA2G16, CHUK, PLA2G4E, CSF1, CSF1R, CALML6, EFNA1, EFNA2, EFNA4, EFNA5, EGF, EGFR, EPHA2, ELK1, AKT1, AKT2, ETS1, FGF1, FGF2, FGF4, FGF5, FGF6, FGF8, FGF9, FGF10, FGF11, FGF12, FGF14, FGFR1, FGFR3, FGFR2, FGFR4, MRAS, RGL1, FLT1, FLT4, ABL1, GAB1, SHC2, FGF20, ABL2, FGF22, LAT, GNB2, GNG3, GNG7, GNG10, GNG11, GNGT1, GNGT2, PLA2G4D, ANGPT1, ANGPT2, GRB2, GRIN1, GRIN2A, TBK1, PLA2G2E, HGF, HRAS, HTR7, IGF1, IGF1R, IKBKB, FASLG, INS, INSR, KDR, KIT, ARF6, KRAS, RHOA, SHC4, MET, KITLG, FOXO4, NF1, NFKB1, NGF, NGFR, NRAS, PLA2G3, PAK1, PAK2, PLA1A, ANGPT4, PDGFA, PDGFB, PDGFRA, PDGFRB, GNG13, CALML5, PGF, PIK3CA, PIK3CB, PIK3CD, PIK3R2, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLCG1, SHC3, PLD2, GNG2, PRKACA, PRKACB, PRKACG, EXOC2, PRKCA, PRKCB, PRKCG, MAPK1, MAPK3, GNG12, MAPK8, MAPK9, MAPK10, PDGFC, MAP2K1, MAP2K2, PAK6, BAD, PTPN11, RAB5A, RAB5B, RAB5C, RAC1, RAC2, RAC3, RAF1, RALA, RALGDS, RAP1A, RAP1B, RASA1, RASGRF1, RASGRF2, GNB4, RELA, BCL2L1, RRAS, PLA2G2F, SHC1, SOS1, SOS2, STK4, TEK, TIAM1, VEGFB, ZAP70, CALM1, PDGFD, SHOC2, CALM2, FGF23, CALM3, CALML3, PLA2G12A, BRAP, PLA2G6, PLA2G10, PLA2G12B, PIK3R3, FGF18, FGF17, CALML4, GNG8, RIN1, GAB2, FGF19, CDC42"
"Rap1 signaling pathway",0,0,0,207,162,"AKT3, RASGRP2, ADCY1, ADCY2, ADCY3, RAPGEF4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, CNR1, ADORA2A, ADORA2B, CRK, CRKL, MAPK14, CSF1, CSF1R, CTNNB1, CTNND1, CALML6, DRD2, LPAR1, EFNA1, EFNA2, EFNA4, EFNA5, EGF, EGFR, ADCY4, EPHA2, AKT1, AKT2, F2R, FGF1, FGF2, FGF4, FGF5, FGF6, FGF8, FGF9, FGF10, FGF11, FGF12, FGF14, FGFR1, FGFR3, FGFR2, FGFR4, MRAS, FLT1, PLCB1, FLT4, LPAR3, FPR1, PRKD3, PRKD2, FGF20, FGF22, LAT, GNAI1, GNAI3, GNAO1, GNAQ, GNAS, ANGPT1, ANGPT2, RAPGEF1, GRIN1, GRIN2A, HGF, HRAS, ID1, IGF1, IGF1R, INS, INSR, ITGAM, ITGB1, ITGB2, KDR, KIT, KRAS, RHOA, LCP2, MET, KITLG, NGF, NGFR, NRAS, PARD6A, ANGPT4, PDGFA, PDGFB, PDGFRA, PDGFRB, CALML5, PGF, PIK3CA, PIK3CB, PIK3CD, PIK3R2, PLCB2, PLCB3, PLCG1, PRKCA, PRKCB, PRKCG, PRKCI, PRKD1, PRKCZ, MAPK1, MAPK3, MAPK11, MAPK13, PDGFC, MAP2K1, MAP2K2, MAP2K3, MAP2K6, PARD3, LPAR5, RAC1, RAC2, RAC3, RAF1, RALA, RALGDS, RAP1A, RAP1B, RAP1GAP, ACTB, RRAS, MAPK12, ARAP3, SIPA1, BRAF, TEK, THBS1, TIAM1, TLN1, VASP, VAV2, VEGFB, CALM1, PDGFD, CALM2, FGF23, CALM3, CALML3, PIK3R3, FGF18, FGF17, LPAR2, CALML4, BCAR1, RAPGEF2, DOCK4, FGF19, CDC42, CDH1"
"cGMP-PKG signaling pathway",0,0,0,161,133,"AKT3, PPIF, MRVI1, MYL9, CREB3, GNA13, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, CNGB1, CNGA1, CREB1, ATF2, CREB3L4, ADRA2A, ADRA2C, ADRB1, ADRB2, ADRB3, KCNU1, CALML6, EDNRA, ADCY4, AKT1, AKT2, PLCB1, ATP1B4, PIK3R5, GATA4, KCNMB3, KCNMB4, GNA11, GNA12, GNAI1, GNAI3, GNAQ, SLC25A4, SLC25A5, GUCY1A2, GUCY1A3, GUCY1B3, MYLK4, INS, INSR, IRS1, ITPR1, ITPR2, ITPR3, KCNMA1, KCNMB1, RHOA, MEF2A, MEF2C, MEF2D, MYLK, PPP1R12A, ATF4, ATP1A1, ATP1A2, NFATC1, NFATC2, NFATC3, NFATC4, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, NOS3, FXYD2, NPPB, NPR1, NPR2, ATP2B1, ATP2B2, ATP2B4, OPRD1, PDE2A, PDE3A, PDE3B, CALML5, PIK3CG, PLCB2, PLCB3, PLN, PPP1CA, PPP1CB, PPP1CC, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCE, PRKG1, PRKG2, MAPK1, MAPK3, MAP2K1, MAP2K2, BAD, RAF1, ROCK1, CREB3L2, SLC8A1, SRF, TRPC6, VASP, VDAC1, VDAC2, VDAC3, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CALM1, CALM2, CALM3, CALML3, CREB3L3, IRS4, MYLK2, PDE5A, IRS2, MYLK3, CALML4, ROCK2, CREB5"
