"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Protein digestion and absorption",0,0,0,79,7,2,"Col3a1, Col5a1","Col12a1, Col14a1, Col5a2, Col1a1, Eln",0.187
"2","ECM-receptor interaction",0,0.001,0.002,75,6,1,"Tnn","Col1a1, Lamb1, Thbs2, Thbs4, Itga11",0.123
"3","Focal adhesion",0,0.015,0.044,179,7,1,"Tnn","Col1a1, Igf1, Lamb1, Thbs2, Thbs4, Itga11",0.091
"4","PI3K-Akt signaling pathway",0.001,0.072,0.312,322,8,2,"Il4ra, Tnn","Col1a1, Igf1, Lamb1, Thbs2, Thbs4, Itga11",0.137
"5","Relaxin signaling pathway",0.001,0.072,0.362,125,5,4,"Col3a1, Mmp13, Mmp2, Nos2","Col1a1",0.42
"6","Complement and coagulation cascades",0.002,0.092,0.594,84,4,4,"Bdkrb1, Cfi, Masp1, Kng2","",0.524
"7","Hematopoietic cell lineage",0.003,0.092,0.647,86,4,2,"Il11, Il4ra","Fcgr1, Anpep",0.273
"8","IL-17 signaling pathway",0.003,0.095,0.764,90,4,4,"Cxcl10, Mmp13, Mmp3, Cxcl5","",0.522
"9","HIF-1 signaling pathway",0.004,0.106,1,97,4,2,"Nos2, Timp1","Hif1a, Igf1",0.271
"10","AGE-RAGE signaling pathway in diabetic complications",0.004,0.106,1,100,4,3,"Col3a1, Mmp2, Nox4","Col1a1",0.395
"11","Cytosolic DNA-sensing pathway",0.005,0.106,1,52,3,2,"Cxcl10, Il33","Zbp1",0.362
"12","Cytokine-cytokine receptor interaction",0.006,0.106,1,243,6,6,"Ccr5, Cxcl10, Il11, Il4ra, Ccl8, Cxcl5","",0.512
"13","TNF signaling pathway",0.006,0.106,1,106,4,3,"Bcl3, Cxcl10, Mmp3","Mmp14",0.394
"14","Renin-angiotensin system",0.021,0.368,1,33,2,1,"Agtr2","Anpep",0.28
"15","Phagosome",0.022,0.372,1,160,4,0,"","Ctss, Fcgr1, Thbs2, Thbs4",0.012
"16","Valine, leucine and isoleucine biosynthesis",0.027,0.407,1,4,1,1,"Bcat1","",0.625
"17","Chemokine signaling pathway",0.028,0.407,1,171,4,4,"Ccr5, Cxcl10, Ccl8, Cxcl5","",0.512
"18","Arginine and proline metabolism",0.038,0.523,1,46,2,2,"Nos2, P4ha3","",0.522
"19","Caffeine metabolism",0.04,0.523,1,6,1,1,"Uox","",0.583
