"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"838",11307,"Abcg1","MedConf","Yes",NA,"Ctss","Phagosome (1)"
"1138",11568,"Aebp1","HighConf","Yes",NA,"Efemp2, Col5a1, Mmp2","Protein digestion and absorption (1), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1)"
"1190",11609,"Agtr2","HighConf","Yes","Renin-angiotensin system","Cxcl10, Cxcl5, Saa2, Ccr5, Kng2, Bdkrb1, Saa1","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Complement and coagulation cascades (2), IL-17 signaling pathway (2), TNF signaling pathway (1), Cytosolic DNA-sensing pathway (1)"
"1465",16790,"Anpep","MedConf","Yes","Hematopoietic cell lineage, Renin-angiotensin system",NA,NA
"1549",11810,"Apobec1","MedConf","Yes",NA,"Mpeg1, Ctss","Phagosome (1)"
"1793",66695,"Aspn","MedConf","Yes",NA,"Postn, Col3a1","AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1), Protein digestion and absorption (1)"
"2133",12035,"Bcat1","HighConf","Yes","Valine, leucine and isoleucine biosynthesis",NA,NA
"2153",12051,"Bcl3","HighConf","Yes","TNF signaling pathway","Cxcl10, Sbno2","Chemokine signaling pathway (1), TNF signaling pathway (1), Cytokine-cytokine receptor interaction (1), Cytosolic DNA-sensing pathway (1), IL-17 signaling pathway (1)"
"2169",12061,"Bdkrb1","HighConf","Yes","Complement and coagulation cascades","Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Tacr1, Saa2, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), TNF signaling pathway (1), Cytosolic DNA-sensing pathway (1), Renin-angiotensin system (1), Complement and coagulation cascades (1)"
"2744",20307,"Ccl8","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Ms4a6d, Ms4a7, Fcgr1, Ccr5","Phagosome (1), Hematopoietic cell lineage (1), Chemokine signaling pathway (1), Cytokine-cytokine receptor interaction (1)"
"2780",12774,"Ccr5","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Saa2, Bdkrb1, Saa1, Kng2, Agtr2, Cxcl10, Fcgr1, Ccl8, Cd300c2, Ms4a6d, Clec4n, Cxcl5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Complement and coagulation cascades (2), Phagosome (1), Hematopoietic cell lineage (1), TNF signaling pathway (1), Cytosolic DNA-sensing pathway (1), Renin-angiotensin system (1)"
