name,imports,weights,datasource,Confidence,Color
Novel.ACTR2,Proteasome.PSMD7,417,experimental,High,green
Novel.ACTR2,Proteasome.PSMA7,900,database,High,green
Novel.ADPRHL1,RNA transport.EIF4B,614,experimental,High,green
Novel.ADPRHL1,RNA transport.RAE1,614,experimental,High,green
Novel.BAG1,RNA transport.NXF1,417,experimental,Medium,green
Novel.BAG1,Proteasome.PSMC1,774,experimental,Medium,green
Novel.BCAS2,RNA transport.SRRM1,900,database,Medium,green
Novel.BCAS2,Proteasome.PSMD3,417,experimental,Medium,green
Novel.BCAS2,RNA transport.ACIN1,503,experimental,Medium,green
Novel.BUB1B,Proteasome.PSMF1,900,database,Medium,green
Novel.BUB1B,RNA transport.RANBP2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC4,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA3,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD7,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA6,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD11,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD3,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB4,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD6,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD12,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA7,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB9,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA1,900,database,Medium,green
Novel.BUB1B,RNA transport.RANGAP1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA4,900,database,Medium,green
Novel.BUB1B,RNA transport.RAE1,774,experimental,Medium,green
Novel.BUB1B,RNA transport.NUP43,900,database,Medium,green
Novel.C9orf72,RNA transport.EIF2S2,534,experimental,High,green
Novel.CCAR1,RNA transport.SRRM1,900,database,High,green
Novel.CCNE1,Proteasome.PSMF1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC4,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA3,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD7,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC1,900,database,Medium,green
