EntrezID,GeneSymbol,ConfidenceCategory,TRIAGEhit
53947,A4GALT,HighConf,No
60509,AGBL5,HighConf,No
91801,ALKBH8,HighConf,No
91074,ANKRD30A,HighConf,No
22881,ANKRD6,HighConf,No
122416,ANKRD9,HighConf,No
55252,ASXL2,HighConf,No
57795,BRINP2,HighConf,No
132321,C4orf33,HighConf,No
138724,C9orf131,HighConf,No
827,CAPN6,HighConf,No
114769,CARD16,HighConf,No
79879,CCDC134,HighConf,No
56650,CLDND1,HighConf,No
1201,CLN3,HighConf,No
285464,CRIPAK,HighConf,No
79848,CSPP1,HighConf,No
375791,CYSRT1,HighConf,No
1662,DDX10,HighConf,No
168400,DDX53,HighConf,No
57696,DDX55,HighConf,No
56919,DHX33,HighConf,No
1657,DMXL1,HighConf,No
83544,DNAL1,HighConf,No
220164,DOK6,HighConf,No
8291,DYSF,HighConf,No
80258,EFHC2,HighConf,No
6924,ELOA,HighConf,No
112479,ERI2,HighConf,No
121506,ERP27,HighConf,No
285550,FAM200B,HighConf,No
203429,FAM226A,HighConf,No
375190,FAM228B,HighConf,No
143684,FAM76B,HighConf,No
84893,FBH1,HighConf,No
55785,FGD6,HighConf,No
2275,FHL3,HighConf,No
2339,FNTA,HighConf,No
2765,GML,HighConf,No
64083,GOLPH3,HighConf,No
79774,GRTP1,HighConf,No
3020,H3F3A,HighConf,No
3508,IGHMBP2,HighConf,No
154865,IQUB,HighConf,No
30818,KCNIP3,HighConf,No
51305,KCNK9,HighConf,No
55693,KDM4D,HighConf,No
80853,KDM7A,HighConf,No
3792,KEL,HighConf,No
23588,KLHDC2,HighConf,No
57626,KLHL1,HighConf,No
7805,LAPTM5,HighConf,No
51520,LARS,HighConf,No
10637,LEFTY1,HighConf,No
83655,LINC00208,HighConf,No
222484,LNX2,HighConf,No
400627,LOC400627,HighConf,No
55791,LRIF1,HighConf,No
55144,LRRC8D,HighConf,No
8581,LY6D,HighConf,No
147719,LYPD4,HighConf,No
58526,MID1IP1,HighConf,No
27249,MMADHC,HighConf,No
84057,MND1,HighConf,No
3140,MR1,HighConf,No
374383,NCR3LG1,HighConf,No
4713,NDUFB7,HighConf,No
4771,NF2,HighConf,No
55768,NGLY1,HighConf,No
2631,NIPSNAP2,HighConf,No
55335,NIPSNAP3B,HighConf,No
4836,NMT1,HighConf,No
8431,NR0B2,HighConf,No
23252,OTUD3,HighConf,No
53354,PANK1,HighConf,No
27328,PCDH11X,HighConf,No
23469,PHF3,HighConf,No
114780,PKD1L2,HighConf,No
65977,PLEKHA3,HighConf,No
148811,PM20D1,HighConf,No
10957,PNRC1,HighConf,No
5449,POU1F1,HighConf,No
63978,PRDM14,HighConf,No
5613,PRKX,HighConf,No
5813,PURA,HighConf,No
9364,RAB28,HighConf,No
84084,RAB6C,HighConf,No
10244,RABEPK,HighConf,No
9827,RGP1,HighConf,No
140730,RIMS4,HighConf,No
81790,RNF170,HighConf,No
79102,RNF26,HighConf,No
126638,RPTN,HighConf,No
6253,RTN2,HighConf,No
9853,RUSC2,HighConf,No
23256,SCFD1,HighConf,No
6397,SEC14L1,HighConf,No
23176,SEPT8,HighConf,No
91404,SESTD1,HighConf,No
113402,SFT2D1,HighConf,No
113235,SLC46A1,HighConf,No
221491,SMIM29,HighConf,No
134548,SOWAHA,HighConf,No
3431,SP110,HighConf,No
6683,SPAST,HighConf,No
26010,SPATS2L,HighConf,No
8869,ST3GAL5,HighConf,No
342667,STAC2,HighConf,No
83930,STARD3NL,HighConf,No
7023,TFAP4,HighConf,No
7030,TFE3,HighConf,No
90326,THAP3,HighConf,No
9375,TM9SF2,HighConf,No
92293,TMEM132C,HighConf,No
81615,TMEM163,HighConf,No
57583,TMEM181,HighConf,No
83857,TMTC1,HighConf,No
23534,TNPO3,HighConf,No
9868,TOMM70,HighConf,No
27433,TOR2A,HighConf,No
59347,TPT1P8,HighConf,No
58485,TRAPPC1,HighConf,No
25893,TRIM58,HighConf,No
57570,TRMT5,HighConf,No
79861,TUBAL3,HighConf,No
56893,UBQLN4,HighConf,No
83844,USP26,HighConf,No
9098,USP6,HighConf,No
23038,WDTC1,HighConf,No
65125,WNK1,HighConf,No
114786,XKR4,HighConf,No
64848,YTHDC2,HighConf,No
57621,ZBTB2,HighConf,No
7569,ZNF182,HighConf,No
6940,ZNF354A,HighConf,No
80818,ZNF436,HighConf,No
57473,ZNF512B,HighConf,No
9745,ZNF536,HighConf,No
124411,ZNF720,HighConf,No
146540,ZNF785,HighConf,No
163049,ZNF791,HighConf,No
128611,ZNF831,HighConf,No
