"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Ribosome",0,0,0,67,19,"RPL3, RPL9, RPL10, RPL11, RPL22, RPL26, RPL36A, RPS8, RPS10, RPS11, RPS13, RPS15A, RPS16, RPS20, RPS27, UBA52, RPS27L, RSL24D1, RPL10L"
"Pathogenic Escherichia coli infection",0,0,0.001,48,10,"CTTN, FYN, ITGB1, ARHGEF2, ROCK2, ARPC3, ARPC2, TUBB4A, TUBB4B, OCLN"
"Tight junction",0,0,0.001,120,16,"ACTN4, CTTN, MYH3, MYH4, MYH6, MYH7, MYH9, PPP2R2B, PRKCI, SYMPK, YBX3, MYH13, MAGI2, PPP2R2D, MYH7B, OCLN"
"RNA transport",0,0,0.001,127,16,"EEF1A1, EIF4G1, SMN1, TPR, XPO1, THOC5, EIF3B, EIF5B, NUP93, EIF1, EIF1B, NXF1, NUPL2, GEMIN5, THOC2, PABPC4L"
"Regulation of actin cytoskeleton",0,0.001,0.005,192,19,"ACTN4, APC, CHRM4, DOCK1, EGF, INSRR, ITGB1, ITGB8, MSN, MYH9, RDX, ARHGEF1, ROCK2, ARPC3, ARPC2, GIT1, ARHGEF4, DIAPH3, MYLK2"
"Viral myocarditis",0,0.001,0.006,48,9,"EIF4G1, FYN, MYH3, MYH4, MYH6, MYH7, MYH9, MYH13, MYH7B"
"Antigen processing and presentation",0,0.002,0.013,41,8,"B2M, CANX, HSPA1L, HSPA2, HSPA8, HSP90AA1, HSP90AB1, KLRC3"
"Type II diabetes mellitus",0,0.003,0.022,44,8,"CACNA1A, CACNA1D, MTOR, HK1, PKLR, MAPK10, SOCS1, SOCS2"
"Focal adhesion",0,0.003,0.03,182,17,"ACTN4, BIRC2, COL1A1, COL5A1, DOCK1, EGF, FLNA, FYN, ITGB1, ITGB8, MAPK10, RELN, RAP1B, RASGRF1, ROCK2, TLN2, MYLK2"
"Drug metabolism - other enzymes",0,0.008,0.082,29,6,"DPYS, IMPDH1, IMPDH2, UMPS, UPP2, CES5A"
"Pyrimidine metabolism",0,0.01,0.107,83,10,"DPYS, POLA1, POLE, POLR2B, UMPS, POLR3A, POLR1A, NME7, UPRT, UPP2"
"Shigellosis",0.001,0.013,0.161,58,8,"DOCK1, CTTN, ITGB1, MAPK10, U2AF1, ROCK2, ARPC3, ARPC2"
"GnRH signaling pathway",0.001,0.02,0.265,93,10,"CACNA1D, CGA, ITPR1, ITPR3, PLCB2, PLD2, MAPK10, MAP2K3, MAP3K2, PLA2G4B"
"Hypertrophic cardiomyopathy (HCM)",0.001,0.024,0.338,80,9,"CACNA1D, ITGB1, ITGB8, LMNA, MYH6, MYH7, PRKAA1, TPM2, TPM3"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",0.002,0.037,0.558,70,8,"ACTN4, CACNA1D, DSC2, GJA1, ITGB1, ITGB8, LMNA, TCF7L2"
"Insulin signaling pathway",0.003,0.043,0.684,123,11,"MTOR, HK1, LIPE, PKLR, PRKAA1, PRKCI, MAPK10, PTPN1, TSC2, SOCS1, SOCS2"
"MAPK signaling pathway",0.004,0.05,0.856,244,17,"CACNA1A, CACNA1D, EGF, FLNA, HSPA1L, HSPA2, HSPA8, IL1A, NF1, MAPK10, MAP2K3, RAP1B, RASGRF1, RPS6KA4, MAP3K2, TAB2, PLA2G4B"
"Gap junction",0.004,0.052,0.938,76,8,"EGF, GJA1, ITPR1, ITPR3, PLCB2, TUBB4A, TUBB4B, MAP3K2"
"Toxoplasmosis",0.004,0.052,0.996,111,10,"BIRC2, HSPA1L, HSPA2, HSPA8, ITGB1, MAPK10, MAP2K3, SOCS1, TAB2, PLA2G4B"
"NOD-like receptor signaling pathway",0.005,0.062,1,48,6,"BIRC2, HSP90AA1, HSP90AB1, MAPK10, TNFAIP3, TAB2"
"Long-term depression",0.006,0.069,1,65,7,"CACNA1A, GNAZ, ITPR1, ITPR3, PLCB2, RYR1, PLA2G4B"
"Vascular smooth muscle contraction",0.007,0.075,1,101,9,"CACNA1D, ITPR1, ITPR3, PLCB2, ARHGEF1, ROCK2, ARHGEF11, MYLK2, PLA2G4B"
"Dilated cardiomyopathy",0.008,0.08,1,85,8,"CACNA1D, ITGB1, ITGB8, LMNA, MYH6, MYH7, TPM2, TPM3"
"Thyroid cancer",0.01,0.09,1,25,4,"PPARG, TCF7L2, TPM3, TPR"
"DNA replication",0.016,0.146,1,29,4,"MCM3, POLA1, POLE, RFC1"
"Long-term potentiation",0.02,0.174,1,63,6,"CREBBP, GRIN2B, ITPR1, ITPR3, PLCB2, RAP1B"
"Prostate cancer",0.021,0.18,1,82,7,"CREBBP, EGF, MTOR, HSP90AA1, HSP90AB1, INSRR, TCF7L2"
"Cardiac muscle contraction",0.03,0.241,1,69,6,"CACNA1D, MYH6, MYH7, TPM2, TPM3, COX7A2L"
"RNA polymerase",0.033,0.26,1,21,3,"POLR2B, POLR3A, POLR1A"
"Adipocytokine signaling pathway",0.05,0.379,1,59,5,"ACSL4, MTOR, PPARA, PRKAA1, MAPK10"
"Taste transduction",0.052,0.381,1,25,3,"CACNA1A, ITPR3, PLCB2"
"Bacterial invasion of epithelial cells",0.071,0.484,1,65,5,"DOCK1, CTTN, ITGB1, ARPC3, ARPC2"
"mRNA surveillance pathway",0.071,0.484,1,65,5,"PPP2R2B, SYMPK, NXF1, PPP2R2D, PABPC4L"
"Adherens junction",0.074,0.49,1,66,5,"ACTN4, CREBBP, FYN, PTPN1, TCF7L2"
"mTOR signaling pathway",0.076,0.49,1,47,4,"MTOR, HIF1A, PRKAA1, TSC2"
"Huntington's disease",0.081,0.506,1,154,9,"SLC25A5, ATP5B, CREBBP, GRIN2B, ITPR1, PLCB2, POLR2B, PPARG, COX7A2L"
"Carbohydrate digestion and absorption",0.109,0.667,1,34,3,"CACNA1D, HK1, PLCB2"
"Protein processing in endoplasmic reticulum",0.123,0.718,1,145,8,"CANX, HSPA1L, HSPA2, HSPA8, HSP90AA1, HSP90AB1, NFE2L2, MAPK10"
"PPAR signaling pathway",0.124,0.718,1,56,4,"ACSL4, PPARA, PPARG, UBC"
"ECM-receptor interaction",0.128,0.718,1,78,5,"COL1A1, COL5A1, ITGB1, ITGB8, RELN"
"Butirosin and neomycin biosynthesis",0.13,0.718,1,4,1,"HK1"
"Mismatch repair",0.137,0.735,1,19,2,"MSH2, RFC1"
"Colorectal cancer",0.143,0.749,1,59,4,"APC, MSH2, MAPK10, TCF7L2"
"Leukocyte transendothelial migration",0.16,0.82,1,107,6,"ACTN4, ITGB1, MSN, RAP1B, ROCK2, OCLN"
"Pancreatic secretion",0.171,0.86,1,86,5,"ITPR1, ITPR3, PLCB2, RAP1B, PLA2G4B"
"Osteoclast differentiation",0.18,0.876,1,111,6,"FYN, IL1A, PPARG, MAPK10, SOCS1, TAB2"
"Ribosome biogenesis in eukaryotes",0.182,0.876,1,65,4,"XPO1, NXF1, NOP56, LSG1"
"Calcium signaling pathway",0.19,0.897,1,162,8,"SLC25A5, CACNA1A, CACNA1D, ITPR1, ITPR3, PLCB2, RYR1, MYLK2"
"Spliceosome",0.201,0.919,1,115,6,"HSPA1L, HSPA2, HSPA8, U2AF1, PPIH, THOC2"
