"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Platinum drug resistance",0,0,0,73,4,"FAS, BAK1, CASP8, FADD"
"Apoptosis - multiple species",0,0,0,31,3,"BAK1, CASP8, FADD"
"Apoptosis",0,0,0.001,135,4,"FAS, BAK1, CASP8, FADD"
"Necroptosis",0,0,0.001,162,4,"CHMP4B, FAS, CASP8, FADD"
"IL-17 signaling pathway",0,0.003,0.013,91,3,"IL17C, CASP8, FADD"
"TNF signaling pathway",0,0.004,0.022,108,3,"FAS, CASP8, FADD"
"p53 signaling pathway",0.002,0.05,0.375,66,2,"FAS, CASP8"
"RIG-I-like receptor signaling pathway",0.002,0.05,0.398,68,2,"CASP8, FADD"
"Toll-like receptor signaling pathway",0.004,0.098,0.886,102,2,"CASP8, FADD"
"Non-alcoholic fatty liver disease (NAFLD)",0.007,0.174,1,144,2,"FAS, CASP8"
"NOD-like receptor signaling pathway",0.009,0.204,1,164,2,"CASP8, FADD"
"Cytokine-cytokine receptor interaction",0.022,0.462,1,263,2,"IL17C, FAS"
"Type I diabetes mellitus",0.038,0.719,1,41,1,"FAS"
