"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Metabolic pathways",0,0,0,1212,38,"POMT1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP8B1, CYP11B2, DPYD, AK9, FDFT1, GGT1, AMPD2, GK2, GLS2, GOT2, ST8SIA5, GMPPA, HGD, HMOX2, MMAB, IDS, RRM2B, ATP5B, COQ3, PIK3C2B, MTMR8, BAAT, ENOPH1, SORD, UAP1, ITPKC, PIP5K1B, HSD17B6, ST3GAL5, SYNJ2, COX5A, PGS1"
"Primary bile acid biosynthesis",0,0.001,0.003,17,4,"CYP7A1, CYP8B1, BAAT, CH25H"
"Steroid hormone biosynthesis",0,0.006,0.018,50,5,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6"
"Inositol phosphate metabolism",0,0.027,0.106,73,5,"PIK3C2B, MTMR8, ITPKC, PIP5K1B, SYNJ2"
"Phosphatidylinositol signaling system",0.002,0.078,0.389,97,5,"PIK3C2B, MTMR8, ITPKC, PIP5K1B, SYNJ2"
"Apoptosis - multiple species",0.002,0.102,0.613,31,3,"BAK1, CASP8, FADD"
"PPAR signaling pathway",0.004,0.111,0.897,72,4,"CPT1B, CYP7A1, CYP8B1, GK2"
"Platinum drug resistance",0.004,0.111,0.943,73,4,"FAS, BAK1, CASP8, FADD"
"Taurine and hypotaurine metabolism",0.004,0.111,0.997,11,2,"GGT1, BAAT"
"Apoptosis",0.007,0.152,1,135,5,"EIF2S1, FAS, BAK1, CASP8, FADD"
"Cysteine and methionine metabolism",0.007,0.152,1,44,3,"AHCYL1, GOT2, ENOPH1"
"Glycosphingolipid biosynthesis - ganglio series",0.007,0.155,1,15,2,"ST8SIA5, ST3GAL5"
"Non-alcoholic fatty liver disease (NAFLD)",0.009,0.163,1,144,5,"EIF2S1, FAS, ADIPOR2, CASP8, COX5A"
"Glutathione metabolism",0.012,0.21,1,54,3,"GGT1, GPX4, RRM2B"
"Arginine biosynthesis",0.013,0.211,1,20,2,"GLS2, GOT2"
"NOD-like receptor signaling pathway",0.014,0.211,1,164,5,"PYDC1, IL18, TRPV2, CASP8, FADD"
"Necroptosis",0.014,0.211,1,162,5,"CHMP4B, FAS, STAT4, CASP8, FADD"
"p53 signaling pathway",0.02,0.279,1,66,3,"FAS, RRM2B, CASP8"
"Fructose and mannose metabolism",0.028,0.373,1,30,2,"GMPPA, SORD"
"D-Glutamine and D-glutamate metabolism",0.035,0.41,1,4,1,"GLS2"
"Tyrosine metabolism",0.036,0.41,1,34,2,"GOT2, HGD"
"Porphyrin and chlorophyll metabolism",0.038,0.41,1,35,2,"HMOX2, MMAB"
"Alanine, aspartate and glutamate metabolism",0.038,0.41,1,35,2,"GLS2, GOT2"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.043,0.45,1,5,1,"GOT2"
"IL-17 signaling pathway",0.046,0.458,1,91,3,"IL17C, CASP8, FADD"
"Ferroptosis",0.048,0.462,1,40,2,"SAT2, GPX4"
