"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Hippo signaling pathway",0,0,0,150,65,32,"APC2, RASSF1, FRMD6, CTNNA2, AMOT, DLG2, BBC3, GLI2, CTNNA3, BIRC2, ITGB2, MYC, WNT4, PPP1CA, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, CCND1, BMP2, BMPR1A, SNAI2, TGFB3, TGFBR2, WNT3, WNT7A, YWHAE, FZD3, WNT5B, AXIN2, BTRC, LIMD1","FZD10, WTIP, CSNK1D, CTNNA1, GDF7, DVL2, DVL3, SCRIB, LATS2, CRB2, ID1, SMAD2, SMAD7, SERPINE1, PPP1CB, PPP2R2C, MOB1A, BMP6, SOX2, TGFB1, TP53BP2, TP73, WNT1, WNT6, WNT8A, WNT2B, GDF5, FZD1, FZD6, FZD9, TEAD2, NKD1, CDH1",0.463
"2","ErbB signaling pathway",0,0.001,0.001,85,39,15,"NRG3, ELK1, ABL1, NRG1, MYC, NCK1, NRAS, PIK3CD, PRKCA, PRKCB, MAPK9, MAP2K2, RPS6KB1, CAMK2D, CAMK2G","CRK, ERBB2, ERBB3, EREG, AKT1, CBLC, MTOR, HRAS, ARAF, PAK1, PAK3, PIK3CB, PLCG2, MAPK10, MAP2K7, PTK2, RPS6KB2, MAP2K4, SRC, STAT5A, BTC, NCK2, CBL",0.422
"3","Wnt signaling pathway",0,0.001,0.003,140,56,32,"APC2, CSNK2B, DAAM1, FRAT2, DKK4, LRP6, MMP7, MYC, NFATC1, SERPINF1, WNT4, PPP3R1, PRKCA, PRKCB, MAPK9, PSEN1, CHD8, RAC1, RAC3, CCND1, SFRP5, WNT3, WNT7A, TBL1XR1, FZD3, WNT5B, CAMK2D, CAMK2G, AXIN2, RUVBL1, BTRC, RBX1","FZD10, CSNK1A1L, CTBP2, DVL2, DVL3, PLCB1, DAAM2, CACYBP, DKK2, NFATC2, NFATC3, PPP3CB, MAPK10, TBL1X, WNT1, WNT6, WNT8A, WNT2B, FOSL1, FZD1, FZD6, FZD9, NKD1, NKD2",0.486
"4","Glutamatergic synapse",0,0.01,0.052,113,44,18,"GNB5, ADCY3, ADCY9, GLS2, GNB1, GNGT1, GRIK1, GRIK4, GRIN2B, GRM3, GRM7, ITPR2, PPP3R1, PRKCA, PRKCB, SLC17A7, CACNA1A, SHANK3","ADCY2, ADCY5, ADCY6, ADCY7, ADCY8, SHANK2, PLCB1, GLS, GLUL, GRIA1, GRIA2, GRIA4, GRIK2, GRIN1, GRM4, SHANK1, PLD2, GNG2, SLC38A2, PPP3CB, GNG12, SLC1A1, TRPC1, PLA2G4C, DLGAP1, HOMER1",0.399
"5","Olfactory transduction",0,0.01,0.056,399,125,46,"OR5I1, ADCY3, OR4D2, CNGA3, OR6K6, OR6B1, OR13C5, OR5R1, OR5AR1, OR10S1, OR5A1, OR4D11, OR1C1, OR1A2, OR1J4, OR2K2, OR10J1, OR8B2, OR7E24, OR1L1, GNAL, GNB1, OR9G4, OR8S1, OR6S1, OR52K1, OR51D1, OR52E6, OR10A6, OR8H2, OR5B12, OR6M1, OR4K13, OR4F6, OR13C2, OR1L6, OR14I1, OR2T27, OR4M1, OR2B3, PDE2A, SLC8A3, OR51G1, OR6N2, CAMK2D, CAMK2G","OR4X2, OR5P3, OR2D2, OR52W1, OR10P1, OR10AD1, OR4L1, SLC24A4, OR1M1, CNGA2, OR1I1, OR2T12, OR14C36, OR2B11, OR10X1, OR9A2, OR13F1, OR1N1, OR52I2, OR51E1, OR4C6, OR5D18, OR5T2, OR8K3, OR9I1, OR4D6, OR1L4, OR51F1, OR7A17, OR5H1, OR8B8, OR10A3, OR10G3, OR7A5, OR4F4, OR2H1, OR8D1, OR4N4, OR2Z1, OR13D1, OR5F1, OR6V1, OR2A1, OR1B1, OR56A3, OR5T1, OR8K1, OR5M1, OR5AK2, OR4D10, OR4D9, OR6C75, OR4K2, OR10K1, OR6Y1, OR5C1, OR1K1, OR2A5, OR4A47, OR4C45, OR6C65, ARRB1, OR4Q3, OR10C1, OR2A2, OR2C1, PDE1C, OR2S2, SLC8A1, OR5H6, OR4K5, OR2H2, CALML3, OR51G2, OR4A5, OR4A15, OR2G3, OR2G2, OR12D3",0.341
"6","Cellular senescence",0,0.01,0.073,158,57,29,"TRAF3IP2, CHEK1, MAPK14, HIPK4, GADD45A, FOXO3, SIRT1, HIPK2, SLC25A6, HLA-A, ITPR2, MYC, GADD45B, NFATC1, NRAS, PIK3CD, PPID, PPP1CA, PPP3R1, MAPK11, MAP2K2, CCND1, TGFB3, TGFBR2, VDAC1, CAPN1, SQSTM1, BTRC, CDC25A","CDK2, RAD9B, E2F1, HIPK1, AKT1, RRAS2, FOXO1, MTOR, SLC25A5, HLA-C, HLA-E, HRAS, SMAD2, MDM2, NFATC2, NFATC3, SERPINE1, PIK3CB, TRPM7, PPP1CB, PPP3CB, RAD9A, RBBP4, RBL2, TRPV4, TGFB1, CALML3, RASSF5",0.435
"7","Necroptosis",0,0.01,0.081,162,58,32,"RIPK3, FAF1, SPATA2L, PARP4, PYCARD, SLC25A6, H2AFZ, BIRC2, HSP90AA1, IFNA5, IFNA6, IFNG, PPIA, PPID, MAPK9, PYGB, PYGL, BCL2, STAT6, VDAC1, ZBP1, CAMK2D, CAMK2G, CAPN1, HIST1H2AI, HIST1H2AK, HIST1H2AJ, HIST1H2AC, H2AFB3, TNFRSF10B, SQSTM1, HIST3H2A","PARP2, RBCK1, CHMP4B, MLKL, GLUL, SLC25A5, H2AFX, BIRC3, IFNA1, IFNA4, IFNA10, IFNAR1, IFNAR2, IFNGR2, JAK2, JAK3, H2AFB2, TRPM7, MAPK10, STAT3, STAT5A, HIST2H2AC, PLA2G4C, TNFSF10, H2AFV, H2AFY",0.455
"8","AGE-RAGE signaling pathway in diabetic complications",0,0.01,0.088,99,39,17,"COL4A4, MAPK14, NFATC1, NRAS, NOX4, PIK3CD, PLCD1, PRKCA, PRKCB, MAPK11, MAPK9, RAC1, CCND1, BCL2, TGFB3, TGFBR2, VEGFA","COL4A1, AKT1, FOXO1, PLCB1, FN1, HRAS, JAK2, SMAD2, MMP2, SERPINE1, PIK3CB, PIM1, PLCG2, PRKCD, PRKCE, MAPK10, STAT3, STAT5A, TGFB1, THBD, VCAM1",0.415
"9","Dopaminergic synapse",0,0.01,0.117,130,48,29,"GNB5, COMT, MAPK14, CREB3L4, GNAL, GNB1, GNGT1, GRIN2B, ITPR2, KCNJ5, KIF5B, MAOB, ATF4, CALY, PPP1CA, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R5C, PRKCA, PRKCB, MAPK11, MAPK9, SCN1A, CACNA1A, CAMK2D, CAMK2G, PPP1R1B","ADCY5, AKT1, PLCB1, FOS, PPP2R3B, GRIA1, GRIA2, GRIA4, GNG2, PPP1CB, PPP2R2C, PPP2R5D, PPP3CB, GNG12, MAPK10, CREB3L2, SLC18A1, TH, CALML3",0.487
"10","MAPK signaling pathway",0,0.01,0.118,252,83,41,"RASGRP1, RASGRP2, MAPK14, DAXX, GADD45A, DDIT3, ELK1, FGFR2, MAPK8IP3, FLNC, RASGRP3, CACNG5, HSPB1, MYC, GADD45B, ATF4, NFATC1, NFKB2, NRAS, NTF4, PPP3R1, PRKCA, PRKCB, MAPK11, MAPK9, MAP2K2, MAP2K5, MAP4K2, RAC1, RAC3, CACNG6, RPS6KA2, TGFB3, TGFBR2, CACNA1A, CACNB2, IL1R2, DUSP16, FGF18, CACNA2D4, MAP4K4","CRK, DUSP2, DUSP3, DUSP4, DUSP8, AKT1, FGF2, FGF5, RRAS2, FLNA, FLNB, FOS, FGF22, HRAS, HSPA1A, ARRB1, MAPT, MAP3K4, NFATC3, NTRK2, PAK1, ECSIT, PPP3CB, GNG12, MAPK10, MAP2K7, CACNG7, RPS6KA3, MAP2K4, TGFB1, CACNA1E, MAP3K12, CACNB1, MAP4K3, MAPKAPK5, MKNK1, PLA2G4C, LAMTOR3, FGF16, CACNA1H, CACNA1G, RPS6KA5",0.412
