"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all"
"1",50514,"1-Dec",1451,"MedConf","Novel",NA,3,"PPP1CA, PER1, RORC"
"2",989,"7-Sep",1315,"MedConf","Novel",NA,1,"MYH10"
"3",21,"ABCA3",1760,"HighConf","Novel",NA,1,"ESR1"
"4",10347,"ABCA7",1223,"MedConf","Novel",NA,2,"ATP1A4, ATP1A2"
"5",5244,"ABCB4",1816,"MedConf","Novel",NA,3,"TBL1XR1, CARM1, TBL1X"
"6",22,"ABCB7",141,"MedConf","Novel",NA,1,"ATP6V1D"
"7",4363,"ABCC1",343,"HighConf","Novel","Sphingolipid signaling pathway",12,"STX4, TMOD2, TMCO1, STT3B, TMX2, PGRMC2, VDAC1, MRPL17, PUF60, FKBP8, PDCD6IP, HNRNPL"
"8",1244,"ABCC2",186,"HighConf","Novel",NA,3,"ATP6V1B1, ATP6V1E1, RAB11B"
"9",10061,"ABCF2",251,"MedConf","Novel",NA,3,"POLR1C, ATP1A2, ATP1A4"
"10",10152,"ABI2",300,"MedConf","Novel","Regulation of actin cytoskeleton",24,"WASF3, WASF1, NCK1, ARPC5, ARPC4, MYO5A, FCGR2A, BCAR1, FCGR3A, KDR, ELMO2, NCKIPSD, NCKAP1, NCKAP1L, RAC3, FCGR1A, BRK1, BAIAP2, PTK2, ABL1, VAV1, CRK, RAC1, HSP90AA1"
"11",25,"ABL1",45,"HighConf","Novel","ErbB signaling pathway, Axon guidance, Neurotrophin signaling pathway, Cell cycle",39,"MAPK14, CDK2, CLASP1, CRK, ROBO1, RAC1, MAPK11, E2F1, CBL, ABI2, WASF3, WASF1, CTNNA1, CCND1, STAT5A, FGR, YES1, KAT5, BRCA1, TFDP1, NTRK2, BCR, SPAG9, EPHB2, NCKAP1, NCKAP1L, RAC3, CDON, MEF2A, EPHA7, EPHB3, NTRK3, CBLC, TP73, NAA25, RTFDC1, CLASP2, BRK1, BAIAP2"
"12",80325,"ABTB1",362,"MedConf","Novel",NA,2,"RBX1, BTRC"
"13",39,"ACAT2",1400,"HighConf","Novel",NA,2,"YWHAE, VASP"
"14",55331,"ACER3",1917,"MedConf","Novel",NA,2,"PPAP2C, SGPP1"
"15",641371,"ACOT1",1521,"MedConf","Novel",NA,1,"PFKL"
"16",55856,"ACOT13",1406,"MedConf","Novel",NA,2,"ATIC, PPP2R4"
"17",23205,"ACSBG1",1798,"HighConf","Novel",NA,1,"CPT1A"
"18",2180,"ACSL1",1467,"MedConf","Novel",NA,4,"TBL1XR1, CARM1, CPT1A, TBL1X"
"19",70,"ACTC1",840,"MedConf","Novel","Adrenergic signaling in cardiomyocytes",3,"MYH7, MYH10, TPM1"
"20",72,"ACTG2",1185,"MedConf","Novel","Vascular smooth muscle contraction",9,"MYBPH, MYBPC1, MYH10, MYL12A, TPM1, MYH8, MYH1, MYH7, MYL10"
"21",10121,"ACTR1A",28,"HighConf","Novel",NA,10,"PPP2R1A, YWHAE, HSP90AA1, CDC45, CSNK1D, HLA-DMB, KIF5B, KIF3A, HLA-DPA1, CAD"
"22",102,"ADAM10",851,"MedConf","Novel",NA,7,"EPHA7, EFNA3, EPHA8, CTNNA1, CDH1, EFNA1, EFNA5"
"23",140766,"ADAMTS14",1868,"MedConf","Novel",NA,1,"THBS1"
"24",171019,"ADAMTS19",1922,"HighConf","Novel",NA,1,"THBS1"
"25",9509,"ADAMTS2",1867,"HighConf","Novel",NA,1,"THBS1"
"26",56999,"ADAMTS9",1926,"MedConf","Novel",NA,1,"THBS1"
"27",92949,"ADAMTSL1",1925,"MedConf","Novel",NA,1,"THBS1"
"28",339366,"ADAMTSL5",1924,"MedConf","Novel",NA,1,"THBS1"
"29",55811,"ADCY10",1828,"MedConf","Novel","cAMP signaling pathway, Apelin signaling pathway, Purine metabolism, Circadian entrainment",22,"POLR1A, PKM, POLR1C, POLR3F, POLR3D, POLR3E, GNGT1, GNG2, GNG12, GNB5, POLR3C, POLR3B, AK9, PDE2A, PDE6G, PDE11A, PDE3A, GCH1, PDE4B, ENTPD1, ENTPD8, PDE1C"
"30",108,"ADCY2",853,"MedConf","Novel","Glutamatergic synapse, cAMP signaling pathway, Aldosterone synthesis and secretion, Endocrine resistance, Adrenergic signaling in cardiomyocytes, Oocyte meiosis, Apelin signaling pathway, Relaxin signaling pathway, Progesterone-mediated oocyte maturation, Inflammatory mediator regulation of TRP channels, Rap1 signaling pathway, GnRH signaling pathway, Purine metabolism, Cholinergic synapse, cGMP-PKG signaling pathway, Circadian entrainment, Chemokine signaling pathway, Longevity regulating pathway, Gastric acid secretion, Longevity regulating pathway - multiple species, Melanogenesis, Oxytocin signaling pathway, Calcium signaling pathway, GABAergic synapse, Vascular smooth muscle contraction, Glucagon signaling pathway",125,"PRKAR1B, TSHR, CCR10, AVPR2, CHRM4, CXCL12, CCR7, CCR1, PPY, CXCL6, TAS2R8, TAS2R9, S1PR4, TAS2R3, TAS2R5, PDE3A, GCH1, AVP, TAS2R16, ADCY7, CCL27, ADCY3, NMU, POMC, OPRK1, GPR17, ADRA2A, ADCY8, SST, ADCY9, CXCL5, PPBP, GALR1, C3AR1, FPR1, CCL19, ADCY6, PMCH, NPY2R, TAS2R42, SSTR2, GRM7, S1PR3, CCL20, GRM3, RXFP4, CNR1, AGTR2, GRM4, NPY4R, CNR2, GABBR1, OXER1, CCL25, TAS2R31, TAS2R13, GPR55, CXCL1, LPAR2, ADRA2C, TAS2R39, ADCY5, CASR, TAS2R43, TAS2R46, HCAR3, TAS2R20, PTH2, TAAR8, CRH, LHCGR, PTGER4, PTGDR, ADORA2B, GHRHR, CALCB, VIP, ADRB1, CALCRL, ADM2, GCGR, GCG, PDE4B, ENTPD1, ENTPD8, PDE1C, TAS2R14, SCTR, CALML3, POLR1A, PKM, POLR1C, AKT1, POLR3F, POLR3D, POLR3E, C3, GNGT1, GNG2, GNG12, HEBP1, CAMK2G, GNB5, POLR3C, ANXA1, KNG1, PRKCD, PRKCA, POLR3B, FSHR, PRKCE, CAMK2D, GNAL, HTR1E, SUCNR1, CXCR1, AK9, PDE2A, PRKCB, PDE6G, PDE11A, SLMO2, ADM, PTHLH, GABBR2"
