"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"RNA transport",0,0,0,166,20,"Nup107, Xpo1, Eif4g2, Kpnb1, Nxf7, Magoh, Nup62, Casc3, Ran, Rasl2-9, Rnps1, Nup98, Thoc6, Nup85, Nxf1, Ddx39b, Rbm8a, Eif3f, Rpp25l, Seh1l"
"Spliceosome",0,0,0,130,27,"Sf3b3, Snrpd2, Hspa8, Magoh, Srsf3, Snrpc, Snrpb, Snrpd1, Snrpe, Dhx8, Hnrnpa3, Sf3b2, Snrnp200, Plrg1, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Lsm5, Snrpd3, Sf3a1, Snrpg, Phf5a, Snrpa1, Sf3a3, Sf3b1"
"Proteasome",0,0,0,46,23,"Psma2, Psma3, Psmb1, Psmb4, Psmb6, Psmc1, Psmc3, Psmc5, Psmd2, Psmd3, Psmc4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmd14, Psmd6, Pomp, Psmc6, Psmd11, Psmd1"
"AMPK signaling pathway",0,0.006,0.028,126,13,"Cpt1a, Ins1, Pdpk1, Pfkfb1, Pik3ca, Prkag1, Scd1, Creb3l3, Foxo3, Strada, Adipor1, Pik3cb, Creb3l4"
"Ribosome biogenesis in eukaryotes",0,0.006,0.029,78,10,"Imp3, Xpo1, Utp15, Nxf7, Ran, Rasl2-9, Fbll1, Nxf1, Gar1, Rpp25l"
"Osteoclast differentiation",0,0.006,0.033,128,13,"Acp5, Ctsk, Fyn, Ikbkg, Il1a, Jund, Pik3ca, Ppp3r1, Spi1, Oscar, Mapk13, Tab1, Pik3cb"
"Pyrimidine metabolism",0,0.006,0.049,99,11,"Polr2a, Tk1, Polr2b, Nme6, Nme4, Polr2g, Polr2d, Polr2f, Cant1, Nme3, Uck2"
"Toll-like receptor signaling pathway",0,0.006,0.049,99,11,"Tirap, Ctsk, Ifna5, Ifna6, Ifnab, Ikbkg, Pik3ca, Mapk13, Irak4, Tab1, Pik3cb"
"PPAR signaling pathway",0,0.007,0.06,85,10,"Fabp4, Cpt1a, Gk, Pdpk1, Ppard, Rxrg, Scd1, Acsl6, Slc27a2, Cyp4a12a"
"PI3K-Akt signaling pathway",0,0.007,0.074,343,23,"Col2a1, Fgf12, Ifna5, Ifna6, Ifnab, Ikbkg, Ins1, Itga5, Itga7, Itgav, Ngfr, Nos3, Pdpk1, Pik3ca, Creb3l3, Hsp90b1, Vegfa, Vegfb, Foxo3, Lpar3, Pik3cb, Creb3l4, Tnxb"
