"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Vasopressin-regulated water reabsorption",0,0.007,0.007,44,5,"ADCY9, AVPR2, PRKACA, RAB5A, CREB3L3"
"PI3K-Akt signaling pathway",0,0.009,0.021,337,11,"COL6A3, EFNA5, GNB2, IFNA13, IKBKB, IRS1, PIK3CA, THBS4, TLR2, CREB3L3, OSMR"
"Chemokine signaling pathway",0,0.009,0.028,181,8,"ADCY9, GNB2, IKBKB, CCL4L1, PIK3CA, PRKACA, CCL15, VAV2"
"B cell receptor signaling pathway",0,0.014,0.068,70,5,"IKBKB, NFATC2, PIK3CA, VAV2, BCL10"
"Cholinergic synapse",0,0.014,0.078,112,6,"ADCY9, GNB2, KCNJ2, PIK3CA, PRKACA, CREB3L3"
"cGMP-PKG signaling pathway",0,0.014,0.087,161,7,"MEF2B, ADCY9, KCNU1, IRS1, NFATC2, ATP2B1, CREB3L3"
"Autophagy - animal",0.001,0.018,0.129,123,6,"IRS1, PIK3CA, PRKACA, RRAGD, RRAGC, EIF2AK3"
"Endocrine and other factor-regulated calcium reabsorption",0.001,0.019,0.149,47,4,"ADCY9, ATP2B1, PRKACA, CALB1"
"GABAergic synapse",0.001,0.02,0.186,87,5,"ADCY9, GABRD, GABRE, GNB2, PRKACA"
"Longevity regulating pathway",0.001,0.02,0.196,88,5,"ADCY9, IRS1, PIK3CA, PRKACA, CREB3L3"
"Regulation of lipolysis in adipocytes",0.001,0.022,0.253,54,4,"ADCY9, IRS1, PIK3CA, PRKACA"
"Pancreatic secretion",0.001,0.022,0.277,95,5,"ADCY9, CTRB1, ATP2B1, CELA2A, RAB3D"
"Cytokine-cytokine receptor interaction",0.001,0.022,0.347,263,8,"IFNA13, IL10RB, IL15RA, CCL4L1, IL23A, CCL15, ACVR1, OSMR"
"T cell receptor signaling pathway",0.001,0.022,0.349,100,5,"IKBKB, NFATC2, PIK3CA, VAV2, BCL10"
"mTOR signaling pathway",0.001,0.022,0.365,150,6,"IKBKB, IRS1, PIK3CA, RRAGD, RRAGC, WNT3"
"Oxytocin signaling pathway",0.002,0.022,0.378,151,6,"ADCY9, EEF2K, KCNJ2, NFATC2, PRKACA, CACNB2"
"Toll-like receptor signaling pathway",0.002,0.022,0.381,102,5,"IFNA13, IKBKB, CCL4L1, PIK3CA, TLR2"
"Jak-STAT signaling pathway",0.002,0.022,0.391,152,6,"IFNA13, IL10RB, IL15RA, IL23A, PIK3CA, OSMR"
"Longevity regulating pathway - multiple species",0.002,0.022,0.425,62,4,"ADCY9, IRS1, PIK3CA, PRKACA"
"Relaxin signaling pathway",0.004,0.053,1,129,5,"ADCY9, GNB2, PIK3CA, PRKACA, CREB3L3"
"Insulin secretion",0.005,0.058,1,85,4,"ADCY9, KCNU1, PRKACA, CREB3L3"
"cAMP signaling pathway",0.006,0.058,1,197,6,"ADCY9, ATP2B1, PIK3CA, PRKACA, VAV2, CREB3L3"
"Adrenergic signaling in cardiomyocytes",0.006,0.058,1,142,5,"ADCY9, ATP2B1, PRKACA, CACNB2, CREB3L3"
"Insulin signaling pathway",0.006,0.058,1,138,5,"FLOT2, IKBKB, IRS1, PIK3CA, PRKACA"
"Wnt signaling pathway",0.006,0.058,1,142,5,"NFATC2, SERPINF1, PRKACA, WNT3, BTRC"
"Retrograde endocannabinoid signaling",0.006,0.058,1,140,5,"ADCY9, GABRD, GABRE, GNB2, PRKACA"
"Salivary secretion",0.007,0.058,1,90,4,"ADCY9, ATP2B1, PRB1, PRKACA"
"Type II diabetes mellitus",0.007,0.058,1,46,3,"IKBKB, IRS1, PIK3CA"
"Circadian entrainment",0.008,0.071,1,96,4,"ADCY9, GNB2, PRKACA, PER3"
"Estrogen signaling pathway",0.009,0.073,1,98,4,"ADCY9, PIK3CA, PRKACA, CREB3L3"
"Cellular senescence",0.009,0.074,1,155,5,"NFATC2, PIK3CA, LIN37, RAD1, BTRC"
"Ras signaling pathway",0.01,0.074,1,221,6,"EFNA5, GNB2, IKBKB, PIK3CA, PRKACA, RAB5A"
"Melanogenesis",0.01,0.074,1,101,4,"ADCY9, PRKACA, WNT3, CREB3L3"
"Insulin resistance",0.012,0.085,1,106,4,"IKBKB, IRS1, PIK3CA, CREB3L3"
"Cytosolic DNA-sensing pathway",0.015,0.105,1,62,3,"IFNA13, IKBKB, CCL4L1"
