"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Apoptosis",0,0,0,135,15,6,"FAS, PMAIP1, BAK1, CASP3, CASP8, FADD","APAF1, NFKBIA, PIK3R1, DIABLO, ACTB, BID, TUBA1C, IKBKG, TRADD",0.256
"2","Apoptosis - multiple species",0,0,0,31,8,5,"PMAIP1, BAK1, CASP3, CASP8, FADD","APAF1, DIABLO, BID",0.442
"3","Phagosome",0,0,0,146,15,1,"HLA-C","CYBA, DYNC1LI2, FCGR2A, STX12, HLA-A, ITGA2, ITGA5, LAMP1, NOS1, ATP6V0A4, ACTB, COLEC11, TUBA1C, ATP6V0D1",0.085
"4","Platinum drug resistance",0,0.002,0.006,73,9,6,"FAS, PMAIP1, BAK1, CASP3, CASP8, FADD","APAF1, PIK3R1, BID",0.395
"5","p53 signaling pathway",0,0.004,0.02,66,8,4,"FAS, PMAIP1, CASP3, CASP8","APAF1, BID, CCND3, CDK1",0.311
"6","TNF signaling pathway",0,0.004,0.026,108,10,4,"FAS, CASP3, CASP8, FADD","DNM1L, ATF2, NFKBIA, PIK3R1, IKBKG, TRADD",0.246
"7","Glutathione metabolism",0,0.005,0.037,54,7,2,"GPX4, SRM","GGT1, GCLM, GPX1, GSS, NAT8",0.208
"8","NOD-like receptor signaling pathway",0,0.007,0.053,164,12,3,"TRPV2, CASP8, FADD","DNM1L, GBP4, CYBA, GABARAPL1, PYDC1, NFKBIA, MFN1, CASP5, IKBKG",0.162
"9","MAPK signaling pathway",0,0.01,0.088,253,15,2,"FAS, CASP3","ATF2, DUSP4, FGF3, MAPK8IP2, MAP3K3, MYC, PPM1A, PPP3R2, RASGRF2, SRF, IKBKG, CDC25B, FGF19",0.096
"10","Wnt signaling pathway",0.001,0.024,0.242,142,10,1,"DVL2","CREBBP, MYC, PPP3R2, CHD8, SFRP5, WNT1, FZD5, CCND3, CER1",0.085
"11","Non-alcoholic fatty liver disease (NAFLD)",0.001,0.024,0.269,144,10,5,"COX6B1, FAS, MLX, CASP3, CASP8","COX7B2, NDUFV3, PIK3R1, PRKAG3, BID",0.285
"12","Cell cycle",0.001,0.027,0.351,124,9,0,"","CREBBP, ORC3, MYC, ANAPC7, TTK, CDC45, CCND3, CDK1, CDC25B",0.036
"13","Natural killer cell mediated cytotoxicity",0.001,0.027,0.371,125,9,3,"HLA-C, FAS, CASP3","KLRK1, LAT, HLA-A, PIK3R1, PPP3R2, BID",0.203
"14","Hippo signaling pathway",0.002,0.027,0.386,151,10,2,"DVL2, TP53BP2","CTGF, DLG1, MYC, PPP2CA, ACTB, WNT1, FZD5, CCND3",0.133
