"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Pyrimidine metabolism",0,0,0,101,12,"POLD3, DTYMK, ZNRD1, POLR3K, POLE3, POLE2, POLR2D, POLR2E, POLR2I, POLR2L, PRIM1, RRM2"
"Ribosome",0,0,0,133,44,"RPS10-NUDT3, MRPL3, MRPL10, RPL13A, RPL36, MRPL13, RSL24D1, RPL3, RPL6, RPL7A, RPL8, RPL10, RPL11, RPL13, RPL15, RPL17, RPL18A, RPL19, RPL21, RPL23A, RPL28, RPL29, RPL32, RPL34, RPL37, RPL37A, RPLP2, RPS3A, RPS4X, RPS5, RPS11, RPS14, RPS15A, RPS17, RPS18, RPS19, RPS23, RPS27, RPS28, RPS29, MRPL36, RPL14, RPL23, MRPL33"
"Spliceosome",0,0,0,129,23,"SF3B4, TXNL4A, SNRNP27, U2AF2, DHX15, SNW1, SF3B1, PRPF19, HNRNPC, HSPA8, PRPF38B, SRSF1, SRSF2, SRSF7, TRA2B, SNRPD1, SNRPD3, SNRPF, SNRPG, DDX39B, SF3A2, BUD31, PRPF4"
"Ribosome biogenesis in eukaryotes",0,0,0,73,11,"AK6, POP7, RPP38, SPATA5, FBL, DROSHA, EIF6, POP5, HEATR1, RAN, UTP15"
"RNA transport",0,0,0.002,161,14,"POM121C, POP7, RPP38, GEMIN5, KPNB1, POP5, PHAX, RAN, RANGAP1, DDX39B, RPP21, EIF3D, NUP93, NUP153"
"DNA replication",0,0,0.002,35,7,"POLD3, PCNA, POLE3, POLE2, PRIM1, RFC5, RPA1"
"Purine metabolism",0,0,0.003,170,14,"AK6, PAICS, POLD3, GUK1, ZNRD1, POLR3K, POLE3, POLE2, POLR2D, POLR2E, POLR2I, POLR2L, PRIM1, RRM2"
"RNA polymerase",0,0.001,0.01,31,6,"ZNRD1, POLR3K, POLR2D, POLR2E, POLR2I, POLR2L"
"Nucleotide excision repair",0,0.001,0.012,46,7,"POLD3, ERCC2, PCNA, POLE3, POLE2, RFC5, RPA1"
"Proteasome",0,0.008,0.077,44,6,"PSMA4, PSMA6, PSMB3, PSMB4, PSMC1, PSMC3"
"Protein export",0.001,0.025,0.27,22,4,"SEC61A1, HSPA5, SRP9, SRP19"
"Cell cycle",0.001,0.025,0.317,124,9,"MYC, PCNA, RBL2, YWHAH, CDC45, CDC16, CCND3, PKMYT1, CDC20"
"Mismatch repair",0.001,0.025,0.322,23,4,"POLD3, PCNA, RFC5, RPA1"
"Aminoacyl-tRNA biosynthesis",0.002,0.037,0.519,43,5,"FARSB, NARS, SARS2, IARS2, YARS"
"Base excision repair",0.005,0.084,1,33,4,"POLD3, PCNA, POLE3, POLE2"
