"","name","imports","weights","datasource","Confidence","Color"
"1","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.ITGAV",900,"database","High","#cc0099"
"2","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.EFNA2",800,"database","High","#cc0099"
"3","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.FGF9",800,"database","High","#cc0099"
"4","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","Novel.EPN1",800,"database","High","#cc0099"
"5","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.FGF10",800,"database","High","#cc0099"
"6","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.FGF12",800,"database","High","#cc0099"
"7","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","PI3K-Akt signaling pathway.FGF8",800,"database","High","#cc0099"
"8","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","Novel.SH3GLB2",800,"database","High","#cc0099"
"9","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","Novel.SHC2",800,"database","High","#cc0099"
"10","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","Novel.SPI1",900,"database","High","#cc0099"
"11","Hematopoietic cell lineage & PI3K-Akt signaling pathway.CSF1R","Novel.SH3GLB1",800,"database","High","#cc0099"
"12","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.JUN",900,"database","Medium","#cc0099"
"13","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.RAP1A",900,"database","Medium","#cc0099"
"14","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.ARNT",900,"database","Medium","#cc0099"
"15","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.IL21R",800,"database","Medium","#cc0099"
"16","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","PI3K-Akt signaling pathway.GH2",800,"database","Medium","#cc0099"
"17","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","PI3K-Akt signaling pathway.PRL",800,"database","Medium","#cc0099"
"18","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Hematopoietic cell lineage.THPO",800,"database","Medium","#cc0099"
"19","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.IL12RB2",800,"database","Medium","#cc0099"
"20","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.IL27RA",800,"database","Medium","#cc0099"
"21","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.CNTFR",800,"database","Medium","#cc0099"
"22","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","PI3K-Akt signaling pathway.CREB1",900,"database","Medium","#cc0099"
"23","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.COPS5",900,"database","Medium","#cc0099"
"24","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.STAT1",900,"database","Medium","#cc0099"
"25","Hematopoietic cell lineage & PI3K-Akt signaling pathway.EPO","Novel.EPAS1",900,"database","Medium","#cc0099"
"26","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.IL12RB2",800,"database","High","#cc0099"
"27","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.IL27RA",800,"database","High","#cc0099"
"28","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.GAB2",900,"database","High","#cc0099"
"29","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.CNTFR",800,"database","High","#cc0099"
"30","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","PI3K-Akt signaling pathway.PIK3R3",900,"database","High","#cc0099"
"31","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.PTPN6",900,"database","High","#cc0099"
"32","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.JUN",900,"database","High","#cc0099"
"33","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.IL21R",800,"database","High","#cc0099"
"34","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","PI3K-Akt signaling pathway.PDPK1",900,"database","High","#cc0099"
"35","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Novel.POU2F1",900,"database","High","#cc0099"
"36","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","Hematopoietic cell lineage.CSF2",900,"database","High","#cc0099"
"37","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3","PI3K-Akt signaling pathway.KRAS",900,"database","High","#cc0099"
"38","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","Novel.GAB2",900,"database","High","#cc0099"
"39","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","PI3K-Akt signaling pathway.PIK3R3",900,"database","High","#cc0099"
"40","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","Novel.PTPN6",900,"database","High","#cc0099"
"41","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","PI3K-Akt signaling pathway.IFNA14",800,"database","High","#cc0099"
"42","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","PI3K-Akt signaling pathway.PDPK1",900,"database","High","#cc0099"
"43","Hematopoietic cell lineage & PI3K-Akt signaling pathway.IL3RA","PI3K-Akt signaling pathway.GH2",800,"database","High","#cc0099"
