"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.PI3K-Akt signaling pathway","Ntwrk.PI3K-Akt signaling pathway","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"1",55752,"11-Sep",607,"HighConf","Novel",NA,2,"SIN3A, UBC",0,NA,0,NA,0,"",0
"2",2,"A2M",169,"HighConf","Novel",NA,16,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IL1B, KALRN, RHOF, IGF2, PF4, SERPING1, GAB2, TGFB2",0,NA,0,NA,0,"",0
"3",20,"ABCA2",841,"MedConf","Novel",NA,3,"ATP1A3, ATP12A, ATP1B3",0,NA,0,NA,0,"",0
"4",10006,"ABI1",701,"HighConf","Novel",NA,6,"ACTR2, SYK, EGFR, EPS8, ARPC1B, ITGB1",3,"SYK, ITGB1, EGFR",0,NA,0,"",3
"5",32,"ACACB",224,"MedConf","Novel",NA,9,"OASL, SUN1, UBQLN4, ISG15, UBB, SP1, E2F3, UBC, RPS27A",0,NA,0,NA,0,"",0
"6",36,"ACADSB",791,"MedConf","Novel",NA,1,"HADHA",0,NA,0,NA,0,"",0
"7",1636,"ACE",773,"MedConf","Novel","Renin secretion",1,"AGT",0,NA,0,NA,0,"",0
"8",22985,"ACIN1",258,"HighConf","RNA transport","RNA transport, Spliceosome",2,"SRPK2, UBC",0,NA,0,NA,0,"",0
"9",59,"ACTA2",202,"MedConf","Novel","Relaxin signaling pathway",6,"SORBS3, CFL1, VCL, ITGA1, PXN, UBC",1,"ITGA1",0,NA,0,"",1
"10",10097,"ACTR2",205,"HighConf","Novel",NA,7,"WIPF2, ABI1, UBC, ARPC1B, PDGFRB, PSMA7, CDC42",1,"PDGFRB",0,NA,0,"",1
"11",8038,"ADAM12",787,"MedConf","Novel",NA,3,"ITGB1, EGFR, LRIG1",2,"ITGB1, EGFR",0,NA,0,"",2
"12",127,"ADH4",488,"MedConf","Novel",NA,6,"GSTA3, GSTO1, MGST1, ALDH3A2, GSTP1, GSTA1",0,NA,0,NA,0,"",0
"13",154,"ADRB2",354,"HighConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes",20,"AGT, ADRBK1, VIPR1, PRKAR2B, MC2R, EDN1, GHRH, GPBAR1, HTR6, PTGER2, DRD5, GRK4, HRH2, PTGIR, CFTR, UBC, SCT, GNAI3, CXCR4, CALCR",0,NA,0,NA,0,"",0
"14",156,"ADRBK1",371,"MedConf","Novel",NA,30,"CXCR5, GNA15, CXCL8, EDN1, TACR1, CXCR3, DRD2, TACR3, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, UBC, AGT, NMUR2, OPRM1, CXCR4, ADRB2, CCR8, CX3CR1, GIT1",0,NA,0,NA,0,"",0
"15",174,"AFP",739,"MedConf","Novel",NA,2,"JUN, UBC",0,NA,0,NA,0,"",0
"16",177,"AGER",707,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",4,"IKBKB, ITGAM, RELA, NFKBIB",2,"RELA, IKBKB",0,NA,0,"",2
"17",375790,"AGRN",448,"HighConf","Novel","ECM-receptor interaction",16,"EXT2, GPC2, CSPG5, NCAM1, HPSE2, SLC35D2, MUSK, CDC42, ITGA1, APOB, LRP1, ARHGEF6, LAMA5, PTK2B, ITGB1, PXN",3,"LAMA5, ITGB1, ITGA1",0,NA,0,"",3
"18",183,"AGT",360,"MedConf","Novel","Renin secretion",50,"ADRBK1, CXCR5, GNA15, CXCL13, CXCL8, MTNR1B, PRKAR2B, EDN1, TACR1, CXCR3, NPY, DRD2, TACR3, GNA11, PNOC, CXCL11, HTR1A, KALRN, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, AVPR1A, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, ACE, MME, GNRH2, DNM1, CXCR4, NMUR2, GNAI3, OPRM1, CFTR, C5, ADRB2, CCR8, NCOA6",1,"CHRM2",0,NA,0,"",1
"19",202,"AIM1",716,"MedConf","Novel",NA,2,"BIRC5, CDCA8",0,NA,0,NA,0,"",0
"20",326,"AIRE",674,"HighConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,"",0
"21",205,"AK4",833,"HighConf","Novel",NA,4,"PDE1B, DCK, NT5C, AMPD1",0,NA,0,NA,0,"",0
"22",122481,"AK7",552,"HighConf","Novel",NA,4,"PDE1B, AMPD1, NT5C, DCK",0,NA,0,NA,0,"",0
"23",211,"ALAS1",723,"MedConf","Novel",NA,4,"ESRRA, POLD4, UBC, NCOA6",0,NA,0,NA,0,"",0
"24",224,"ALDH3A2",486,"HighConf","Novel","Lysine degradation",2,"ADH4, UBC",0,NA,0,NA,0,"",0
"25",226,"ALDOA",260,"HighConf","Novel",NA,13,"ARNT, IGF2, PF4, PGAM2, FBP1, DERA, TKTL2, SERPING1, G6PC, A2M, TGFB2, GAPDH, UBC",1,"G6PC",0,NA,0,"",1
"26",246,"ALOX15",826,"MedConf","Novel","Serotonergic synapse",6,"GPX1, JMJD7-PLA2G4B, PLA2G4A, PLA2G6, PLA2G4D, GPX3",0,NA,0,NA,0,"",0
"27",57679,"ALS2",874,"HighConf","Novel",NA,1,"RAB5A",0,NA,0,NA,0,"",0
"28",270,"AMPD1",554,"HighConf","Novel",NA,8,"NT5C, AK4, ENTPD4, ITPA, HPRT1, AK7, DCK, PDE1B",0,NA,0,NA,0,"",0
"29",84250,"ANKRD32",729,"MedConf","Novel",NA,1,"POLE",0,NA,0,NA,0,"",0
"30",118429,"ANTXR2",745,"MedConf","Novel","NOD-like receptor signaling pathway",1,"UBC",0,NA,0,NA,0,"",0
"31",338,"APOB",268,"MedConf","Novel",NA,15,"ITGAM, AGRN, GPC2, MSR1, P4HB, HSP90B1, PDIA4, CALCR, VCP, UBC, LRP1, CALR, LDLR, HSPA5, SP1",1,"HSP90B1",0,NA,0,"",1
"32",55843,"ARHGAP15",835,"HighConf","Novel",NA,8,"RHOB, ARHGEF6, RHOF, RHOV, CDC42, ARHGEF3, ARHGDIB, KALRN",0,NA,0,NA,0,"",0
"33",57569,"ARHGAP20",510,"MedConf","Novel",NA,8,"RHOF, ARHGDIB, CDC42, ARHGEF6, RHOB, KALRN, RHOV, ARHGEF3",0,NA,0,NA,0,"",0
"34",9743,"ARHGAP32",455,"MedConf","Novel",NA,8,"KALRN, RHOF, CDC42, RHOB, ARHGEF6, ARHGEF3, RHOV, ARHGDIB",0,NA,0,NA,0,"",0
"35",394,"ARHGAP5",509,"HighConf","Novel","Leukocyte transendothelial migration, Focal adhesion",9,"RHOF, RHOV, ARHGDIB, RHOB, CDC42, ARHGEF6, ARHGEF3, KALRN, CLTA",0,NA,0,NA,0,"",0
"36",64333,"ARHGAP9",834,"MedConf","Novel",NA,8,"ARHGEF3, KALRN, RHOF, ARHGDIB, CDC42, ARHGEF6, RHOV, RHOB",0,NA,0,NA,0,"",0
"37",397,"ARHGDIB",340,"MedConf","Novel","Vasopressin-regulated water reabsorption",14,"PRKX, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOV, RHOB, CDC42, A2M, JUN, NGFR",1,"NGFR",0,NA,0,"",1
"38",50650,"ARHGEF3",390,"MedConf","Novel",NA,11,"ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, A2M, CDC42, RHOV",0,NA,0,NA,0,"",0
"39",9459,"ARHGEF6",391,"HighConf","Novel","Regulation of actin cytoskeleton",18,"ITGA1, AGRN, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, LAMA5, A2M, RHOV, ITGB1, CDC42, GIT1, MRAS, PXN",3,"LAMA5, ITGB1, ITGA1",0,NA,0,"",3
"40",405,"ARNT",298,"HighConf","Novel",NA,13,"CXCR4, EDN1, TF, SLC2A1, TFF3, JUN, EPAS1, COPS5, SP1, CREB1, SMAD4, EPO, ALDOA",2,"EPO, CREB1",0,NA,0,"",2
"41",10095,"ARPC1B",204,"MedConf","Novel","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis",5,"ACTR2, ABI1, UBC, PDGFRB, PSMA7",1,"PDGFRB",0,NA,0,"",1
"42",427,"ASAH1",570,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, PPAP2A, SMPD2",0,NA,0,NA,0,"",0
"43",50807,"ASAP1",677,"MedConf","Novel","Fc gamma R-mediated phagocytosis",2,"CLTA, UBC",0,NA,0,NA,0,"",0
"44",8853,"ASAP2",280,"MedConf","Novel","Fc gamma R-mediated phagocytosis",3,"CLTA, PXN, UBC",0,NA,0,NA,0,"",0
"45",25842,"ASF1A",648,"MedConf","Novel",NA,3,"ASF1B, ATR, TAF1",0,NA,0,NA,0,"",0
