"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Spliceosome",0,0,0,132,48,"SF3B4, SF3A1, SLU7, PRPF8, USP39, TCERG1, SF3A3, SF3B2, RBMXL3, ZMAT2, DHX15, SNW1, ACIN1, U2SURP, SF3B3, SF3B1, PRPF6, PRPF40B, SYF2, TRA2A, HNRNPC, HNRNPU, NCBP1, CDC40, LSM7, PLRG1, XAB2, THOC2, ISY1, LSM2, SRSF2, SRSF3, TRA2B, SNRPA, SNRPA1, SNRPB, SNRPC, SNRPD3, SNRPE, SNRPG, SF3A2, SF3B5, PRPF38A, RBM17, PRPF18, AQR, EIF4A3, RBM8A"
"RNA polymerase",0,0,0,31,13,"POLR3G, POLR2J2, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2I, POLR2J, POLR2K, POLR2L, POLR3E"
"Thyroid hormone signaling pathway",0,0,0.001,116,23,"DIO2, EP300, MED4, HDAC2, HRAS, MYH6, ATP1B3, PFKFB2, PIK3CA, PIK3R2, PLCD1, MED1, PRKACB, MAP2K2, RXRB, ACTG1, NCOA1, PLCZ1, MED30, MED14, MED17, MED27, TBC1D4"
"Non-alcoholic fatty liver disease (NAFLD)",0,0,0.001,148,27,"NR1H3, NDUFA11, COX4I1, UQCR10, FAS, IKBKB, IL1A, IL6R, NDUFS7, LEPR, UQCRHL, NDUFA6, NDUFA10, NDUFS6, ADIPOR1, PIK3CA, PIK3R2, CYCS, NDUFB11, RAC1, RELA, UQCRB, UQCRC1, UQCRC2, UQCRFS1, XBP1, COX4I2"
"Cytokine-cytokine receptor interaction",0,0.004,0.021,268,36,"TNFSF13B, IL17RE, CX3CR1, TNFRSF13B, IL17RA, GH2, AMHR2, GHR, CCR10, IFNL1, IFNA4, IFNA7, IFNA16, IFNB1, IFNW1, FAS, IL1A, IL2, IL6R, IL7R, LEPR, LTBR, OSM, TNFRSF12A, PRL, CXCL16, IL22RA1, CXCL12, TGFB3, TNFRSF4, CXCR4, TNFSF11, TNFRSF10A, IL18RAP, ACVR1B, OSMR"
"Regulation of actin cytoskeleton",0,0.005,0.03,211,30,"GNA13, NCKAP1, CHRM3, DIAPH1, DOCK1, SPATA13, FGF9, CYFIP1, ARHGEF12, CYFIP2, GNA12, HRAS, ITGA2B, ITGAL, ITGB5, RHOA, MYH10, PAK3, PFN2, PIK3CA, PIK3R2, PPP1R12C, BRK1, MAP2K2, RAC1, RRAS, ACTG1, PIP5K1B, ACTN1, IQGAP1"
"Axon guidance",0,0.005,0.038,174,26,"SEMA3A, EFNA1, ARHGEF12, HRAS, RHOA, ABLIM1, NTN3, PAK3, PARD6A, PIK3CA, PIK3R2, SEMA5B, PLXNA3, DPYSL5, SEMA4G, RAC1, ROBO1, RRAS, CXCL12, SLIT1, CXCR4, CAMK2A, NCK2, PLXNA4, NTN1, SEMA3E"
"Proteasome",0,0.006,0.047,45,11,"PSMD14, PSMA3, PSMA7, PSMB6, PSMB7, PSMC3, PSMC4, PSMD2, PSMD4, PSMD7, PSMF1"
"Endocrine resistance",0,0.007,0.062,95,17,"CARM1, DLL3, JAG1, E2F2, ERBB2, DLL1, GPER1, HRAS, MMP9, PIK3CA, PIK3R2, MED1, PRKACB, MAP2K2, MAPK12, BIK, SP1"
"Cytosolic DNA-sensing pathway",0,0.007,0.066,62,13,"POLR3G, IFNA4, IFNA7, IFNA16, IFNB1, IKBKB, POLR2E, POLR2F, POLR2K, POLR2L, POLR3E, RELA, IL33"
"T cell receptor signaling pathway",0.001,0.013,0.147,102,17,"LAT, HRAS, IKBKB, IL2, RHOA, LCK, PAK3, PIK3CA, PIK3R2, MAP2K2, RELA, MAPK12, NCK2, CARD11, CBLB, BCL10, CD4"
"Cardiac muscle contraction",0.001,0.017,0.208,78,14,"COX4I1, UQCR10, UQCRHL, MYH6, ATP1B3, CACNA2D3, ACTC1, TPM3, UQCRB, UQCRC1, UQCRC2, UQCRFS1, COX4I2, CACNA2D4"
"Jak-STAT signaling pathway",0.001,0.02,0.267,156,22,"CISH, EP300, GH2, GHR, IFNL1, HRAS, IFNA4, IFNA7, IFNA16, IFNB1, IFNW1, IL2, IL6R, IL7R, LEPR, OSM, PIK3CA, PIM1, PIK3R2, PRL, IL22RA1, OSMR"
"Ubiquitin mediated proteolysis",0.001,0.02,0.289,137,20,"UBE2QL1, PPIL2, FBXO2, ANAPC2, UBR5, UBE2D4, UBE2R2, UBE2W, UBE2Q1, SMURF1, SMURF2, UBE2B, UBE2D2, UBE2E1, CBLB, CDC23, CDC16, UBE3B, UBE2Q2, CDC27"
"Pyrimidine metabolism",0.001,0.02,0.297,99,16,"POLR3G, POLR2J2, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2I, POLR2J, POLR2K, POLR2L, POLR3E, POLE4, CAD, ENTPD1"
"Notch signaling pathway",0.001,0.022,0.353,48,10,"DLL3, DTX3L, JAG1, DVL1, EP300, SNW1, DTX4, DLL1, HDAC2, HES1"
"Tight junction",0.001,0.022,0.367,170,23,"TUBA1B, ERBB2, TJP3, RHOA, MYH10, PARD6A, AMOTL2, RAPGEF6, PPP2R1A, PRKACB, RAC1, RAP1A, ACTG1, CLDN5, TUBA4A, VASP, TUBAL3, CGNL1, ACTN1, MPDZ, CD1C, CD1D, TJAP1"
"Leukocyte transendothelial migration",0.002,0.024,0.431,112,17,"CYBB, ITGAL, RHOA, MMP9, NCF2, NCF4, PIK3CA, PIK3R2, RAC1, RAP1A, MAPK12, CXCL12, ACTG1, CLDN5, VASP, CXCR4, ACTN1"
"Natural killer cell mediated cytotoxicity",0.002,0.031,0.586,125,18,"FCER1G, FCGR3B, LAT, HRAS, IFNA4, IFNA7, IFNA16, IFNB1, FAS, ITGAL, KIR3DL1, KLRC2, LCK, PIK3CA, PIK3R2, MAP2K2, RAC1, TNFRSF10A"
"AGE-RAGE signaling pathway in diabetic complications",0.003,0.04,0.804,99,15,"COL4A2, CYBB, DIAPH1, HRAS, IL1A, SERPINE1, PIK3CA, PIM1, PIK3R2, PLCD1, PRKCD, RAC1, RELA, MAPK12, TGFB3"
"Oxidative phosphorylation",0.004,0.051,1,132,18,"NDUFA11, COX4I1, UQCR10, NDUFS7, UQCRHL, NDUFA6, NDUFA10, NDUFS6, ATP5B, ATP6V0C, NDUFB11, PPA1, UQCRB, UQCRC1, UQCRC2, UQCRFS1, COX4I2, ATP6V1F"
