"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,122,13,"NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, PPT1, LGMN, CD63"
"NOD-like receptor signaling pathway",0,0.001,0.003,165,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"NF-kappa B signaling pathway",0,0.001,0.004,93,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Hematopoietic cell lineage",0,0.001,0.004,94,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"Ferroptosis",0,0.002,0.009,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.004,0.025,147,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.006,0.04,126,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Toll-like receptor signaling pathway",0,0.006,0.056,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Necroptosis",0,0.006,0.057,162,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Cell adhesion molecules (CAMs)",0,0.007,0.067,135,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"Endocytosis",0,0.008,0.085,237,12,"EHD1, CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, TFRC, CBL, SNX3"
"HIF-1 signaling pathway",0.001,0.018,0.219,98,7,"HK2, HMOX1, NFKB1, PFKFB3, TCEB2, TFRC, CAMK2D"
"Complement and coagulation cascades",0.001,0.027,0.352,78,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.002,0.028,0.388,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Tryptophan metabolism",0.003,0.044,0.66,37,4,"IL4I1, IDO1, KMO, KYNU"
"Cytosolic DNA-sensing pathway",0.003,0.048,0.773,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Natural killer cell mediated cytotoxicity",0.003,0.05,0.852,124,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"AGE-RAGE signaling pathway in diabetic complications",0.004,0.06,1,98,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.005,0.06,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"Antigen processing and presentation",0.005,0.065,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"PPAR signaling pathway",0.006,0.065,1,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Chemokine signaling pathway",0.008,0.089,1,181,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.008,0.092,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.011,0.109,1,29,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.014,0.138,1,32,3,"HK2, PFKFB3, FBP2"
"Fatty acid biosynthesis",0.017,0.163,1,13,2,"ACSL1, ACSL4"
"Alanine, aspartate and glutamate metabolism",0.018,0.163,1,35,3,"IL4I1, GFPT1, GLS"
"Adipocytokine signaling pathway",0.024,0.203,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"RIG-I-like receptor signaling pathway",0.024,0.203,1,69,4,"DDX58, NFKB1, IFIH1, ISG15"
"Prolactin signaling pathway",0.025,0.205,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"Leukocyte transendothelial migration",0.026,0.211,1,106,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Fatty acid metabolism",0.032,0.251,1,44,3,"ACSL1, ACSL4, PPT1"
"Cellular senescence",0.039,0.296,1,158,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"ErbB signaling pathway",0.044,0.323,1,84,4,"SRC, STAT5A, CAMK2D, CBL"
