"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,122,13,"NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, PPT1, LGMN, CD63"
"NOD-like receptor signaling pathway",0,0.001,0.002,166,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"NF-kappa B signaling pathway",0,0.001,0.003,93,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Hematopoietic cell lineage",0,0.001,0.003,94,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"Ferroptosis",0,0.002,0.008,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.004,0.022,147,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.005,0.036,127,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Toll-like receptor signaling pathway",0,0.005,0.049,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Necroptosis",0,0.005,0.049,162,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Cell adhesion molecules (CAMs)",0,0.006,0.065,137,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"Endocytosis",0,0.008,0.083,241,12,"EHD1, CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, TFRC, CBL, SNX3"
"Complement and coagulation cascades",0.001,0.027,0.318,78,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.001,0.027,0.347,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Cytosolic DNA-sensing pathway",0.003,0.048,0.711,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Tryptophan metabolism",0.003,0.048,0.748,39,4,"IL4I1, IDO1, KMO, KYNU"
"Natural killer cell mediated cytotoxicity",0.003,0.048,0.765,124,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"HIF-1 signaling pathway",0.004,0.056,1,98,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"AGE-RAGE signaling pathway in diabetic complications",0.004,0.056,1,99,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.004,0.056,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"PPAR signaling pathway",0.005,0.06,1,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Antigen processing and presentation",0.005,0.06,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"Chemokine signaling pathway",0.007,0.085,1,183,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.008,0.086,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.012,0.125,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.014,0.142,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.017,0.155,1,35,3,"IL4I1, GFPT1, GLS"
"Fatty acid biosynthesis",0.017,0.155,1,13,2,"ACSL1, ACSL4"
"Adipocytokine signaling pathway",0.022,0.193,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Prolactin signaling pathway",0.023,0.193,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.023,0.193,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Leukocyte transendothelial migration",0.025,0.203,1,107,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Cellular senescence",0.036,0.282,1,158,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"Fatty acid metabolism",0.038,0.289,1,48,3,"ACSL1, ACSL4, PPT1"
"ErbB signaling pathway",0.043,0.315,1,85,4,"SRC, STAT5A, CAMK2D, CBL"
