"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Rheumatoid arthritis",0,0,0,91,9,"ACP5, ATP6AP1, ICAM1, IL1A, IL1B, ITGB2, CCL3, CCL5, CCL20"
"Hematopoietic cell lineage",0,0,0,86,9,"CD1A, CD1C, CD9, CD36, CD44, IL1A, IL1B, ITGAM, TFRC"
"Malaria",0,0,0,50,8,"CD36, CD40, CD81, HBB, ICAM1, IL1B, ITGB2, PECAM1"
"Leishmaniasis",0,0,0.001,72,8,"IL1A, IL1B, ITGAM, ITGB2, NCF2, NFKB1, PTGS2, STAT1"
"Phagosome",0,0.001,0.003,150,10,"ATP6AP1, CD36, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, TFRC, CD209"
"Osteoclast differentiation",0,0.001,0.005,128,9,"ACP5, IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, STAT1, SQSTM1"
"Cell adhesion molecules (CAMs)",0,0.001,0.006,129,9,"CD40, GLG1, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD274"
"Tryptophan metabolism",0,0.004,0.029,41,5,"IDO1, WARS, KMO, KYNU, IL4I1"
"Hepatitis C",0,0.005,0.041,131,8,"CD81, IFIT1, NFKB1, OAS2, OAS3, EIF2AK2, STAT1, DDX58"
"Toll-like receptor signaling pathway",0,0.005,0.052,102,7,"CD40, IL1B, IRF5, NFKB1, CCL3, CCL5, STAT1"
"Amoebiasis",0,0.006,0.063,105,7,"SERPINB1, IL1B, ITGAM, ITGB2, NFKB1, SERPINB2, SERPINB9"
"Cytosolic DNA-sensing pathway",0.001,0.011,0.13,56,5,"IL1B, NFKB1, CCL5, DDX58, CCL4L2"
"African trypanosomiasis",0.001,0.011,0.149,33,4,"HBB, ICAM1, IL1B, IDO1"
"Natural killer cell mediated cytotoxicity",0.001,0.017,0.238,131,7,"CD48, FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2"
"Graft-versus-host disease",0.001,0.019,0.283,39,4,"HLA-A, HLA-B, IL1A, IL1B"
"Epithelial cell signaling in Helicobacter pylori infection",0.001,0.02,0.317,68,5,"ADAM10, ATP6AP1, NFKB1, CCL5, SRC"
"Viral myocarditis",0.001,0.02,0.338,69,5,"CD40, HLA-A, HLA-B, ICAM1, ITGB2"
"PPAR signaling pathway",0.002,0.02,0.361,70,5,"CD36, FABP4, FABP5, ACSL1, ACSL4"
"Type I diabetes mellitus",0.002,0.022,0.41,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"Alanine, aspartate and glutamate metabolism",0.007,0.078,1,32,3,"GFPT1, GLS, IL4I1"
"Chemokine signaling pathway",0.008,0.084,1,187,7,"HCK, NFKB1, CCL3, CCL5, CCL20, STAT1, CCL4L2"
"Prion diseases",0.009,0.09,1,35,3,"IL1A, IL1B, CCL5"
"Adipocytokine signaling pathway",0.01,0.09,1,68,4,"CD36, ACSL1, ACSL4, NFKB1"
"Fructose and mannose metabolism",0.01,0.09,1,36,3,"HK2, PFKFB3, FBP2"
"Allograft rejection",0.01,0.093,1,37,3,"CD40, HLA-A, HLA-B"
"RIG-I-like receptor signaling pathway",0.011,0.096,1,71,4,"NFKB1, ISG15, DDX58, IFIH1"
"Leukocyte transendothelial migration",0.012,0.103,1,113,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Autoimmune thyroid disease",0.026,0.208,1,52,3,"CD40, HLA-A, HLA-B"
"Staphylococcus aureus infection",0.027,0.211,1,53,3,"ICAM1, ITGAM, ITGB2"
"NOD-like receptor signaling pathway",0.034,0.257,1,58,3,"IL1B, NFKB1, CCL5"
"Chagas disease (American trypanosomiasis)",0.039,0.282,1,104,4,"IL1B, NFKB1, CCL3, CCL5"
"Cytokine-cytokine receptor interaction",0.04,0.286,1,261,7,"CD40, IL1A, IL1B, CCL3, CCL5, CCL20, CCL4L2"
"D-Glutamine and D-glutamate metabolism",0.048,0.331,1,4,1,"GLS"
"Asthma",0.052,0.346,1,30,2,"CD40, FCER1G"
"Butirosin and neomycin biosynthesis",0.06,0.377,1,5,1,"HK2"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.06,0.377,1,5,1,"IL4I1"
"Primary immunodeficiency",0.069,0.419,1,35,2,"ADA, CD40"
"Peroxisome",0.071,0.421,1,78,3,"ACSL1, ACSL4, SOD2"
"Small cell lung cancer",0.084,0.488,1,84,3,"NFKB1, PTGS2, TRAF1"
"Apoptosis",0.089,0.502,1,86,3,"IL1A, IL1B, NFKB1"
"Fatty acid metabolism",0.098,0.539,1,43,2,"ACSL1, ACSL4"
"Amino sugar and nucleotide sugar metabolism",0.118,0.633,1,48,2,"GFPT1, HK2"
"Riboflavin metabolism",0.128,0.67,1,11,1,"ACP5"
"Acute myeloid leukemia",0.155,0.798,1,57,2,"NFKB1, STAT5A"
"Shigellosis",0.173,0.868,1,61,2,"CD44, NFKB1"
"Lysosome",0.183,0.897,1,120,3,"ACP5, ATP6AP1, CD63"
"Glycolysis / Gluconeogenesis",0.19,0.897,1,65,2,"HK2, FBP2"
"Phenylalanine metabolism",0.19,0.897,1,17,1,"IL4I1"
"Toxoplasmosis",0.209,0.962,1,128,3,"CD40, NFKB1, STAT1"
"Pancreatic cancer",0.213,0.963,1,70,2,"NFKB1, STAT1"
"Antigen processing and presentation",0.218,0.964,1,71,2,"HLA-A, HLA-B"
"Chronic myeloid leukemia",0.227,0.968,1,73,2,"NFKB1, STAT5A"
"VEGF signaling pathway",0.231,0.968,1,74,2,"PTGS2, SRC"
"Endocytosis",0.232,0.968,1,200,4,"HLA-A, HLA-B, SRC, TFRC"
"B cell receptor signaling pathway",0.236,0.968,1,75,2,"CD81, NFKB1"
"Fc epsilon RI signaling pathway",0.245,0.968,1,77,2,"FCER1G, LCP2"
"Nitrogen metabolism",0.248,0.968,1,23,1,"GLS"
