"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"RNA transport",0,0,0,150,30,"POP7, PAIP1, CLNS1A, RPP25L, EEF1A1, EIF1AX, EIF2B1, EIF4E, EIF4EBP2, NCBP2, NUP160, NUP62, RGPD4, NUP88, NUP54, NUP133, NUP107, THOC2, RANBP2, RANGAP1, SENP2, XPO1, NUP85, RGPD5, GEMIN2, EIF3G, EIF3H, EIF3I, NUP155, NUP153"
"Ribosome",0,0,0,125,23,"RPL10A, RPL4, RPL6, RPL7, RPL7A, RPL9, RPL10, RPL17, RPL18, RPL18A, RPL27A, RPL32, RPL37, RPLP0, RPS4X, RPS6, RPS8, RPS10, RPS15A, RPS18, RPS20, RPS23, RPS27"
"EGFR tyrosine kinase inhibitor resistance",0,0,0.001,78,14,"EGF, EGFR, EIF4E, AKT1, FGF2, MTOR, GRB2, JAK1, SHC4, PDGFRA, PTEN, RPS6, RPS6KB1, NRG2"
"PI3K-Akt signaling pathway",0,0.009,0.036,336,30,"CHRM2, LPAR1, EGF, EGFR, EIF4E, CRTC2, AKT1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, MTOR, GHR, GRB2, IFNA5, ITGA4, JAK1, PCK2, PDGFRA, GNG2, PPP2R2A, PTEN, RELA, RPS6, RPS6KB1, IKBKG, CREB5, FGF19"
"RNA polymerase",0,0.01,0.063,30,7,"POLR3F, POLR3A, TWISTNB, ZNRD1, POLR2E, POLR2J, POLR3D"
"MAPK signaling pathway",0,0.01,0.07,253,24,"DUSP7, EGF, EGFR, AKT1, FGF2, FGF9, FGF14, RRAS2, MAPK8IP3, FLNC, GRB2, MEF2C, MOS, NFATC3, PAK2, PDGFRA, TAOK1, RAP1B, RELA, TGFBR2, CACNG1, IKBKG, FGF19, CDC42"
"Spliceosome",0,0.01,0.073,123,15,"SF3A1, CHERP, SLU7, NCBP2, SF3B3, LSM3, HNRNPU, PRPF40A, RBM22, THOC2, LSM2, SNRPA1, SNRPB, SF3A2, PRPF3"
"Ras signaling pathway",0.001,0.023,0.185,223,21,"EGF, EGFR, AKT1, FGF2, FGF9, FGF14, VEGFD, RRAS2, FLT1, FLT4, GRB2, SHC4, PAK2, PDGFRA, GNG2, RAP1B, RELA, TIAM1, IKBKG, FGF19, CDC42"
"Regulation of actin cytoskeleton",0.001,0.024,0.214,210,20,"ARPC5, ARPC1A, CHRM2, EGF, EGFR, FGF2, FGF9, FGF14, RRAS2, ARHGEF12, PIP5K1C, MYLK4, ITGA4, MOS, PAK2, PDGFRA, SSH1, TIAM1, FGF19, CDC42"
"Focal adhesion",0.001,0.026,0.263,198,19,"EGF, EGFR, AKT1, VEGFD, FLNC, FLT1, FLT4, PIP5K1C, GRB2, RAPGEF1, MYLK4, ITGA4, SHC4, PAK2, PDGFRA, PTEN, RAP1B, CAV2, CDC42"
