"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Spliceosome",0,0,0,120,27,"Sf3b3, Snrpd2, Hspa8, Magoh, Srsf3, Snrpc, Snrpb, Snrpd1, Snrpe, Dhx8, Hnrnpa3, Sf3b2, Snrnp200, Plrg1, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Lsm5, Snrpd3, Sf3a1, Snrpg, Phf5a, Snrpa1, Sf3a3, Sf3b1"
"RNA transport",0,0,0,146,20,"Nup107, Xpo1, Eif4g2, Kpnb1, Nxf7, Magoh, Nup62, Casc3, Ran, Rasl2-9, Rnps1, Nup98, Thoc6, Nup85, Nxf1, Ddx39b, Rbm8a, Eif3f, Rpp25l, Seh1l"
"Proteasome",0,0,0,44,23,"Psma2, Psma3, Psmb1, Psmb4, Psmb6, Psmc1, Psmc3, Psmc5, Psmd2, Psmd3, Psmc4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmd14, Psmd6, Pomp, Psmc6, Psmd11, Psmd1"
"Osteoclast differentiation",0,0.003,0.014,118,13,"Acp5, Ctsk, Fyn, Ikbkg, Il1a, Jund, Pik3ca, Ppp3r1, Spi1, Oscar, Mapk13, Tab1, Pik3cb"
"Pyrimidine metabolism",0,0.003,0.015,87,11,"Polr2a, Tk1, Polr2b, Nme6, Nme4, Polr2g, Polr2d, Polr2f, Cant1, Nme3, Uck2"
"Ribosome biogenesis in eukaryotes",0,0.003,0.018,74,10,"Imp3, Xpo1, Utp15, Nxf7, Ran, Rasl2-9, Fbll1, Nxf1, Gar1, Rpp25l"
"AMPK signaling pathway",0,0.003,0.018,121,13,"Cpt1a, Ins1, Pdpk1, Pfkfb1, Pik3ca, Prkag1, Scd1, Creb3l3, Foxo3, Strada, Adipor1, Pik3cb, Creb3l4"
"PPAR signaling pathway",0,0.004,0.028,78,10,"Fabp4, Cpt1a, Gk, Pdpk1, Ppard, Rxrg, Scd1, Acsl6, Slc27a2, Cyp4a12a"
"mRNA surveillance pathway",0,0.004,0.035,80,10,"Nxf7, Magoh, Casc3, Rnps1, Cpsf7, Cpsf6, Nxf1, Ddx39b, Pabpn1, Rbm8a"
"Toll-like receptor signaling pathway",0,0.004,0.036,96,11,"Tirap, Ctsk, Ifna5, Ifna6, Ifnab, Ikbkg, Pik3ca, Mapk13, Irak4, Tab1, Pik3cb"
"Insulin resistance",0,0.007,0.074,104,11,"Cpt1a, Ins1, Nos3, Pdpk1, Pik3ca, Prkce, Prkag1, Creb3l3, Slc27a2, Pik3cb, Creb3l4"
"Longevity regulating pathway",0,0.007,0.078,88,10,"Ins1, Pik3ca, Prkaca, Prkag1, Creb3l3, Sesn2, Foxo3, Adipor1, Pik3cb, Creb3l4"
"Relaxin signaling pathway",0,0.007,0.099,125,12,"Gnao1, Nos1, Nos3, Pik3ca, Prkaca, Creb3l3, Vegfa, Vegfb, Insl5, Mapk13, Pik3cb, Creb3l4"
"Estrogen signaling pathway",0,0.007,0.103,91,10,"Gnao1, Hspa8, Kcnj5, Nos3, Pik3ca, Prkaca, Creb3l3, Hsp90b1, Pik3cb, Creb3l4"
"RNA polymerase",0,0.007,0.107,22,5,"Polr2a, Polr2b, Polr2g, Polr2d, Polr2f"
"mTOR signaling pathway",0,0.007,0.111,145,13,"Prr5, Dvl2, Ins1, Pdpk1, Pik3ca, Slc7a5, Wnt9b, Sesn2, Atp6v1g3, Telo2, Seh1l, Strada, Pik3cb"
"VEGF signaling pathway",0.002,0.023,0.397,57,7,"Nos3, Pik3ca, Ppp3r1, Vegfa, Mapk13, Pla2g4f, Pik3cb"
"FoxO signaling pathway",0.002,0.024,0.429,128,11,"Plk3, Ins1, Pdpk1, Pik3ca, Plk1, Prkag1, Mapk13, Ep300, Foxo4, Foxo3, Pik3cb"
"Longevity regulating pathway - multiple species",0.002,0.028,0.537,60,7,"Hspa8, Ins1, Pik3ca, Prkaca, Prkag1, Foxo3, Pik3cb"
"Purine metabolism",0.002,0.031,0.618,154,12,"Polr2a, Ppat, Polr2b, Nme6, Nme4, Polr2g, Ak8, Polr2d, Polr2f, Cant1, Nme3, Allc"
"AGE-RAGE signaling pathway in diabetic complications",0.003,0.039,0.815,100,9,"Il1a, Nos3, Pik3ca, Prkce, Vegfa, Vegfb, Mapk13, Nox4, Pik3cb"
"Fc epsilon RI signaling pathway",0.003,0.039,0.851,65,7,"Fyn, Il13, Pdpk1, Pik3ca, Mapk13, Pla2g4f, Pik3cb"
"Protein export",0.004,0.043,0.989,22,4,"Srp68, Sec61a1, Sec11a, Sec61a2"
"Adipocytokine signaling pathway",0.004,0.046,1,68,7,"Cpt1a, Ikbkg, Prkag1, Rxrg, Acsl6, Tnfrsf1b, Adipor1"
"Progesterone-mediated oocyte maturation",0.005,0.046,1,87,8,"Ins1, Mad1l1, Pik3ca, Prkaca, Plk1, Cpeb2, Mapk13, Pik3cb"
"TNF signaling pathway",0.005,0.046,1,106,9,"Cebpb, Ikbkg, Pik3ca, Creb3l3, Tnfrsf1b, Mapk13, Tab1, Pik3cb, Creb3l4"
"Regulation of lipolysis in adipocytes",0.005,0.048,1,53,6,"Fabp4, Ins1, Pik3ca, Prkaca, Pnpla2, Pik3cb"
"Vasopressin-regulated water reabsorption",0.008,0.074,1,42,5,"Arhgdig, Prkaca, Creb3l3, Dync1li1, Creb3l4"
"PI3K-Akt signaling pathway",0.009,0.074,1,322,18,"Fgf12, Ifna5, Ifna6, Ifnab, Ikbkg, Ins1, Ngfr, Nos3, Pdpk1, Pik3ca, Creb3l3, Hsp90b1, Vegfa, Vegfb, Foxo3, Lpar3, Pik3cb, Creb3l4"
"Neurotrophin signaling pathway",0.009,0.074,1,116,9,"Irak2, Arhgdig, Ngfr, Pdpk1, Pik3ca, Mapk13, Irak4, Foxo3, Pik3cb"
"HIF-1 signaling pathway",0.009,0.074,1,97,8,"Aldoa, Arnt, Ins1, Nos3, Pik3ca, Vegfa, Ep300, Pik3cb"
"Glucagon signaling pathway",0.01,0.076,1,98,8,"Cpt1a, Pfkfb1, Prkaca, Ppp3r1, Prkag1, Creb3l3, Ep300, Creb3l4"
"Ras signaling pathway",0.015,0.112,1,217,13,"Fgf12, Ikbkg, Ins1, Ngfr, Pik3ca, Prkaca, Pla2g1b, Vegfa, Vegfb, Pla2g4f, Foxo4, Pla2g12b, Pik3cb"
"Natural killer cell mediated cytotoxicity",0.016,0.117,1,107,8,"Fyn, Ifna5, Ifna6, Ifnab, Itgb2l, Pik3ca, Ppp3r1, Pik3cb"
"Cholinergic synapse",0.019,0.133,1,110,8,"Chrm4, Fyn, Gnao1, Pik3ca, Prkaca, Creb3l3, Pik3cb, Creb3l4"
"Cytosolic DNA-sensing pathway",0.02,0.14,1,52,5,"Ifna5, Ifna6, Ifnab, Ikbkg, Polr2f"
"Rap1 signaling pathway",0.021,0.14,1,203,12,"Arap3, Fgf12, Gnao1, Ins1, Itgb2l, Ngfr, Pik3ca, Vegfa, Vegfb, Mapk13, Lpar3, Pik3cb"
"Aldosterone-regulated sodium reabsorption",0.023,0.151,1,36,4,"Ins1, Pdpk1, Pik3ca, Pik3cb"
"Vascular smooth muscle contraction",0.024,0.151,1,115,8,"Adra1b, Prkaca, Prkce, Pla2g1b, Avpr1b, Pla2g4f, Cyp4a12a, Pla2g12b"
"Platelet activation",0.025,0.154,1,116,8,"Fyn, Nos3, Pik3ca, Prkaca, Tbxa2r, Mapk13, Pla2g4f, Pik3cb"
"Melanogenesis",0.029,0.178,1,98,7,"Dvl2, Gnao1, Prkaca, Creb3l3, Wnt9b, Ep300, Creb3l4"
"Oxytocin signaling pathway",0.03,0.178,1,143,9,"Gnao1, Kcnj5, Mef2c, Nos3, Prkaca, Ppp3r1, Prkag1, Camk1g, Pla2g4f"
"T cell receptor signaling pathway",0.031,0.179,1,99,7,"Fyn, Ikbkg, Pdpk1, Pik3ca, Ppp3r1, Mapk13, Pik3cb"
"alpha-Linolenic acid metabolism",0.035,0.197,1,24,3,"Pla2g1b, Pla2g4f, Pla2g12b"
"Calcium signaling pathway",0.036,0.197,1,171,10,"Adra1b, Cckbr, Gnal, Nos1, Nos3, Prkaca, Ppp3r1, Tbxa2r, Avpr1b, Cysltr1"
"RIG-I-like receptor signaling pathway",0.042,0.228,1,63,5,"Ifna5, Ifna6, Ifnab, Ikbkg, Mapk13"
"Linoleic acid metabolism",0.047,0.244,1,45,4,"Cyp3a13, Pla2g1b, Pla2g4f, Pla2g12b"
"Type II diabetes mellitus",0.047,0.244,1,45,4,"Ins1, Pik3ca, Prkce, Pik3cb"
"Oocyte meiosis",0.054,0.268,1,112,7,"Smc3, Ins1, Prkaca, Plk1, Ppp3r1, Cpeb2, Smc1a"
"Thyroid hormone signaling pathway",0.054,0.268,1,112,7,"Kat2a, Pdpk1, Pik3ca, Prkaca, Rxrg, Ep300, Pik3cb"
"MAPK signaling pathway",0.056,0.268,1,236,12,"Fgf12, Hspa8, Ikbkg, Il1a, Jund, Mef2c, Prkaca, Ppp3r1, Ptprr, Mapk13, Pla2g4f, Tab1"
"IL-17 signaling pathway",0.056,0.268,1,90,6,"Cebpb, Ikbkg, Il13, Jund, Hsp90b1, Mapk13"
"Inflammatory mediator regulation of TRP channels",0.061,0.273,1,115,7,"Pik3ca, Prkaca, Prkce, Mapk13, Pla2g4f, Cyp4a12a, Pik3cb"
"Wnt signaling pathway",0.061,0.273,1,139,8,"Dvl2, Prkaca, Ppard, Ppp3r1, Wnt9b, Ep300, Bambi, Nkd2"
"Prolactin signaling pathway",0.061,0.273,1,70,5,"Ins1, Pik3ca, Mapk13, Foxo3, Pik3cb"
"Sphingolipid signaling pathway",0.061,0.273,1,115,7,"Fyn, Nos3, Pdpk1, Pik3ca, Prkce, Mapk13, Pik3cb"
"Cytokine-cytokine receptor interaction",0.067,0.292,1,243,12,"Ifna5, Ifna6, Ifnab, Il10ra, Il13, Il1a, Xcl1, Ngfr, Tnfrsf1b, Vegfa, Vegfb, Ppbp"
"Cell cycle",0.076,0.324,1,121,7,"Smc3, Mad1l1, Plk1, Rad21, Wee1, Smc1a, Ep300"
"Jak-STAT signaling pathway",0.079,0.335,1,147,8,"Ifna5, Ifna6, Ifnab, Il10ra, Il13, Pik3ca, Ep300, Pik3cb"
"Dopaminergic synapse",0.089,0.37,1,126,7,"Gnal, Gnao1, Kcnj5, Prkaca, Creb3l3, Mapk13, Creb3l4"
"Arginine biosynthesis",0.093,0.38,1,17,2,"Nos1, Nos3"
"cGMP-PKG signaling pathway",0.103,0.411,1,156,8,"Adra1b, Ins1, Mef2c, Nos3, Prkce, Ppp3r1, Creb3l3, Creb3l4"
"Aldosterone synthesis and secretion",0.104,0.411,1,82,5,"Prkaca, Prkce, Creb3l3, Camk1g, Creb3l4"
"Glycerophospholipid metabolism",0.125,0.488,1,87,5,"Pla2g1b, Ptdss1, Pla2g4f, Pla2g12b, Mboat7"
"Phospholipase D signaling pathway",0.127,0.488,1,138,7,"Fyn, Ins1, Pik3ca, Avpr1b, Pla2g4f, Lpar3, Pik3cb"
"Fatty acid degradation",0.142,0.536,1,43,3,"Cpt1a, Acsl6, Cyp4a12a"
"Ether lipid metabolism",0.149,0.55,1,44,3,"Pla2g1b, Pla2g4f, Pla2g12b"
"Chemokine signaling pathway",0.15,0.55,1,171,8,"Ikbkg, Xcl1, Pik3ca, Prkaca, Prex1, Foxo3, Ppbp, Pik3cb"
"B cell receptor signaling pathway",0.158,0.57,1,69,4,"Ikbkg, Pik3ca, Ppp3r1, Pik3cb"
"Thyroid hormone synthesis",0.164,0.583,1,70,4,"Prkaca, Creb3l3, Hsp90b1, Creb3l4"
"Notch signaling pathway",0.179,0.628,1,48,3,"Dvl2, Kat2a, Ep300"
"Drug metabolism - other enzymes",0.187,0.642,1,49,3,"Tk1, Ugt1a9, Uck2"
"EGFR tyrosine kinase inhibitor resistance",0.188,0.642,1,74,4,"Pik3ca, Vegfa, Foxo3, Pik3cb"
"Fatty acid metabolism",0.194,0.654,1,50,3,"Cpt1a, Scd1, Acsl6"
"NOD-like receptor signaling pathway",0.198,0.656,1,156,7,"Ifna5, Ifna6, Ifnab, Ikbkg, Mapk13, Irak4, Tab1"
"Insulin signaling pathway",0.204,0.67,1,130,6,"Ins1, Pdpk1, Pik3ca, Prkaca, Prkag1, Pik3cb"
"Apelin signaling pathway",0.219,0.693,1,133,6,"Mef2c, Nos1, Nos3, Prkaca, Prkce, Prkag1"
"Riboflavin metabolism",0.219,0.693,1,8,1,"Acp5"
"Arachidonic acid metabolism",0.22,0.693,1,79,4,"Pla2g1b, Pla2g4f, Cyp4a12a, Pla2g12b"
"Ovarian steroidogenesis",0.226,0.704,1,54,3,"Ins1, Prkaca, Pla2g4f"
"Pentose phosphate pathway",0.232,0.71,1,30,2,"Aldoa, G6pdx"
"Insulin secretion",0.239,0.71,1,82,4,"Ins1, Prkaca, Creb3l3, Creb3l4"
"Non-alcoholic fatty liver disease (NAFLD)",0.239,0.71,1,137,6,"Il1a, Ins1, Pik3ca, Prkag1, Adipor1, Pik3cb"
"Necroptosis",0.239,0.71,1,137,6,"Ftl1, Ifna5, Ifna6, Ifnab, Il1a, Pla2g4f"
"Fructose and mannose metabolism",0.243,0.713,1,31,2,"Aldoa, Pfkfb1"
"Cellular senescence",0.251,0.719,1,168,7,"Foxm1, Il1a, Pik3ca, Ppp3r1, Mapk13, Foxo3, Pik3cb"
"Long-term depression",0.251,0.719,1,57,3,"Gnao1, Nos1, Pla2g4f"
"Th1 and Th2 cell differentiation",0.26,0.734,1,85,4,"Ikbkg, Il13, Ppp3r1, Mapk13"
"Carbohydrate digestion and absorption",0.266,0.744,1,33,2,"Pik3ca, Pik3cb"
"NF-kappa B signaling pathway",0.28,0.774,1,88,4,"Tirap, Ikbkg, Irak4, Tab1"
"Endocrine resistance",0.287,0.785,1,89,4,"Pik3ca, Prkaca, Mapk13, Pik3cb"
"Focal adhesion",0.304,0.813,1,179,7,"Cav3, Fyn, Pdpk1, Pik3ca, Vegfa, Vegfb, Pik3cb"
"Circadian entrainment",0.307,0.813,1,92,4,"Gnao1, Kcnj5, Nos1, Prkaca"
"Long-term potentiation",0.309,0.813,1,64,3,"Prkaca, Ppp3r1, Ep300"
"Fatty acid biosynthesis",0.31,0.813,1,12,1,"Acsl6"
"cAMP signaling pathway",0.323,0.824,1,183,7,"Arap3, Pik3ca, Prkaca, Creb3l3, Ep300, Pik3cb, Creb3l4"
"Ferroptosis",0.323,0.824,1,38,2,"Ftl1, Acsl6"
"Autophagy - animal",0.326,0.824,1,124,5,"Ins1, Pdpk1, Pik3ca, Prkaca, Pik3cb"
"Protein processing in endoplasmic reticulum",0.328,0.824,1,154,6,"Hspa8, Rpn2, Hsp90b1, Sec61a1, Sec61a2, Dnajb1"
"Thiamine metabolism",0.331,0.824,1,13,1,"Ak8"
"Fat digestion and absorption",0.334,0.824,1,39,2,"Pla2g1b, Pla2g12b"
"Apoptosis",0.357,0.869,1,129,5,"Ctsk, Ikbkg, Pdpk1, Pik3ca, Pik3cb"
"Phagosome",0.361,0.869,1,160,6,"Itgb2l, Nos1, Dync1li1, Atp6v1g3, Sec61a1, Sec61a2"
"Th17 cell differentiation",0.363,0.869,1,100,4,"Ikbkg, Ppp3r1, Rxrg, Mapk13"
"Signaling pathways regulating pluripotency of stem cells",0.381,0.904,1,133,5,"Dvl2, Pik3ca, Wnt9b, Mapk13, Pik3cb"
"Platinum drug resistance",0.385,0.904,1,73,3,"Pdpk1, Pik3ca, Pik3cb"
"Glutamatergic synapse",0.391,0.91,1,104,4,"Gnao1, Prkaca, Ppp3r1, Pla2g4f"
"Salivary secretion",0.401,0.925,1,75,3,"Adra1b, Nos1, Prkaca"
"Leukocyte transendothelial migration",0.405,0.925,1,106,4,"Itgb2l, Pik3ca, Mapk13, Pik3cb"
"Arginine and proline metabolism",0.411,0.93,1,46,2,"Nos1, Nos3"
"Adrenergic signaling in cardiomyocytes",0.418,0.937,1,139,5,"Adra1b, Prkaca, Creb3l3, Mapk13, Creb3l4"
"Retinol metabolism",0.45,1,1,81,3,"Cyp3a13, Cyp4a12a, Ugt1a9"
"Fc gamma R-mediated phagocytosis",0.474,1,1,84,3,"Pik3ca, Prkce, Pik3cb"
"GnRH signaling pathway",0.497,1,1,87,3,"Prkaca, Mapk13, Pla2g4f"
"Glycerolipid metabolism",0.503,1,1,55,2,"Gk, Pnpla2"
"Serotonergic synapse",0.519,1,1,123,4,"Gnao1, Kcnj5, Prkaca, Pla2g4f"
"Type I diabetes mellitus",0.522,1,1,57,2,"Il1a, Ins1"
"Maturity onset diabetes of the young",0.553,1,1,26,1,"Ins1"
"Regulation of actin cytoskeleton",0.554,1,1,196,6,"Chrm4, Fgf12, Ins1, Itgb2l, Pik3ca, Pik3cb"
"Ascorbate and aldarate metabolism",0.567,1,1,27,1,"Ugt1a9"
"Collecting duct acid secretion",0.567,1,1,27,1,"Atp6v1g3"
"Retrograde endocannabinoid signaling",0.575,1,1,132,4,"Gnao1, Kcnj5, Prkaca, Mapk13"
"Biosynthesis of unsaturated fatty acids",0.58,1,1,28,1,"Scd1"
"RNA degradation",0.602,1,1,66,2,"Patl1, Lsm5"
"Circadian rhythm",0.605,1,1,30,1,"Prkag1"
"Antifolate resistance",0.605,1,1,30,1,"Ikbkg"
"Apoptosis - multiple species",0.617,1,1,31,1,"Ngfr"
"Renin secretion",0.619,1,1,68,2,"Prkaca, Ppp3r1"
"Inositol phosphate metabolism",0.627,1,1,69,2,"Pik3ca, Pik3cb"
"Alanine, aspartate and glutamate metabolism",0.629,1,1,32,1,"Ppat"
"Gastric acid secretion",0.634,1,1,70,2,"Cckbr, Prkaca"
"Adherens junction",0.634,1,1,70,2,"Fyn, Ep300"
