"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Spliceosome",0,0,0,120,15,"Snrpd2, Hspa8, Snrpb, Snrpd1, Snrpe, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Snrpd3, Sf3a1, Phf5a, Snrpa1, Sf3b1"
"Proteasome",0,0,0,44,15,"Psma2, Psma3, Psmb1, Psmc1, Psmc3, Psmc5, Psmd2, Psmc4, Psma6, Psmb2, Psmb3, Psmd6, Pomp, Psmc6, Psmd1"
"RNA polymerase",0,0.012,0.035,22,4,"Polr2a, Polr2b, Polr2d, Polr2f"
"RNA transport",0.002,0.139,0.555,146,7,"Nup62, Ran, Rnps1, Nxf1, Ddx39b, Rbm8a, Seh1l"
"Pyrimidine metabolism",0.004,0.224,1,87,5,"Polr2a, Polr2b, Polr2d, Polr2f, Cant1"
"mRNA surveillance pathway",0.018,0.728,1,80,4,"Rnps1, Nxf1, Ddx39b, Rbm8a"
"Protein export",0.03,1,1,22,2,"Srp68, Sec61a1"
"Purine metabolism",0.043,1,1,154,5,"Polr2a, Polr2b, Polr2d, Polr2f, Cant1"
"Ribosome biogenesis in eukaryotes",0.065,1,1,74,3,"Ran, Nxf1, Gar1"
"Ferroptosis",0.081,1,1,38,2,"Ftl1, Slc39a14"
"NF-kappa B signaling pathway",0.097,1,1,88,3,"Tirap, Ikbkg, Irak4"
"Toll-like receptor signaling pathway",0.118,1,1,96,3,"Tirap, Ikbkg, Irak4"
"Protein processing in endoplasmic reticulum",0.126,1,1,154,4,"Hspa8, Ufd1l, Vcp, Sec61a1"
"Cytosolic DNA-sensing pathway",0.137,1,1,52,2,"Ikbkg, Polr2f"
"Fatty acid biosynthesis",0.14,1,1,12,1,"Mcat"
"TNF signaling pathway",0.147,1,1,106,3,"Cebpb, Ikbkg, Tnfrsf1b"
"Adipocytokine signaling pathway",0.209,1,1,68,2,"Ikbkg, Tnfrsf1b"
"Glycosaminoglycan degradation",0.213,1,1,19,1,"Hgsnat"
"Other types of O-glycan biosynthesis",0.223,1,1,20,1,"Pofut1"
"alpha-Linolenic acid metabolism",0.261,1,1,24,1,"Pla2g4f"
"Phototransduction",0.27,1,1,25,1,"Rcvrn"
"Glyoxylate and dicarboxylate metabolism",0.306,1,1,29,1,"Gcsh"
"NOD-like receptor signaling pathway",0.31,1,1,156,3,"Ikbkg, Irak4, Gsdmd"
"IL-17 signaling pathway",0.311,1,1,90,2,"Cebpb, Ikbkg"
"Pentose phosphate pathway",0.315,1,1,30,1,"Aldoa"
"Antifolate resistance",0.315,1,1,30,1,"Ikbkg"
"Fructose and mannose metabolism",0.324,1,1,31,1,"Aldoa"
"Endocytosis",0.364,1,1,244,4,"Capza1, Hspa8, Git1, Snf8"
"Mineral absorption",0.389,1,1,39,1,"Ftl1"
"Glycine, serine and threonine metabolism",0.396,1,1,40,1,"Gcsh"
"Homologous recombination",0.396,1,1,40,1,"Fam175a"
"Carbon metabolism",0.402,1,1,110,2,"Aldoa, Gcsh"
"Oxidative phosphorylation",0.415,1,1,113,2,"Atp5d, Ndufa7"
"Cysteine and methionine metabolism",0.419,1,1,43,1,"Dnmt3a"
"Vascular smooth muscle contraction",0.423,1,1,115,2,"Adra1b, Pla2g4f"
"Ether lipid metabolism",0.426,1,1,44,1,"Pla2g4f"
"Platelet activation",0.428,1,1,116,2,"Tbxa2r, Pla2g4f"
"Neurotrophin signaling pathway",0.428,1,1,116,2,"Irak2, Irak4"
"Linoleic acid metabolism",0.433,1,1,45,1,"Pla2g4f"
"Osteoclast differentiation",0.436,1,1,118,2,"Ikbkg, Spi1"
"Lysine degradation",0.441,1,1,46,1,"Ezh2"
"Fatty acid metabolism",0.468,1,1,50,1,"Mcat"
"Glutathione metabolism",0.482,1,1,52,1,"Txndc12"
"Ovarian steroidogenesis",0.495,1,1,54,1,"Pla2g4f"
"VEGF signaling pathway",0.513,1,1,57,1,"Pla2g4f"
"Long-term depression",0.513,1,1,57,1,"Pla2g4f"
"Necroptosis",0.514,1,1,137,2,"Ftl1, Pla2g4f"
