EntrezID,GeneSymbol,Score
10302,SNAPC5,0
10307,APBB3,0.5
10308,ZNF267,0
10309,CCNO,0
1031,CDKN2C,0
10311,DSCR3,0
10312,TCIRG1,0.5
10313,RTN3,0
10314,LANCL1,0
10316,NMUR1,0
10317,B3GALT5,0
10318,TNIP1,1
10319,LAMC3,0
1032,CDKN2D,0
10320,IKZF1,0
10321,CRISP3,0
10322,SMYD5,0
10324,KLHL41,0
10325,RRAGB,0
10326,SIRPB1,0.5
10327,AKR1A1,0.5
10328,EMC8,0
10329,TMEM5,0
1033,CDKN3,0
10330,CNPY2,0
10331,B3GNT3,0
10332,CLEC4M,0
10333,TLR6,0
10335,MRVI1,0
10336,PCGF3,0
10342,TFG,0
10343,PKDREJ,0
10344,CCL26,0
10345,TRDN,0
10346,TRIM22,0
10347,ABCA7,0
10349,ABCA10,0
10350,ABCA9,0
10351,ABCA8,0
10352,WARS2,0
10357,HMGB1P1,0
1036,CDO1,0
10360,NPM3,0
10361,NPM2,0
10362,HMG20B,0
10363,HMG20A,0
10365,KLF2,0.5
10367,MICU1,0
10368,CACNG3,0
10369,CACNG2,0
10370,CITED2,0
10371,SEMA3A,0
10376,TUBA1B,0
10379,IRF9,1
1038,CDR1,0
10380,BPNT1,0
10381,TUBB3,0
10382,TUBB4A,0
10383,TUBB4B,0
10384,BTN3A3,0
10385,BTN2A2,0
10388,SYCP2,0
10389,SCML2,0.5
1039,CDR2,0
10390,CEPT1,1
10391,CORO2B,0
103910,MYL12B,0
10392,NOD1,0
10393,ANAPC10,0
10394,PRG3,0
10396,ATP8A1,0
10397,NDRG1,0
10398,MYL9,0
10399,GNB2L1,0.5
104,ADARB1,0.5
1040,CDS1,0
10400,PEMT,0
10401,PIAS3,0
10402,ST3GAL6,0
10403,NDC80,0
10404,CPQ,0
10406,WFDC2,0
10409,BASP1,0
1041,CDSN,0
10410,IFITM3,0
10411,RAPGEF3,0.5
10412,NSA2,0
10413,YAP1,0.5
10417,SPON2,0.5
10418,SPON1,0
10419,PRMT5,0
10420,TESK2,1
10421,CD2BP2,0.5
10422,UBAC1,0
10423,CDIPT,0
10424,PGRMC2,0
10425,ARIH2,0
10426,TUBGCP3,0
10427,SEC24B,0
10428,CFDP1,0.5
1043,CD52,1
10430,TMEM147,0
10431,NA,0
10432,RBM14,0
10434,LYPLA1,0
10435,CDC42EP2,0
10436,EMG1,0
10437,IFI30,0
10438,C1D,0
10439,OLFM1,0.5
1044,CDX1,0
10440,TIMM17A,0
10443,N4BP2L2,0
10444,ZER1,0
10445,MCRS1,0
10446,LRRN2,1
10447,FAM3C,0
10449,ACAA2,0
1045,CDX2,0.5
10450,PPIE,0
10451,VAV3,0
10452,TOMM40,0
10454,TAB1,0
10455,ECI2,0
10456,HAX1,0
10457,GPNMB,0
10458,BAIAP2,0
10459,MAD2L2,1
1046,CDX4,0
10460,TACC3,0.5
10461,MERTK,0
10462,CLEC10A,0
10463,SLC30A9,0.5
10464,PIBF1,0
10465,PPIH,0.5
10466,COG5,0
10467,ZNHIT1,0
10468,FST,0
10469,TIMM44,0
1047,CLGN,0
10471,PFDN6,0
10472,ZBTB18,0
10473,HMGN4,0
10474,TADA3,0
10475,TRIM38,0
10476,ATP5H,0
10477,UBE2E3,0
10478,SLC25A17,0
10479,SLC9A6,0
1048,CEACAM5,0
10480,EIF3M,0
10481,HOXB13,0
10482,NXF1,1
10483,SEC23B,0.5
10484,SEC23A,0
10485,C1orf61,0
10486,CAP2,0
10487,CAP1,0
10488,CREB3,0.5
10489,LRRC41,0
10490,VTI1B,0
10491,CRTAP,0.5
10492,SYNCRIP,0.5
10493,VAT1,0
10494,STK25,0
10495,ENOX2,0
10497,UNC13B,0
10498,CARM1,0
10499,NCOA2,0
105,ADARB2,0
1050,CEBPA,0
10500,SEMA6C,0
10501,SEMA6B,0
10505,SEMA4F,0
10507,SEMA4D,0
10509,SEMA4B,0
1051,CEBPB,0
10512,SEMA3C,0
10513,APPBP2,0
10514,MYBBP1A,0
10516,FBLN5,0
10517,FBXW10,0.5
10518,CIB2,0
10519,CIB1,0
1052,CEBPD,0.5
10520,ZNF211,0
10521,DDX17,0
10522,DEAF1,0
10523,CHERP,0
10524,KAT5,0
10525,HYOU1,0
10526,IPO8,0
10527,IPO7,0
10528,NOP56,0
10529,NEBL,0.5
1053,CEBPE,0
10531,PITRM1,0
10533,ATG7,0
10534,SSSCA1,0
10535,RNASEH2A,0
10536,LEPREL2,0
10537,UBD,0
10538,BATF,0
10539,GLRX3,0.5
1054,CEBPG,0
10540,DCTN2,0
10541,ANP32B,0
10542,LAMTOR5,0.5
10544,PROCR,0
10548,TM9SF1,0
10549,PRDX4,0
10550,ARL6IP5,0
10551,AGR2,1
10552,ARPC1A,0
10553,HTATIP2,0
10554,AGPAT1,0
10555,AGPAT2,0
10556,RPP30,0
10557,RPP38,0
10558,SPTLC1,0
10559,SLC35A1,0
1056,CEL,0
10560,SLC19A2,0
10561,IFI44,0
10562,OLFM4,0
10563,CXCL13,0.5
10564,ARFGEF2,0
10565,ARFGEF1,0
10566,AKAP3,0
10567,RABAC1,0
10568,SLC34A2,0.5
10569,SLU7,0
10570,DPYSL4,0
10572,SIVA1,0
10573,MRPL28,0
10574,CCT7,0
10575,CCT4,0
10576,CCT2,1
10577,NPC2,0
10578,GNLY,0
10579,TACC2,0
1058,CENPA,0
10580,SORBS1,0
10581,IFITM2,0
10584,COLEC10,0
10585,POMT1,0
10586,MAB21L2,0
10587,TXNRD2,0
10588,MTHFS,0
10589,DRAP1,0
1059,CENPB,0
10590,SCGN,0
10591,DNPH1,0
10592,SMC2,0
10594,PRPF8,0.5
10595,ERN2,0
10598,AHSA1,0.5
10599,SLCO1B1,0
1060,CENPC,0
10600,USP16,0
10602,CDC42EP3,0.5
10603,SH2B2,0
10605,PAIP1,0
10606,PAICS,0
10607,TBL3,0
10608,MXD4,0
10609,LEPREL4,0
10610,ST6GALNAC2,0
10611,PDLIM5,0
10612,TRIM3,0
10613,ERLIN1,0
10614,HEXIM1,0.5
10615,SPAG5,1
10616,RBCK1,0
10617,STAMBP,0
10618,TGOLN2,0
1062,CENPE,0
10620,ARID3B,0
10621,POLR3F,0
10622,POLR3G,0
10623,POLR3C,0
10625,IVNS1ABP,0
10626,TRIM16,0
10627,MYL12A,0
10628,TXNIP,0.5
10629,TAF6L,0
1063,CENPF,0
10630,PDPN,0
10631,POSTN,0.5
10632,ATP5L,0
10633,RASL10A,0
10634,GAS2L1,0
10635,RAD51AP1,0
10636,RGS14,0
10637,LEFTY1,0.5
10638,SPHAR,0
10640,EXOC5,0
10641,NPRL2,0
10642,IGF2BP1,0
10643,IGF2BP3,0
10644,IGF2BP2,0
10645,CAMKK2,0
10647,SCGB1D2,0
10648,SCGB1D1,0
10650,SLMO1,0
10651,MTX2,0
10652,YKT6,0
10653,SPINT2,0
10654,PMVK,0
10655,DMRT2,0
10656,KHDRBS3,0
10657,KHDRBS1,0
10658,CELF1,0
10659,CELF2,0
1066,CES1,0
10660,LBX1,0
10661,KLF1,0
10663,CXCR6,0
10664,CTCF,0
10665,C6orf10,0
10666,CD226,0
10667,FARS2,0
10668,CGRRF1,0
10669,CGREF1,0
10670,RRAGA,0.5
10671,DCTN6,0
10672,GNA13,0
10673,TNFSF13B,0
10675,CSPG5,0.5
10677,AVIL,0
10678,B3GNT2,0
1068,CETN1,0
10681,GNB5,0
10682,EBP,0
10683,DLL3,0
10686,CLDN16,0
10687,PNMA2,0
1069,CETN2,0
10690,FUT9,0
10691,GMEB1,0
10692,RRH,0.5
10693,CCT6B,0
10694,CCT8,0
10695,CNPY3,0
10699,CORIN,0
107,ADCY1,0
1070,CETN3,1
1071,CETP,0
10712,FAM189B,0
10713,USP39,0
10714,POLD3,0.5
10715,CERS1,0
10716,TBR1,0
10717,AP4B1,0.5
10718,NRG3,0
1072,CFL1,1
10720,UGT2B11,0
10721,POLQ,0
10723,SLC12A7,0
10724,MGEA5,0
10725,NFAT5,0
10726,NUDC,0
10728,PTGES3,0.5
1073,CFL2,0.5
10730,YME1L1,0
10732,TCFL5,0
10733,PLK4,0
10734,STAG3,0
10735,STAG2,0
10736,SIX2,1
10738,RFPL3,0
10739,RFPL2,0.5
10741,RBBP9,0.5
10742,RAI2,0
10743,RAI1,0
10744,PTTG2,0.5
10745,PHTF1,0
10746,MAP3K2,0
10747,MASP2,0
10748,KLRAP1,0
10749,KIF1C,0
1075,CTSC,0
10750,GRAP,0
10752,CHL1,0
10753,CAPN9,0
10755,GIPC1,0
10758,TRAF3IP2,0
10761,PLAC1,0
10762,NUP50,0
10763,NES,0
10765,KDM5B,0
10766,TOB2,0
10767,HBS1L,0
10768,AHCYL1,0
10769,PLK2,0
10771,ZMYND11,0.5
10772,SRSF10,0
10773,ZBTB6,0
10775,POP4,0
10776,ARPP19,0
10777,ARPP21,0
10778,ZNF271,0
10780,ZNF234,0
10781,ZNF266,0
10782,ZNF274,0
10783,NEK6,0
10785,WDR4,0
10786,SLC17A3,1
10787,NCKAP1,0
10788,IQGAP2,0
10791,VAMP5,0
10793,ZNF273,0
10794,ZNF460,0
10795,ZNF268,0
10797,MTHFD2,0
10798,OR5I1,0
10799,RPP40,0.5
108,ADCY2,0
1080,CFTR,0.5
10800,CYSLTR1,0
10801,9-Sep,0
10802,SEC24A,0
10803,CCR9,0
10804,GJB6,0
10806,SDCCAG8,0
10807,SDCCAG3,0
10808,HSPH1,1
10809,STARD10,0
1081,CGA,0.5
10810,WASF3,0
10811,NOXA1,0
10813,UTP14A,0
10814,CPLX2,0
10815,CPLX1,0
10817,FRS3,0
10818,FRS2,0
1082,CGB,0
10825,NEU3,0
10826,FAXDC2,0
10827,FAM114A2,0
10838,ZNF275,0
1084,CEACAM3,0.5
10840,ALDH1L1,0
10841,FTCD,0
10842,PPP1R17,0
10844,TUBGCP2,0
10845,CLPX,0
10846,PDE10A,0
10847,SRCAP,0
10848,PPP1R13L,0
10849,CD3EAP,0
10850,CCL27,0
10855,HPSE,0
10856,RUVBL2,0
10857,PGRMC1,0
10858,CYP46A1,0
10859,LILRB1,0
10863,ADAM28,0
10864,SLC22A7,0
10865,ARID5A,0
10866,HCP5,0
10867,TSPAN9,0
10868,USP20,0
10869,USP19,0
1087,CEACAM7,0
10870,HCST,0
10871,CD300C,0
10873,ME3,0.5
10874,NMU,0
10875,FGL2,0
10876,EDDM3A,0
10877,CFHR4,0
10878,CFHR3,0
10879,SMR3B,0
1088,CEACAM8,0
10880,ACTL7B,0
10881,ACTL7A,0.5
10882,C1QL1,0
10884,MRPS30,0
10886,NPFFR2,0
10887,PROKR1,0
10888,GPR83,0
1089,CEACAM4,0
10890,RAB10,0
10891,PPARGC1A,0
10892,MALT1,0
10893,MMP24,0
10894,LYVE1,0
10896,OCLM,0.5
10897,YIF1A,0
10898,CPSF4,0
10899,JTB,0.5
109,ADCY3,0
10900,RUNDC3A,0
10901,DHRS4,0
10902,BRD8,0
10903,MTMR11,0
10904,BLCAP,0
10905,MAN1A2,0
10906,TRAFD1,0
10907,TXNL4A,0
10908,PNPLA6,0
10910,SUGT1,0
10911,UTS2,0
10912,GADD45G,0
10913,EDAR,0.5
10914,PAPOLA,0.5
10915,TCERG1,0
10916,MAGED2,0
10917,BTNL3,0
10919,EHMT2,1
10920,COPS8,0
10921,RNPS1,0
10922,FASTK,0.5
10923,SUB1,0
10924,SMPDL3A,0
10926,DBF4,0
10927,SPIN1,0
10928,RALBP1,0
10929,SRSF8,0
10930,APOBEC2,0
10933,MORF4L1,0.5
10934,MORF4,0
10935,PRDX3,0
10936,GPR75,0
10938,EHD1,0
10939,AFG3L2,0
10940,POP1,0
10941,UGT2A1,0
10942,PRSS21,0
10943,MSL3,1
10944,C11orf58,0
10945,KDELR1,0
10946,SF3A3,0
10947,AP3M2,0.5
10948,STARD3,0
10949,HNRNPA0,0
10950,BTG3,0
10951,CBX1,0
10952,SEC61B,0
10953,TOMM34,0.5
10954,PDIA5,0
10955,SERINC3,0
10956,OS9,0
10957,PNRC1,1
10959,TMED2,0
10960,LMAN2,0
10961,ERP29,0
10962,MLLT11,0
10963,STIP1,0
10964,IFI44L,0
10965,ACOT2,0.5
10966,RAB40B,0
10969,EBNA1BP2,0
10970,CKAP4,0
10971,YWHAQ,0
10972,TMED10,1
10973,ASCC3,0
10974,ADIRF,1
10975,UQCR11,0
10978,CLP1,0
10979,FERMT2,0
10980,COPS6,0.5
10981,RAB32,0
10982,MAPRE2,0
10983,CCNI,0
10985,GCN1L1,0
10987,COPS5,0.5
10988,METAP2,0
10989,IMMT,0
10990,LILRB5,0
10991,SLC38A3,1
10992,SF3B2,0.5
10993,SDS,0
10994,ILVBL,0
10998,SLC27A5,0
10999,SLC27A4,0
11000,SLC27A3,0
11001,SLC27A2,0
11004,KIF2C,0
11005,SPINK5,0
11006,LILRB4,0
11007,CCDC85B,1
11009,IL24,0
1101,CHAD,0
11010,GLIPR1,0
11011,TLK2,0
11012,KLK11,0
11013,TMSB15A,0.5
11014,KDELR2,0
11015,KDELR3,0
11016,ATF7,1
11017,SNRNP27,0
11018,TMED1,0
11019,LIAS,0
1102,RCBTB2,0.5
11020,IFT27,0
11021,RAB35,0.5
11022,TDRKH,0
11023,VAX1,0
11024,LILRA1,0
11025,LILRB3,0
11026,LILRA3,0
11027,LILRA2,0
1103,CHAT,0
11030,RBPMS,0.5
11031,RAB31,0
11033,ADAP1,0
11034,DSTN,0
11035,RIPK3,0
11036,GTF2A1L,0
11037,STON1,0
1104,RCC1,0
11040,PIM2,0
11041,B3GNT1,0
11043,MID2,0.5
11044,PAPD7,0
11045,UPK1A,0
11046,SLC35D2,0.5
11047,ADRM1,0
1105,CHD1,0
11051,NUDT21,0
11052,CPSF6,0
11054,OGFR,0
11055,ZPBP,0
11056,DDX52,0
11057,ABHD2,0
1106,CHD2,0
11061,LECT1,1
11062,DUS4L,0
11063,SOX30,0
11064,CNTRL,0
11065,UBE2C,0
11066,SNRNP35,0
11067,C10orf10,0
11068,CYB561D2,0
11069,RAPGEF4,0
1107,CHD3,0
11070,TMEM115,0
11072,DUSP14,0
11073,TOPBP1,0
11074,TRIM31,0
11075,STMN2,1
11076,TPPP,0
11077,HSF2BP,0
11078,TRIOBP,0
11079,RER1,0
1108,CHD4,0.5
11080,DNAJB4,0
11081,KERA,0
11082,ESM1,0
11083,DIDO1,0
11085,ADAM30,0
11086,ADAM29,0
1109,AKR1C4,0
11091,WDR5,1
11092,C9orf9,0
11093,ADAMTS13,0
11094,CACFD1,0
11095,ADAMTS8,0
11096,ADAMTS5,0
11097,NUPL2,0
11098,PRSS23,0
11099,PTPN21,0
111,ADCY5,0
11100,HNRNPUL1,0
11101,ATE1,0
11102,RPP14,0
11103,KRR1,0
11104,KATNA1,0
11105,PRDM7,0
11107,PRDM5,0
11108,PRDM4,0
1111,CHEK1,0
11112,HIBADH,0
11113,CIT,0
11116,FGFR1OP,0
11117,EMILIN1,0.5
11118,BTN3A2,0
11119,BTN3A1,0
1112,FOXN3,0
11120,BTN2A1,0
11122,PTPRT,0
11123,RCAN3,0
11124,FAF1,0
11126,CD160,0
11127,KIF3A,0
11128,POLR3A,0
11129,CLASRP,0
1113,CHGA,0
11130,ZWINT,0
11131,CAPN11,0
11132,CAPN10,0
11133,KPTN,0
11135,CDC42EP1,0
11136,SLC7A9,0.5
11137,PWP1,0
11138,TBC1D8,0
1114,CHGB,0
11140,CDC37,0
11141,IL1RAPL1,0
11142,PKIG,1
11143,KAT7,1
11144,DMC1,0
11145,PLA2G16,0
11146,GLMN,0
11147,HHLA3,0
11148,HHLA2,0
11149,BVES,0
11151,CORO1A,0
11152,WDR45,0
11153,FICD,0
11154,AP4S1,0
11155,LDB3,0
11156,PTP4A3,0
11157,LSM6,1
11158,RABL2B,0.5
11159,RABL2A,0
1116,CHI3L1,0
11160,ERLIN2,0
11161,C14orf1,0
11162,NUDT6,0
11163,NUDT4,0.5
11164,NUDT5,0
11165,NUDT3,0
11166,SOX21,0
11167,FSTL1,0
11168,PSIP1,0
11169,WDHD1,0
1117,CHI3L2,0
11170,FAM107A,0
11171,STRAP,0
11172,INSL6,0
11173,ADAMTS7,0
11174,ADAMTS6,0
11176,BAZ2A,0
11177,BAZ1A,0
11178,LZTS1,0
11179,ZNF277,0
1118,CHIT1,0
11180,WDR6,0
11181,TREH,0
11182,SLC2A6,0
11183,MAP4K5,0
11184,MAP4K1,0
11185,INMT,0
11186,RASSF1,0
11187,PKP3,0.5
11188,NISCH,0
11189,CELF3,0.5
1119,CHKA,0
11190,CEP250,0.5
11193,WBP4,0
11194,ABCB8,0
11196,SEC23IP,0
11197,WIF1,0
11198,SUPT16H,0
11199,ANXA10,0
112,ADCY6,0
1120,CHKB,0
11200,CHEK2,0
11201,POLI,0
11202,KLK8,0
1121,CHM,0
11211,FZD10,0
11212,PROSC,0
11213,IRAK3,0
11214,AKAP13,0
11215,AKAP11,0
11216,AKAP10,0
11217,AKAP2,0
11218,DDX20,0
1122,CHML,0
11221,DUSP10,0.5
11222,MRPL3,0
11224,RPL35,0
11226,GALNT6,0
11227,GALNT5,0
11228,RASSF8,0
1123,CHN1,0
11230,PRAF2,1
11231,SEC63,1
11232,POLG2,0
11234,HPS5,0
11235,PDCD10,0
11236,RNF139,0.5
11237,RNF24,0
11238,CA5B,0
112398,EGLN2,0
112399,EGLN3,0
1124,CHN2,0
11240,PADI2,0
112401,BIRC8,1
11243,PMF1,0
11244,ZHX1,0
11245,GPR176,0
112464,PRKCDBP,0
11247,NXPH4,0
112476,PRRT2,0.5
112479,ERI2,0
11248,NXPH3,0
112483,SAT2,0
112487,DTD2,0
11249,NXPH2,0
112495,GTF3C6,0.5
11250,GPR45,0
11251,PTGDR2,0.5
11252,PACSIN2,0
11253,MAN1B1,0
11254,SLC6A14,0.5
11255,HRH3,0
112574,SNX18,0.5
11259,FILIP1L,0
11260,XPOT,0
112609,MRAP2,0
11261,CHP1,0
112611,RWDD2A,0
112616,CMTM7,0
11262,SP140,0
11264,PXMP4,0
11266,DUSP12,0
11267,SNF8,0
11269,DDX19B,0
11270,NRM,0
112703,FAM71E1,0
112714,TUBA3E,0
11272,PRR4,0
112724,RDH13,0.5
11273,ATXN2L,0
11274,USP18,0.5
112744,IL17F,0
11275,KLHL2,0
112752,IFT43,0
112755,STX1B,1
11276,SYNRG,0
11277,TREX1,0
112770,C1orf85,0
11278,KLF12,0
11279,KLF8,0
1128,CHRM1,0
11280,SCN11A,0
112802,KRT71,0
11281,POU6F2,0.5
112817,HOGA1,0
11282,MGAT4B,0.5
11283,CYP4F8,0.5
11284,PNKP,0
112840,WDR89,0.5
112849,L3HYPDH,0
11285,B4GALT7,0
112858,TP53RK,0
112869,CCDC101,0
112885,PHF21B,0
1129,CHRM2,0.5
112936,VPS26B,0
112937,GLB1L3,0
112939,NACC1,0
112942,CFAP36,0
112950,MED8,0.5
112970,KTI12,0
113,ADCY7,0
1130,LYST,0
113000,RPUSD1,0
113026,PLCD3,0
11309,SLCO2B1,0
113091,PTH2,0
1131,CHRM3,0
11311,VPS45,0
113115,MTFR2,0
11313,LYPLA2,0
113130,CDCA5,0
11314,CD300A,0
11315,PARK7,0.5
11316,COPE,0
11317,RBPJL,0
113174,SAAL1,0
113177,IZUMO4,0
113178,SCAMP4,0
113179,ADAT3,0
11318,GPR182,0
113189,CHST14,0
11319,ECD,0
1132,CHRM4,0
11320,MGAT4A,0
113201,CASC4,0
11321,GPN1,0
11322,TMC6,0
113220,KIF12,0
113235,SLC46A1,0
113246,C12orf57,0.5
11325,DDX42,0
113251,LARP4,0
11326,VSIG4,0.5
113263,GLCCI1,0
113277,TMEM106A,0
113278,SLC52A3,0
11328,FKBP9,0
11329,STK38,0
1133,CHRM5,0
11330,CTRC,0
11331,PHB2,0.5
11332,ACOT7,0
11333,PDAP1,0
11334,TUSC2,0
11335,CBX3,0
11336,EXOC3,0
11337,GABARAP,0
11338,U2AF2,0
11339,OIP5,0
1134,CHRNA1,0
11340,EXOSC8,0
113402,SFT2D1,0
11341,SCRG1,1
113419,TEX261,0
11342,RNF13,0
11343,MGLL,0
11344,TWF2,1
113444,SMIM12,0
11345,GABARAPL2,0.5
113451,AZIN2,0
113452,TMEM54,0
113457,TUBA3D,0
11346,SYNPO,0
1135,CHRNA2,0
113510,HELQ,0
113540,CMTM1,0.5
1136,CHRNA3,0
113612,CYP2U1,0
113622,ADPRHL1,1
113655,MFSD3,0
113675,SDSL,0.5
1137,CHRNA4,1
113730,KLHDC7B,0
113746,ODF3,0
113763,ZBED6CL,0
113791,PIK3IP1,0
1138,CHRNA5,0.5
113802,HENMT1,0
113828,FAM83F,0
113829,SLC35A4,0
113835,ZNF257,0
113878,DTX2,0
1139,CHRNA7,0
114,ADCY8,0
1140,CHRNB1,0
114026,ZIM3,0
114034,TOE1,0
114049,WBSCR22,0
114088,TRIM9,0.5
1141,CHRNB2,0
114112,TXNRD3,0
114131,UCN3,0
114132,SIGLEC11,0
114134,SLC2A13,0
1142,CHRNB3,0
114294,LACTB,0
114299,PALM2,0
1143,CHRNB4,0.5
114327,EFHC1,0.5
114335,CGB1,0
114336,CGB2,0
1144,CHRND,0.5
1145,CHRNE,0
114548,NLRP3,0
114569,MAL2,0
114571,SLC22A9,0
1146,CHRNG,0
114609,TIRAP,1
114625,ERMAP,0
