name,imports,weights,datasource,Confidence,order,Color
Ribosome.MRPL1,Novel.MRPL50,900,database,Medium,1,red
Ribosome.MRPL1,Novel.MRRF,900,database,Medium,1,red
Ribosome.MRPL1,Novel.ILF3,454,experimental,Medium,1,red
Ribosome.MRPL1,Novel.ATP6V1H,417,experimental,Medium,1,red
Ribosome.MRPL19,Novel.MRRF,900,database,Medium,2,red
Ribosome.MRPL19,Novel.MRPL50,953,experimental,Medium,2,red
Ribosome.RPL10,RNA transport.EIF1AX,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.EIF3G,900,database,Medium,3,red
Ribosome.RPL10,Novel.PPP2R2A,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.EIF3H,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.EIF4E,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.NCBP2,900,database,Medium,3,red
Ribosome.RPL10,Novel.EXOSC3,900,database,Medium,3,red
Ribosome.RPL10,Novel.MPHOSPH6,900,database,Medium,3,red
Ribosome.RPL10,Novel.SEC61B,900,database,Medium,3,red
Ribosome.RPL10,Novel.RPL39L,900,database,Medium,3,red
Ribosome.RPL10,Novel.SECISBP2,900,database,Medium,3,red
Ribosome.RPL10,Novel.SPCS3,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.EEF1A1,900,database,Medium,3,red
Ribosome.RPL10,Novel.EXOSC9,900,database,Medium,3,red
Ribosome.RPL10,Novel.EXOSC5,900,database,Medium,3,red
Ribosome.RPL10,RNA transport.EIF3I,900,database,Medium,3,red
Ribosome.RPL10,Novel.ETF1,900,database,Medium,3,red
Ribosome.RPL10,Novel.SEC61A1,900,database,Medium,3,red
Ribosome.RPL10A,RNA transport.EIF1AX,900,database,Medium,4,red
Ribosome.RPL10A,RNA transport.EIF3G,900,database,Medium,4,red
Ribosome.RPL10A,Novel.PPP2R2A,900,database,Medium,4,red
Ribosome.RPL10A,RNA transport.EIF3H,900,database,Medium,4,red
Ribosome.RPL10A,RNA transport.EIF4E,900,database,Medium,4,red
Ribosome.RPL10A,RNA transport.NCBP2,900,database,Medium,4,red
Ribosome.RPL10A,Novel.EXOSC3,900,database,Medium,4,red
Ribosome.RPL10A,Novel.MPHOSPH6,900,database,Medium,4,red
Ribosome.RPL10A,Novel.SEC61B,900,database,Medium,4,red
Ribosome.RPL10A,Novel.ACTA2,444,experimental,Medium,4,red
Ribosome.RPL10A,Novel.RPL39L,900,database,Medium,4,red
Ribosome.RPL10A,Novel.SECISBP2,900,database,Medium,4,red
Ribosome.RPL10A,Novel.SPCS3,900,database,Medium,4,red
