"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"320",79602,"ADIPOR2","MedConf","Yes","Non-alcoholic fatty liver disease (NAFLD)",NA,NA
"413",10768,"AHCYL1","MedConf","Yes","Metabolic pathways, Cysteine and methionine metabolism",NA,NA
"449",221264,"AK9","MedConf","Yes","Metabolic pathways",NA,NA
"586",271,"AMPD2","MedConf","Yes","Metabolic pathways",NA,NA
"1178",506,"ATP5B","MedConf","Yes","Metabolic pathways",NA,NA
"1311",570,"BAAT","MedConf","Yes","Metabolic pathways, Primary bile acid biosynthesis, Taurine and hypotaurine metabolism","GGT1","Glutathione metabolism (1), Taurine and hypotaurine metabolism (1), Metabolic pathways (1)"
"1333",578,"BAK1","HighConf","Yes","Apoptosis - multiple species, Platinum drug resistance, Apoptosis",NA,NA
"2205",841,"CASP8","HighConf","Yes","Apoptosis - multiple species, Platinum drug resistance, Apoptosis, Non-alcoholic fatty liver disease (NAFLD), NOD-like receptor signaling pathway, Necroptosis, p53 signaling pathway, IL-17 signaling pathway","EIF4G1, FAS, FADD","Apoptosis (3), Necroptosis (2), Platinum drug resistance (2), IL-17 signaling pathway (1), NOD-like receptor signaling pathway (1), Apoptosis - multiple species (1), p53 signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
"2839",9023,"CH25H","HighConf","Yes","Primary bile acid biosynthesis","CYP7A1, FDFT1","Metabolic pathways (2), PPAR signaling pathway (1), Steroid hormone biosynthesis (1), Primary bile acid biosynthesis (1)"
"2891",128866,"CHMP4B","HighConf","Yes","Necroptosis",NA,NA
"3310",51805,"COQ3","MedConf","Yes","Metabolic pathways",NA,NA
"3338",9377,"COX5A","MedConf","Yes","Metabolic pathways, Non-alcoholic fatty liver disease (NAFLD)",NA,NA
"3399",1375,"CPT1B","MedConf","Yes","PPAR signaling pathway",NA,NA
"3427",1387,"CREBBP","MedConf","Yes",NA,"CYP1A1, CYP7A1, STAT4, FDFT1, EIF2S1","Metabolic pathways (3), Steroid hormone biosynthesis (2), Apoptosis (1), Necroptosis (1), PPAR signaling pathway (1), Primary bile acid biosynthesis (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
"3711",1585,"CYP11B2","MedConf","Yes","Metabolic pathways, Steroid hormone biosynthesis","HSD17B6","Steroid hormone biosynthesis (1), Metabolic pathways (1)"
"3714",1543,"CYP1A1","MedConf","Yes","Metabolic pathways, Steroid hormone biosynthesis","CYP7A1, SULT2B1, HSD17B6, CREBBP","Steroid hormone biosynthesis (3), Metabolic pathways (2), PPAR signaling pathway (1), Primary bile acid biosynthesis (1)"
