"","name","imports","weights","datasource","Confidence","Color"
"1","TNF signaling pathway.ATF6B","Novel.PRKD1",800,"database","Medium","#ff0000"
"2","TNF signaling pathway.ATF6B","TNF signaling pathway & cAMP signaling pathway.CREB3",800,"database","Medium","#ff0000"
"3","TNF signaling pathway.ATF6B","TNF signaling pathway & cAMP signaling pathway & Osteoclast differentiation.CREB1",800,"database","Medium","#ff0000"
"4","TNF signaling pathway.CFLAR","Novel.PLIN5",601,"experimental","High","#ff0000"
"5","TNF signaling pathway.CFLAR","Novel.MAX",900,"database","High","#ff0000"
"6","TNF signaling pathway.CFLAR","Novel.TICAM1",900,"database","High","#ff0000"
"7","TNF signaling pathway.CSF2","Novel.KRAS",900,"database","Medium","#ff0000"
"8","TNF signaling pathway.CSF2","Novel.IL3",900,"database","Medium","#ff0000"
"9","TNF signaling pathway.CSF2","Novel.IL3RA",900,"database","Medium","#ff0000"
"10","TNF signaling pathway.CSF2","Novel.IL12RB2",800,"database","Medium","#ff0000"
"11","TNF signaling pathway.CSF2","Novel.IL27RA",800,"database","Medium","#ff0000"
"12","TNF signaling pathway.CSF2","Osteoclast differentiation.GAB2",900,"database","Medium","#ff0000"
"13","TNF signaling pathway.CSF2","Novel.CNTFR",800,"database","Medium","#ff0000"
"14","TNF signaling pathway.CSF2","TNF signaling pathway & cAMP signaling pathway & Osteoclast differentiation.PIK3R3",900,"database","Medium","#ff0000"
"15","TNF signaling pathway.CSF2","TNF signaling pathway & Osteoclast differentiation.IKBKB",900,"database","Medium","#ff0000"
"16","TNF signaling pathway.CSF2","Novel.HDAC2",900,"database","Medium","#ff0000"
"17","TNF signaling pathway.CSF2","Novel.PTPN6",900,"database","Medium","#ff0000"
"18","TNF signaling pathway.CSF2","Novel.ITGB1",900,"database","Medium","#ff0000"
"19","TNF signaling pathway.CSF2","TNF signaling pathway & cAMP signaling pathway & Osteoclast differentiation.RELA",900,"database","Medium","#ff0000"
"20","TNF signaling pathway.CSF2","Osteoclast differentiation.STAT1",900,"database","Medium","#ff0000"
"21","TNF signaling pathway.CSF2","TNF signaling pathway & cAMP signaling pathway & Osteoclast differentiation.JUN",900,"database","Medium","#ff0000"
"22","TNF signaling pathway.CSF2","Novel.IL21R",800,"database","Medium","#ff0000"
"23","TNF signaling pathway.CSF2","Osteoclast differentiation.SYK",900,"database","Medium","#ff0000"
"24","TNF signaling pathway.CSF2","Novel.PDPK1",900,"database","Medium","#ff0000"
"25","TNF signaling pathway.EDN1","Novel.CXCR4",900,"database","Medium","#ff0000"
"26","TNF signaling pathway.EDN1","Novel.BDKRB1",900,"database","Medium","#ff0000"
"27","TNF signaling pathway.EDN1","Novel.NMUR2",900,"database","Medium","#ff0000"
"28","TNF signaling pathway.EDN1","Novel.NMS",900,"database","Medium","#ff0000"
"29","TNF signaling pathway.EDN1","Novel.P2RY11",900,"database","Medium","#ff0000"
"30","TNF signaling pathway.EDN1","Novel.MLNR",900,"database","Medium","#ff0000"
"31","TNF signaling pathway.EDN1","Novel.GNRH2",900,"database","Medium","#ff0000"
"32","TNF signaling pathway.EDN1","Novel.GNA15",900,"database","Medium","#ff0000"
"33","TNF signaling pathway.EDN1","Novel.PROK1",900,"database","Medium","#ff0000"
"34","TNF signaling pathway.EDN1","Novel.AVPR1A",900,"database","Medium","#ff0000"
"35","TNF signaling pathway.EDN1","Novel.TACR3",900,"database","Medium","#ff0000"
"36","TNF signaling pathway.EDN1","Novel.TRH",900,"database","Medium","#ff0000"
"37","TNF signaling pathway.EDN1","Novel.LTB4R",900,"database","Medium","#ff0000"
"38","TNF signaling pathway.EDN1","Novel.GPR4",900,"database","Medium","#ff0000"
"39","TNF signaling pathway.EDN1","Novel.UTS2B",900,"database","Medium","#ff0000"
"40","TNF signaling pathway.EDN1","Novel.KISS1",900,"database","Medium","#ff0000"
