"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Spliceosome",0,0,0,133,26,14,"ISY1-RAB43, SF3A1, SF3B1, HSPA8, SF3B6, SNRPA1, SNRPB, SNRPD1, SNRPD3, SNRPE, DDX39B, SF3B5, PHF5A, RBM8A","SF3A3, SF3B2, DHX8, HNRNPA3, SNRNP200, SF3B3, LSM5, MAGOH, PLRG1, SRSF3, SNRPC, SNRPG",0.367
"2","Proteasome",0,0,0,45,22,14,"POMP, PSMA2, PSMA3, PSMA6, PSMB1, PSMB2, PSMB3, PSMC1, PSMC3, PSMC4, PSMC5, PSMC6, PSMD2, PSMD6","PSMD14, PSMA1, PSMA4, PSMA7, PSMB4, PSMB6, PSMD3, PSMD11",0.563
"3","RNA transport",0,0.005,0.016,166,17,7,"NXF1, RNPS1, NUP62, RAN, DDX39B, SEH1L, RBM8A","RPP25L, EIF4G2, CASC3, KPNB1, MAGOH, NUP98, NXF2, NUP107, XPO1, EIF3F",0.257
"4","Pyrimidine metabolism",0.001,0.039,0.161,99,11,4,"CANT1, POLR2A, POLR2B, POLR2D","NME6, NME3, NME4, POLR2G, POLR2K, TK1, UCK2",0.237
"5","AMPK signaling pathway",0.001,0.039,0.24,120,12,0,"","CPT1A, CREB3L4, FOXO3, INS, ADIPOR1, PDPK1, PIK3CA, PIK3CB, PRKAG1, SCD, CREB3L3, STRADA",0.05
"6","Longevity regulating pathway",0.001,0.039,0.258,89,10,0,"","CREB3L4, FOXO3, INS, ADIPOR1, PIK3CA, PIK3CB, PRKACA, PRKAG1, SESN2, CREB3L3",0.056
"7","Olfactory transduction",0.001,0.039,0.305,414,27,5,"OR8K3, OR10A3, OR52N4, OR11H12, OR4C15","OR52J3, OR5P2, OR5P3, OR2D3, OR4D2, OR2AG1, OR9I1, OR5A2, OR51F1, OR2T1, GNAL, OR8D4, OR2AT4, OR51I1, OR5AN1, OR6C1, OR1K1, PRKACA, OR5H2, OR51E2, OR1E2, OR6A2",0.125
"8","Insulin resistance",0.001,0.039,0.309,107,11,0,"","SLC27A2, CPT1A, CREB3L4, INS, NOS3, PDPK1, PIK3CA, PIK3CB, PRKAG1, PRKCE, CREB3L3",0.051
"9","Relaxin signaling pathway",0.002,0.051,0.481,130,12,0,"","INSL5, CREB3L4, GNAO1, NOS1, NOS3, PIK3CA, PIK3CB, PRKACA, MAPK13, VEGFA, VEGFB, CREB3L3",0.046
"10","Estrogen signaling pathway",0.002,0.051,0.541,98,10,1,"HSPA8","CREB3L4, GNAO1, KCNJ5, NOS3, PIK3CA, PIK3CB, PRKACA, HSP90B1, CREB3L3",0.101
"11","mTOR signaling pathway",0.002,0.051,0.558,150,13,1,"SEH1L","ATP6V1G3, DVL2, INS, PDPK1, PIK3CA, PIK3CB, PRR5, WNT9B, SLC7A5, SESN2, STRADA, TELO2",0.082
"12","PPAR signaling pathway",0.004,0.073,0.873,72,8,0,"","SLC27A2, CPT1A, FABP4, ACSL6, PDPK1, PPARD, RXRG, SCD",0.056
"13","mRNA surveillance pathway",0.004,0.073,1,90,9,4,"NXF1, RNPS1, DDX39B, RBM8A","CASC3, MAGOH, NXF2, CPSF7, PABPN1",0.272
"14","RNA polymerase",0.004,0.073,1,31,5,3,"POLR2A, POLR2B, POLR2D","POLR2G, POLR2K",0.381
"15","Ribosome biogenesis in eukaryotes",0.005,0.088,1,77,8,3,"NXF1, GAR1, RAN","RPP25L, IMP3, NXF2, XPO1, UTP15",0.239
"16","Longevity regulating pathway - multiple species",0.006,0.088,1,62,7,1,"HSPA8","FOXO3, INS, PIK3CA, PIK3CB, PRKACA, PRKAG1",0.128
"17","FoxO signaling pathway",0.006,0.089,1,131,11,1,"FOXO4","PLK3, EP300, FOXO3, INS, PDPK1, PIK3CA, PIK3CB, PLK1, PRKAG1, MAPK13",0.087
"18","AGE-RAGE signaling pathway in diabetic complications",0.008,0.101,1,99,9,0,"","IL1A, NOS3, NOX4, PIK3CA, PIK3CB, PRKCE, MAPK13, VEGFA, VEGFB",0.045
"19","Protein export",0.008,0.101,1,23,4,2,"SEC61A1, SRP68","SEC11A, SEC61A2",0.337
"20","cGMP-PKG signaling pathway",0.011,0.134,1,162,12,1,"ADRA1B","MEF2B, CREB3L4, ADRA2B, INS, KCNMA1, MEF2C, MYH7, NOS3, PPP3R1, PRKCE, CREB3L3",0.079
"21","Regulation of lipolysis in adipocytes",0.011,0.134,1,54,6,0,"","FABP4, INS, PIK3CA, PIK3CB, PRKACA, PNPLA2",0.056
"22","VEGF signaling pathway",0.015,0.174,1,58,6,0,"","NOS3, PIK3CA, PIK3CB, PPP3R1, MAPK13, VEGFA",0.052
"23","Purine metabolism",0.017,0.181,1,171,12,4,"CANT1, POLR2A, POLR2B, POLR2D","NME6, AK8, NME3, NME4, POLR2G, POLR2K, PPAT, ALLC",0.202
"24","Vasopressin-regulated water reabsorption",0.018,0.188,1,44,5,0,"","CREB3L4, ARHGDIG, DYNC1LI1, PRKACA, CREB3L3",0.057
"25","HIF-1 signaling pathway",0.022,0.224,1,99,8,1,"ALDOA","EP300, INS, ARNT, NOS3, PIK3CA, PIK3CB, VEGFA",0.103
"26","Neurotrophin signaling pathway",0.024,0.225,1,119,9,2,"IRAK2, IRAK4","FOXO3, ARHGDIG, NGFR, PDPK1, PIK3CA, PIK3CB, MAPK13",0.149
"27","Fc epsilon RI signaling pathway",0.028,0.254,1,66,6,0,"","FYN, IL13, PDPK1, PIK3CA, PIK3CB, MAPK13",0.045
"28","Protein processing in endoplasmic reticulum",0.031,0.277,1,166,11,4,"SEC61A1, HSPA8, UFD1L, VCP","PPP1R15A, DNAJB1, DNAJB11, SEC61A2, NPLOC4, RPN2, HSP90B1",0.215
"29","Aldosterone-regulated sodium reabsorption",0.039,0.338,1,37,4,0,"","INS, PDPK1, PIK3CA, PIK3CB",0.054
"30","Cholinergic synapse",0.042,0.353,1,112,8,0,"","CHRM4, CREB3L4, FYN, GNAO1, PIK3CA, PIK3CB, PRKACA, CREB3L3",0.036
