"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"MAPK signaling pathway",0,0,0,252,48,"DUSP10, MAP3K8, DUSP5, DUSP6, DUSP7, EGFR, ELK4, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, TAB2, PLA2G4D, NR4A1, IKBKB, IL1A, IL1B, JUN, KRAS, STMN1, MAX, MAP3K3, MOS, TAOK3, PDGFRA, PDGFRB, PLA2G4A, PPP3R2, MAPK13, MAP2K6, RAP1A, RELA, BRAF, MAP3K7, TGFB2, TNFRSF1A, CACNA1C, CACNA2D1, CACNB4, MAPKAPK3, JMJD7-PLA2G4B, CACNA2D2, CD14, CDC25B, CDC42"
"PI3K-Akt signaling pathway",0,0,0,336,62,"CREB3, CHRM2, COL1A2, COL4A2, COL4A3, COL6A1, CREB1, ATF6B, CSF1R, EFNA2, EGFR, EIF4B, EPO, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, FLT4, G6PC, GH2, GNG3, GNG10, NR4A1, TNC, IFNA13, IFNA14, IFNA16, IKBKB, IL3, IL3RA, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, KRAS, LAMA5, NGFR, PDGFRA, PDGFRB, PDPK1, PPP2CB, PPP2R5A, PPP2R5E, PKN2, PRL, RELA, BCL2L1, TNN, SYK, TLR2, TLR4, HSP90B1, YWHAG, YWHAH, PIK3R3, CCND2, CCND3, CCNE1, CREB3L1"
"Toll-like receptor signaling pathway",0,0,0,104,28,"TIRAP, MAP3K8, TICAM1, TAB2, LY96, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, CXCL8, IL12A, IRAK1, JUN, MYD88, TOLLIP, MAPK13, MAP2K6, RELA, CCL3, CXCL11, STAT1, MAP3K7, TLR2, TLR4, PIK3R3, RIPK1, CD14"
"Spliceosome",0,0,0,128,31,"BCAS2, PPIH, PRPF8, SF3B2, LSM6, HNRNPA1L2, CCDC12, SNW1, ACIN1, SF3B1, LSM4, PRPF31, HNRNPC, HNRNPM, SNU13, SF3B6, PLRG1, XAB2, THOC2, SRSF1, SRSF2, SRSF3, TRA2B, SNRPC, SNRPD3, PHF5A, PRPF38A, EFTUD2, CDC5L, RBM8A, THOC1"
"Proteasome",0,0,0,44,29,"POMP, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD2, PSMD3, PSMD7, PSMD8, PSMD11, PSMD12, PSMF1, PSMD6"
"NF-kappa B signaling pathway",0,0,0,93,28,"TIRAP, PARP1, CSNK2A2, TICAM1, ERC1, TAB2, LY96, TAB3, LAT, ICAM1, IKBKB, IL1B, CXCL8, IRAK1, MYD88, RELA, BCL2L1, CCL13, SYK, MAP3K7, TLR4, TNFRSF1A, UBE2I, CARD11, RIPK1, TNFRSF11A, CFLAR, CD14"
"TNF signaling pathway",0,0,0.001,108,25,"DNM1L, CREB3, MAP3K8, CREB1, ATF6B, CSF2, JAG1, EDN1, PGAM5, TAB2, TAB3, ICAM1, IKBKB, IL1B, JUN, MAPK13, MAP2K6, RELA, BCL3, MAP3K7, TNFRSF1A, PIK3R3, RIPK1, CFLAR, CREB3L1"
"Osteoclast differentiation",0,0,0.002,127,27,"SIRPB1, IRF9, CREB1, CSF1R, CYLD, FHL2, TAB2, LILRA5, IKBKB, IL1A, IL1B, ITGB3, JUN, PPP3R2, MAPK13, MAP2K6, RELA, SPI1, STAT1, SYK, MAP3K7, TGFB2, TNFRSF1A, CALCR, PIK3R3, TNFRSF11A, GAB2"
"AGE-RAGE signaling pathway in diabetic complications",0,0.001,0.006,99,22,"COL1A2, COL4A2, COL4A3, DIAPH1, AGER, EDN1, EGR1, ICAM1, IL1A, IL1B, CXCL8, JUN, KRAS, SMAD4, PLCE1, PLCB4, MAPK13, RELA, STAT1, TGFB2, PIK3R3, CDC42"
"Rap1 signaling pathway",0,0.001,0.008,209,36,"CSF1R, CTNND1, DRD2, EFNA2, EGFR, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, FLT4, LAT, GNAI3, GNAO1, ITGAM, ITGB1, ITGB3, KRAS, NGFR, PLCE1, PDGFRA, PDGFRB, PLCB4, PRKD1, MAPK13, MAP2K6, PARD3, RAP1A, BRAF, PARD6G, PIK3R3, SKAP1, RAPGEF5, CDC42"
"RNA transport",0,0.001,0.012,156,29,"EIF1, SRRM1, TACC3, NXF1, EIF2S1, EIF2S3, EIF4A1, EIF4B, EIF4G1, EIF4G2, ACIN1, NUP188, NUP43, THOC2, RANBP2, RANGAP1, SUMO3, UBE2I, THOC7, RAE1, EIF3A, EIF3B, EIF3I, EIF3J, EIF2B3, EIF2S2, NUP155, RBM8A, THOC1"
"Ras signaling pathway",0,0.001,0.015,223,37,"RASA4, CSF1R, EFNA2, EGFR, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, RASA3, FLT4, SHC2, LAT, GNG3, GNG10, PLA2G4D, IKBKB, KRAS, NGFR, PLCE1, PDGFRA, PDGFRB, PLA2G4A, RAB5A, RAP1A, RELA, BCL2L1, BRAP, PLA2G6, PIK3R3, JMJD7-PLA2G4B, RASAL2, RAPGEF5, GAB2, CDC42"
"NOD-like receptor signaling pathway",0,0.001,0.015,166,30,"DNM1L, IRF9, GABARAPL2, ANTXR2, TICAM1, TAB2, TAB3, PYDC1, GBP2, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, CXCL8, ITPR3, JUN, MYD88, NFKBIB, PLCB4, MAPK13, NLRC4, RELA, BCL2L1, STAT1, MAP3K7, TLR4, NLRX1, RIPK1, NLRP12"
"Cytokine-cytokine receptor interaction",0,0.001,0.015,266,42,"CXCL13, CCR8, CNTFR, CSF1R, CSF2, CX3CR1, EGFR, EPO, FLT4, GH2, CXCR3, IL19, IFNA13, IFNA14, IFNA16, IL1A, IL1B, IL3, IL3RA, CXCL8, IL12A, IL12RB2, IL17A, NGFR, IL21R, IL22, PDGFRA, PDGFRB, PF4, PRL, CCL3, CCL13, CXCL11, CXCR5, BMPR1B, XCL2, TGFB2, THPO, TNFRSF1A, CXCR4, PLEKHO2, TNFRSF11A"
"Thyroid hormone signaling pathway",0,0.002,0.025,116,23,"RCAN2, SLC16A10, ATP1B4, SIN3A, HDAC2, ITGAV, ITGB3, KRAS, MYH6, ATP1A3, ATP1B2, ATP1B3, NOTCH4, PLCE1, PDPK1, PLCB4, SLCO1C1, SLC2A1, STAT1, PIK3R3, KAT2B, MED14, TBC1D4"
"Chemokine signaling pathway",0,0.002,0.036,182,31,"CXCL13, CCR8, CX3CR1, GRK2, PTK2B, SHC2, GNAI3, GNG3, GNG10, CXCR3, GSK3A, IKBKB, CXCL8, KRAS, NFKBIB, PF4, PLCB4, PARD3, PXN, RAP1A, RELA, CCL3, CCL13, CXCL11, CXCR5, BRAF, STAT1, XCL2, CXCR4, PIK3R3, CDC42"
"Focal adhesion",0,0.004,0.063,196,32,"COL1A2, COL4A2, COL4A3, COL6A1, DIAPH1, EGFR, FLT4, PIP5K1C, SHC2, TNC, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, JUN, LAMA5, ARHGAP5, PDGFRA, PDGFRB, PDPK1, PXN, RAP1A, TNN, BRAF, VCL, CAPN2, PIK3R3, CAV3, CCND2, CCND3, CDC42"
"Regulation of actin cytoskeleton",0,0.006,0.104,210,33,"ARPC1B, CFL1, CHRM2, DIAPH1, EGFR, SPATA13, FGF7, FGF8, FGF9, FGF10, FGF12, FGFR3, MRAS, PIP5K1C, GIT1, ITGA1, ITGA5, ITGAM, ITGAV, ITGB1, ITGB3, KRAS, MOS, PDGFRA, PDGFRB, PXN, BDKRB1, BRAF, VCL, PIK3R3, CD14, ARHGEF6, CDC42"
"Notch signaling pathway",0,0.006,0.11,47,12,"JAG1, DTX1, SNW1, NCSTN, HDAC2, RBPJ, MFNG, NOTCH4, APH1A, MAML2, KAT2B, NUMBL"
"Jak-STAT signaling pathway",0.001,0.008,0.154,155,26,"IRF9, CNTFR, CSF2, EPO, GH2, IL19, IFNA13, IFNA14, IFNA16, IL3, IL3RA, IL12A, IL12RB2, IL21R, IL22, PRL, PTPN2, PTPN6, BCL2L1, STAT1, THPO, PIK3R3, SOCS2, CCND2, CCND3, IL27RA"
"RIG-I-like receptor signaling pathway",0.001,0.008,0.172,70,15,"CYLD, DDX3X, IFNA13, IFNA14, IFNA16, IKBKB, CXCL8, IL12A, NFKBIB, MAPK13, RELA, MAP3K7, NLRX1, RIPK1, ISG15"
"Apoptosis",0.001,0.013,0.278,136,23,"PARP1, CTSD, EIF2S1, ENDOG, BIRC5, IKBKB, IL3, IL3RA, ITPR3, JUN, KRAS, PDPK1, PMAIP1, DIABLO, RELA, BCL2L1, TNFRSF1A, TUBA4A, TUBA1A, CAPN2, PIK3R3, RIPK1, CFLAR"
"Relaxin signaling pathway",0.001,0.015,0.351,130,22,"CREB3, COL1A2, COL4A2, COL4A3, CREB1, ATF6B, EDN1, EGFR, SHC2, GNA15, GNAI3, GNAO1, GNG3, GNG10, JUN, KRAS, PLCB4, MAPK13, ACTA2, RELA, PIK3R3, CREB3L1"
"Mitophagy - animal",0.002,0.022,0.554,63,13,"GABARAPL2, CSNK2A2, PGAM5, MRAS, JUN, KRAS, PARK2, RELA, BCL2L1, TBC1D15, SP1, UBB, USP30"
"T cell receptor signaling pathway",0.002,0.022,0.576,102,18,"MAP3K8, CSF2, LAT, IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PDPK1, PPP3R2, MAPK13, PTPN6, RELA, MAP3K7, CARD11, PIK3R3, CD28, CDC42"
"Hematopoietic cell lineage",0.002,0.022,0.576,94,17,"CSF1R, CSF2, DNTT, EPO, GP1BA, IL1A, IL1B, IL3, IL3RA, ITGA1, ITGA5, ITGAM, ITGB3, MME, THPO, CD14, CD37"
"Lysine degradation",0.003,0.028,0.79,58,12,"EHMT2, EZH1, ALDH2, ALDH3A2, HADHA, KMT5B, ASH1L, SETMAR, SUV39H1, SUV39H2, EHMT1, PLOD3"
"Aldosterone-regulated sodium reabsorption",0.003,0.028,0.814,37,9,"ATP1B4, SFN, KRAS, ATP1A3, ATP1B2, ATP1B3, PDPK1, SCNN1A, PIK3R3"
"Vasopressin-regulated water reabsorption",0.003,0.028,0.838,44,10,"CREB3, CREB1, DYNC1H1, DYNC1I1, DYNC1I2, AQP4, ARHGDIB, RAB5A, DYNLL1, CREB3L1"
"Fc epsilon RI signaling pathway",0.003,0.028,0.853,66,13,"CSF2, LAT, PLA2G4D, IL3, KRAS, PDPK1, PLA2G4A, MAPK13, MAP2K6, SYK, PIK3R3, JMJD7-PLA2G4B, GAB2"
"Th17 cell differentiation",0.004,0.032,0.987,107,18,"GATA3, LAT, IKBKB, IL1B, IL17A, JUN, SMAD4, NFKBIB, NFKBIE, IL21R, IL22, PPP3R2, MAPK13, RELA, RORA, STAT1, RUNX1, IL27RA"
"GnRH signaling pathway",0.004,0.032,1,91,16,"EGFR, PTK2B, GNA11, GNRH2, PLA2G4D, ITPR3, JUN, KRAS, MAP3K3, PLA2G4A, PLCB4, MAPK13, MAP2K6, CACNA1C, JMJD7-PLA2G4B, CDC42"
"ECM-receptor interaction",0.007,0.05,1,79,14,"COL1A2, COL4A2, COL4A3, COL6A1, GP1BA, TNC, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, AGRN, LAMA5, TNN"
"VEGF signaling pathway",0.009,0.063,1,58,11,"SHC2, PLA2G4D, KRAS, PLA2G4A, PPP3R2, MAPK13, PXN, MAPKAPK3, PIK3R3, JMJD7-PLA2G4B, CDC42"
"Estrogen signaling pathway",0.009,0.063,1,98,16,"CREB3, CREB1, ATF6B, EGFR, SHC2, GNAI3, GNAO1, ITPR3, JUN, KRAS, OPRM1, PLCB4, SP1, HSP90B1, PIK3R3, CREB3L1"
"Ether lipid metabolism",0.009,0.063,1,43,9,"CEPT1, ENPP6, LPCAT4, PLA2G4D, PAFAH1B3, PAFAH2, PLA2G4A, PLA2G6, JMJD7-PLA2G4B"
"Thyroid hormone synthesis",0.009,0.063,1,74,13,"CREB3, CREB1, ATF6B, ATP1B4, HSPA5, ITPR3, ATP1A3, ATP1B2, ATP1B3, PLCB4, HSP90B1, TTR, CREB3L1"
"Adrenergic signaling in cardiomyocytes",0.01,0.063,1,143,21,"CREB3, CREB1, ATF6B, ADRB2, ATP1B4, GNAI3, MYH6, ATP1A3, ATP1B2, ATP1B3, ATP2B3, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, CACNA1C, CACNA2D1, CACNB4, CREB3L1, CACNA2D2"
"Ribosome",0.01,0.063,1,125,19,"MRPS18C, MRPL4, RPL26L1, RPL3, RPL3L, RPL4, RPL19, RPL23A, RPL24, RPL27, RPL31, RPL32, RPL37, RPLP2, MRPS12, RPS2, RPS8, RPS27A, MRPL36"
"Long-term depression",0.01,0.064,1,59,11,"GNA11, GNAI3, GNAO1, PLA2G4D, ITPR3, KRAS, PLA2G4A, PLCB4, PPP2CB, BRAF, JMJD7-PLA2G4B"
"Necroptosis",0.011,0.064,1,162,23,"DNM1L, IRF9, PARP1, TICAM1, CYLD, PGAM5, ALOX15, PLA2G4D, IFNA13, IFNA14, IFNA16, IL1A, IL1B, PLA2G4A, H2AFY2, EIF2AK2, STAT1, TLR4, TNFRSF1A, CAPN2, JMJD7-PLA2G4B, RIPK1, CFLAR"
"Th1 and Th2 cell differentiation",0.011,0.064,1,92,15,"JAG1, GATA3, LAT, RBPJ, IKBKB, IL12A, IL12RB2, JUN, NFKBIB, NFKBIE, PPP3R2, MAPK13, RELA, STAT1, MAML2"
"Insulin secretion",0.011,0.065,1,84,14,"CREB3, CREB1, ATF6B, ATP1B4, GNA11, ITPR3, ATP1A3, ATP1B2, ATP1B3, PLCB4, SLC2A1, STX1A, CACNA1C, CREB3L1"
"Phagosome",0.013,0.075,1,147,21,"DYNC1H1, DYNC1I1, DYNC1I2, SEC61A1, ITGA5, ITGAM, ITGAV, ITGB1, ITGB3, LAMP1, ATP6V1B2, RAB5A, CLEC7A, TAP1, TLR2, TLR4, TUBA4A, TUBA1A, CALR, RILP, CD14"
"Cell cycle",0.015,0.085,1,122,18,"E2F3, SFN, HDAC2, SMAD4, PCNA, PLK1, ATR, RAD21, BUB1B, TGFB2, YWHAG, YWHAH, CCND2, CCND3, CCNE1, CCNB2, CDC25B, CDC25C"
"Apoptosis - multiple species",0.017,0.09,1,32,7,"BIRC8, BIRC5, NGFR, PMAIP1, DIABLO, BCL2L1, TNFRSF1A"
"Protein processing in endoplasmic reticulum",0.017,0.092,1,160,22,"BCAP31, STUB1, HSPH1, ATF6B, EIF2S1, PDIA3, SEC61A1, DNAJB2, DNAJA1, HSPA5, P4HB, PARK2, YOD1, NSFL1C, EIF2AK2, UBQLN4, BAG1, HSP90B1, VCP, CALR, CAPN2, RNF185"
"IL-17 signaling pathway",0.02,0.104,1,90,14,"CSF2, TAB2, TAB3, IKBKB, IL1B, CXCL8, IL17A, JUN, MAPK13, RELA, S100A8, SRSF1, MAP3K7, HSP90B1"
"Neurotrophin signaling pathway",0.024,0.124,1,119,17,"SHC2, IKBKB, IRAK1, JUN, KRAS, ARHGDIB, MAP3K3, NFKBIB, NFKBIE, NGFR, PDPK1, MAPK13, RAP1A, RELA, BRAF, PIK3R3, CDC42"
"Dopaminergic synapse",0.028,0.138,1,130,18,"CREB3, CREB1, ATF6B, DRD2, GNAI3, GNAO1, GNG3, GNG10, GSK3A, ITPR3, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, SLC18A2, CACNA1C, CREB3L1"
"B cell receptor signaling pathway",0.034,0.168,1,70,11,"IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PPP3R2, PTPN6, RELA, SYK, CARD11, PIK3R3"
"Leukocyte transendothelial migration",0.038,0.182,1,107,15,"CTNND1, PTK2B, GNAI3, ICAM1, ITGAM, ITGB1, ARHGAP5, MAPK13, PXN, RAP1A, VCL, CXCR4, PIK3R3, CLDN2, CDC42"
"Protein digestion and absorption",0.039,0.182,1,89,13,"SLC16A10, COL1A2, COL4A2, COL4A3, COL6A1, COL10A1, COL17A1, ATP1B4, MME, ATP1A3, ATP1B2, ATP1B3, SLC3A2"
"Sphingolipid signaling pathway",0.043,0.199,1,118,16,"CTSD, GNAI3, KRAS, PDPK1, PLCB4, PPP2CB, PPP2R5A, PPP2R5E, MAPK13, RELA, SMPD2, TNFRSF1A, PIK3R3, SGPL1, S1PR2, GAB2"
"Endocrine and other factor-regulated calcium reabsorption",0.044,0.2,1,47,8,"CLTA, CLTC, DNM1, ATP1B4, ATP1A3, ATP1B2, ATP1B3, PLCB4"
"Cellular senescence",0.049,0.217,1,158,20,"E2F3, MRAS, IGFBP3, IL1A, CXCL8, ITPR3, KRAS, MYBL2, ATR, PPP3R2, MAPK13, MAP2K6, RELA, TGFB2, CAPN2, PIK3R3, CCND2, CCND3, CCNE1, CCNB2"
"Serotonergic synapse",0.051,0.221,1,111,15,"ALOX15, GNAI3, GNAO1, GNG3, GNG10, PLA2G4D, HTR1A, ITPR3, KRAS, PLA2G4A, PLCB4, SLC18A2, BRAF, CACNA1C, JMJD7-PLA2G4B"
"p53 signaling pathway",0.063,0.268,1,68,10,"SFN, IGFBP3, MDM4, GTSE1, PMAIP1, ATR, CCND2, CCND3, CCNE1, CCNB2"
"Phospholipase D signaling pathway",0.066,0.276,1,144,18,"DNM1, EGFR, PTK2B, MRAS, PIP5K1C, SHC2, PLA2G4D, CXCL8, KRAS, PDGFRA, PDGFRB, PLA2G4A, PLCB4, AVPR1A, SYK, PIK3R3, JMJD7-PLA2G4B, GAB2"
