"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Ribosome","Ntwrk.Ribosome","NtwrkCount.Nucleotide excision repair","Ntwrk.Nucleotide excision repair","Total_Path_Hits.net.count"
"1",48,"ACO1",368,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)",1,"IDH2",0,NA,0,NA,0,NA,0
"2",50,"ACO2",259,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)",1,"IDH2",0,NA,0,NA,0,NA,0
"3",81,"ACTN4",112,"MedConf","Novel",NA,8,"UBE2I, ALDOA, RAC1, CSK, PIP5K1B, HRG, PSMA6, PIK3CA",1,"UBE2I",0,NA,0,NA,1
"4",79814,"AGMAT",314,"MedConf","Novel",NA,1,"SF3B5",0,NA,0,NA,0,NA,0
"5",5832,"ALDH18A1",227,"HighConf","Novel","Biosynthesis of amino acids",3,"TIMM13, CAD, CKS1B",0,NA,0,NA,0,NA,0
"6",226,"ALDOA",204,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids, Glycolysis / Gluconeogenesis, Pentose phosphate pathway",8,"PGAM1, PFKP, GPI, ENO3, HRG, TKTL2, GAPDH, ACTN4",0,NA,0,NA,0,NA,0
"7",29882,"ANAPC2",210,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"AURKB, ANAPC5, PSMD7, PSMD10, CDC20, PSMD12, PSMB4, MAD2L1, PSMA6, PLK1, BUB3, PSMA4, PSMC1, CDC23, CDC16, PSMB7, PTTG1, PSMD14",0,NA,0,NA,0,NA,0
"8",51433,"ANAPC5",349,"MedConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",18,"PLK1, PSMC1, PSMD12, BUB3, CDC20, AURKB, CDC16, ANAPC2, PSMA6, PSMD7, PSMA4, PSMD10, MAD2L1, PSMB4, PSMD14, CDC23, PTTG1, PSMB7",0,NA,0,NA,0,NA,0
"9",27301,"APEX2",19,"MedConf","Novel","Base excision repair",3,"PCNA, DUT, PNKP",0,NA,0,NA,1,"PCNA",1
"10",476,"ATP1A1",264,"MedConf","Novel",NA,2,"ATP1B3, PRKACA",0,NA,0,NA,0,NA,0
"11",483,"ATP1B3",369,"MedConf","Novel",NA,2,"ATP1A1, PRKACA",0,NA,0,NA,0,NA,0
"12",9212,"AURKB",222,"MedConf","Novel",NA,35,"ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, PSMA4, PSMD7, PSMC1, MAD2L1, CDC16, NPM1, PTTG1, NCL, PSMD10, NUP85, PSMA6, SMC2, INCENP, PSMB7, CDC23, XPO1, NDC80, RPS27, SMC3, PLK1, PSMD12, CDC20, ANAPC2, BIRC5, BUB3, PSMD14, PSMB4",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"13",9531,"BAG3",305,"MedConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,NA,0
"14",8314,"BAP1",8,"HighConf","Novel",NA,7,"PSMD7, PSMB4, PSMA4, PSMD10, IPO5, PSMA6, PSMC1",0,NA,0,NA,0,NA,0
"15",100529063,"BCL2L2-PABPN1",371,"HighConf","Novel","mRNA surveillance pathway",1,"EXOSC10",0,NA,0,NA,0,NA,0
"16",332,"BIRC5",194,"MedConf","Novel",NA,22,"XPO1, NUP85, TUBG1, NUMA1, TUBGCP3, AURKB, ITGB3BP, SPC24, KIF23, RANGAP1, CDCA8, CENPI, PARP4, SPDL1, NDC80, INCENP, BUB3, CDC20, MAD2L1, SMC3, PLK1, RPS27",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
"17",55299,"BRIX1",186,"MedConf","Novel",NA,4,"NIP7, PES1, RPL3, CEBPZ",0,NA,1,"RPL3",0,NA,1
"18",9184,"BUB3",193,"MedConf","Novel","Cell cycle",32,"BIRC5, XPO1, CDC16, NUP85, ANAPC2, AURKB, ITGB3BP, SPC24, RANGAP1, CDCA8, CENPI, ANAPC5, SPDL1, NDC80, PSMD12, CDC20, INCENP, PSMD10, PSMA6, PSMC1, SMC3, PSMD7, PSMB4, PSMB7, CDC23, SF3A2, MAD2L1, PLK1, PSMA4, PSMD14, RPS27, NKAP",3,"XPO1, RANGAP1, NUP85",1,"RPS27",0,NA,4
