"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Lysosome",0,0,0,122,10,0,"","CTSB, LGMN",0.041
"2","Chemokine signaling pathway",0,0.016,0.032,183,6,0,"","",0.016
"3","NOD-like receptor signaling pathway",0.001,0.062,0.186,166,5,0,"","GABARAP, CTSB",0.015
"4","Cytosolic DNA-sensing pathway",0.003,0.146,0.665,63,3,0,"","",0.024
"5","Apoptosis",0.003,0.146,0.729,136,4,0,"","CTSB",0.015
"6","Endocytosis",0.004,0.161,0.969,241,5,0,"","",0.01
"7","Hematopoietic cell lineage",0.008,0.292,1,94,3,0,"","",0.016
"8","Toll-like receptor signaling pathway",0.011,0.337,1,104,3,0,"","",0.014
"9","Tryptophan metabolism",0.013,0.338,1,39,2,0,"","",0.026
"10","Ferroptosis",0.014,0.338,1,40,2,0,"","",0.025
"11","Phenylalanine, tyrosine and tryptophan biosynthesis",0.022,0.502,1,5,1,0,"","",0.1
"12","Cytokine-cytokine receptor interaction",0.029,0.585,1,266,4,0,"","",0.008
"13","Mitophagy - animal",0.032,0.585,1,63,2,0,"","GABARAP",0.016
"14","Tight junction",0.034,0.585,1,161,3,0,"","",0.009
"15","Riboflavin metabolism",0.035,0.585,1,8,1,0,"","",0.062
"16","Antigen processing and presentation",0.04,0.618,1,71,2,0,"","CTSB, LGMN",0.014
