"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all"
"1",55752,"11-Sep",136,"HighConf","Novel",NA,1,"SIN3A"
"2",2,"A2M",199,"HighConf","Novel",NA,5,"CDC42, IL1B, TGFB2, PF4, GAB2"
"3",22848,"AAK1",391,"MedConf","Novel",NA,10,"CFTR, DNM1, TACR1, CHRM2, CLTC, SYT1, RAB5A, EGFR, CLTA, ADRB2"
"4",18,"ABAT",149,"HighConf","Novel","Valine, leucine and isoleucine degradation",8,"CFL2, CFL1, ALDH3A2, PRPF8, DBT, LDHAL6B, HSPE1, GDA"
"5",20,"ABCA2",936,"MedConf","Novel",NA,3,"ATP1B3, ATP1A3, ATP1B2"
"6",64240,"ABCG5",359,"MedConf","Novel",NA,3,"ATP1B2, ATP1B3, ATP1A3"
"7",10006,"ABI1",235,"HighConf","Novel",NA,6,"EGFR, ARPC1B, SYK, PXN, ITGB1, CDC42"
"8",36,"ACADSB",418,"MedConf","Novel","Valine, leucine and isoleucine degradation",4,"PRSS16, DLD, DBT, HADHA"
"9",1636,"ACE",347,"MedConf","Novel","Renin secretion",1,"AGT"
"10",22985,"ACIN1",134,"HighConf","Novel","RNA transport, Spliceosome",5,"BCAS2, SON, SAFB, SRPK2, SLC3A2"
"11",50,"ACO2",669,"HighConf","Novel",NA,1,"SIN3A"
"12",59,"ACTA2",180,"MedConf","Novel","Relaxin signaling pathway",7,"VCL, GSTP1, SORBS3, ITGA1, MYL7, MYLPF, PXN"
"13",10097,"ACTR2",11,"HighConf","Novel",NA,16,"PSMD7, PSMA7, CLTC, CDC42, SYT1, RAB5A, CFL1, EGFR, ARPC1B, PDGFRB, CLTA, ADRB2, CFTR, DNM1, TACR1, CHRM2"
"14",8038,"ADAM12",802,"MedConf","Novel",NA,1,"ITGB1"
"15",8754,"ADAM9",558,"MedConf","Novel",NA,1,"COL17A1"
"16",127,"ADH4",848,"MedConf","Novel",NA,1,"ALDH3A2"
"17",113622,"ADPRHL1",141,"HighConf","Novel",NA,3,"EIF4B, SRP68, RAE1"
"18",54936,"ADPRHL2",803,"MedConf","Novel",NA,1,"ERC1"
"19",154,"ADRB2",384,"HighConf","Neuroactive ligand-receptor interaction","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion",52,"LDLR, SNX18, AAK1, INSL3, CFTR, DNM1, WNT5A, TF, AGFG1, APOB, EPN1, TACR1, CHRM2, EDN1, CXCR4, NPY, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R, CALCR, RLN2, SNX9, GPBAR1, GHRL, GRK4, ACTR2, RPS27A, UBB, CLTC, PRKAR2B, ADRBK1, HRH2, GNG3, SYT1, RAB5A, EGFR, GNG10, UBC, SCARB2, PIK3C2A, ITSN2, GNAI3, CLTA, AGT"
"20",156,"ADRBK1",241,"MedConf","Novel",NA,76,"GNG3, GNG10, AGT, DRD2, CXCL8, ADRB2, CXCR5, TACR1, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, NMUR2, CX3CR1, NMS, OPRM1, P2RY11, MLNR, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, CSNK1G1, XCL2, OR5M9, OR10A5, OR51B5, OR8J3, OR52A5, OR10A2, OR2AT4, OR5T3, OR2M4, OR6Q1, OR5B3, OR2Y1, OR10Q1, OR10H4, OR52K2, OR2D3, OR51L1, OR52N4, OR51F2, OR4P4, OR8D4, OR1G1, OR4N5, OR51M1, OR13C8, OR10H1, OR5B17, OR2M2, OR2L3, OR52M1, OR2T5, OR2AK2, OR4D1, OR14J1, OR2J2, OR5D16, OR5L2, OR51I1, OR51A2, OR5K3, OR10W1, OR6B2, OR4E2, PAPOLA, GNA11"
"21",174,"AFP",813,"MedConf","Novel",NA,1,"JUN"
"22",177,"AGER",824,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",2,"RELA, ITGAM"
"23",3267,"AGFG1",443,"MedConf","Novel",NA,10,"TACR1, CHRM2, CLTC, SYT1, RAB5A, EGFR, CLTA, ADRB2, CFTR, DNM1"
"24",375790,"AGRN",509,"HighConf","Novel",NA,22,"ITGA1, BGN, CSPG5, LRP10, HS3ST4, HPSE2, MUSK, PXN, ITGB1, CDC42, PTK2B, LRP1, LAMA5, LAMA4, ITGA5, ITGAV, ARHGEF6, APOB, EXT2, NCAM1, B3GAT3, GPC2"
"25",183,"AGT",364,"MedConf","Novel","Renin secretion",58,"DRD2, CXCL8, ADRB2, CFTR, DNM1, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, MME, XCL2, PIK3R3, GNA11, PRKAR2B, ADRBK1, GNG3, CTSD, GNG10, C5, GNAI3, NCOA6, ACE"
"26",189,"AGXT",835,"MedConf","Novel",NA,1,"DLD"
"27",10598,"AHSA1",162,"MedConf","Novel",NA,2,"STAT1, PSMC4"
"28",205,"AK4",608,"HighConf","Novel",NA,2,"PDE1B, PDE3B"
"29",122481,"AK7",607,"HighConf","Novel",NA,2,"PDE1B, PDE3B"
"30",10327,"AKR1A1",227,"MedConf","Novel",NA,2,"CFL1, ALDH3A2"
"31",224,"ALDH3A2",433,"HighConf","Novel","Valine, leucine and isoleucine degradation",5,"AOC1, ADH4, DBT, ABAT, AKR1A1"
"32",226,"ALDOA",226,"HighConf","Novel",NA,4,"CFL1, TGFB2, PF4, G6PC"
"33",246,"ALOX15",915,"MedConf","Novel","Serotonergic synapse",7,"PLA2G4A, PLA2G4D, ALOX5, GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B"
"34",240,"ALOX5",483,"MedConf","Novel","Serotonergic synapse, Fc epsilon RI signaling pathway",7,"GPX3, GPX1, PLA2G6, JMJD7-PLA2G4B, ALOX15, PLA2G4A, PLA2G4D"
"35",57679,"ALS2",1054,"HighConf","Novel",NA,1,"RAB5A"
"36",51421,"AMOTL2",714,"MedConf","Novel",NA,2,"PARD3, DYNLL1"
"37",270,"AMPD1",922,"HighConf","Novel",NA,2,"PDE1B, PDE3B"
"38",287,"ANK2",838,"HighConf","Novel",NA,6,"DYNC1H1, DCTN4, DYNC1I2, DYNLL1, DYNC1I1, DYNC2LI1"
"39",23294,"ANKS1A",750,"MedConf","Novel",NA,1,"PIK3R3"
"40",26,"AOC1",834,"MedConf","Novel",NA,1,"ALDH3A2"
"41",320,"APBA1",952,"MedConf","Novel",NA,3,"SYT1, STX1A, SLC18A2"
"42",321,"APBA2",799,"MedConf","Novel",NA,1,"STX1A"
"43",51107,"APH1A",271,"MedConf","Novel","Notch signaling pathway",5,"ITGB3BP, NOTCH4, DTX1, NCSTN, NGFR"
"44",338,"APOB",444,"MedConf","Novel",NA,20,"TACR1, CHRM2, AGRN, TLR4, MSR1, PPP2R5E, HSP90B1, CALR, PPP2CB, PTPN6, CLTC, SYT1, RAB5A, EGFR, ITGAM, PPP2R5A, CLTA, ADRB2, CFTR, DNM1"
"45",372,"ARCN1",336,"HighConf","Novel",NA,9,"CLTA, DYNC1I1, DYNC2LI1, DYNC1H1, STX18, SF3B1, DCTN4, DYNC1I2, DYNLL1"
"46",381,"ARF5",255,"MedConf","Novel",NA,6,"DYNLL1, DYNC1I1, DYNC2LI1, DYNC1H1, DCTN4, DYNC1I2"
"47",55843,"ARHGAP15",944,"HighConf","Novel",NA,1,"CDC42"
"48",57569,"ARHGAP20",942,"MedConf","Novel",NA,1,"CDC42"
"49",9743,"ARHGAP32",945,"MedConf","Novel",NA,1,"CDC42"
"50",394,"ARHGAP5",863,"HighConf","Leukocyte transendothelial migration","Leukocyte transendothelial migration, Focal adhesion",5,"CDC42, RHOB, CLTA, RHOV, RHOF"
"51",64333,"ARHGAP9",947,"MedConf","Novel",NA,1,"CDC42"
"52",397,"ARHGDIB",300,"MedConf","Novel","Vasopressin-regulated water reabsorption",6,"RHOB, RHOV, RHOF, CDC42, NGFR, JUN"
"53",128272,"ARHGEF19",943,"HighConf","Novel",NA,1,"CDC42"
"54",50650,"ARHGEF3",946,"MedConf","Novel",NA,1,"CDC42"
"55",9459,"ARHGEF6",405,"HighConf","Novel","Regulation of actin cytoskeleton",11,"AGRN, RHOV, RHOF, ITGA1, MRAS, GIT1, PXN, ITGB1, CDC42, RHOB, LAMA5"
"56",405,"ARNT",326,"HighConf","Novel",NA,7,"EDN1, CXCR4, SLC2A1, CREB1, SMAD4, EPO, JUN"
"57",10095,"ARPC1B",275,"MedConf","Novel","Regulation of actin cytoskeleton",7,"PDGFRB, NT5C, ACTR2, PSMA7, CDC42, WIPF2, ABI1"
"58",427,"ASAH1",620,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, PPAP2A, SMPD2"
"59",50807,"ASAP1",974,"MedConf","Novel",NA,1,"CLTA"
"60",8853,"ASAP2",982,"MedConf","Novel",NA,1,"CLTA"
"61",9070,"ASH2L",749,"HighConf","Novel",NA,1,"JUN"
"62",434,"ASIP",672,"MedConf","Novel",NA,1,"YWHAH"
"63",54829,"ASPN",955,"MedConf","Novel",NA,1,"TGFB2"
"64",467,"ATF3",230,"MedConf","Novel",NA,4,"SMAD4, JUN, CREB3, CREB1"
"65",1388,"ATF6B",553,"MedConf","Novel","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, Relaxin signaling pathway, Insulin secretion",3,"PRKD1, CREB3, CREB1"
"66",9776,"ATG13",522,"MedConf","Novel",NA,6,"PYDC1, CCND2, CCND3, IKBKB, DYNLL1, ERC1"
"67",25923,"ATL3",221,"MedConf","Novel",NA,2,"HADHA, EIF3B"
"68",479,"ATP12A",958,"MedConf","Novel",NA,3,"ATP1B3, ATP1A3, ATP1B2"
"69",478,"ATP1A3",348,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",8,"ABCG5, ATP1B2, ATP1B4, ABCA2, ATP12A, FXYD7, ATP1B3, CLTC"
"70",482,"ATP1B2",381,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",9,"ATP1B4, ABCA2, ATP12A, FXYD7, ATP1B3, RPS8, RPLP2, ATP1A3, ABCG5"
"71",483,"ATP1B3",74,"HighConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",15,"RPS8, RPLP2, RPL26L1, NDUFA2, ATP1A3, ITGA5, ABCG5, ATP1B2, ATP1B4, ABCA2, ATP12A, FXYD7, PSMD6, RTN4, DLD"
"72",23439,"ATP1B4",792,"MedConf","Novel","Thyroid hormone synthesis, cAMP signaling pathway, Aldosterone-regulated sodium reabsorption, Thyroid hormone signaling pathway, Protein digestion and absorption, Insulin secretion",5,"ATP1B3, SNW1, SMAD4, ATP1A3, ATP1B2"
"73",487,"ATP2A1",472,"MedConf","Novel",NA,4,"CACNB4, CACNA1C, CACNA2D1, NOTCH4"
"74",537,"ATP6AP1",414,"HighConf","Novel","Phagosome",5,"TF, ATP6V0A4, TCIRG1, ATP6V1B2, PPA1"
"75",50617,"ATP6V0A4",926,"HighConf","Novel","Phagosome, Synaptic vesicle cycle",5,"TCIRG1, ATP6V1B2, PPA1, ATP6AP1, TF"
"76",526,"ATP6V1B2",137,"HighConf","Novel","Phagosome, Synaptic vesicle cycle",14,"WDR5, TUBA1A, UBE2V2, LAMTOR2, PPA1, ATP6AP1, TF, EEF1E1, ZFYVE19, YIF1B, ATP6V0A4, WDR61, SRXN1, TCIRG1"
"77",552,"AVPR1A",536,"MedConf","Neuroactive ligand-receptor interaction","Neuroactive ligand-receptor interaction",25,"TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, AGT, CXCL8, KALRN, TACR1, EDN1, BDKRB1, NMUR2, NMS, P2RY11, MLNR, GNRH2, GNA15, PROK1"
"78",26229,"B3GAT3",451,"MedConf","Novel",NA,1,"AGRN"
"79",27077,"B9D1",898,"MedConf","Novel",NA,6,"DYNC1H1, TUBA4A, DYNC1I2, DYNLL1, YWHAG, TUBA1A"
"80",573,"BAG1",133,"MedConf","Novel",NA,4,"NXF1, JUN, PSMC1, HSPA5"
"81",22893,"BAHD1",870,"MedConf","Novel",NA,1,"HDAC2"
"82",25805,"BAMBI",398,"MedConf","Novel",NA,2,"BMP7, BMPR1B"
"83",9031,"BAZ1B",115,"MedConf","Novel",NA,2,"SF3B1, KAT2B"
"84",10286,"BCAS2",152,"MedConf","Novel","Spliceosome",38,"SF3B6, NCSTN, SRRM1, SRSF2, PRPF38A, SRSF3, POLR2J, POLR2F, CD2BP2, SNRPD3, PHF5A, SNRPC, TRA2B, LSM4, PPIH, GPKOW, PCF11, PRPF8, PRPF31, PSMD3, YBX1, CCAR1, HNRNPA2B1, PAPOLA, XAB2, HNRNPM, PTBP1, SNW1, SF3B2, SF3B1, RBM39, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, ACIN1, HNRNPH1"
"85",598,"BCL2L1",163,"HighConf","NF-kappa B signaling pathway","NF-kappa B signaling pathway, PI3K-Akt signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway",5,"STAT1, PRKAR2B, NMI, DIABLO, PMAIP1"
"86",602,"BCL3",927,"MedConf","Novel","TNF signaling pathway",1,"RELA"
"87",623,"BDKRB1",487,"MedConf","Neuroactive ligand-receptor interaction","Regulation of actin cytoskeleton, Neuroactive ligand-receptor interaction",50,"TAS2R7, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, PNOC, CXCL11, HTR1A, PTGDR2, FPR3, NPBWR2, NMS, HCAR2, OPRM1, RLN3, TAS2R50, P2RY11, MLNR, S1PR2, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, XCL2, PIK3R3, GNA11, ADRBK1, GNG3, GNG10, C5, GNAI3, AGT, DRD2, CXCL8, KALRN, CXCR5, TACR1, CHRM2, CCR8, EDN1, CXCR3, CXCR4"
"88",51272,"BET1L",861,"MedConf","Novel",NA,8,"DYNC1H1, STX18, DCTN4, DYNC1I2, DYNLL1, DYNC1I1, DYNC2LI1, STX1B"
"89",633,"BGN",852,"MedConf","Novel",NA,2,"TGFB2, AGRN"
"90",8553,"BHLHE40",174,"MedConf","Novel",NA,1,"CSNK2A2"
"91",332,"BIRC5",568,"MedConf","Novel",NA,16,"ITGA1, RANBP2, PPP2R5E, SUMO3, PSMA3, RANGAP1, PPP2CB, RAE1, NUP43, UBE2I, ITGB1, CDC42, NUP155, MAX, NUP188, PPP2R5A"
"92",2647,"BLOC1S1",769,"MedConf","Novel",NA,1,"CLTC"
"93",655,"BMP7",584,"MedConf","Novel","Cytokine-cytokine receptor interaction",4,"BMPR1B, SMAD6, SMAD1, BAMBI"
"94",658,"BMPR1B",602,"MedConf","Novel","Cytokine-cytokine receptor interaction",8,"SMAD6, MAP3K7, SMAD4, SMAD1, BAMBI, TF, BMP7, TRPC6"
"95",9790,"BMS1",791,"HighConf","Novel",NA,2,"RPP25, RPP40"
"96",673,"BRAF",461,"MedConf","Novel","Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Chemokine signaling pathway, cAMP signaling pathway, Focal adhesion, Serotonergic synapse, Long-term depression",15,"KRAS, MRAS, BRAP, PPP2R5E, PPP2CB, PEBP1, YWHAH, SFN, VCL, YWHAG, FGA, RAP1A, PPP2R5A, LAMTOR2, MAP2K6"
"97",8315,"BRAP",992,"MedConf","Novel","Ras signaling pathway",6,"RPS27A, UBB, UBC, BRAF, KRAS, MRAS"
"98",675,"BRCA2",422,"MedConf","Novel",NA,4,"POLD3, POLD4, PCNA, POLE"
"99",151888,"BTLA",815,"MedConf","Novel",NA,1,"PTPN6"
"100",701,"BUB1B",296,"MedConf","Novel",NA,31,"PSMF1, PPP2R5A, RANBP2, PPP2R5E, PSMC4, PSMA3, PSMD7, PSMC1, PSMA6, PSMD11, PSMB1, PSMD3, PSMA5, PSMB4, PSMC2, PSMD6, PSMD1, PSMD2, PSMC5, PSMD12, PSMB5, PSMA7, PSMB2, PSMB9, PSMA1, RANGAP1, PSMA4, PPP2CB, RAE1, NUP43, CDC42"
"101",9256,"BZRAP1",953,"MedConf","Novel",NA,3,"SYT1, STX1A, SLC18A2"
"102",83608,"C18orf21",801,"MedConf","Novel",NA,1,"RPP25"
"103",717,"C2",724,"HighConf","Novel",NA,1,"SF3B2"
"104",727,"C5",293,"MedConf","Novel",NA,26,"GNAI3, AGT, DRD2, CXCL8, CXCR5, CHRM2, CCR8, CXCR3, CXCR4, BDKRB1, NPY, SSTR4, NMUR2, MTNR1B, CXCL13, PF4, CXCL11, HTR1A, FPR3, NPBWR2, HCAR2, OPRM1, RLN3, S1PR2, GNG3, GNG10"
"105",203228,"C9orf72",166,"HighConf","Novel",NA,1,"EIF2S2"
"106",91768,"CABLES1",812,"HighConf","Novel",NA,1,"CTNND1"
"107",775,"CACNA1C",61,"MedConf","Novel","MAPK signaling pathway, cAMP signaling pathway, Renin secretion, Serotonergic synapse, Insulin secretion, GnRH signaling pathway",17,"PPP2CB, CACNA2D2, GNG3, GNG10, CACNA2D1, PPP2R5A, GNAI3, STX1A, GNAO1, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, SYT5, PPP2R5E"
"108",781,"CACNA2D1",325,"HighConf","Novel","MAPK signaling pathway",10,"PPP2R5A, CATSPERB, SMDT1, ATP2A1, CATSPERG, CACNB4, PPP2R5E, CACNA1C, PPP2CB, NDUFS4"
"109",9254,"CACNA2D2",243,"MedConf","Novel","MAPK signaling pathway",9,"GNG3, GNG10, PPP2R5A, STX1A, CACNB4, SYT5, PPP2R5E, CACNA1C, PPP2CB"
"110",785,"CACNB4",845,"HighConf","Novel","MAPK signaling pathway",11,"PPP2R5E, CACNA1C, PPP2CB, CACNA2D2, CACNA2D1, PPP2R5A, NCAM1, CATSPERB, SMDT1, ATP2A1, CATSPERG"
"111",799,"CALCR",519,"MedConf","Neuroactive ligand-receptor interaction","Osteoclast differentiation, Neuroactive ligand-receptor interaction",18,"RLN2, GPBAR1, HRH2, GNG3, GNG10, ADRB2, INSL3, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R"
"112",811,"CALR",41,"MedConf","Novel","Phagosome",11,"P4HB, PCNA, HSPA5, PDIA3, APOB, TAP1, INHA, MSR1, VCP, PTGES3, HSP90B1"
"113",824,"CAPN2",621,"MedConf","Novel","Focal adhesion",4,"CAPNS2, PXN, ITGB1, ITGA1"
"114",84290,"CAPNS2",941,"MedConf","Novel",NA,1,"CAPN2"
"115",84433,"CARD11",920,"MedConf","NF-kappa B signaling pathway","NF-kappa B signaling pathway",6,"IKBKB, MAP3K7, NFKBIB, RELA, PDPK1, NFKBIE"
"116",831,"CAST",567,"MedConf","Novel",NA,3,"ITGA1, PXN, ITGB1"
"117",79820,"CATSPERB",470,"MedConf","Novel",NA,3,"CACNB4, CACNA1C, CACNA2D1"
"118",57828,"CATSPERG",473,"MedConf","Novel",NA,3,"CACNB4, CACNA1C, CACNA2D1"
"119",859,"CAV3",613,"MedConf","Novel","Focal adhesion",5,"SNTG1, ITGB1, EGFR, PDGFRA, DYSF"
"120",55749,"CCAR1",43,"HighConf","Novel",NA,26,"PCNA, XAB2, HNRNPM, SNW1, SF3B2, SF3B1, SRSF1, CDC5L, PLRG1, LSM6, EFTUD2, BCAS2, SF3B6, SRRM1, SRSF2, PRPF38A, SRSF3, SNRPD3, PHF5A, SNRPC, TRA2B, DYNC1I2, LSM4, PPIH, PRPF8, PRPF31"
"121",93233,"CCDC114",890,"MedConf","Novel",NA,5,"DYNC1H1, DCTN4, DYNLL1, DYNC1I1, DYNC2LI1"
"122",55704,"CCDC88A",730,"MedConf","Novel",NA,1,"YWHAH"
"123",26093,"CCDC9",777,"MedConf","Novel",NA,1,"THOC7"
"124",55702,"CCDC94",128,"MedConf","Novel",NA,1,"PLRG1"
"125",90324,"CCDC97",705,"MedConf","Novel",NA,2,"SF3B1, SF3B6"
