"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Platinum drug resistance",0,0,0,73,8,"GSTM5, BIRC5, FAS, PMAIP1, BAK1, TP53, CASP8, FADD"
"Primary bile acid biosynthesis",0,0,0,17,5,"CYP7A1, CYP8B1, HSD17B4, BAAT, CH25H"
"NOD-like receptor signaling pathway",0,0,0,164,10,"NLRP1, PYDC1, IL18, OAS3, TRPV2, PLCB4, TRAF3, CAMP, CASP8, FADD"
"Steroid hormone biosynthesis",0,0,0,50,6,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6, AKR1C3"
"Apoptosis",0,0,0.001,135,8,"BIRC5, FAS, PMAIP1, BAK1, TP53, CASP8, FADD, TNFRSF10D"
"Apoptosis - multiple species",0,0,0.001,31,5,"BIRC5, PMAIP1, BAK1, CASP8, FADD"
"p53 signaling pathway",0,0.004,0.029,66,5,"FAS, RRM2B, PMAIP1, TP53, CASP8"
"Amino sugar and nucleotide sugar metabolism",0,0.012,0.095,47,4,"GMPPA, HK3, GNPNAT1, GFPT2"
"Glutathione metabolism",0.001,0.018,0.161,54,4,"GGT1, GPX4, GSTM5, RRM2B"
"Fructose and mannose metabolism",0.001,0.034,0.339,30,3,"GMPPA, HK3, SORD"
"Taurine and hypotaurine metabolism",0.003,0.065,0.711,11,2,"GGT1, BAAT"
"Metabolic pathways",0.005,0.098,1,1212,17,"CYP1A1, CYP7A1, CYP8B1, CYP11B2, FDFT1, GGT1, GLS2, GMPPA, HK3, HSD17B4, RRM2B, PLCB4, BAAT, SORD, HSD17B6, AKR1C3, GFPT2"
"TNF signaling pathway",0.008,0.157,1,108,4,"FAS, TRAF3, CASP8, FADD"
"RIG-I-like receptor signaling pathway",0.014,0.245,1,68,3,"TRAF3, CASP8, FADD"
"PPAR signaling pathway",0.016,0.267,1,72,3,"CYP7A1, CYP8B1, ILK"
"Autophagy - other",0.019,0.301,1,29,2,"PPP2CA, ATG4C"
"Cellular senescence",0.027,0.37,1,155,4,"ETS1, FOXO3, NBN, TP53"
"Alanine, aspartate and glutamate metabolism",0.028,0.37,1,35,2,"GLS2, GFPT2"
"D-Glutamine and D-glutamate metabolism",0.029,0.37,1,4,1,"GLS2"
"IL-17 signaling pathway",0.03,0.37,1,91,3,"TRAF3, CASP8, FADD"
"Necroptosis",0.032,0.375,1,162,4,"FAS, CASP8, FADD, TNFRSF10D"
"Ferroptosis",0.035,0.397,1,40,2,"GPX4, TP53"
"Neomycin, kanamycin and gentamicin biosynthesis",0.037,0.397,1,5,1,"HK3"
"Toll-like receptor signaling pathway",0.04,0.412,1,102,3,"TRAF3, CASP8, FADD"
"Ovarian steroidogenesis",0.051,0.503,1,49,2,"CYP1A1, AKR1C3"
"Sphingolipid signaling pathway",0.055,0.503,1,116,3,"PLCB4, PPP2CA, TP53"
"Thyroid hormone signaling pathway",0.055,0.503,1,116,3,"CREBBP, PLCB4, TP53"
"Retinol metabolism",0.063,0.558,1,55,2,"CYP1A1, HSD17B6"
"Long-term depression",0.071,0.604,1,59,2,"PLCB4, PPP2CA"
"Arachidonic acid metabolism",0.073,0.604,1,60,2,"GGT1, AKR1C3"
"Mitophagy - animal",0.075,0.604,1,61,2,"FOXO3, TP53"
"Metabolism of xenobiotics by cytochrome P450",0.084,0.647,1,65,2,"CYP1A1, GSTM5"
"Wnt signaling pathway",0.088,0.647,1,142,3,"CREBBP, PLCB4, TP53"
"Long-term potentiation",0.088,0.647,1,67,2,"CREBBP, PLCB4"
"Bile secretion",0.097,0.693,1,71,2,"CYP7A1, BAAT"
"Hippo signaling pathway",0.101,0.702,1,151,3,"AFP, BIRC5, PPP2CA"
"Aldosterone synthesis and secretion",0.124,0.804,1,82,2,"CYP11B2, PLCB4"
"Peroxisome",0.126,0.804,1,83,2,"HSD17B4, BAAT"
"TGF-beta signaling pathway",0.126,0.804,1,83,2,"CREBBP, PPP2CA"
"Biosynthesis of unsaturated fatty acids",0.132,0.804,1,19,1,"BAAT"
"Longevity regulating pathway",0.139,0.804,1,88,2,"FOXO3, TP53"
"Steroid biosynthesis",0.139,0.804,1,20,1,"FDFT1"
"Arginine biosynthesis",0.139,0.804,1,20,1,"GLS2"
"Salivary secretion",0.144,0.815,1,90,2,"PLCB4, CAMP"
"Proximal tubule bicarbonate reclamation",0.158,0.843,1,23,1,"GLS2"
"Inflammatory mediator regulation of TRP channels",0.16,0.843,1,96,2,"TRPV2, PLCB4"
"HIF-1 signaling pathway",0.162,0.843,1,97,2,"CREBBP, HK3"
"Glucagon signaling pathway",0.17,0.843,1,100,2,"CREBBP, PLCB4"
"Folate biosynthesis",0.171,0.843,1,25,1,"AKR1C3"
"Pentose and glucuronate interconversions",0.171,0.843,1,25,1,"SORD"
"Melanogenesis",0.173,0.843,1,101,2,"CREBBP, PLCB4"
"Glutamatergic synapse",0.194,0.93,1,109,2,"GLS2, PLCB4"
"Galactose metabolism",0.201,0.945,1,30,1,"HK3"
"AMPK signaling pathway",0.219,0.988,1,118,2,"FOXO3, PPP2CA"
"Neurotrophin signaling pathway",0.219,0.988,1,118,2,"FOXO3, TP53"
"Starch and sucrose metabolism",0.225,0.988,1,34,1,"HK3"
"Tryptophan metabolism",0.23,0.988,1,35,1,"CYP1A1"
"Autophagy - animal",0.232,0.988,1,123,2,"PPP2CA, ATG4C"
"Cell cycle",0.235,0.988,1,124,2,"CREBBP, TP53"
"Natural killer cell mediated cytotoxicity",0.238,0.988,1,125,2,"FAS, TNFRSF10D"
"Homologous recombination",0.242,0.988,1,37,1,"NBN"
"Dopaminergic synapse",0.246,0.989,1,128,2,"PLCB4, PPP2CA"
"FoxO signaling pathway",0.252,0.995,1,130,2,"CREBBP, FOXO3"
"Type I diabetes mellitus",0.264,1,1,41,1,"FAS"
"Carbohydrate digestion and absorption",0.275,1,1,43,1,"HK3"
"Adrenergic signaling in cardiomyocytes",0.285,1,1,142,2,"PLCB4, PPP2CA"
"Non-alcoholic fatty liver disease (NAFLD)",0.291,1,1,144,2,"FAS, CASP8"
"Type II diabetes mellitus",0.291,1,1,46,1,"HK3"
"Endocrine and other factor-regulated calcium reabsorption",0.297,1,1,47,1,"PLCB4"
"Notch signaling pathway",0.302,1,1,48,1,"CREBBP"
"Cytokine-cytokine receptor interaction",0.311,1,1,263,3,"FAS, IL18, TNFRSF10D"
"Drug metabolism - cytochrome P450",0.367,1,1,61,1,"GSTM5"
"Longevity regulating pathway - multiple species",0.372,1,1,62,1,"FOXO3"
"Cytosolic DNA-sensing pathway",0.372,1,1,62,1,"IL18"
"Renin secretion",0.386,1,1,65,1,"PLCB4"
"Glycolysis / Gluconeogenesis",0.391,1,1,66,1,"HK3"
"Chemokine signaling pathway",0.392,1,1,181,2,"FOXO3, PLCB4"
"Adherens junction",0.395,1,1,67,1,"CREBBP"
"Prolactin signaling pathway",0.409,1,1,70,1,"FOXO3"
"Inositol phosphate metabolism",0.422,1,1,73,1,"PLCB4"
"Thyroid hormone synthesis",0.426,1,1,74,1,"PLCB4"
"Gastric acid secretion",0.431,1,1,75,1,"PLCB4"
"EGFR tyrosine kinase inhibitor resistance",0.448,1,1,79,1,"FOXO3"
"PI3K-Akt signaling pathway",0.462,1,1,337,3,"FOXO3, PPP2CA, TP53"
"mRNA surveillance pathway",0.472,1,1,85,1,"PPP2CA"
"Insulin secretion",0.472,1,1,85,1,"PLCB4"
"GABAergic synapse",0.48,1,1,87,1,"GLS2"
"Gap junction",0.484,1,1,88,1,"PLCB4"
"GnRH signaling pathway",0.495,1,1,91,1,"PLCB4"
"NF-kappa B signaling pathway",0.499,1,1,92,1,"TRAF3"
"Endocrine resistance",0.511,1,1,95,1,"TP53"
"Pancreatic secretion",0.511,1,1,95,1,"PLCB4"
"Circadian entrainment",0.514,1,1,96,1,"PLCB4"
"AGE-RAGE signaling pathway in diabetic complications",0.518,1,1,97,1,"PLCB4"
"Phosphatidylinositol signaling system",0.518,1,1,97,1,"PLCB4"
"Estrogen signaling pathway",0.522,1,1,98,1,"PLCB4"
"Pyrimidine metabolism",0.532,1,1,101,1,"RRM2B"
"Insulin resistance",0.55,1,1,106,1,"GFPT2"
"Serotonergic synapse",0.566,1,1,111,1,"PLCB4"
"MAPK signaling pathway",0.567,1,1,253,2,"FAS, TP53"
"Cholinergic synapse",0.57,1,1,112,1,"PLCB4"
"Carbon metabolism",0.573,1,1,113,1,"HK3"
"Oocyte meiosis",0.589,1,1,118,1,"PPP2CA"
"Vascular smooth muscle contraction",0.592,1,1,119,1,"PLCB4"
"Platelet activation",0.601,1,1,122,1,"PLCB4"
"Relaxin signaling pathway",0.622,1,1,129,1,"PLCB4"
"Ubiquitin mediated proteolysis",0.636,1,1,134,1,"PML"
"Apelin signaling pathway",0.639,1,1,135,1,"PLCB4"
"Cell adhesion molecules (CAMs)",0.644,1,1,137,1,"VCAN"
"Insulin signaling pathway",0.647,1,1,138,1,"HK3"
"Phospholipase D signaling pathway",0.652,1,1,140,1,"PLCB4"
"Retrograde endocannabinoid signaling",0.652,1,1,140,1,"PLCB4"
"Oxytocin signaling pathway",0.68,1,1,151,1,"PLCB4"
"Jak-STAT signaling pathway",0.683,1,1,152,1,"CREBBP"
"Protein processing in endoplasmic reticulum",0.699,1,1,159,1,"BAK1"
"cGMP-PKG signaling pathway",0.704,1,1,161,1,"PLCB4"
"RNA transport",0.704,1,1,161,1,"EIF4G1"
"Tight junction",0.717,1,1,167,1,"PPP2CA"
"Purine metabolism",0.724,1,1,170,1,"RRM2B"
"Axon guidance",0.728,1,1,172,1,"ILK"
"Calcium signaling pathway",0.744,1,1,180,1,"PLCB4"
"Focal adhesion",0.774,1,1,196,1,"ILK"
"cAMP signaling pathway",0.775,1,1,197,1,"CREBBP"
"Rap1 signaling pathway",0.792,1,1,207,1,"PLCB4"
"Ras signaling pathway",0.813,1,1,221,1,"ETS1"
"Endocytosis",0.83,1,1,233,1,"PML"
"Caffeine metabolism",1,1,1,5,0,""
"Drug metabolism - other enzymes",1,1,1,39,0,""
"ErbB signaling pathway",1,1,1,84,0,""
"mTOR signaling pathway",1,1,1,150,0,""
"VEGF signaling pathway",1,1,1,58,0,""
"Osteoclast differentiation",1,1,1,125,0,""
"Signaling pathways regulating pluripotency of stem cells",1,1,1,139,0,""
"T cell receptor signaling pathway",1,1,1,100,0,""
"B cell receptor signaling pathway",1,1,1,70,0,""
"Fc epsilon RI signaling pathway",1,1,1,66,0,""
"Fc gamma R-mediated phagocytosis",1,1,1,87,0,""
"Progesterone-mediated oocyte maturation",1,1,1,94,0,""
"Adipocytokine signaling pathway",1,1,1,69,0,""
"Regulation of lipolysis in adipocytes",1,1,1,54,0,""
"Protein digestion and absorption",1,1,1,88,0,""
"Leukocyte transendothelial migration",1,1,1,110,0,""
"Hematopoietic cell lineage",1,1,1,91,0,""
"Glycerophospholipid metabolism",1,1,1,87,0,""
"Ether lipid metabolism",1,1,1,39,0,""
"Linoleic acid metabolism",1,1,1,27,0,""
"alpha-Linolenic acid metabolism",1,1,1,23,0,""
"Taste transduction",1,1,1,82,0,""
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,1,25,0,""
"Base excision repair",1,1,1,33,0,""
"Nicotinate and nicotinamide metabolism",1,1,1,28,0,""
"Ribosome",1,1,1,133,0,""
"One carbon pool by folate",1,1,1,19,0,""
"Mucin type O-glycan biosynthesis",1,1,1,30,0,""
"Lysosome",1,1,1,123,0,""
"Oxidative phosphorylation",1,1,1,120,0,""
"Nucleotide excision repair",1,1,1,46,0,""
"Spliceosome",1,1,1,129,0,""
"Aminoacyl-tRNA biosynthesis",1,1,1,43,0,""
"Antifolate resistance",1,1,1,29,0,""
