"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Primary bile acid biosynthesis",0.001,0.264,0.264,17,3,"CYP8B1, BAAT, CH25H"
"Apoptosis - multiple species",0.006,0.629,1,31,3,"BAK1, CASP8, FADD"
"Taurine and hypotaurine metabolism",0.008,0.629,1,11,2,"GGT1, BAAT"
"Platinum drug resistance",0.012,0.744,1,73,4,"FAS, BAK1, CASP8, FADD"
"Steroid hormone biosynthesis",0.023,1,1,50,3,"CYP1A1, SULT2B1, HSD17B6"
"Glutathione metabolism",0.028,1,1,54,3,"GGT1, GPX4, RRM2B"
"p53 signaling pathway",0.047,1,1,66,3,"FAS, RRM2B, CASP8"
"D-Glutamine and D-glutamate metabolism",0.048,1,1,4,1,"GLS2"
"Autophagy - other",0.049,1,1,29,2,"PPP2CA, ATG4C"
"NOD-like receptor signaling pathway",0.05,1,1,164,5,"PYDC1, IL18, TRPV2, CASP8, FADD"
"Fructose and mannose metabolism",0.052,1,1,30,2,"GMPPA, SORD"
"Inositol phosphate metabolism",0.06,1,1,73,3,"PIK3C2B, ITPKC, SYNJ2"
"Porphyrin and chlorophyll metabolism",0.068,1,1,35,2,"HMOX2, MMAB"
"Peroxisome",0.081,1,1,83,3,"PRDX1, PEX13, BAAT"
"TGF-beta signaling pathway",0.081,1,1,83,3,"CREBBP, PPP2CA, CHRD"
"Apoptosis",0.083,1,1,135,4,"FAS, BAK1, CASP8, FADD"
"Metabolic pathways",0.091,1,1,1212,20,"AHCYL1, MAN1A2, CYP1A1, CYP8B1, DPYD, FDFT1, GGT1, GK2, GLS2, GMPPA, HMOX2, MMAB, RRM2B, PIK3C2B, BAAT, SORD, UAP1, ITPKC, HSD17B6, SYNJ2"
"cAMP signaling pathway",0.093,1,1,197,5,"CHRM2, ADCYAP1R1, CREBBP, GPR119, ARAP3"
"IL-17 signaling pathway",0.1,1,1,91,3,"IL17C, CASP8, FADD"
"Amino sugar and nucleotide sugar metabolism",0.112,1,1,47,2,"GMPPA, UAP1"
"Phosphatidylinositol signaling system",0.115,1,1,97,3,"PIK3C2B, ITPKC, SYNJ2"
"Necroptosis",0.136,1,1,162,4,"CHMP4B, FAS, CASP8, FADD"
"Retinol metabolism",0.145,1,1,55,2,"CYP1A1, HSD17B6"
"TNF signaling pathway",0.146,1,1,108,3,"FAS, CASP8, FADD"
"Long-term depression",0.162,1,1,59,2,"PPP2CA, RYR1"
"Calcium signaling pathway",0.178,1,1,180,4,"CHRM2, RYR1, TNNC2, ITPKC"
