"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Metabolic pathways",0,0,0,1212,67,"B3GNT3, POMT1, CERS1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP8B1, CYP11B2, DCK, DLAT, DPYD, EXT2, AK9, FDFT1, PISD, GGT1, AMPD2, GK2, GLS2, GOT2, ST8SIA5, GMPPA, PSAT1, HGD, HK3, HMGCR, HMOX2, MMAB, HSD17B4, IDS, MAN2A2, ASPA, MTM1, NDUFA5, RRM2B, PLA2G3, HAO2, PIGP, PDHA2, COQ3, ATP5I, PIK3C2B, PLCB4, MTMR8, POLE4, BAAT, ENOPH1, LPIN3, SORD, UAP1, ITPKC, PIP5K1B, NT5C1A, DGKZ, DEGS1, RDH16, HSD17B6, AKR1C3, MTMR1, ST3GAL5, SYNJ2, B4GALT6, COX5A, PGS1, GFPT2"
"Primary bile acid biosynthesis",0,0.003,0.005,17,5,"CYP7A1, CYP8B1, HSD17B4, BAAT, CH25H"
"Platinum drug resistance",0,0.009,0.037,73,8,"GSTM5, BIRC5, FAS, PMAIP1, BAK1, TP53, CASP8, FADD"
"Inositol phosphate metabolism",0,0.009,0.037,73,8,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, MTMR1, SYNJ2"
"Phosphatidylinositol signaling system",0,0.01,0.052,97,9,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, DGKZ, MTMR1, SYNJ2"
"Apoptosis - multiple species",0,0.019,0.112,31,5,"BIRC5, PMAIP1, BAK1, CASP8, FADD"
"Apoptosis",0.001,0.02,0.145,135,10,"EIF2S1, BIRC5, FAS, NTRK1, PMAIP1, BAK1, TP53, CASP8, FADD, TNFRSF10D"
"Steroid hormone biosynthesis",0.001,0.02,0.156,50,6,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6, AKR1C3"
"Purine metabolism",0.001,0.027,0.243,170,11,"NUDT5, DCK, AK9, AMPD2, NUDT2, RRM2B, PDE4B, ADCY10, POLE4, NT5C1A, PDE8B"
"NOD-like receptor signaling pathway",0.003,0.064,0.641,164,10,"NLRP1, PYDC1, IL18, OAS3, TRPV2, PLCB4, TRAF3, CAMP, CASP8, FADD"
"Amino sugar and nucleotide sugar metabolism",0.003,0.067,0.772,47,5,"GMPPA, HK3, GNPNAT1, UAP1, GFPT2"
"Wnt signaling pathway",0.003,0.067,0.807,142,9,"CREBBP, DVL2, MYC, NFATC3, PLCB4, SFRP5, TP53, WNT5A, NKD2"
"Pyrimidine metabolism",0.006,0.109,1,101,7,"DCK, DPYD, AK9, NUDT2, RRM2B, POLE4, NT5C1A"
"Alanine, aspartate and glutamate metabolism",0.006,0.111,1,35,4,"GLS2, GOT2, ASPA, GFPT2"
"Carbon metabolism",0.01,0.171,1,113,7,"DLAT, GOT2, PSAT1, HK3, ME2, HAO2, PDHA2"
"Type I diabetes mellitus",0.011,0.171,1,41,4,"HLA-C, HLA-DRA, FAS, CD80"
"p53 signaling pathway",0.013,0.192,1,66,5,"FAS, RRM2B, PMAIP1, TP53, CASP8"
"Taurine and hypotaurine metabolism",0.022,0.304,1,11,2,"GGT1, BAAT"
"Fructose and mannose metabolism",0.025,0.329,1,30,3,"GMPPA, HK3, SORD"
"TNF signaling pathway",0.028,0.329,1,108,6,"ATF2, FAS, MMP3, TRAF3, CASP8, FADD"
"Glutathione metabolism",0.028,0.329,1,54,4,"GGT1, GPX4, GSTM5, RRM2B"
"Glycerophospholipid metabolism",0.038,0.43,1,87,5,"PISD, PLA2G3, LPIN3, DGKZ, PGS1"
"Glycosphingolipid biosynthesis - ganglio series",0.04,0.43,1,15,2,"ST8SIA5, ST3GAL5"
"IL-17 signaling pathway",0.045,0.465,1,91,5,"IL17C, MMP3, TRAF3, CASP8, FADD"
"Cellular senescence",0.048,0.476,1,155,7,"ETS1, FOXO3, HLA-C, MYC, NBN, NFATC3, TP53"
"Pyruvate metabolism",0.05,0.479,1,39,3,"DLAT, ME2, PDHA2"
"Ferroptosis",0.053,0.491,1,40,3,"SAT2, GPX4, TP53"
"Ribosome",0.065,0.51,1,133,6,"RPL36, RPL10A, RPL26L1, RPL31, RPLP2, RPS8"
"Toll-like receptor signaling pathway",0.067,0.51,1,102,5,"TLR8, TRAF3, CASP8, FADD, CD80"
"Cysteine and methionine metabolism",0.067,0.51,1,44,3,"AHCYL1, GOT2, ENOPH1"
"Sphingolipid metabolism",0.067,0.51,1,44,3,"CERS1, DEGS1, B4GALT6"
"Arginine biosynthesis",0.067,0.51,1,20,2,"GLS2, GOT2"
"PPAR signaling pathway",0.068,0.51,1,72,4,"CYP7A1, CYP8B1, GK2, ILK"
"D-Glutamine and D-glutamate metabolism",0.083,0.607,1,4,1,"GLS2"
"Non-alcoholic fatty liver disease (NAFLD)",0.088,0.623,1,144,6,"EIF2S1, FAS, NDUFA5, SREBF1, CASP8, COX5A"
"Peroxisome",0.101,0.645,1,83,4,"HSD17B4, HAO2, BAAT, PEX11A"
"Thyroid hormone signaling pathway",0.102,0.645,1,116,5,"CREBBP, MYC, PLCB4, TP53, MED17"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.102,0.645,1,5,1,"GOT2"
"Neomycin, kanamycin and gentamicin biosynthesis",0.102,0.645,1,5,1,"HK3"
"Glycerolipid metabolism",0.104,0.645,1,53,3,"GK2, LPIN3, DGKZ"
"Retinol metabolism",0.113,0.684,1,55,3,"CYP1A1, RDH16, HSD17B6"
"Vitamin B6 metabolism",0.122,0.721,1,6,1,"PSAT1"
"Citrate cycle (TCA cycle)",0.134,0.772,1,30,2,"DLAT, PDHA2"
"Arachidonic acid metabolism",0.136,0.772,1,60,3,"GGT1, PLA2G3, AKR1C3"
"HIF-1 signaling pathway",0.153,0.848,1,97,4,"CREBBP, HK3, ARNT, PDHA2"
"Tyrosine metabolism",0.164,0.854,1,34,2,"GOT2, HGD"
"Glucagon signaling pathway",0.165,0.854,1,100,4,"ATF2, CREBBP, PDHA2, PLCB4"
"Glycolysis / Gluconeogenesis",0.167,0.854,1,66,3,"DLAT, HK3, PDHA2"
"Melanogenesis",0.17,0.854,1,101,4,"CREBBP, DVL2, PLCB4, WNT5A"
"Porphyrin and chlorophyll metabolism",0.172,0.854,1,35,2,"HMOX2, MMAB"
"RIG-I-like receptor signaling pathway",0.177,0.866,1,68,3,"TRAF3, CASP8, FADD"
"Fat digestion and absorption",0.187,0.895,1,37,2,"GOT2, PLA2G3"
"Bile secretion",0.194,0.91,1,71,3,"CYP7A1, HMGCR, BAAT"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.212,0.976,1,11,1,"COQ3"
"Hippo signaling pathway",0.221,1,1,151,5,"AFP, DVL2, BIRC5, MYC, WNT5A"
"Sphingolipid signaling pathway",0.236,1,1,116,4,"CERS1, PLCB4, TP53, DEGS1"
"Proteasome",0.242,1,1,44,2,"PSME4, PSMD1"
"Intestinal immune network for IgA production",0.25,1,1,45,2,"HLA-DRA, CD80"
"Aldosterone synthesis and secretion",0.256,1,1,82,3,"ATF2, CYP11B2, PLCB4"
"Arginine and proline metabolism",0.258,1,1,46,2,"SAT2, GOT2"
"TGF-beta signaling pathway",0.262,1,1,83,3,"CREBBP, MYC, CHRD"
"Necroptosis",0.265,1,1,162,5,"FAS, STAT4, CASP8, FADD, TNFRSF10D"
"Cell cycle",0.274,1,1,124,4,"CREBBP, MYC, ANAPC7, TP53"
"N-Glycan biosynthesis",0.274,1,1,48,2,"MAN1A2, MAN2A2"
"Notch signaling pathway",0.274,1,1,48,2,"CREBBP, DVL2"
"Ovarian steroidogenesis",0.282,1,1,49,2,"CYP1A1, AKR1C3"
"Longevity regulating pathway",0.291,1,1,88,3,"ATF2, FOXO3, TP53"
"Th1 and Th2 cell differentiation",0.302,1,1,90,3,"HLA-DRA, NFATC3, STAT4"
"Phenylalanine metabolism",0.308,1,1,17,1,"GOT2"
"2-Oxocarboxylic acid metabolism",0.308,1,1,17,1,"GOT2"
"Pantothenate and CoA biosynthesis",0.323,1,1,18,1,"DPYD"
"Cell adhesion molecules (CAMs)",0.337,1,1,137,4,"VCAN, HLA-C, HLA-DRA, CD80"
"Mannose type O-glycan biosynthesis",0.337,1,1,19,1,"POMT1"
"Glycosaminoglycan degradation",0.337,1,1,19,1,"IDS"
"Biosynthesis of unsaturated fatty acids",0.337,1,1,19,1,"BAAT"
"Inflammatory mediator regulation of TRP channels",0.338,1,1,96,3,"NTRK1, TRPV2, PLCB4"
"Circadian entrainment",0.338,1,1,96,3,"GNG10, PLCB4, ADCY10"
"Signaling pathways regulating pluripotency of stem cells",0.346,1,1,139,4,"DVL2, ONECUT1, MYC, WNT5A"
"Steroid biosynthesis",0.351,1,1,20,1,"FDFT1"
"Other types of O-glycan biosynthesis",0.365,1,1,21,1,"POMT1"
"Mitophagy - animal",0.376,1,1,61,2,"FOXO3, TP53"
"Terpenoid backbone biosynthesis",0.379,1,1,22,1,"HMGCR"
"Histidine metabolism",0.379,1,1,22,1,"ASPA"
"alpha-Linolenic acid metabolism",0.392,1,1,23,1,"PLA2G3"
"Proximal tubule bicarbonate reclamation",0.392,1,1,23,1,"GLS2"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.405,1,1,24,1,"EXT2"
"Metabolism of xenobiotics by cytochrome P450",0.407,1,1,65,2,"CYP1A1, GSTM5"
"Glutamatergic synapse",0.414,1,1,109,3,"GLS2, GNG10, PLCB4"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.418,1,1,25,1,"PIGP"
"Folate biosynthesis",0.418,1,1,25,1,"AKR1C3"
"Pentose and glucuronate interconversions",0.418,1,1,25,1,"SORD"
"Long-term potentiation",0.422,1,1,67,2,"CREBBP, PLCB4"
"Antigen processing and presentation",0.429,1,1,68,2,"HLA-C, HLA-DRA"
"Maturity onset diabetes of the young",0.431,1,1,26,1,"ONECUT1"
"Biosynthesis of amino acids",0.436,1,1,69,2,"GOT2, PSAT1"
"Linoleic acid metabolism",0.443,1,1,27,1,"PLA2G3"
"Glycosphingolipid biosynthesis - lacto and neolacto series",0.443,1,1,27,1,"B3GNT3"
"Protein processing in endoplasmic reticulum",0.444,1,1,159,4,"MAN1A2, EIF2S1, EIF2AK1, BAK1"
"Nicotinate and nicotinamide metabolism",0.455,1,1,28,1,"NT5C1A"
"Glyoxylate and dicarboxylate metabolism",0.455,1,1,28,1,"HAO2"
"MAPK signaling pathway",0.458,1,1,253,6,"ATF2, FAS, MYC, NFATC3, NTRK1, TP53"
"AMPK signaling pathway",0.465,1,1,118,3,"FOXO3, HMGCR, SREBF1"
"Neurotrophin signaling pathway",0.465,1,1,118,3,"FOXO3, NTRK1, TP53"
"Thyroid hormone synthesis",0.472,1,1,74,2,"ATF2, PLCB4"
"Oxidative phosphorylation",0.476,1,1,120,3,"NDUFA5, ATP5I, COX5A"
"Galactose metabolism",0.478,1,1,30,1,"HK3"
"beta-Alanine metabolism",0.489,1,1,31,1,"DPYD"
"Natural killer cell mediated cytotoxicity",0.503,1,1,125,3,"HLA-C, FAS, TNFRSF10D"
"Base excision repair",0.511,1,1,33,1,"POLE4"
"Dopaminergic synapse",0.519,1,1,128,3,"ATF2, GNG10, PLCB4"
"Starch and sucrose metabolism",0.521,1,1,34,1,"HK3"
"Relaxin signaling pathway",0.524,1,1,129,3,"ATF2, GNG10, PLCB4"
"DNA replication",0.532,1,1,35,1,"POLE4"
"Tryptophan metabolism",0.532,1,1,35,1,"CYP1A1"
"Insulin secretion",0.547,1,1,85,2,"ATF2, PLCB4"
"Homologous recombination",0.552,1,1,37,1,"NBN"
"Apelin signaling pathway",0.555,1,1,135,3,"GNG10, PLCB4, ADCY10"
"GABAergic synapse",0.559,1,1,87,2,"GLS2, GNG10"
"Drug metabolism - other enzymes",0.571,1,1,39,1,"DPYD"
"Ether lipid metabolism",0.571,1,1,39,1,"PLA2G3"
"Glycine, serine and threonine metabolism",0.571,1,1,39,1,"PSAT1"
"Salivary secretion",0.578,1,1,90,2,"PLCB4, CAMP"
"Phospholipase D signaling pathway",0.58,1,1,140,3,"PLCB4, PIP5K1B, DGKZ"
"Retrograde endocannabinoid signaling",0.58,1,1,140,3,"GNG10, NDUFA5, PLCB4"
"Carbohydrate digestion and absorption",0.606,1,1,43,1,"HK3"
"Pancreatic secretion",0.607,1,1,95,2,"PLA2G3, PLCB4"
"Estrogen signaling pathway",0.624,1,1,98,2,"ATF2, PLCB4"
"Nucleotide excision repair",0.631,1,1,46,1,"POLE4"
"Type II diabetes mellitus",0.631,1,1,46,1,"HK3"
"Jak-STAT signaling pathway",0.636,1,1,152,3,"CREBBP, MYC, STAT4"
"Endocrine and other factor-regulated calcium reabsorption",0.639,1,1,47,1,"PLCB4"
"Mineral absorption",0.662,1,1,50,1,"HMOX2"
"Th17 cell differentiation",0.662,1,1,105,2,"HLA-DRA, NFATC3"
"Insulin resistance",0.667,1,1,106,2,"SREBF1, GFPT2"
"cGMP-PKG signaling pathway",0.675,1,1,161,3,"ATF2, NFATC3, PLCB4"
"RNA transport",0.675,1,1,161,3,"EIF2S1, EIF4G1, EIF2B3"
"Serotonergic synapse",0.692,1,1,111,2,"GNG10, PLCB4"
"Cholinergic synapse",0.696,1,1,112,2,"GNG10, PLCB4"
"Axon guidance",0.718,1,1,172,3,"ILK, NFATC3, WNT5A"
"Long-term depression",0.722,1,1,59,1,"PLCB4"
"Vascular smooth muscle contraction",0.728,1,1,119,2,"PLA2G3, PLCB4"
"Drug metabolism - cytochrome P450",0.734,1,1,61,1,"GSTM5"
"Longevity regulating pathway - multiple species",0.74,1,1,62,1,"FOXO3"
"Cytosolic DNA-sensing pathway",0.74,1,1,62,1,"IL18"
"Chemokine signaling pathway",0.75,1,1,181,3,"FOXO3, GNG10, PLCB4"
"Renin secretion",0.756,1,1,65,1,"PLCB4"
"Adherens junction",0.767,1,1,67,1,"CREBBP"
"FoxO signaling pathway",0.772,1,1,130,2,"CREBBP, FOXO3"
"B cell receptor signaling pathway",0.782,1,1,70,1,"NFATC3"
"Prolactin signaling pathway",0.782,1,1,70,1,"FOXO3"
"Ubiquitin mediated proteolysis",0.786,1,1,134,2,"ANAPC7, PML"
"cAMP signaling pathway",0.799,1,1,197,3,"CREBBP, PDE4B, ADCY10"
"Insulin signaling pathway",0.8,1,1,138,2,"HK3, SREBF1"
"Cardiac muscle contraction",0.8,1,1,74,1,"COX5A"
"Gastric acid secretion",0.804,1,1,75,1,"PLCB4"
"Adrenergic signaling in cardiomyocytes",0.813,1,1,142,2,"ATF2, PLCB4"
"EGFR tyrosine kinase inhibitor resistance",0.821,1,1,79,1,"FOXO3"
"Cytokine-cytokine receptor interaction",0.821,1,1,263,4,"IL17C, FAS, IL18, TNFRSF10D"
"Phagosome",0.825,1,1,146,2,"HLA-C, HLA-DRA"
"mTOR signaling pathway",0.836,1,1,150,2,"DVL2, WNT5A"
"ErbB signaling pathway",0.839,1,1,84,1,"MYC"
"Oxytocin signaling pathway",0.839,1,1,151,2,"NFATC3, PLCB4"
"Fc gamma R-mediated phagocytosis",0.849,1,1,87,1,"PIP5K1B"
"Gap junction",0.853,1,1,88,1,"PLCB4"
"PI3K-Akt signaling pathway",0.855,1,1,337,5,"ATF2, FOXO3, GNG10, MYC, TP53"
"Ras signaling pathway",0.858,1,1,221,3,"ETS1, GNG10, PLA2G3"
"Hematopoietic cell lineage",0.862,1,1,91,1,"HLA-DRA"
"GnRH signaling pathway",0.862,1,1,91,1,"PLCB4"
"NF-kappa B signaling pathway",0.865,1,1,92,1,"TRAF3"
"Progesterone-mediated oocyte maturation",0.871,1,1,94,1,"ANAPC7"
"Endocrine resistance",0.874,1,1,95,1,"TP53"
"AGE-RAGE signaling pathway in diabetic complications",0.879,1,1,97,1,"PLCB4"
"Endocytosis",0.881,1,1,233,3,"HLA-C, PML, PIP5K1B"
"T cell receptor signaling pathway",0.887,1,1,100,1,"NFATC3"
"Calcium signaling pathway",0.902,1,1,180,2,"PLCB4, ITPKC"
"Oocyte meiosis",0.924,1,1,118,1,"ANAPC7"
"Focal adhesion",0.927,1,1,196,2,"ILK, ZYX"
"Platelet activation",0.93,1,1,122,1,"PLCB4"
"Autophagy - animal",0.932,1,1,123,1,"EIF2S1"
"Lysosome",0.932,1,1,123,1,"IDS"
"Regulation of actin cytoskeleton",0.943,1,1,210,2,"PIP5K1B, ARHGEF7"
"Rap1 signaling pathway",0.989,1,1,207,1,"PLCB4"
