"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"A1BG",1,6,0.17133,0.39424,0.997175,8232,3,-7.6464,0.32373,0.32387,0.99953,6946,0,-7.6464,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.67693,0.85099,0.999804,17641,1,-7.0378,0.84913,0.84919,0.999987,18156,0,-7.0378,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.0027772,0.0136,0.73384,332,5,-8.8631,0.93399,0.93409,0.999987,20037,0,-8.8631,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.014003,0.060689,0.86314,1339,5,-8.9318,0.59972,0.59966,0.999987,12906,0,-8.9318,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.19033,0.42108,0.999804,8771,3,-7.5607,0.48012,0.48019,0.999594,10375,0,-7.5607,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.14191,0.35131,0.994005,7321,4,-8.4108,0.57374,0.57374,0.999987,12362,0,-8.4108,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"A4GNT",51146,5,0.1218,0.29709,0.984874,6678,4,-8.044,0.83953,0.83945,0.999987,17951,0,-8.044,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.33246,0.60331,0.999804,12291,4,-7.6979,0.80384,0.80368,0.999987,17210,0,-7.6979,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AACS",65985,6,0.082722,0.24232,0.963557,5129,4,-8.38,0.038917,0.039966,0.986119,848,1,-8.38,0,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"AADAC",13,5,0.71913,0.84259,0.999804,18061,2,-5.0676,0.102,0.10226,0.986119,2228,0,-5.0676,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.0478,0.15716,0.923728,3414,5,-8.4108,0.62782,0.62788,0.999987,13476,0,-8.4108,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.093932,0.26784,0.976396,5633,4,-8.2881,0.65692,0.65686,0.999987,14084,0,-8.2881,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.015317,0.065745,0.871501,1422,4,-8.9887,0.88206,0.882,0.999987,18878,0,-8.9887,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.69913,0.85946,0.999804,17865,2,-6.5379,0.72027,0.72016,0.999987,15464,0,-6.5379,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",195827,6,0.40675,0.6633,0.999804,13607,3,-7.7717,0.56794,0.56794,0.999987,12259,0,-7.7717,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,0.53266,0.75523,0.999804,15595,2,-5.4555,0.21344,0.21354,0.993573,4617,0,-5.4555,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,5,0.3434,0.57437,0.999804,12545,1,-6.5723,0.60032,0.60067,0.999987,12914,0,-6.5723,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.13254,0.33726,0.992846,7001,3,-7.1194,0.32111,0.32122,0.99953,6885,0,-7.1194,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
