"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Metabolic pathways",0,0,0,1212,67,"B3GNT3, POMT1, CERS1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP8B1, CYP11B2, DCK, DLAT, DPYD, EXT2, AK9, FDFT1, PISD, GGT1, AMPD2, GK2, GLS2, GOT2, ST8SIA5, GMPPA, PSAT1, HGD, HK3, HMGCR, HMOX2, MMAB, HSD17B4, IDS, MAN2A2, ASPA, MTM1, NDUFA5, RRM2B, PLA2G3, HAO2, PIGP, PDHA2, COQ3, ATP5I, PIK3C2B, PLCB4, MTMR8, POLE4, BAAT, ENOPH1, LPIN3, SORD, UAP1, ITPKC, PIP5K1B, NT5C1A, DGKZ, DEGS1, RDH16, HSD17B6, AKR1C3, MTMR1, ST3GAL5, SYNJ2, B4GALT6, COX5A, PGS1, GFPT2"
"Primary bile acid biosynthesis",0,0.001,0.002,17,5,"CYP7A1, CYP8B1, HSD17B4, BAAT, CH25H"
"Platinum drug resistance",0,0.003,0.011,73,8,"GSTM5, BIRC5, FAS, PMAIP1, BAK1, TP53, CASP8, FADD"
"Inositol phosphate metabolism",0,0.003,0.011,73,8,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, MTMR1, SYNJ2"
"Phosphatidylinositol signaling system",0,0.003,0.014,97,9,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, DGKZ, MTMR1, SYNJ2"
"Apoptosis",0,0.006,0.035,135,10,"EIF2S1, BIRC5, FAS, NTRK1, PMAIP1, BAK1, TP53, CASP8, FADD, TNFRSF10D"
"Apoptosis - multiple species",0,0.007,0.05,31,5,"BIRC5, PMAIP1, BAK1, CASP8, FADD"
"Steroid hormone biosynthesis",0,0.008,0.061,50,6,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6, AKR1C3"
"NOD-like receptor signaling pathway",0.001,0.019,0.171,164,10,"NLRP1, PYDC1, IL18, OAS3, TRPV2, PLCB4, TRAF3, CAMP, CASP8, FADD"
"Amino sugar and nucleotide sugar metabolism",0.001,0.036,0.36,47,5,"GMPPA, HK3, GNPNAT1, UAP1, GFPT2"
"Alanine, aspartate and glutamate metabolism",0.003,0.076,0.84,35,4,"GLS2, GOT2, ASPA, GFPT2"
"p53 signaling pathway",0.006,0.133,1,66,5,"FAS, RRM2B, PMAIP1, TP53, CASP8"
"Pyrimidine metabolism",0.009,0.18,1,101,6,"DCK, DPYD, AK9, RRM2B, POLE4, NT5C1A"
"TNF signaling pathway",0.013,0.223,1,108,6,"ATF2, FAS, MMP3, TRAF3, CASP8, FADD"
"Taurine and hypotaurine metabolism",0.016,0.223,1,11,2,"GGT1, BAAT"
"Carbon metabolism",0.016,0.223,1,113,6,"DLAT, GOT2, PSAT1, HK3, HAO2, PDHA2"
"Glutathione metabolism",0.016,0.223,1,54,4,"GGT1, GPX4, GSTM5, RRM2B"
