"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Metabolic pathways",0,0,0,1212,67,"B3GNT3, POMT1, CERS1, AHCYL1, MAN1A2, SAT2, CYP1A1, CYP7A1, CYP8B1, CYP11B2, DCK, DLAT, DPYD, EXT2, AK9, FDFT1, PISD, GGT1, AMPD2, GK2, GLS2, GOT2, ST8SIA5, GMPPA, PSAT1, HGD, HK3, HMGCR, HMOX2, MMAB, HSD17B4, IDS, MAN2A2, ASPA, MTM1, NDUFA5, RRM2B, PLA2G3, HAO2, PIGP, PDHA2, COQ3, ATP5I, PIK3C2B, PLCB4, MTMR8, POLE4, BAAT, ENOPH1, LPIN3, SORD, UAP1, ITPKC, PIP5K1B, NT5C1A, DGKZ, DEGS1, RDH16, HSD17B6, AKR1C3, MTMR1, ST3GAL5, SYNJ2, B4GALT6, COX5A, PGS1, GFPT2"
"Primary bile acid biosynthesis",0,0.002,0.005,17,5,"CYP7A1, CYP8B1, HSD17B4, BAAT, CH25H"
"Platinum drug resistance",0,0.008,0.032,73,8,"GSTM5, BIRC5, FAS, PMAIP1, BAK1, TP53, CASP8, FADD"
"Inositol phosphate metabolism",0,0.008,0.032,73,8,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, MTMR1, SYNJ2"
"Phosphatidylinositol signaling system",0,0.009,0.044,97,9,"MTM1, PIK3C2B, PLCB4, MTMR8, ITPKC, PIP5K1B, DGKZ, MTMR1, SYNJ2"
"Apoptosis - multiple species",0,0.017,0.102,31,5,"BIRC5, PMAIP1, BAK1, CASP8, FADD"
"Apoptosis",0,0.017,0.122,135,10,"EIF2S1, BIRC5, FAS, NTRK1, PMAIP1, BAK1, TP53, CASP8, FADD, TNFRSF10D"
"Steroid hormone biosynthesis",0.001,0.017,0.139,50,6,"CYP1A1, CYP7A1, CYP11B2, SULT2B1, HSD17B6, AKR1C3"
"Purine metabolism",0.001,0.022,0.202,170,11,"NUDT5, DCK, AK9, AMPD2, NUDT2, RRM2B, PDE4B, ADCY10, POLE4, NT5C1A, PDE8B"
"NOD-like receptor signaling pathway",0.002,0.054,0.545,164,10,"NLRP1, PYDC1, IL18, OAS3, TRPV2, PLCB4, TRAF3, CAMP, CASP8, FADD"
"Wnt signaling pathway",0.003,0.058,0.696,142,9,"CREBBP, DVL2, MYC, NFATC3, PLCB4, SFRP5, TP53, WNT5A, NKD2"
"Amino sugar and nucleotide sugar metabolism",0.003,0.058,0.702,47,5,"GMPPA, HK3, GNPNAT1, UAP1, GFPT2"
"Pyrimidine metabolism",0.005,0.097,1,101,7,"DCK, DPYD, AK9, NUDT2, RRM2B, POLE4, NT5C1A"
"Alanine, aspartate and glutamate metabolism",0.006,0.103,1,35,4,"GLS2, GOT2, ASPA, GFPT2"
"Carbon metabolism",0.009,0.153,1,113,7,"DLAT, GOT2, PSAT1, HK3, ME2, HAO2, PDHA2"
"Type I diabetes mellitus",0.01,0.159,1,41,4,"HLA-C, HLA-DRA, FAS, CD80"
"p53 signaling pathway",0.012,0.175,1,66,5,"FAS, RRM2B, PMAIP1, TP53, CASP8"
"Taurine and hypotaurine metabolism",0.021,0.292,1,11,2,"GGT1, BAAT"
"Fructose and mannose metabolism",0.024,0.307,1,30,3,"GMPPA, HK3, SORD"
"TNF signaling pathway",0.025,0.307,1,108,6,"ATF2, FAS, MMP3, TRAF3, CASP8, FADD"
"Glutathione metabolism",0.026,0.307,1,54,4,"GGT1, GPX4, GSTM5, RRM2B"
"Glycerophospholipid metabolism",0.035,0.397,1,87,5,"PISD, PLA2G3, LPIN3, DGKZ, PGS1"
"Glycosphingolipid biosynthesis - ganglio series",0.038,0.413,1,15,2,"ST8SIA5, ST3GAL5"
"IL-17 signaling pathway",0.041,0.429,1,91,5,"IL17C, MMP3, TRAF3, CASP8, FADD"
"Cellular senescence",0.043,0.432,1,155,7,"ETS1, FOXO3, HLA-C, MYC, NBN, NFATC3, TP53"
"Pyruvate metabolism",0.047,0.453,1,39,3,"DLAT, ME2, PDHA2"
