"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Endocytosis",0,0,0,238,61,40,"Arap3, Vps37c, Arf1, Arf5, Capza1, Cdc42, Epn1, Acap3, Grk4, H2-L, Il2ra, Il2rg, Kif5a, Kif5b, Rab8a, Pip5k1c, Pld1, Rab10, Rab5b, Hspa1a, Src, Cblb, Arfgef1, Arrb2, Tgfbr1, Snx32, Iqsec2, Ehd2, Bin1, Agap1, Smurf2, Chmp1b, Arpc5, Chmp2a, Ap2b1, Mvb12b, Rab11fip2, Rab11fip1, Chmp5, Rbsn","Ap2a1, Rhoa, Grk5, Pip5k1b, Pld2, Cyth1, Sh3glb2, Zfyve9, Git2, Snf8, Zfyve27, Vps37b, Pard6a, Pard6b, Ccdc53, Rnf41, Stambp, Snx6, Wasl, Arpc2, Arfgef2",0.456
"2","Autophagy - animal",0,0,0,122,42,22,"Atg14, Akt2, Bnip3, Dapk3, Kras, Nras, Igbp1, Pdpk1, Pik3ca, Prkaca, Camkk2, Pik3c3, Ambra1, Atg4d, Atg13, Rragd, Rragc, Mlst8, Tsc1, Trp53inp2, Atg7, Ern1","Akt1, Atg5, Rb1cc1, Hif1a, Mtmr4, Pik3r1, Ppp2ca, Rras, Stk11, Zfyve1, Map3k7, Mapk8, Wipi1, Becn1, Gabarapl1, Snap29, Stx17, Atg3, Atg101, Atg16l2",0.434
"3","Mitophagy - animal",0,0,0,61,25,13,"Bnip3, Bnip3l, Csnk2b, Kras, Mitf, Cited2, Nras, Sp1, Src, Rhot2, Ambra1, Rhot1, Optn","Usp30, Atg5, Csnk2a1, Hif1a, Jun, Rela, Rras, Mapk8, Becn1, Gabarapl1, Fis1, Pink1",0.465
"4","Ribosome biogenesis in eukaryotes",0,0,0.001,75,26,14,"Utp15, Pwp2, Csnk2b, Utp6, Cirh1a, Heatr1, Wdr3, 2610020H08Rik, Nxt1, Mphosph10, Utp14a, Wdr75, Rrp7a, Nat10","Mdn1, Csnk2a1, Eif6, Utp18, Nol6, Gnl2, Dkc1, Gnl3, Nop58, Pop4, Nob1, Gar1",0.443
"5","MAPK signaling pathway",0,0,0.001,211,54,29,"Akt2, Cacna1a, Cacnb1, Cdc42, Crk, Gadd45a, Kras, Mapkapk2, Mef2c, Nfkb1, Nras, Prkaca, Ppm1b, Ppp3cb, Hspa1a, Sos1, Arrb2, Tgfbr1, Tnf, Map4k3, Mapk7, Dusp5, Map2k7, Map3k2, Mapk14, Cacna2d4, Dusp10, Tab1, Dusp9","Akt1, Egf, Elk1, Jun, Jund, Rac3, Nfatc3, Nfkb2, Ppp3ca, Ppp3r1, Ppp5c, Mapk8ip1, Rasgrp2, Rela, Rras, Sos2, Rasa1, Map3k11, Map3k7, Mapk8, Ecsit, Mapk8ip3, Stk3, Dusp6, Flnc",0.396
"6","Longevity regulating pathway",0,0,0.001,81,28,18,"Adcy7, Akt2, Kras, Nfkb1, Nras, Pik3ca, Prkaca, Prkag1, Camkk2, Creb3l2, Sesn2, Atg13, Foxo1, Tsc1, Adipor2, Adipor1, Sesn3, Sirt1","Prkab2, Akt1, Atg5, Rb1cc1, Creb3, Pik3r1, Prkab1, Rela, Stk11, Atg101",0.494
"7","FoxO signaling pathway",0,0,0.001,120,36,22,"Akt2, Atm, Bnip3, Ccnd2, Cdkn1b, Cdkn2d, Gadd45a, Il10, Kras, Smad4, Nras, Pdpk1, Pik3ca, Plk1, Prkag1, Sos1, Tgfbr1, Usp7, Mapk14, Foxo1, Setd7, Sirt1","Prkab2, Akt1, Ccng2, Plk3, Egf, Il6, Il7r, Pik3r1, Prkab1, Sos2, Stk11, Mapk8, Gabarapl1, Pck2",0.456
"8","T cell receptor signaling pathway",0,0,0.002,94,30,17,"Akt2, Cdc42, Il10, Kras, Lck, Nfkb1, Nras, Pdpk1, Pik3ca, Ppp3cb, Ptprc, Sos1, Cblb, Tnf, Malt1, Map2k7, Mapk14","Akt1, Rhoa, Dlg1, Jun, Nfatc3, Pdcd1, Pik3r1, Ppp3ca, Ppp3r1, Rela, Sos2, Map3k7, Pak4",0.443
"9","AMPK signaling pathway",0,0.001,0.005,108,32,18,"Akt2, Cab39, Cpt1a, Fasn, Lipe, Rab8a, Pdpk1, Pik3ca, Prkag1, Rab10, Camkk2, Creb3l2, Ppp2r5d, Foxo1, Tsc1, Adipor2, Adipor1, Sirt1","Prkab2, Akt1, Ccna2, Creb3, Pfkl, Pfkm, Pik3r1, Ppp2ca, Prkab1, Stk11, Stradb, Map3k7, Mlycd, Pck2",0.429
"10","B cell receptor signaling pathway",0,0.001,0.01,69,23,11,"Akt2, Inpp5d, Kras, Nfkb1, Nras, Pik3ca, Pirb, Ppp3cb, Sos1, Malt1, Ifitm1","Akt1, Btk, Cr2, Cd79b, Jun, Rac3, Nfatc3, Pik3r1, Ppp3ca, Ppp3r1, Rela, Sos2",0.406
