"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"UBC, SIN3A","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IL1B, KALRN, RHOF, IGF2, PF4, SERPING1, TGFB2, GAB2","Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (3), MAPK signaling pathway (3), Cytokine-cytokine receptor interaction (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Chemokine signaling pathway (2), Regulation of actin cytoskeleton (2), Phospholipase D signaling pathway (1), Sphingolipid signaling pathway (1), Fc epsilon RI signaling pathway (1), Cell cycle (1), Th17 cell differentiation (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Focal adhesion (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1)"
"159",20,"ABCA2","MedConf","Yes",NA,"ATP1A3, ATP12A, ATP1B3","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"220",10006,"ABI1","HighConf","Yes",NA,"ARPC1B, EPS8, EGFR, ACTR2, ITGB1, SYK","Regulation of actin cytoskeleton (3), PI3K-Akt signaling pathway (3), Fc gamma R-mediated phagocytosis (2), Platelet activation (2), Phospholipase D signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), Fc epsilon RI signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), GnRH signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), ECM-receptor interaction (1), Phagosome (1), Leukocyte transendothelial migration (1)"
"238",32,"ACACB","MedConf","Yes",NA,"OASL, SUN1, UBQLN4, UBC, UBB, ISG15, SP1, E2F3, RPS27A","Mitophagy - animal (2), Cell cycle (1), RIG-I-like receptor signaling pathway (1), Ribosome (1)"
"246",36,"ACADSB","MedConf","Yes",NA,"HADHA","Lysine degradation (1)"
"262",1636,"ACE","MedConf","Yes","Renin secretion","AGT","Renin secretion (1)"
"268",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome","SRPK2, UBC",NA
"322",59,"ACTA2","MedConf","Yes","Relaxin signaling pathway","SORBS3, CFL1, VCL, ITGA1, UBC, PXN","Regulation of actin cytoskeleton (4), Focal adhesion (3), Leukocyte transendothelial migration (2), Chemokine signaling pathway (1), ECM-receptor interaction (1), Hematopoietic cell lineage (1), PI3K-Akt signaling pathway (1), Fc gamma R-mediated phagocytosis (1)"
"342",10097,"ACTR2","HighConf","Yes",NA,"WIPF2, ABI1, PDGFRB, ARPC1B, CDC42, UBC, PSMA7","Regulation of actin cytoskeleton (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Proteasome (1)"
