"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Spliceosome",0,0,0,133,26,"ISY1-RAB43, SF3A1, SF3A3, SF3B2, DHX8, HNRNPA3, SNRNP200, SF3B3, SF3B1, LSM5, HSPA8, MAGOH, SF3B6, PLRG1, SRSF3, SNRPA1, SNRPB, SNRPC, SNRPD1, SNRPD3, SNRPE, SNRPG, DDX39B, SF3B5, PHF5A, RBM8A"
"Proteasome",0,0,0,45,22,"PSMD14, POMP, PSMA1, PSMA2, PSMA3, PSMA4, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB6, PSMC1, PSMC3, PSMC4, PSMC5, PSMC6, PSMD2, PSMD3, PSMD11, PSMD6"
"RNA transport",0,0.005,0.016,166,17,"NXF1, RNPS1, RPP25L, EIF4G2, CASC3, NUP62, KPNB1, MAGOH, NUP98, NXF2, NUP107, RAN, XPO1, DDX39B, SEH1L, EIF3F, RBM8A"
"Pyrimidine metabolism",0.001,0.039,0.161,99,11,"NME6, CANT1, NME3, NME4, POLR2A, POLR2B, POLR2D, POLR2G, POLR2K, TK1, UCK2"
"AMPK signaling pathway",0.001,0.039,0.24,120,12,"CPT1A, CREB3L4, FOXO3, INS, ADIPOR1, PDPK1, PIK3CA, PIK3CB, PRKAG1, SCD, CREB3L3, STRADA"
"Longevity regulating pathway",0.001,0.039,0.258,89,10,"CREB3L4, FOXO3, INS, ADIPOR1, PIK3CA, PIK3CB, PRKACA, PRKAG1, SESN2, CREB3L3"
"Olfactory transduction",0.001,0.039,0.305,414,27,"OR52J3, OR5P2, OR5P3, OR2D3, OR4D2, OR2AG1, OR8K3, OR9I1, OR5A2, OR51F1, OR10A3, OR2T1, GNAL, OR8D4, OR2AT4, OR51I1, OR52N4, OR5AN1, OR6C1, OR1K1, OR11H12, PRKACA, OR5H2, OR51E2, OR4C15, OR1E2, OR6A2"
"Insulin resistance",0.001,0.039,0.309,107,11,"SLC27A2, CPT1A, CREB3L4, INS, NOS3, PDPK1, PIK3CA, PIK3CB, PRKAG1, PRKCE, CREB3L3"
"Relaxin signaling pathway",0.002,0.051,0.481,130,12,"INSL5, CREB3L4, GNAO1, NOS1, NOS3, PIK3CA, PIK3CB, PRKACA, MAPK13, VEGFA, VEGFB, CREB3L3"
"Estrogen signaling pathway",0.002,0.051,0.541,98,10,"CREB3L4, GNAO1, HSPA8, KCNJ5, NOS3, PIK3CA, PIK3CB, PRKACA, HSP90B1, CREB3L3"
"mTOR signaling pathway",0.002,0.051,0.558,150,13,"ATP6V1G3, DVL2, INS, PDPK1, PIK3CA, PIK3CB, PRR5, WNT9B, SLC7A5, SEH1L, SESN2, STRADA, TELO2"
"PPAR signaling pathway",0.004,0.073,0.873,72,8,"SLC27A2, CPT1A, FABP4, ACSL6, PDPK1, PPARD, RXRG, SCD"
"mRNA surveillance pathway",0.004,0.073,1,90,9,"NXF1, RNPS1, CASC3, MAGOH, NXF2, DDX39B, CPSF7, PABPN1, RBM8A"
"RNA polymerase",0.004,0.073,1,31,5,"POLR2A, POLR2B, POLR2D, POLR2G, POLR2K"
"Ribosome biogenesis in eukaryotes",0.005,0.088,1,77,8,"NXF1, RPP25L, GAR1, IMP3, NXF2, RAN, XPO1, UTP15"
"Longevity regulating pathway - multiple species",0.006,0.088,1,62,7,"FOXO3, HSPA8, INS, PIK3CA, PIK3CB, PRKACA, PRKAG1"
"FoxO signaling pathway",0.006,0.089,1,131,11,"PLK3, EP300, FOXO3, INS, FOXO4, PDPK1, PIK3CA, PIK3CB, PLK1, PRKAG1, MAPK13"
"AGE-RAGE signaling pathway in diabetic complications",0.008,0.101,1,99,9,"IL1A, NOS3, NOX4, PIK3CA, PIK3CB, PRKCE, MAPK13, VEGFA, VEGFB"
"Protein export",0.008,0.101,1,23,4,"SEC11A, SEC61A1, SEC61A2, SRP68"
"cGMP-PKG signaling pathway",0.011,0.134,1,162,12,"MEF2B, ADRA1B, CREB3L4, ADRA2B, INS, KCNMA1, MEF2C, MYH7, NOS3, PPP3R1, PRKCE, CREB3L3"
"Regulation of lipolysis in adipocytes",0.011,0.134,1,54,6,"FABP4, INS, PIK3CA, PIK3CB, PRKACA, PNPLA2"
"VEGF signaling pathway",0.015,0.174,1,58,6,"NOS3, PIK3CA, PIK3CB, PPP3R1, MAPK13, VEGFA"
"Purine metabolism",0.017,0.181,1,171,12,"NME6, CANT1, AK8, NME3, NME4, POLR2A, POLR2B, POLR2D, POLR2G, POLR2K, PPAT, ALLC"
"Vasopressin-regulated water reabsorption",0.018,0.188,1,44,5,"CREB3L4, ARHGDIG, DYNC1LI1, PRKACA, CREB3L3"
"HIF-1 signaling pathway",0.022,0.224,1,99,8,"EP300, ALDOA, INS, ARNT, NOS3, PIK3CA, PIK3CB, VEGFA"
"Neurotrophin signaling pathway",0.024,0.225,1,119,9,"FOXO3, IRAK2, ARHGDIG, NGFR, IRAK4, PDPK1, PIK3CA, PIK3CB, MAPK13"
"Fc epsilon RI signaling pathway",0.028,0.254,1,66,6,"FYN, IL13, PDPK1, PIK3CA, PIK3CB, MAPK13"
"Protein processing in endoplasmic reticulum",0.031,0.277,1,166,11,"PPP1R15A, SEC61A1, HSPA8, DNAJB1, DNAJB11, SEC61A2, NPLOC4, RPN2, HSP90B1, UFD1L, VCP"
"Aldosterone-regulated sodium reabsorption",0.039,0.338,1,37,4,"INS, PDPK1, PIK3CA, PIK3CB"
"Cholinergic synapse",0.042,0.353,1,112,8,"CHRM4, CREB3L4, FYN, GNAO1, PIK3CA, PIK3CB, PRKACA, CREB3L3"
"Thyroid hormone signaling pathway",0.05,0.397,1,116,8,"EP300, KAT2A, ITGAV, PDPK1, PIK3CA, PIK3CB, PRKACA, RXRG"
"Progesterone-mediated oocyte maturation",0.051,0.397,1,96,7,"CPEB2, INS, PIK3CA, PIK3CB, PLK1, PRKACA, MAPK13"
"Melanogenesis",0.064,0.476,1,101,7,"CREB3L4, DVL2, EP300, GNAO1, PRKACA, WNT9B, CREB3L3"
"Rap1 signaling pathway",0.065,0.476,1,210,12,"FGF12, LPAR3, GNAO1, INS, ITGB2, NGFR, PIK3CA, PIK3CB, MAPK13, ARAP3, VEGFA, VEGFB"
"Glucagon signaling pathway",0.069,0.493,1,103,7,"CPT1A, CREB3L4, EP300, PPP3R1, PRKACA, PRKAG1, CREB3L3"
"Osteoclast differentiation",0.075,0.51,1,126,8,"TAB1, FYN, IL1A, JUND, PIK3CA, PIK3CB, PPP3R1, MAPK13"
"Type II diabetes mellitus",0.077,0.51,1,46,4,"INS, PIK3CA, PIK3CB, PRKCE"
"Phagosome",0.078,0.51,1,149,9,"ATP6V1G3, SEC61A1, ITGA5, ITGAV, ITGB2, NOS1, DYNC1LI1, SEC61A2, C3"
"Oxytocin signaling pathway",0.083,0.526,1,151,9,"GNAO1, KCNJ5, MEF2C, NOS3, PPP3R1, PRKACA, PRKAG1, CAMK1G, CACNG8"
"TNF signaling pathway",0.084,0.526,1,108,7,"TAB1, CEBPB, CREB3L4, PIK3CA, PIK3CB, MAPK13, CREB3L3"
"Focal adhesion",0.088,0.531,1,198,11,"COL2A1, FYN, ITGA5, ITGAV, MYL2, PDPK1, PIK3CA, PIK3CB, VEGFA, VEGFB, CAV3"
"PI3K-Akt signaling pathway",0.09,0.531,1,341,17,"COL2A1, CREB3L4, FGF12, FOXO3, LPAR3, INS, ITGA5, ITGAV, NGFR, NOS3, PDPK1, PIK3CA, PIK3CB, HSP90B1, VEGFA, VEGFB, CREB3L3"
"Adipocytokine signaling pathway",0.094,0.543,1,69,5,"CPT1A, ACSL6, ADIPOR1, PRKAG1, RXRG"
"Prolactin signaling pathway",0.098,0.556,1,70,5,"FOXO3, INS, PIK3CA, PIK3CB, MAPK13"
"Apelin signaling pathway",0.105,0.578,1,136,8,"MEF2B, MEF2C, MYL2, NOS1, NOS3, PRKACA, PRKAG1, PRKCE"
"Sphingolipid signaling pathway",0.12,0.646,1,118,7,"FYN, NOS3, PDPK1, PIK3CA, PIK3CB, PRKCE, MAPK13"
"Regulation of actin cytoskeleton",0.122,0.646,1,211,11,"ARPC1A, CHRM4, FGF12, INS, ITGA5, ITGAV, ITGB2, MYL2, PIK3CA, PIK3CB, ARHGEF7"
"Wnt signaling pathway",0.125,0.65,1,142,8,"DVL2, EP300, BAMBI, PPARD, PPP3R1, PRKACA, WNT9B, NKD2"
"Adrenergic signaling in cardiomyocytes",0.133,0.674,1,144,8,"ADRA1B, CREB3L4, MYH7, MYL2, PRKACA, MAPK13, CACNG8, CREB3L3"
"Platelet activation",0.136,0.678,1,122,7,"FYN, NOS3, PIK3CA, PIK3CB, PRKACA, MAPK13, TBXA2R"
"Toll-like receptor signaling pathway",0.148,0.708,1,102,6,"TAB1, TIRAP, IRAK4, PIK3CA, PIK3CB, MAPK13"
"T cell receptor signaling pathway",0.148,0.708,1,102,6,"FYN, PDPK1, PIK3CA, PIK3CB, PPP3R1, MAPK13"
"Arginine biosynthesis",0.154,0.725,1,20,2,"NOS1, NOS3"
"Aldosterone synthesis and secretion",0.16,0.738,1,82,5,"CREB3L4, PRKACA, PRKCE, CAMK1G, CREB3L3"
"Dopaminergic synapse",0.171,0.776,1,130,7,"CREB3L4, GNAL, GNAO1, KCNJ5, PRKACA, MAPK13, CREB3L3"
"Insulin secretion",0.177,0.789,1,85,5,"CREB3L4, INS, KCNMA1, PRKACA, CREB3L3"
"Calcium signaling pathway",0.185,0.807,1,181,9,"CYSLTR1, ADRA1B, GNAL, NOS1, NOS3, PPP3R1, PRKACA, TBXA2R, CCKBR"
"Cellular senescence",0.19,0.816,1,158,8,"FOXM1, FOXO3, IL1A, PIK3CA, PIK3CB, PPP3R1, LIN37, MAPK13"
"Leukocyte transendothelial migration",0.199,0.841,1,112,6,"ITGB2, MYL2, PIK3CA, PIK3CB, MAPK13, CXCR4"
"Salivary secretion",0.208,0.863,1,90,5,"ADRA1B, KCNMA1, NOS1, TRPV6, PRKACA"
"IL-17 signaling pathway",0.227,0.927,1,93,5,"CEBPB, IL13, JUND, MAPK13, HSP90B1"
"Fatty acid metabolism",0.237,0.935,1,48,3,"CPT1A, ACSL6, SCD"
"Notch signaling pathway",0.237,0.935,1,48,3,"DVL2, EP300, KAT2A"
