EntrezID,GeneSymbol,ConfidenceCategory,TRIAGEhit,Pathway,InteractingGenes,NetworkGenePathways
4363,ABCC1,MedConf,Yes,Sphingolipid signaling pathway,"STX4, TMCO1, STT3B, TMX2, VDAC1, PUF60, HNRNPL","Cellular senescence (1), cGMP-PKG signaling pathway (1), Necroptosis (1), Vasopressin-regulated water reabsorption (1)"
1244,ABCC2,MedConf,Yes,,"NDUFA9, NDUFS8",Retrograde endocannabinoid signaling (2)
25,ABL1,MedConf,Yes,"Neurotrophin signaling pathway, ErbB signaling pathway","MAPK14, ROBO1, RAC1, MAPK11, WASF1, CCND1, KAT5, BRCA1, SPAG9, RAC3, CDON, EPHB3, MEF2A, NTRK3, NAA25, RTFDC1, BRK1, BAIAP2","Neurotrophin signaling pathway (4), Sphingolipid signaling pathway (4), Rap1 signaling pathway (4), MAPK signaling pathway (4), VEGF signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (4), Wnt signaling pathway (3), PI3K-Akt signaling pathway (3), FoxO signaling pathway (3), Cellular senescence (3), Osteoclast differentiation (3), Hedgehog signaling pathway (2), Natural killer cell mediated cytotoxicity (2), B cell receptor signaling pathway (2), cAMP signaling pathway (2), T cell receptor signaling pathway (2), Retrograde endocannabinoid signaling (2), Platelet activation (2), Relaxin signaling pathway (2), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Adrenergic signaling in cardiomyocytes (2), Dopaminergic synapse (2), cGMP-PKG signaling pathway (1), p53 signaling pathway (1), Oxytocin signaling pathway (1), AMPK signaling pathway (1), Hippo signaling pathway (1)"
35,ACADS,MedConf,Yes,Fatty acid degradation,"ACSM3, ACAT1, ACAT2, ARHGAP26","Pyruvate metabolism (2), Fatty acid degradation (2)"
38,ACAT1,MedConf,Yes,"Fatty acid degradation, Pyruvate metabolism","HSD17B10, CSE1L, ACAT2, ACADS, DUS3L, UGT3A2, CYCS","Apoptosis (2), Fatty acid degradation (2), p53 signaling pathway (1), Apoptosis - multiple species (1), Pyruvate metabolism (1)"
39,ACAT2,MedConf,Yes,"Fatty acid degradation, Pyruvate metabolism","ACADS, TRAPPC8, ACAT1, HSD17B10, YWHAE, VASP","Fatty acid degradation (2), Platelet activation (1), Rap1 signaling pathway (1), cGMP-PKG signaling pathway (1), Oocyte meiosis (1), PI3K-Akt signaling pathway (1), Neurotrophin signaling pathway (1), Hippo signaling pathway (1), Pyruvate metabolism (1)"
8309,ACOX2,MedConf,Yes,,ACSBG1,Fatty acid degradation (1)
23205,ACSBG1,MedConf,Yes,Fatty acid degradation,"ACOX2, ELOVL1, PPT1, CPT1A, FADS2","Fatty acid degradation (1), AMPK signaling pathway (1)"
6296,ACSM3,MedConf,Yes,,ACADS,Fatty acid degradation (1)
10121,ACTR1A,MedConf,Yes,,"PPP2R1A, YWHAE, HSP90AA1, HLA-DMB, KIF5B, KIF3A, HLA-DPA1, DCTN1","Th17 cell differentiation (3), PI3K-Akt signaling pathway (3), Th1 and Th2 cell differentiation (2), Dopaminergic synapse (2), Oocyte meiosis (2), Hippo signaling pathway (2), Vasopressin-regulated water reabsorption (1), Hedgehog signaling pathway (1), Necroptosis (1), Neurotrophin signaling pathway (1), Sphingolipid signaling pathway (1), Long-term depression (1), AMPK signaling pathway (1), mRNA surveillance pathway (1), Adrenergic signaling in cardiomyocytes (1)"
171019,ADAMTS19,MedConf,Yes,,THBS1,"p53 signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1)"
9509,ADAMTS2,MedConf,Yes,,THBS1,"p53 signaling pathway (1), PI3K-Akt signaling pathway (1), Rap1 signaling pathway (1)"
109,ADCY3,MedConf,Yes,"Adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, Purine metabolism, Rap1 signaling pathway, cAMP signaling pathway, Aldosterone synthesis and secretion, Vascular smooth muscle contraction, Oocyte meiosis, Oxytocin signaling pathway, Relaxin signaling pathway, Platelet activation, Retrograde endocannabinoid signaling, Vasopressin-regulated water reabsorption, Longevity regulating pathway","ADRA2A, ADCY9, GALR1, CCL19, PMCH, NPY2R, GRM7, CCL20, GRM3, CNR1, AGTR2, NPY4R, CNR2, OXER1, CCL25, TAS2R13, GPR55, CXCL1, LPAR2, HCAR3, PTH2, LHCGR, GHRHR, VIP, ADRB1, CALCRL, PDE4B, ENTPD1, ENTPD8, TAS2R20, TAS2R14, SCTR, PKM, POLR1C, POLR3F, C3, GNGT1, HEBP1, GNB5, ANXA1, KNG1, POLR3C, PRKCA, POLR3B, CAMK2G, HTR1E, CXCR1, GNAL, CAMK2D, PDE2A, PRKCB, PDE6G, FSHR, AVPR2, GABBR2, PDE3A, AVP, CXCL12, CXCL6, TAS2R3, TAS2R5, TAS2R16","Purine metabolism (12), cAMP signaling pathway (10), Dopaminergic synapse (7), Retrograde endocannabinoid signaling (6), Aldosterone synthesis and secretion (6), Adrenergic signaling in cardiomyocytes (6), Pyrimidine metabolism (6), cGMP-PKG signaling pathway (5), Oxytocin signaling pathway (5), Rap1 signaling pathway (5), ErbB signaling pathway (4), HIF-1 signaling pathway (4), Long-term potentiation (4), Vascular smooth muscle contraction (4), Wnt signaling pathway (4), Cytosolic DNA-sensing pathway (4), Relaxin signaling pathway (4), PI3K-Akt signaling pathway (4), Vasopressin-regulated water reabsorption (3), Oocyte meiosis (3), Sphingolipid signaling pathway (2), Long-term depression (2), AGE-RAGE signaling pathway in diabetic complications (2), Natural killer cell mediated cytotoxicity (2), MAPK signaling pathway (2), VEGF signaling pathway (2), Neurotrophin signaling pathway (2), Necroptosis (2), B cell receptor signaling pathway (1), Glycolysis / Gluconeogenesis (1), Pyruvate metabolism (1), Longevity regulating pathway (1), Platelet activation (1)"
115,ADCY9,MedConf,Yes,"Adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, Purine metabolism, Rap1 signaling pathway, cAMP signaling pathway, Aldosterone synthesis and secretion, Vascular smooth muscle contraction, Oocyte meiosis, Oxytocin signaling pathway, Relaxin signaling pathway, Platelet activation, Retrograde endocannabinoid signaling, Vasopressin-regulated water reabsorption, Longevity regulating pathway","GALR1, CCL19, PMCH, NPY2R, GRM7, CCL20, GRM3, CNR1, AGTR2, NPY4R, CNR2, OXER1, CCL25, TAS2R13, GPR55, CXCL1, LPAR2, HCAR3, PTH2, LHCGR, GHRHR, VIP, ADRB1, CALCRL, PDE4B, ENTPD1, ENTPD8, TAS2R20, TAS2R14, SCTR, PKM, POLR1C, POLR3F, C3, GNGT1, HEBP1, GNB5, ANXA1, KNG1, POLR3C, PRKCA, POLR3B, CAMK2G, HTR1E, CXCR1, GNAL, CAMK2D, PDE2A, PRKCB, PDE6G, FSHR, AVPR2, GABBR2, PDE3A, AVP, CXCL12, CXCL6, TAS2R3, TAS2R5, TAS2R16, ADCY3, ADRA2A","Purine metabolism (12), cAMP signaling pathway (10), Dopaminergic synapse (7), Retrograde endocannabinoid signaling (6), Aldosterone synthesis and secretion (6), Adrenergic signaling in cardiomyocytes (6), Pyrimidine metabolism (6), cGMP-PKG signaling pathway (5), Oxytocin signaling pathway (5), Rap1 signaling pathway (5), Relaxin signaling pathway (4), Vascular smooth muscle contraction (4), ErbB signaling pathway (4), HIF-1 signaling pathway (4), Long-term potentiation (4), Wnt signaling pathway (4), Cytosolic DNA-sensing pathway (4), PI3K-Akt signaling pathway (4), Vasopressin-regulated water reabsorption (3), Oocyte meiosis (3), Sphingolipid signaling pathway (2), Long-term depression (2), AGE-RAGE signaling pathway in diabetic complications (2), Natural killer cell mediated cytotoxicity (2), MAPK signaling pathway (2), VEGF signaling pathway (2), Neurotrophin signaling pathway (2), Necroptosis (2), Longevity regulating pathway (1), Platelet activation (1), B cell receptor signaling pathway (1), Glycolysis / Gluconeogenesis (1), Pyruvate metabolism (1)"
,,,,,,
124,ADH1A,MedConf,Yes,"Retinol metabolism, Tyrosine metabolism, Fatty acid degradation, Glycolysis / Gluconeogenesis","ALDH3A1, PNPLA4, MAOB, GSTK1, COMT, UGT1A10, CYP26A1, UGT2B17","Retinol metabolism (4), Tyrosine metabolism (3), Dopaminergic synapse (2), Phenylalanine metabolism (2), Glycolysis / Gluconeogenesis (1)"
130,ADH6,MedConf,Yes,"Retinol metabolism, Tyrosine metabolism, Fatty acid degradation, Glycolysis / Gluconeogenesis","PNPLA4, MAOB, GSTK1, COMT, UGT1A10, CYP26A1, UGT2B17, ALDH3A1","Retinol metabolism (4), Tyrosine metabolism (3), Phenylalanine metabolism (2), Dopaminergic synapse (2), Glycolysis / Gluconeogenesis (1)"
131,ADH7,MedConf,Yes,"Retinol metabolism, Tyrosine metabolism, Fatty acid degradation, Glycolysis / Gluconeogenesis","PNPLA4, MAOB, GSTK1, COMT, UGT1A10, CYP26A1, UGT2B17, ALDH3A1","Retinol metabolism (4), Tyrosine metabolism (3), Phenylalanine metabolism (2), Dopaminergic synapse (2), Glycolysis / Gluconeogenesis (1)"
9370,ADIPOQ,MedConf,Yes,"AMPK signaling pathway, Longevity regulating pathway","PPARG, EBF1, MED23, MED12, MED13, NR3C1","Longevity regulating pathway (1), Osteoclast differentiation (1), AMPK signaling pathway (1)"
132,ADK,MedConf,Yes,Purine metabolism,"PDE2A, PNP, NT5C3B, PDE3A, AK5, PDE4B, ENTPD1, ENTPD8","Purine metabolism (8), Pyrimidine metabolism (4), cAMP signaling pathway (2), cGMP-PKG signaling pathway (2), Aldosterone synthesis and secretion (1)"
134,ADORA1,MedConf,Yes,"cGMP-PKG signaling pathway, cAMP signaling pathway, Sphingolipid signaling pathway",,
83440,ADPGK,MedConf,Yes,Glycolysis / Gluconeogenesis,ALDOB,Glycolysis / Gluconeogenesis (1)
147,ADRA1B,MedConf,Yes,"Adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, Vascular smooth muscle contraction","NPFFR2, HCRTR1, ADRA1D, ARHGEF12, F2, HRH1, GNGT1, GNB5, ANXA1, KNG1, AVP, CXCL12, PMCH, LPAR2, GNRHR, GHSR, ARHGEF1, P2RY1","Platelet activation (3), Vascular smooth muscle contraction (3), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (2), Retrograde endocannabinoid signaling (2), Relaxin signaling pathway (2), Dopaminergic synapse (2), cAMP signaling pathway (1), Vasopressin-regulated water reabsorption (1), cGMP-PKG signaling pathway (1), Adrenergic signaling in cardiomyocytes (1)"
146,ADRA1D,MedConf,Yes,"Adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, Vascular smooth muscle contraction","ARHGEF12, F2, HRH1, GNGT1, GNB5, ANXA1, KNG1, AVP, PMCH, LPAR2, GNRHR, GHSR, ARHGEF1, P2RY1, ADRA1B, NPFFR2, HCRTR1","Vascular smooth muscle contraction (3), Platelet activation (3), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (2), Retrograde endocannabinoid signaling (2), Relaxin signaling pathway (2), Dopaminergic synapse (2), cGMP-PKG signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), cAMP signaling pathway (1), Vasopressin-regulated water reabsorption (1)"
150,ADRA2A,MedConf,Yes,cGMP-PKG signaling pathway,"ADCY9, GALR1, CCL19, PMCH, NPY2R, GRM7, CCL20, GRM3, CNR1, AGTR2, NPY4R, CNR2, OXER1, CCL25, TAS2R13, GPR55, CXCL1, LPAR2, HCAR3, TAS2R20, TAS2R14, GPSM1, C3, GNGT1, HEBP1, GNB5, ANXA1, KNG1, HTR1E, CXCR1, GABBR2, CXCL12, CXCL6, TAS2R3, TAS2R5, TAS2R16, ADCY3","Retrograde endocannabinoid signaling (5), cAMP signaling pathway (5), Relaxin signaling pathway (4), Rap1 signaling pathway (4), Adrenergic signaling in cardiomyocytes (3), PI3K-Akt signaling pathway (3), Longevity regulating pathway (2), Vasopressin-regulated water reabsorption (2), Platelet activation (2), Oxytocin signaling pathway (2), Oocyte meiosis (2), Vascular smooth muscle contraction (2), Aldosterone synthesis and secretion (2), Purine metabolism (2), cGMP-PKG signaling pathway (2), Dopaminergic synapse (2)"
153,ADRB1,MedConf,Yes,"Adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, cAMP signaling pathway","CALCRL, SCTR, GNGT1, GNB5, GNAL, FSHR, AVPR2, AVP, ADCY3, ADCY9, PTH2, LHCGR, GHRHR, VIP","Vasopressin-regulated water reabsorption (4), Retrograde endocannabinoid signaling (4), Relaxin signaling pathway (4), Vascular smooth muscle contraction (3), cAMP signaling pathway (3), Dopaminergic synapse (3), Longevity regulating pathway (2), Platelet activation (2), Oxytocin signaling pathway (2), Oocyte meiosis (2), Aldosterone synthesis and secretion (2), Rap1 signaling pathway (2), Purine metabolism (2), cGMP-PKG signaling pathway (2), Adrenergic signaling in cardiomyocytes (2), PI3K-Akt signaling pathway (2)"
116986,AGAP2,MedConf,Yes,FoxO signaling pathway,CCND1,"FoxO signaling pathway (1), p53 signaling pathway (1), Oxytocin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), AMPK signaling pathway (1), PI3K-Akt signaling pathway (1), Cellular senescence (1), Hedgehog signaling pathway (1), Hippo signaling pathway (1), Wnt signaling pathway (1)"
26523,AGO1,MedConf,Yes,,"HIST1H2AJ, CDKN2D, MAPK14, MAPK11, CCND1, H2AFZ, FOXO3, TFDP2","FoxO signaling pathway (5), Cellular senescence (4), Neurotrophin signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (3), AMPK signaling pathway (2), PI3K-Akt signaling pathway (2), Necroptosis (2), Sphingolipid signaling pathway (2), T cell receptor signaling pathway (2), Retrograde endocannabinoid signaling (2), Platelet activation (2), Relaxin signaling pathway (2), Osteoclast differentiation (2), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), VEGF signaling pathway (2), Adrenergic signaling in cardiomyocytes (2), Dopaminergic synapse (2), Longevity regulating pathway (1), p53 signaling pathway (1), Oxytocin signaling pathway (1), Hedgehog signaling pathway (1), Hippo signaling pathway (1), Wnt signaling pathway (1)"
27161,AGO2,MedConf,Yes,,"HIST1H2AJ, NCBP1, CCND1, H2AFZ, FOXO3, TFDP2","FoxO signaling pathway (2), AMPK signaling pathway (2), PI3K-Akt signaling pathway (2), Cellular senescence (2), Necroptosis (2), Longevity regulating pathway (1), Neurotrophin signaling pathway (1), p53 signaling pathway (1), Oxytocin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Hedgehog signaling pathway (1), Hippo signaling pathway (1), Wnt signaling pathway (1), mRNA surveillance pathway (1)"
186,AGTR2,MedConf,Yes,Adrenergic signaling in cardiomyocytes,"NPY4R, CNR2, OXER1, CCL25, TAS2R13, GPR55, CXCL1, LPAR2, HCAR3, GHSR, TAS2R20, TAS2R14, F2, GPSM1, C3, GNGT1, HEBP1, GNB5, ANXA1, KNG1, HTR1E, CXCR1, GABBR2, CXCL12, CXCL6, TAS2R3, TAS2R5, TAS2R16, ADCY3, ADRA2A, ADCY9, GALR1, CCL19, PMCH, NPY2R, GRM7, CCL20, GRM3, CNR1","cAMP signaling pathway (6), Retrograde endocannabinoid signaling (5), Rap1 signaling pathway (4), Relaxin signaling pathway (4), cGMP-PKG signaling pathway (3), PI3K-Akt signaling pathway (3), Longevity regulating pathway (2), Vasopressin-regulated water reabsorption (2), Platelet activation (2), Oxytocin signaling pathway (2), Oocyte meiosis (2), Vascular smooth muscle contraction (2), Aldosterone synthesis and secretion (2), Purine metabolism (2), Adrenergic signaling in cardiomyocytes (2), Dopaminergic synapse (2)"
9447,AIM2,MedConf,Yes,Cytosolic DNA-sensing pathway,"PYCARD, CASP4, NLRP6","Cytosolic DNA-sensing pathway (1), Necroptosis (1)"
26289,AK5,MedConf,Yes,Purine metabolism,"PDE4B, ENTPD1, ENTPD8, ATP5A1, PKM, ADK, PDE2A, NT5C3B, PDE3A, RRM2B","Purine metabolism (9), Pyrimidine metabolism (4), cAMP signaling pathway (2), cGMP-PKG signaling pathway (2), p53 signaling pathway (1), Aldosterone synthesis and secretion (1), Glycolysis / Gluconeogenesis (1), Pyruvate metabolism (1)"
9472,AKAP6,MedConf,Yes,,"CACNB2, CACNA2D4, CACNG6","Oxytocin signaling pathway (3), MAPK signaling pathway (3), Adrenergic signaling in cardiomyocytes (3)"
6718,AKR1D1,MedConf,Yes,,"UGT2B17, HSD17B6, UGT1A10",Retinol metabolism (3)
218,ALDH3A1,MedConf,Yes,"Tyrosine metabolism, Glycolysis / Gluconeogenesis, Phenylalanine metabolism","ADH6, ADH7, MAOB, AOC2, SMOX, AOC3, GSTK1, COMT, ADH1A","Tyrosine metabolism (7), Glycolysis / Gluconeogenesis (3), Fatty acid degradation (3), Retinol metabolism (3), Phenylalanine metabolism (3), Dopaminergic synapse (2)"
229,ALDOB,MedConf,Yes,Glycolysis / Gluconeogenesis,"ADPGK, PDHB, PFKL, PKM, BPGM","Glycolysis / Gluconeogenesis (5), Pyruvate metabolism (2), HIF-1 signaling pathway (2), Purine metabolism (1), AMPK signaling pathway (1)"
247,ALOX15B,MedConf,Yes,,"CYP2C9, CYP4A11, PTGS1","Retinol metabolism (2), Platelet activation (1), Fatty acid degradation (1), Vascular smooth muscle contraction (1)"
249,ALPL,MedConf,Yes,,COL4A4,"Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), PI3K-Akt signaling pathway (1)"
10189,ALYREF,MedConf,Yes,mRNA surveillance pathway,"GTF2F1, DHX38, DHX16, HNRNPA3, CSTF1, SKIV2L2, RBMX, PUF60, HNRNPR, SNRPD1, SF3B3, SNRNP70, HNRNPL, TPR, CSTF3, ZC3H11A, SRSF4, EIF4A3, NCBP1, CPSF7, LSM8, PABPN1, ZC3H13",mRNA surveillance pathway (6)
51005,AMDHD2,MedConf,Yes,,PKM,"Glycolysis / Gluconeogenesis (1), Pyruvate metabolism (1), Purine metabolism (1)"
154796,AMOT,MedConf,Yes,Hippo signaling pathway,"PPFIA1, VASP, FOXK1, LIN7A","Platelet activation (1), Rap1 signaling pathway (1), cGMP-PKG signaling pathway (1)"
119504,ANAPC16,MedConf,Yes,,"CDC20, BUB3, RBX1, BRCA1, H2AFZ, HIST1H2AJ","Necroptosis (2), Oocyte meiosis (2), PI3K-Akt signaling pathway (1), Nucleotide excision repair (1), HIF-1 signaling pathway (1), Wnt signaling pathway (1)"
301,ANXA1,MedConf,Yes,,"HTR1E, GABBR2, AVP, ADCY3, ADRA2A, ADCY9, CNR1, AGTR2, LPAR2, HCAR3, GNRHR, GHSR, P2RY1, ADRA1B, ADRA1D, GNGT1, GNB5","cAMP signaling pathway (6), Retrograde endocannabinoid signaling (5), cGMP-PKG signaling pathway (5), Adrenergic signaling in cardiomyocytes (5), Rap1 signaling pathway (5), Relaxin signaling pathway (4), Vascular smooth muscle contraction (4), PI3K-Akt signaling pathway (3), Platelet activation (3), Vasopressin-regulated water reabsorption (3), Dopaminergic synapse (2), Longevity regulating pathway (2), Oxytocin signaling pathway (2), Oocyte meiosis (2), Aldosterone synthesis and secretion (2), Purine metabolism (2)"
314,AOC2,MedConf,Yes,"Tyrosine metabolism, Phenylalanine metabolism","SMOX, AOC3, DBH, GLO1, COMT, GRHPR, ALDH3A1, MAOB","Tyrosine metabolism (5), Phenylalanine metabolism (3), Dopaminergic synapse (2), Pyruvate metabolism (2), Glycolysis / Gluconeogenesis (1)"
8639,AOC3,MedConf,Yes,"Tyrosine metabolism, Phenylalanine metabolism","DBH, GLO1, COMT, GRHPR, ALDH3A1, MAOB, AOC2, SMOX","Tyrosine metabolism (5), Phenylalanine metabolism (3), Dopaminergic synapse (2), Pyruvate metabolism (2), Glycolysis / Gluconeogenesis (1)"
8905,AP1S2,MedConf,Yes,,"HLA-DPA1, RAB5C","Vasopressin-regulated water reabsorption (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1)"
161,AP2A2,MedConf,Yes,,"RPS6KA2, HLA-DPA1, AVPR2, AVP, RAB5C","Vasopressin-regulated water reabsorption (3), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Long-term potentiation (1), Oocyte meiosis (1), MAPK signaling pathway (1), Neurotrophin signaling pathway (1)"
54518,APBB1IP,MedConf,Yes,"Rap1 signaling pathway, Platelet activation","BCAR1, MARK3, CNKSR1, MAP2K2, NRAS, PFN4, VASP","Rap1 signaling pathway (5), cGMP-PKG signaling pathway (2), Sphingolipid signaling pathway (2), T cell receptor signaling pathway (2), ErbB signaling pathway (2), Relaxin signaling pathway (2), FoxO signaling pathway (2), Long-term potentiation (2), Long-term depression (2), Apoptosis (2), Oxytocin signaling pathway (2), Natural killer cell mediated cytotoxicity (2), B cell receptor signaling pathway (2), PI3K-Akt signaling pathway (2), MAPK signaling pathway (2), VEGF signaling pathway (2), Neurotrophin signaling pathway (2), Cellular senescence (2), Platelet activation (1), Longevity regulating pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), HIF-1 signaling pathway (1), Vascular smooth muscle contraction (1), cAMP signaling pathway (1)"
10297,APC2,MedConf,Yes,"Wnt signaling pathway, Hippo signaling pathway","AXIN2, TBL1XR1","Wnt signaling pathway (2), Hippo signaling pathway (1)"
325,APCS,MedConf,Yes,,"H2AFZ, HIST1H2AJ",Necroptosis (2)
