"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","RNA transport",0,0,0,161,49,42,"POM121C, SNUPN, EIF1, POP7, RPP38, RNPS1, RPP25L, EIF1AX, EIF2S3, EIF4E, EIF4G1, EIF4G2, NUP188, NUP62, GEMIN5, KPNB1, NCBP1, POP5, PHAX, NDC1, NUP107, RAN, RANGAP1, UPF1, SMN1, UBE2I, XPO1, DDX39B, RPP21, THOC7, SEH1L, THOC3, EIF3A, EIF3D, EIF3I, EIF2B4, EIF2B2, NUP155, NUP93, EIF4A3, RBM8A, NUP153","PRMT5, DDX20, NCBP2, NUP98, NMD3, RPP25, EIF4EBP3",0.581
"2","Pyrimidine metabolism",0,0,0,101,24,23,"POLD3, POLR3A, POLR3H, DHODH, DTYMK, DUT, ZNRD1, POLR3K, POLE3, POLA1, POLD2, POLE2, POLR2D, POLR2E, POLR2F, POLR2I, POLR2L, PRIM1, POLE4, RRM2, POLR1E, CAD, POLR1B","PRIM2",0.598
"3","Ribosome",0,0,0,133,76,66,"RPL17-C18orf32, RPS10-NUDT3, MRPL28, MRPL3, MRPL10, RPL13A, RPL36, MRPL13, RSL24D1, MRPL27, MRPS21, MRPL16, MRPL20, MRPS18A, RPL3, RPL6, RPL7, RPL7A, RPL8, RPL9, RPL10, RPL11, RPL13, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL23A, RPL24, RPL30, RPL27A, RPL28, RPL29, RPL32, RPL34, RPL37, RPL37A, RPL38, RPLP0, RPLP1, RPLP2, RPS3A, RPS4X, RPS5, RPS10, RPS11, RPS13, RPS14, RPS15A, RPS17, RPS18, RPS19, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS28, RPS29, MRPS15, MRPL36, RPL14, RPL23, MRPL33","MRPL21, MRPL22, MRPS16, MRPL4, MRPS2, RPL26, RPL27, RPS9, RPS20, RPS26",0.72
"4","Oxidative phosphorylation",0,0,0,120,31,22,"COX7B, COX10, COX15, ATP6V0A2, UQCRQ, UQCR10, NDUFS7, NDUFA3, NDUFB8, NDUFB9, NDUFS3, NDUFS5, ATP5A1, ATP6V1H, ATP5I, ATP6V0C, ATP6V0B, ATP6AP1, ATP5O, SDHC, SDHD, ATP6V0D1","COX4I1, COX6C, COX7C, NDUFA7, NDUFB2, NDUFA13, ATP5F1, UQCRC1, ATP5J2",0.484
"5","Spliceosome",0,0,0,129,58,48,"PQBP1, SF3B4, PRPF8, SRSF10, TXNL4A, SNRNP27, DDX42, U2AF2, ZMAT2, DHX15, SNW1, SF3B1, LSM3, PRPF19, HNRNPC, HNRNPK, HSPA8, NCBP1, PRPF38B, PRPF40A, XAB2, LSM2, SRSF1, SRSF2, SRSF3, SRSF6, SRSF7, TRA2B, SNRNP70, SNRPA1, SNRPC, SNRPD1, SNRPD3, SNRPF, SNRPG, DDX39B, SF3A2, SF3B5, THOC3, PHF5A, RBM17, BUD31, PRPF4, PRPF3, AQR, EIF4A3, CDC5L, RBM8A","BCAS2, PPIH, PUF60, NCBP2, SNRNP200, LSM4, HNRNPA1, LSM7, WBP11, DHX38",0.639
"6","Aminoacyl-tRNA biosynthesis",0,0,0,43,24,18,"FARSB, PSTK, MTFMT, EARS2, AARS, DARS, FARSA, LARS2, GARS, NARS, SEPSECS, SARS2, DARS2, IARS2, QARS, CARS2, YARS, MARS2","PARS2, HARS, YARS2, LARS, SARS, WARS",0.654
"7","RNA degradation",0,0,0,73,21,18,"EXOSC8, EXOSC6, DHX36, ENO1, ENO3, EXOSC7, CNOT1, EDC4, LSM3, DCPS, HSPA9, EXOSC3, PFKP, EXOSC10, XRN1, LSM2, WDR61, TTC37","LSM4, LSM7, EXOSC5",0.572
"8","Ribosome biogenesis in eukaryotes",0,0,0,73,29,21,"AK6, POP7, RPP38, RPP25L, SPATA5, FBL, WDR43, MDN1, GTPBP4, NOB1, DROSHA, EIF6, POP5, NOP58, XRN1, HEATR1, PWP2, RAN, XPO1, UTP15, IMP4","UTP14A, REXO2, GNL2, NMD3, RPP25, TCOF1, RIOK1, WDR75",0.561
"9","DNA replication",0,0,0,35,15,13,"RNASEH2A, POLD3, PCNA, POLE3, POLA1, POLD2, POLE2, PRIM1, POLE4, RFC4, RFC5, RPA1, RPA3","MCM4, PRIM2",0.648
"10","Nucleotide excision repair",0,0,0.001,46,14,14,"POLD3, DDB1, ERCC2, GTF2H2, PCNA, POLE3, POLD2, POLE2, POLE4, RFC4, RFC5, RPA1, RPA3, XPA","",0.652
"11","Cell cycle",0,0,0.001,124,25,21,"STAG1, ANAPC2, MAD2L1, MYC, PCNA, ANAPC5, PLK1, YWHAE, YWHAG, YWHAZ, CDC45, CDC23, CDC16, CCNA2, CCND3, PKMYT1, SMC3, BUB3, PTTG1, ESPL1, CDC20","MCM4, FZR1, CUL1, CCNE1",0.521
"12","Proteasome",0,0,0.001,44,14,11,"PSMD14, PSMA4, PSMA6, PSMB3, PSMB4, PSMB7, PSMC1, PSMC3, PSMC6, PSMD7, PSMD12","PSMA2, PSMB5, PSMD1",0.552
"13","RNA polymerase",0,0,0.002,31,11,11,"POLR3A, POLR3H, ZNRD1, POLR3K, POLR2D, POLR2E, POLR2F, POLR2I, POLR2L, POLR1E, POLR1B","",0.677
"14","mRNA surveillance pathway",0,0,0.004,85,19,17,"BCL2L2-PABPN1, RNPS1, NUDT21, CSTF3, SSU72, NCBP1, PCF11, PELO, PPP1CA, PPP1CB, PPP2CA, UPF1, DDX39B, WDR82, RNMT, EIF4A3, RBM8A","NCBP2, SYMPK",0.559
"15","Oocyte meiosis",0,0.001,0.018,118,22,20,"ANAPC2, MAD2L1, SPDYE2, SPDYE5, ANAPC5, PLK1, PPP1CA, PPP1CB, PPP2CA, YWHAE, YWHAG, YWHAZ, CAMK2B, CDC23, CDC16, PKMYT1, SMC3, PTTG1, ESPL1, CDC20","CUL1, CCNE1",0.548
"16","Mismatch repair",0,0.003,0.049,23,8,8,"POLD3, MLH3, PCNA, POLD2, RFC4, RFC5, RPA1, RPA3","",0.674
"17","Non-alcoholic fatty liver disease (NAFLD)",0,0.003,0.052,144,24,14,"COX7B, UQCRQ, UQCR10, NDUFS7, NDUFA3, NDUFB8, NDUFB9, NDUFS3, NDUFS5, MLXIPL, RAC1, SDHC, SDHD, MLX","COX4I1, COX6C, COX7C, NDUFA7, NDUFB2, NDUFA13, PRKAG2, PIK3CD, PIK3R2, UQCRC1",0.375
