"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,127,13,"NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, PPT1, LGMN, CD63"
"Hematopoietic cell lineage",0,0.002,0.006,94,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"NOD-like receptor signaling pathway",0,0.002,0.009,177,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"Ferroptosis",0,0.002,0.012,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"NF-kappa B signaling pathway",0,0.002,0.012,102,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"C-type lectin receptor signaling pathway",0,0.002,0.013,104,9,"FCER1G, CD209, IL1B, LSP1, NFKB1, NFKB2, PTGS2, SRC, STAT1"
"Phagosome",0,0.006,0.04,147,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.008,0.063,127,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Necroptosis",0,0.008,0.068,157,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Toll-like receptor signaling pathway",0,0.008,0.081,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Cell adhesion molecules",0.001,0.012,0.13,140,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"Endocytosis",0.001,0.016,0.186,245,12,"EHD1, CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, TFRC, CBL, SNX3"
"PPAR signaling pathway",0.001,0.027,0.355,74,6,"FABP4, FABP5, ACSL1, ACSL4, HMGCS1, CD36"
"Complement and coagulation cascades",0.002,0.044,0.642,83,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.003,0.044,0.654,112,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Mineral absorption",0.003,0.046,0.741,59,5,"FTH1, FTL, HMOX1, MT2A, ATP2B4"
"Cytosolic DNA-sensing pathway",0.004,0.058,0.987,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Natural killer cell mediated cytotoxicity",0.004,0.059,1,122,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"Tryptophan metabolism",0.005,0.063,1,41,4,"IL4I1, IDO1, KMO, KYNU"
"Type I diabetes mellitus",0.005,0.071,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"AGE-RAGE signaling pathway in diabetic complications",0.006,0.075,1,100,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Antigen processing and presentation",0.006,0.075,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"HIF-1 signaling pathway",0.009,0.097,1,107,6,"HK2, HMOX1, NFKB1, PFKFB3, TFRC, CAMK2D"
"Cholesterol metabolism",0.009,0.1,1,50,4,"NPC2, APOH, LIPA, CD36"
"Chemokine signaling pathway",0.014,0.141,1,190,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Antifolate resistance",0.014,0.143,1,31,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.017,0.164,1,33,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.023,0.214,1,37,3,"IL4I1, GFPT1, GLS"
"Apoptosis",0.024,0.214,1,134,6,"CTSB, CTSH, CTSZ, LMNB1, NFKB1, TRAF1"
"Adipocytokine signaling pathway",0.027,0.233,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"Prolactin signaling pathway",0.029,0.233,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"RIG-I-like receptor signaling pathway",0.029,0.233,1,70,4,"DDX58, NFKB1, IFIH1, ISG15"
"Fatty acid biosynthesis",0.032,0.25,1,17,2,"ACSL1, ACSL4"
"Leukocyte transendothelial migration",0.034,0.256,1,108,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
